Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
89,"M Carriquí, M Roig‐Oliver, TJ Brodribb…","Anatomical constraints to nonstomatal diffusion conductance and photosynthesis in lycophytes and bryophytes",2019,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15675","https://scholar.google.com/scholar?cites=15130846546578363027&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 09:06:00","","10.1111/nph.15675","","",,,,,89,17.80,22,4,5,"… The percentage of net assimilation limited by stomatal conductance l s , nonstomatal diffusion conductance l nsd and biochemistry l b in the liverwort, mosses and lycophytes studied. …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15675","https://scholar.google.com/scholar?q=related:k9K_d8SQ-9EJ:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
13,"V Kisnieriene, K Trębacz, V Pupkis, M Koselski…","Evolution of long-distance signalling upon plant terrestrialization: comparison of action potentials in Characean algae and liverworts",2022,"Annals of …","academic.oup.com","https://academic.oup.com/aob/article-abstract/130/4/457/6652896","https://scholar.google.com/scholar?cites=3024227238571971487&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 09:06:00","","","","",,,,,13,6.50,3,5,2,"… signalling in liverworts and vascular plants. Among the common properties of APs in liverworts and … Single ion channels with conductance of about 50 pS were reported in the N. obtusa …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9510943/","https://scholar.google.com/scholar?q=related:n5Mkg6Y2-CkJ:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
10,"M Koselski, V Pupkis, K Hashimoto, I Lapeikaite…","… of mammalian two-pore channel inhibitors on long-distance electrical signals in the Characean macroalga Nitellopsis obtusa and the early terrestrial liverwort …",2021,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/10/4/647","https://scholar.google.com/scholar?cites=11972886384625205737&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 09:06:00","HTML","","","",,,,,10,3.33,2,5,3,"Inhibitors of human two-pore channels (TPC1 and TPC2), ie, verapamil, tetrandrine, and NED-19, are promising medicines used in treatment of serious diseases. In the present study, …","https://www.mdpi.com/2223-7747/10/4/647","https://scholar.google.com/scholar?q=related:6UGyU7s8KKYJ:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
56,"TGA Green, WP Snelgar","A comparison of photosynthesis in two thalloid liverworts",1982,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00378404","https://scholar.google.com/scholar?cites=18349261288995813504&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 09:06:00","","10.1007/BF00378404","","",,,,,56,1.33,28,2,42,"… One object of this investigation was to compare the CO 2 exchange of liverworts with air-chambered and solid thalli which grow in the same habitat. This has not proved to be completely …","https://www.jstor.org/stable/pdf/4216761.pdf","https://scholar.google.com/scholar?q=related:gPhrfeyrpf4J:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
90,"K Trebacz, W Simonis, G Schonknecht","Cytoplasmic Ca2+, K+, Cl-, and NO3-activities in the liverwort Conocephalum conicum L. at rest and during action potentials",1994,"Plant Physiology","academic.oup.com","https://academic.oup.com/plphys/article-abstract/106/3/1073/6068720","https://scholar.google.com/scholar?cites=13114347874848871144&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-16 09:06:00","","","","",,,,,90,3.00,30,3,30,"… lntracellular Caz+, K+, CI-, and NOs- activities were measured with ion-selective microeledrodes in the liverwort Conocephalum conicum 1. at rest, during dark/light changes, and in the …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC159633/pdf/1061073.pdf","https://scholar.google.com/scholar?q=related:6BJEzeiF_7UJ:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
10,"M Koselski, K Trebacz, H Dziubinska","Vacuolar ion channels in the liverwort Marchantia polymorpha: influence of ion channel inhibitors",2017,"Planta","Springer","https://link.springer.com/article/10.1007/s00425-017-2661-4","https://scholar.google.com/scholar?cites=16955516240649954491&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 09:06:00","HTML","10.1007/s00425-017-2661-4","","",,,,,10,1.43,3,3,7,"… channels in the vacuole of the liverwort Marchantia polymorpha were characterized in … ion channel activity in the vacuoles from the liverwort Marchantia polymorpha. The whole-vacuole …","https://link.springer.com/article/10.1007/s00425-017-2661-4","https://scholar.google.com/scholar?q=related:u6ROyy8YTusJ:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
5,"K Watanabe, K Hashimoto, K Hasegawa…","Rapid Propagation of Ca2+ Waves and Electrical Signals in the Liverwort Marchantia polymorpha",2024,"Plant and Cell …","academic.oup.com","https://academic.oup.com/pcp/article-abstract/65/4/660/7513496","https://scholar.google.com/scholar?cites=15106355864862480436&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 09:06:00","","","","",,,,,5,5.00,1,4,1,"… We here demonstrate that the non-vascular liverwort Marchantia polymorpha possesses a mechanism for propagating Ca2+ waves and electrical signals in response to wounding. The …","https://www.biorxiv.org/content/biorxiv/early/2023/12/19/2023.10.16.562169.full.pdf","https://scholar.google.com/scholar?q=related:NFjER5-OpNEJ:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
96,"G Shimakawa, K Ishizaki, S Tsukamoto…","The Liverwort, Marchantia, Drives Alternative Electron Flow Using a Flavodiiron Protein to Protect PSI",2017,"Plant …","academic.oup.com","https://academic.oup.com/plphys/article-abstract/173/3/1636/6115889","https://scholar.google.com/scholar?cites=7364466410816204974&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 09:06:00","","","","",,,,,96,13.71,24,4,7,"… We clarified the physiological functions of FLV in the liverwort M. polymorpha, which has … Liverworts probably require FLVs and their functions due to the environmental conditions of …","https://academic.oup.com/plphys/article/173/3/1636/6115889","https://scholar.google.com/scholar?q=related:rvD-mC7XM2YJ:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
42,"K Trebacz, W Simonis…","Effects of Anion Channel Inhibitors on Light-Induced Potential Changes in the Liverwort Conocephalum conicum",1997,"Plant and cell …","academic.oup.com","https://academic.oup.com/pcp/article-abstract/38/5/550/1935417","https://scholar.google.com/scholar?cites=3415489795136907154&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 09:06:00","","","","",,,,,42,1.56,14,3,27,"… After addition of TEA this K+ conductance was blocked and the depolarization of the … This K+ conductance of the plasma membrane of Conocephalum which could be blocked …","https://academic.oup.com/pcp/article-pdf/38/5/550/5453403/38-5-550.pdf","https://scholar.google.com/scholar?q=related:kmcbZd9BZi8J:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
5,"G Shimakawa, H Hanawa, S Wada, GT Hanke…","Physiological Roles of Flavodiiron Proteins and Photorespiration in the Liverwort Marchantia polymorpha",2021,"Frontiers in Plant …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2021.668805/full","https://scholar.google.com/scholar?cites=13070935369849325896&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-16 09:06:00","HTML","10.3389/fpls.2021.668805","","",,,,,5,1.67,1,5,3,"… membrane potential, termed as ECS total (A,C), and proton conductance of the chloroplast ATP synthase, termed as g H + (B,D), in the liverwort M. polymorpha (Tak-1; A,B) and the …","https://www.frontiersin.org/articles/10.3389/fpls.2021.668805/full","https://scholar.google.com/scholar?q=related:SEn1UXdKZbUJ:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
7,"M Koselski, K Trebacz, H Dziubinska","The role of vacuolar ion channels in salt stress tolerance in the liverwort Conocephalum conicum",2019,"Acta Physiologiae Plantarum","Springer","https://link.springer.com/article/10.1007/s11738-019-2889-7","https://scholar.google.com/scholar?cites=6761821734788261504&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-16 09:06:00","HTML","10.1007/s11738-019-2889-7","","",,,,,7,1.40,2,3,5,"… Liverworts are pioneer plants that colonized lands. They had … the tonoplast of the liverwort Conocephalum conicum. The whole… of activity and two different conductance levels. The role of …","https://link.springer.com/article/10.1007/s11738-019-2889-7","https://scholar.google.com/scholar?q=related:gOaRyArR1l0J:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
19,"K Trebacz, G Schönknecht, H Dziubinska…","Characteristics of Anion Channels in the Tonoplast of the Liverwort Conocephalum conicum",2007,"Plant and cell …","academic.oup.com","https://academic.oup.com/pcp/article-abstract/48/12/1747/2756548","https://scholar.google.com/scholar?cites=3574893757592214345&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-16 09:06:00","","","","",,,,,19,1.12,5,4,17,"Isolated vacuoles of the liverwort Conocephalum conicum thallus cells were investigated using the patch-clamp technique. At high cytosolic Ca 2+ activities, slowly activating currents …","https://academic.oup.com/pcp/article/48/12/1747/2756548","https://scholar.google.com/scholar?q=related:SZsLk-6SnDEJ:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
70,"E Krol, H Dziubinska, K Trebacz","Low-Temperature Induced Transmembrane Potential Changes in the Liverwort Conocephalum conicum",2003,"Plant and Cell Physiology","academic.oup.com","https://academic.oup.com/pcp/article-abstract/44/5/527/1834759","https://scholar.google.com/scholar?cites=3985894844636381318&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-16 09:06:00","","","","",,,,,70,3.33,23,3,21,"… The liverwort Conocephalum conicum, the object of our study… In contrast to higher plants, the liverwort does not posses … by Cl – and K + conductance and therefore VT is not detected as …","https://academic.oup.com/pcp/article/44/5/527/1834759","https://scholar.google.com/scholar?q=related:hsCcNj6-UDcJ:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
65,"M Meyer, U Seibt, H Griffiths","To concentrate or ventilate? Carbon acquisition, isotope discrimination and physiological ecology of early land plant life forms",2008,"… Transactions of the …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2008.0039","https://scholar.google.com/scholar?cites=6714402433694888035&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-16 09:06:00","","10.1098/rstb.2008.0039","","",,,,,65,4.06,22,3,16,"… and electron transport characteristics for contrasting liverwort and hornwort life forms, from … when wetted, and maximal internal conductance for C3 liverworts, or the extent of leakiness …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2606768/","https://scholar.google.com/scholar?q=related:Y_BmY3BZLl0J:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
58,"K Trebacz, T Zawadzki","Light‐triggered action potentials in the liverwort Conocephalum conicum",1985,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.1985.tb08526.x","https://scholar.google.com/scholar?cites=3266487446990104284&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-16 09:06:00","","10.1111/j.1399-3054.1985.tb08526.x","","",,,,,58,1.49,29,2,39,"The response to light of a liverwort, Conocephalum conicum L., measured as a change in the resting potential, consists of two stages. The first stage is a slight depolarization dependent …","","https://scholar.google.com/scholar?q=related:3CYexQblVC0J:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
38,"K Trȩbacz, R Tarnecki, T Zawadzki","The effects of ionic channel inhibitors and factors modifying metabolism on the excitability of the liverwort Conocephalum conicum",1989,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.1989.tb02058.x","https://scholar.google.com/scholar?cites=63819426322861420&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-16 09:06:00","","10.1111/j.1399-3054.1989.tb02058.x","","",,,,,38,1.09,13,3,35,"Changes in the excitability of the liverwort Conocephalum conicum L. caused by inhibitors of ionic channels and phosphorylation uncouplers, were examined. Action potentials were …","","https://scholar.google.com/scholar?q=related:bE2-G2674gAJ:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
10,"F Althoff, L Wegner, K Ehlers, H Buschmann…","Developmental Plasticity of the Amphibious Liverwort Riccia fluitans",2022,"Frontiers in Plant …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2022.909327/full","https://scholar.google.com/scholar?cites=2470633850950074876&as_sdt=2005&sciodt=2007&hl=en",17,"2024-07-16 09:06:00","HTML","10.3389/fpls.2022.909327","","",,,,,10,5.00,2,5,2,"… Recent investigations started to unravel the underlying genetic pathways in liverworts. MpSBG9… fluitans liverwort to characterize crucial adaptive features in WF and LF plants by different …","https://www.frontiersin.org/articles/10.3389/fpls.2022.909327/full","https://scholar.google.com/scholar?q=related:_EHvv2V0SSIJ:scholar.google.com/&scioq=liverwort+conductance&hl=en&as_sdt=2007"
