Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
115,"EM Hellwege, KJ Dietz, OH Volk, W Hartung","Abscisic acid and the induction of desiccation tolerance in the extremely xerophilic liverwort Exormotheca holstii",1994,"Planta","Springer","https://link.springer.com/article/10.1007/BF00714466","https://scholar.google.com/scholar?cites=1569080369782222420&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 09:15:48","","10.1007/BF00714466","","",,,,,115,3.83,29,4,30,"… of this liverwort ABA could induce cold resistance. In this paper, experimental data are provided for the extremely xerophilic liverwort … to the hygrophilic liverwort Marchantia polymorpha …","https://www.jstor.org/stable/pdf/23383122.pdf","https://scholar.google.com/scholar?q=related:VG7ocEh-xhUJ:scholar.google.com/&scioq=liverwort+dessication&hl=en&as_sdt=2007"
2,"GNM Giudici, J Hájek, M Barták…","Comparative research of photosynthetic processes in selected poikilohydric organisms from Mediterranean and Central-European alpine habitats",2018,"Czech Polar Reports","journals.muni.cz","https://journals.muni.cz/CPR/article/view/12935","https://scholar.google.com/scholar?cites=11723486486408576773&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 09:15:48","","","","",,,,,2,0.33,1,4,6,"… polymorpha is a thallose liverwort which typically forms flattened thalli. Thalli of the liverwort are green, pale green on the ventral side. They are usually sized 46 cm even or sometimes …","https://journals.muni.cz/CPR/article/download/12935/11287","https://scholar.google.com/scholar?q=related:Bb95f9gwsqIJ:scholar.google.com/&scioq=liverwort+dessication&hl=en&as_sdt=2007"
31,"EM Hellwege, OH Volk, W Hartung","A physiological role of abscisic acid in the liverwort Riccia fluitans L.",1992,"Journal of plant physiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161711807881","https://scholar.google.com/scholar?cites=7885530168118501821&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 09:15:48","","","","",,,,,31,0.97,10,3,32,"The liverwort Riccia fluitans exists in two forms, a submerged living waterform and a landform with characteristic morphological differences. When treated with abscisic acid (ABA) the …","","https://scholar.google.com/scholar?q=related:vWFUmOgHb20J:scholar.google.com/&scioq=liverwort+dessication&hl=en&as_sdt=2007"
94,"RK Gupta","A study of photosynthesis and leakage of solutes in relation to the desiccation effects in bryophytes",1977,"Canadian Journal of Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/b77-138","https://scholar.google.com/scholar?cites=13967436361165690842&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 09:15:48","","10.1139/b77-138","","",,,,,94,2.00,94,1,47,"… le traumatisme di a la dessication et la resistance a la dessication a etC CvaluCe en terme … Plagiocl~ila asplenioides: This liverwort was collected under tall herbs in shade from Middle…","","https://scholar.google.com/scholar?q=related:2tcnKl5N1sEJ:scholar.google.com/&scioq=liverwort+dessication&hl=en&as_sdt=2007"
194,"L Kappen, F Valladares","Opportunistic growth and desiccation tolerance: the ecological success of poikilohydrous autotrophs",2007,"Functional plant ecology","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.1201/9781420007626-2/opportunistic-growth-desiccation-tolerance-ecological-success-poikilohydrous-autotrophs-ludger-kappen-fernando-valladares","https://scholar.google.com/scholar?cites=11392167387093474875&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-16 09:15:48","","10.1201/9781420007626-2","","",,,,,194,11.41,97,2,17,"… Thallose hygrophytic liverworts require higher levels of … hyaline structures on the midrib of desert liverworts (eg, Riccia, … strand in the stems of mosses and some liverworts; (2) by the cell …","https://old.valladares.info/pdfs/Kappen%20&%20Valladares%202007%20poikilohydrous%20plants%20Func%20Ecol%20book.pdf","https://scholar.google.com/scholar?q=related:Ox5_WeEbGZ4J:scholar.google.com/&scioq=liverwort+dessication&hl=en&as_sdt=2007"
160,"NJ Fenton, KA Frego, MR Sims","Changes in forest floor bryophyte (moss and liverwort) communities 4 years after forest harvest",2003,"Canadian journal of botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/B03-063","https://scholar.google.com/scholar?cites=13724470836404824290&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 09:15:48","","10.1139/B03-063","","",,,,,160,7.62,53,3,21,"… In particular, liverworts were lost in areas with forest floor disturbance. We suggest that the simplest method to reduce immediate species loss, and presumably promote conservation of …","https://www.researchgate.net/profile/Nicole-Fenton-4/publication/237154863_Changes_in_forest_floor_bryophyte_moss_and_liverwort_communities_4_years_after_forest_harvest/links/02e7e51e410a911c52000000/Changes-in-forest-floor-bryophyte-moss-and-liverwort-communities-4-years-after-forest-harvest.pdf","https://scholar.google.com/scholar?q=related:4igepoIdd74J:scholar.google.com/&scioq=liverwort+dessication&hl=en&as_sdt=2007"
27,"RK Gupta","An artefact in studies of the responses of respiration of bryophytes to desiccation",1977,"Canadian Journal of Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/b77-139","https://scholar.google.com/scholar?cites=9521210922658388915&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 09:15:48","","10.1139/b77-139","","",,,,,27,0.57,27,1,47,"… Aprks 48 h de dessication a 0 et 50% d'hurnidite relative et … This liverwort was collected from limestone cliffs in Deepdale, Derbyshire SK165 700. Scotpmrin utlclrrln~n: This liverwort …","","https://scholar.google.com/scholar?q=related:s1uffOMiIoQJ:scholar.google.com/&scioq=liverwort+dessication&hl=en&as_sdt=2007"
9,"WE Seel","Metabolic responses of bryophytes to desiccation with special reference to the sand dune moss Tortula ruraliformis",1991,"","search.proquest.com","https://search.proquest.com/openview/011ca5e7ad2b3aa8a019d33927cedbec/1?pq-origsite=gscholar&cbl=2026366&diss=y","https://scholar.google.com/scholar?cites=9523088773118492649&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 09:15:48","BOOK","","","",,,,,9,0.27,9,1,33,"Tortula ruralifonnis is a poikilohydric moss which is extremely tolerant of desiccation. It can recover metabolic activity after rehydration from water contents as low as 5% d. wt. To some …","https://search.proquest.com/openview/011ca5e7ad2b3aa8a019d33927cedbec/1?pq-origsite=gscholar&cbl=2026366&diss=y","https://scholar.google.com/scholar?q=related:6f88nsjOKIQJ:scholar.google.com/&scioq=liverwort+dessication&hl=en&as_sdt=2007"
0,"S Mazzoleni, GNM Giudici","Woodwardia radicans in the Ferriere Valley: ecophysiology of photosynthetic processes to study light and water stress",,"fedoa.unina.it","","http://www.fedoa.unina.it/13143/1/giudici_gabriella_nora_maria_32.pdf","",9,"2024-07-16 09:15:48","PDF","","","",,,,,0,0.00,0,2,,"… polymorpha is a thallose liverwort which typically forms flattened thalli. Thal-li of the liverwort are green, pale green on the ventral side. They are usually sized 4-6 cm even or sometimes …","http://www.fedoa.unina.it/13143/1/giudici_gabriella_nora_maria_32.pdf","https://scholar.google.com/scholar?q=related:eWA1BuLciksJ:scholar.google.com/&scioq=liverwort+dessication&hl=en&as_sdt=2007"
26,"P Zúñiga-González, GE Zúñiga, M Pizarro…","Soluble carbohydrate content variation in Sanionia uncinata and Polytrichastrum alpinum, two Antarctic mosses with contrasting desiccation capacities",2016,"Biological …","SciELO Chile","https://www.scielo.cl/scielo.php?pid=S0716-97602016000100006&script=sci_arttext","https://scholar.google.com/scholar?cites=14946988404463860337&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-16 09:15:48","HTML","","","",,,,,26,3.25,7,4,8,"… uncinata during all stages of dessication and ca. 37 % during rehydration, without … , and mannitol has been described for other liverworts and Antarctic mosses, including Cephaloziella …","https://www.scielo.cl/scielo.php?pid=S0716-97602016000100006&script=sci_arttext","https://scholar.google.com/scholar?q=related:cXrz5cJebs8J:scholar.google.com/&scioq=liverwort+dessication&hl=en&as_sdt=2007"
