Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"S Sakaguchi, T Fukuda, H Takano…","Photosynthetic Electron Transport Differentially Regulates the Expression of Superoxide Dismutase Genes in Liverwort, Marchantia paleacea var. diptera",2004,"Plant and cell …","academic.oup.com","https://academic.oup.com/pcp/article-abstract/45/3/318/1813254","https://scholar.google.com/scholar?cites=16245015745436044678&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 12:45:40","","","","",,,,,12,0.60,3,4,20,"… gene from liverwort, and investigated the expression pattern of three SOD genes in liverwort. … genes are regulated by photosynthetic electron transport but the mechanism regulating the …","https://academic.oup.com/pcp/article/45/3/318/1813254","https://scholar.google.com/scholar?q=related:hs1XLcDjceEJ:scholar.google.com/&scioq=liverwort+%22electron+transport%22&hl=en&as_sdt=2007"
96,"G Shimakawa, K Ishizaki, S Tsukamoto…","The Liverwort, Marchantia, Drives Alternative Electron Flow Using a Flavodiiron Protein to Protect PSI",2017,"Plant …","academic.oup.com","https://academic.oup.com/plphys/article-abstract/173/3/1636/6115889","https://scholar.google.com/scholar?cites=7364466410816204974&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 12:45:40","","","","",,,,,96,13.71,24,4,7,"… We evaluated the dependence of the relative electron transport rate at PSII (rETR), calculated as the product of Y(II) and photon flux density, and ECS parameters on photon flux density …","https://academic.oup.com/plphys/article/173/3/1636/6115889","https://scholar.google.com/scholar?q=related:rvD-mC7XM2YJ:scholar.google.com/&scioq=liverwort+%22electron+transport%22&hl=en&as_sdt=2007"
14,"S Eguchi, H Takano, K Ono, S Takio","Photosynthetic electron transport regulates the stability of the transcript for the protochlorophyllide oxidoreductase gene in the liverwort, Marchantia paleacea var …",2002,"Plant and cell physiology","academic.oup.com","https://academic.oup.com/pcp/article-abstract/43/5/573/1874830","https://scholar.google.com/scholar?cites=13514142961513908499&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 12:45:40","","","","",,,,,14,0.64,4,4,22,"… photosynthetic electron transport … liverwort cells have at least two systems for photo-regulation of por gene expression; control by phytochrome and by photosynthetic electron transport. …","https://academic.oup.com/pcp/article/43/5/573/1874830","https://scholar.google.com/scholar?q=related:E8nhKGzhi7sJ:scholar.google.com/&scioq=liverwort+%22electron+transport%22&hl=en&as_sdt=2007"
5,"G Shimakawa, H Hanawa, S Wada, GT Hanke…","Physiological Roles of Flavodiiron Proteins and Photorespiration in the Liverwort Marchantia polymorpha",2021,"Frontiers in Plant …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2021.668805/full","https://scholar.google.com/scholar?cites=13070935369849325896&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 12:45:40","HTML","10.3389/fpls.2021.668805","","",,,,,5,1.67,1,5,3,"… However, we note that the FLV-mediated alternative electron transport was partially inhibited at 2kPa O 2 in M. polymorpha (Figure 1). In Figure 2, the representative raw traces of …","https://www.frontiersin.org/articles/10.3389/fpls.2021.668805/full","https://scholar.google.com/scholar?q=related:SEn1UXdKZbUJ:scholar.google.com/&scioq=liverwort+%22electron+transport%22&hl=en&as_sdt=2007"
54,"H Hanawa, K Ishizaki, K Nohira, D Takagi…","Land plants drive photorespiration as higher electron‐sink: comparative study of post‐illumination transient O2‐uptake rates from liverworts to angiosperms through …",2017,"Physiologia …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/ppl.12580","https://scholar.google.com/scholar?cites=13978964307148453156&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-16 12:45:40","","10.1111/ppl.12580","","",,,,,54,7.71,11,5,7,"… of electrons in the photosynthetic electron transport system. Cyanobacteria have flavodiiron (… alternative electron flow in the photosynthetic electron transport system. Badger et al. (2000) …","","https://scholar.google.com/scholar?q=related:JLVyP_lB_8EJ:scholar.google.com/&scioq=liverwort+%22electron+transport%22&hl=en&as_sdt=2007"
104,"A Alboresi, M Storti, T Morosinotto","Balancing protection and efficiency in the regulation of photosynthetic electron transport across plant evolution",2019,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15372","https://scholar.google.com/scholar?cites=7599457608604349992&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 12:45:40","","10.1111/nph.15372","","",,,,,104,20.80,35,3,5,"… FLVs have been recently shown in cyanobacteria, green algae, mosses and liverworts to be seminal in protecting photosynthetic apparatus upon abrupt increases of light intensity. …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15372","https://scholar.google.com/scholar?q=related:KHaAbm6ydmkJ:scholar.google.com/&scioq=liverwort+%22electron+transport%22&hl=en&as_sdt=2007"
137,"P Ilík, A Pavlovič, R Kouřil, A Alboresi…","Alternative electron transport mediated by flavodiiron proteins is operational in organisms from cyanobacteria up to gymnosperms",2017,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.14536","https://scholar.google.com/scholar?cites=5196698844624032140&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 12:45:40","","10.1111/nph.14536","","",,,,,137,19.57,27,5,7,"… provision of various plant species of different phylogenetic age, Dr Zbyněk Hradílek, Štěpán Koval and their colleagues for providing the authors with a sufficient quantity of liverworts. …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.14536","https://scholar.google.com/scholar?q=related:jJF_3hBiHkgJ:scholar.google.com/&scioq=liverwort+%22electron+transport%22&hl=en&as_sdt=2007"
19,"K Ohyama, T Kohchi, H Fukuzawa, T Sano…","Gene organization and newly identified groups of genes of the chloroplast genome from a liverwort, Marchantia polymorpha",1988,"Molecular Biology of …","Springer","https://link.springer.com/chapter/10.1007/978-94-009-2269-3_2","https://scholar.google.com/scholar?cites=13302630946136987675&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 12:45:40","","10.1007/978-94-009-2269-3_2","","",,,,,19,0.53,4,5,36,"… electron transport systems Genes for photosynthetic and electron transport polypeptides of the liverwort … those of photosynthetic and electron transport proteins with structures deposited …","","https://scholar.google.com/scholar?q=related:Gxidel1wnLgJ:scholar.google.com/&scioq=liverwort+%22electron+transport%22&hl=en&as_sdt=2007"
17,"R Ligrone, JG Duckett","Development of water‐conducting cells in the antipodal liverwort Symphyogyna brasiliensis (Metzgeriales)",1996,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1996.tb01879.x","https://scholar.google.com/scholar?cites=10348132102047744915&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 12:45:40","","10.1111/j.1469-8137.1996.tb01879.x","","",,,,,17,0.61,9,2,28,"… The thallus of the metzgerialean liverwort Symphyogyna brasiliensis Nees contains a strand … The eventual dissolution of the plugs of amorphous electron-transport material results in the …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.1996.tb01879.x","https://scholar.google.com/scholar?q=related:k0Nf71Hzm48J:scholar.google.com/&scioq=liverwort+%22electron+transport%22&hl=en&as_sdt=2007"
30,"S Harashima, H Takano, K Ono, S Takio","Chalcone synthase-like gene in the liverwort, Marchantia paleacea var. diptera",2004,"Plant cell reports","Springer","https://link.springer.com/article/10.1007/s00299-004-0808-9","https://scholar.google.com/scholar?cites=7041561817150306852&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-16 12:45:40","HTML","10.1007/s00299-004-0808-9","","",,,,,30,1.50,8,4,20,"… To determine whether photosynthetic electron transport may be involved … To elucidate whether photosynthetic electron transport … genes is regulated by photosynthetic electron transport. …","https://link.springer.com/article/10.1007/s00299-004-0808-9","https://scholar.google.com/scholar?q=related:JLoyNyqnuGEJ:scholar.google.com/&scioq=liverwort+%22electron+transport%22&hl=en&as_sdt=2007"
