Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
89,"M Carriquí, M Roig‐Oliver, TJ Brodribb…","Anatomical constraints to nonstomatal diffusion conductance and photosynthesis in lycophytes and bryophytes",2019,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15675","https://scholar.google.com/scholar?cites=15130846546578363027&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 13:12:20","","10.1111/nph.15675","","",,,,,89,17.80,22,4,5,"… Leaf density D leaf and leaf thickness T leaf varied 53.4-fold and 61.2-fold, respectively. f ias … leaf density D leaf , T leaf , T cw nor S c /S correlated with LMA (for lycophytes, liverworts …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15675","https://scholar.google.com/scholar?q=related:k9K_d8SQ-9EJ:scholar.google.com/&scioq=liverwort*+%22leaf+density%22&hl=en&as_sdt=2007"
13,"SK Rice, DT Hanson, Z Portman","Structural and functional analyses of bryophyte canopies",2013,"… in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_10","https://scholar.google.com/scholar?cites=10577720432462383968&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 13:12:20","","10.1007/978-94-007-6988-5_10","","",,,,,13,1.18,4,3,11,"… A model of this type is shown here for the liverwort Bazzania trilobata and a light model … branch and leaf density like the capitula retain water. This can be observed in Fig. 10.1. …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=197","https://scholar.google.com/scholar?q=related:YMtPrrCcy5IJ:scholar.google.com/&scioq=liverwort*+%22leaf+density%22&hl=en&as_sdt=2007"
12,"A Mežaka, MY Bader, N Salazar Allen…","Epiphyll specialization for leaf and forest successional stages in a tropical lowland rainforest",2020,"Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jvs.12830","https://scholar.google.com/scholar?cites=14182660477067107316&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 13:12:20","","10.1111/jvs.12830","","",,,,,12,3.00,3,4,4,"… Closed forest contained more liverwort and lichen specialist species than gaps. Specialist … In total, we identified 54 lichen species and 10 liverwort species (Appendix S2), plus 13 …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/jvs.12830","https://scholar.google.com/scholar?q=related:9JuOmY_u0sQJ:scholar.google.com/&scioq=liverwort*+%22leaf+density%22&hl=en&as_sdt=2007"
7,"J Flexas, JE Keeley, F Loreto…","Evolution of photosynthesis I. Basic leaf morphological traits and diffusion and photosynthetic structures",2012,"… Photosynthesis in a …","cambridge.org","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D90A6C45C4A4C667B441839958A9BA64","https://scholar.google.com/scholar?cites=10119083540861383500&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 13:12:20","","","","",,,,,7,0.58,2,4,12,"… Stomata are absent in liverworts and in the gametophyte phase … Interestingly, leaf density correlates better with precipitation, … Instead, leaf density was found to be strongly negatively cor…","","https://scholar.google.com/scholar?q=related:THOLAd40bowJ:scholar.google.com/&scioq=liverwort*+%22leaf+density%22&hl=en&as_sdt=2007"
0,"T Wuyun, L Zhang, T Tosens, B Liu, K Mark…","Extremely thin but very robust: Surprising cryptogam trait combinations at the end of the leaf economics spectrum",2024,"Plant Diversity","Elsevier","https://www.sciencedirect.com/science/article/pii/S2468265924000623","",5,"2024-07-16 13:12:20","HTML","","","",,,,,0,0.00,0,6,1,"… Leaf density is a better measure of leaf structural robustness than leaf dry mass per unit … The thalloid liverwort Marchantia polymorpha differed from other bryophytes by having LT and …","https://www.sciencedirect.com/science/article/pii/S2468265924000623","https://scholar.google.com/scholar?q=related:9tHDRje73KkJ:scholar.google.com/&scioq=liverwort*+%22leaf+density%22&hl=en&as_sdt=2007"
17,"DE Stanton, C Reeb","Morphogeometric approaches to non-vascular plants",2016,"Frontiers in Plant Science","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2016.00916/full","https://scholar.google.com/scholar?cites=9280573085208853054&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 13:12:20","HTML","10.3389/fpls.2016.00916","","",,,,,17,2.13,9,2,8,"… a paraphyletic group of at most three major clades (liverworts, mosses, and hornworts) that differ … in plant biology: the thalloid liverwort Marchantia polymorpha and the ephemeral moss …","https://www.frontiersin.org/articles/10.3389/fpls.2016.00916/full","https://scholar.google.com/scholar?q=related:Prrs5ww4y4AJ:scholar.google.com/&scioq=liverwort*+%22leaf+density%22&hl=en&as_sdt=2007"
10,"W Konings, K Boyd, R Andersen","Comparison of plant traits of sedges, shrubs and Sphagnum mosses between sites undergoing forest-to-bog restoration and near-natural open blanket bog: a pilot …",2019,"Mires and Peat","pure.uhi.ac.uk","https://pure.uhi.ac.uk/en/publications/comparison-of-plant-traits-of-sedges-shrubs-and-sphagnum-mosses-b","https://scholar.google.com/scholar?cites=11844396517630807842&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 13:12:20","","","","",,,,,10,2.00,3,3,5,"… strongly correlated with leaf thickness and leaf density (Witkowski &Lamont 1991) and could … Witkowski, ET &Lamont, BB (1991) Leaf specific mass confounds leaf density and thickness…","https://pure.uhi.ac.uk/files/3572118/map_23_07.pdf","https://scholar.google.com/scholar?q=related:Ig9C5OC_X6QJ:scholar.google.com/&scioq=liverwort*+%22leaf+density%22&hl=en&as_sdt=2007"
18,"AV Perera-Castro, M Nadal…","What drives photosynthesis during desiccation? Mosses and other outliers from the photosynthesis–elasticity trade-off",2020,"Journal of Experimental …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/71/20/6460/5873698","https://scholar.google.com/scholar?cites=7489474961583334706&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 13:12:20","","","","",,,,,18,4.50,6,3,4,"… However, we evaluated mosses, liverworts, and Chara sp., plus some lycophytes and ferns, and found that they behaved as clear outliers of the A n –ε relationship. Despite this finding, …","https://academic.oup.com/jxb/article/71/20/6460/5873698","https://scholar.google.com/scholar?q=related:MmVb78v172cJ:scholar.google.com/&scioq=liverwort*+%22leaf+density%22&hl=en&as_sdt=2007"
46,"SK Rice, PH Schuepp","On the ecological and evolutionary significance OF BRANCH AND LEAF MORPHOLOGY IN aquatic Sphagnum (Sphagnaceae)",1995,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/j.1537-2197.1995.tb15699.x","https://scholar.google.com/scholar?cites=13811813925791980383&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 13:12:20","","10.1002/j.1537-2197.1995.tb15699.x","","",,,,,46,1.59,23,2,29,"… In those studies, estimates of boundary layer thickness in a wind tunnel closely matched resistances measured during carbon assimilation in the two liverwort species. This result was …","https://www.jstor.org/stable/pdf/2445969.pdf","https://scholar.google.com/scholar?q=related:X9ufXpZrrb8J:scholar.google.com/&scioq=liverwort*+%22leaf+density%22&hl=en&as_sdt=2007"
0,"JA Hubbart, E Kellner","Bryophyte mass to stem length ratio: A potential metric for eco-physiological response to land use",2013,"","scirp.org","https://www.scirp.org/html/1-1380076_27676.htm","",10,"2024-07-16 13:12:20","HTML","","","",,,,,0,0.00,0,2,11,"… [22], who found that a species of liverwort (Bazzania trilobata… in the laboratory, liverworts were capable of resuming … stem elongation and reduced leaf density per unit stem length in the …","https://www.scirp.org/html/1-1380076_27676.htm","https://scholar.google.com/scholar?q=related:ZUDwIL-MgJYJ:scholar.google.com/&scioq=liverwort*+%22leaf+density%22&hl=en&as_sdt=2007"
