Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"L Zhou, F Liu, W Yang, H Liu, H Shao…","Differential effects of lichens versus liverworts epiphylls on host leaf traits in the tropical montane rainforest, Hainan Island, China",2014,"The Scientific World …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1155/2014/681369","https://scholar.google.com/scholar?cites=4505380338898178979&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 13:56:20","","10.1155/2014/681369","","",,,,,8,0.80,1,6,10,"… The colonization of liverworts did not significantly affect all leaf traits of host (ie, leaf mass per area (LMA), leaf water content (LWC), chlorophyll content (Chl), and Chl a/b ratio) with …","https://onlinelibrary.wiley.com/doi/pdf/10.1155/2014/681369","https://scholar.google.com/scholar?q=related:oxMONoxThj4J:scholar.google.com/&scioq=liverwort*+%22leaf+mass%22&hl=en&as_sdt=2007"
40,"W Wanek, K Pörtl","Phyllosphere nitrogen relations: reciprocal transfer of nitrogen between epiphyllous liverworts and host plants in the understorey of a lowland tropical wet forest in …",2005,"New phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2005.01319.x","https://scholar.google.com/scholar?cites=10073265945929407441&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 13:56:20","","10.1111/j.1469-8137.2005.01319.x","","",,,,,40,2.11,20,2,19,"… Foliar N concentrations of control plants were similar, ranging between 1.9 and 2.1% DW on a leaf mass basis and between 0.8 and 1.0 g m −2 on a leaf area basis (Table 1). …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.2005.01319.x","https://scholar.google.com/scholar?q=related:0Vsp4wFuy4sJ:scholar.google.com/&scioq=liverwort*+%22leaf+mass%22&hl=en&as_sdt=2007"
25,"Z Wang, W Bao, D Feng, H Lin","Functional trait scaling relationships across 13 temperate mosses growing in wintertime",2014,"Ecological Research","Springer","https://link.springer.com/article/10.1007/s11284-014-1146-1","https://scholar.google.com/scholar?cites=101552927544369114&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 13:56:20","HTML","10.1007/s11284-014-1146-1","","",,,,,25,2.50,6,4,10,"… And these physiological traits were negatively associated with leaf mass per area (LMA). In … = 0.61, 11 mosses and one liverwort) from a tropical site (Waite and Sack 2011), suggesting …","https://link.springer.com/article/10.1007/s11284-014-1146-1","https://scholar.google.com/scholar?q=related:2t8ufNnJaAEJ:scholar.google.com/&scioq=liverwort*+%22leaf+mass%22&hl=en&as_sdt=2007"
26,"Ü Niinemets, M Tobias","Scaling light harvesting from moss “leaves” to canopies",2013,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_9","https://scholar.google.com/scholar?cites=17855212720943001565&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 13:56:20","","10.1007/978-94-007-6988-5_9","","",,,,,26,2.36,13,2,11,"This review provides an overview of chemical, anatomical and morphological changes in bryophytes in response to changes in light availability and assesses the role of these changes …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=176","https://scholar.google.com/scholar?q=related:3e_XZF51yvcJ:scholar.google.com/&scioq=liverwort*+%22leaf+mass%22&hl=en&as_sdt=2007"
89,"M Carriquí, M Roig‐Oliver, TJ Brodribb…","Anatomical constraints to nonstomatal diffusion conductance and photosynthesis in lycophytes and bryophytes",2019,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15675","https://scholar.google.com/scholar?cites=15130846546578363027&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-16 13:56:20","","10.1111/nph.15675","","",,,,,89,17.80,22,4,5,"… Their lower photosynthetic rate per leaf mass area at any … Moreover, the moss Polytrichum juniperinum and the liverwort … liverwort, moss and lycophyte species included in this study …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15675","https://scholar.google.com/scholar?q=related:k9K_d8SQ-9EJ:scholar.google.com/&scioq=liverwort*+%22leaf+mass%22&hl=en&as_sdt=2007"
35,"Z Wang, X Liu, W Bao","Higher photosynthetic capacity and different functional trait scaling relationships in erect bryophytes compared with prostrate species",2016,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-015-3484-2","https://scholar.google.com/scholar?cites=6128851940291282885&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 13:56:20","HTML","10.1007/s00442-015-3484-2","","",,,,,35,4.38,12,3,8,"… traits have significant negative correlations with leaf mass per area (Karst and Lechowicz … in our study—such as the liverworts and Sphagnum junghuhnianum—do not belong to this …","https://link.springer.com/article/10.1007/s00442-015-3484-2","https://scholar.google.com/scholar?q=related:xYcGHl4ODlUJ:scholar.google.com/&scioq=liverwort*+%22leaf+mass%22&hl=en&as_sdt=2007"
3,"A Louw","Plant functional types on Marion Island",2016,"","scholar.sun.ac.za","https://scholar.sun.ac.za/handle/10019.1/98483","https://scholar.google.com/scholar?cites=10665242241810063948&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 13:56:20","","","","",,,,,3,0.38,3,1,8,"… are mostly ferns, mosses and liverworts. Graminoids tend to be moderate … leaf mass was significantly lower, and at site 23 it was significantly greater, than the Ag. magellanica leaf mass …","https://scholar.sun.ac.za/bitstream/handle/10019.1/98483/louw_plant_2016.pdf?sequence=5","https://scholar.google.com/scholar?q=related:TGKU4k-NApQJ:scholar.google.com/&scioq=liverwort*+%22leaf+mass%22&hl=en&as_sdt=2007"
12,"G Soriano, MÁ Del-Castillo-Alonso…","Acclimation of bryophytes to sun conditions, in comparison to shade conditions, is influenced by both photosynthetic and ultraviolet radiations",2019,"Frontiers in Plant …","frontiersin.org","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2019.00998/full","https://scholar.google.com/scholar?cites=1392208967908392749&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 13:56:20","HTML","10.3389/fpls.2019.00998","","",,,,,12,2.40,4,3,5,"… moss, and the thalloid liverwort was more responsive than the leafy liverwort. Sun plants of … , defensive secondary metabolites, and sclerophylly (leaf mass per unit area), all of which are …","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2019.00998/full","https://scholar.google.com/scholar?q=related:Lf9KGa4eUhMJ:scholar.google.com/&scioq=liverwort*+%22leaf+mass%22&hl=en&as_sdt=2007"
16,"XY Fan, WY Liu, L Song, S Liu, XM Shi…","A combination of morphological and photosynthetic functional traits maintains the vertical distribution of bryophytes in a subtropical cloud forest",2020,"American Journal of …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.1474","https://scholar.google.com/scholar?cites=5149303549518251926&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 13:56:20","","10.1002/ajb2.1474","","",,,,,16,4.00,3,6,4,"… For 18 species of mosses and liverworts distributed among three vertical microhabitats (ground, tree trunk, and branch, variance in 28 morphological and photosynthetic functional traits …","https://bsapubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ajb2.1474","https://scholar.google.com/scholar?q=related:loexzUsAdkcJ:scholar.google.com/&scioq=liverwort*+%22leaf+mass%22&hl=en&as_sdt=2007"
0,"T Wuyun, L Zhang, T Tosens, B Liu, K Mark…","Extremely thin but very robust: Surprising cryptogam trait combinations at the end of the leaf economics spectrum",2024,"Plant Diversity","Elsevier","https://www.sciencedirect.com/science/article/pii/S2468265924000623","",10,"2024-07-16 13:56:20","HTML","","","",,,,,0,0.00,0,6,1,"… The thalloid liverwort Marchantia polymorpha differed from … In bryophytes other than the thalloid liverwort Marchantia … Photosynthetic capacity of seed plants was the highest on leaf mass …","https://www.sciencedirect.com/science/article/pii/S2468265924000623","https://scholar.google.com/scholar?q=related:9tHDRje73KkJ:scholar.google.com/&scioq=liverwort*+%22leaf+mass%22&hl=en&as_sdt=2007"
