Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"DH Miller, L Machlis","Effects of Light on the Growth and Development of the Liverwort, Sphaerocarpos donnellii Aust.",1968,"Plant Physiology","academic.oup.com","https://academic.oup.com/plphys/article-abstract/43/5/714/6090788","https://scholar.google.com/scholar?cites=2408138690993417909&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 10:06:23","","","","",,,,,13,0.23,7,2,56,"… Light still slightly increases the growth rate of plants in the presence of … red light every 12 hours, and far-red light reverses the effect of red. The increased growth rate effeoted by red light …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1086915/pdf/plntphys00484-0044.pdf","https://scholar.google.com/scholar?q=related:tW6JbmFtayEJ:scholar.google.com/&scioq=liverwort+light&hl=en&as_sdt=2007"
58,"K Trebacz, T Zawadzki","Light‐triggered action potentials in the liverwort Conocephalum conicum",1985,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.1985.tb08526.x","https://scholar.google.com/scholar?cites=3266487446990104284&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 10:06:23","","10.1111/j.1399-3054.1985.tb08526.x","","",,,,,58,1.49,29,2,39,"… light of a liverwort, Conocephalum conicum L., measured as a change in the resting potential, consists of two stages. The first stage is a slight depolarization dependent on light … by light …","","https://scholar.google.com/scholar?q=related:3CYexQblVC0J:scholar.google.com/&scioq=liverwort+light&hl=en&as_sdt=2007"
118,"N Lee, G Choi","Phytochrome-interacting factor from Arabidopsis to liverwort",2017,"Current opinion in plant biology","Elsevier","https://www.sciencedirect.com/science/article/pii/S1369526616301911","https://scholar.google.com/scholar?cites=16566562822147384968&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 10:06:23","","","","",,,,,118,16.86,59,2,7,"… We conclude phy's inhibition of PIFs to affect light responses has been conserved since at least as far back as the split between seed plants and the non-vascular liverworts. …","","https://scholar.google.com/scholar?q=related:iKZJAx1B6OUJ:scholar.google.com/&scioq=liverwort+light&hl=en&as_sdt=2007"
24,"KE Groen, CR Stieha, PH Crowley, DN McLetchie","Sex-specific plant responses to two light levels in the liverwort Marchantia inflexa (Marchantiaceae)",2010,"The Bryologist","BioOne","https://bioone.org/journals/The-Bryologist/volume-113/issue-1/0007-2745-113.1.81/Sex-specific-plant-responses-to-two-light-levels-in-the/10.1639/0007-2745-113.1.81.short","https://scholar.google.com/scholar?cites=14333249122495337653&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 10:06:23","","10.1639/0007-2745-113.1.81.short","","",,,,,24,1.71,6,4,14,"… We focused on light because 1) light, as indicated by canopy openness and to a lesser … to vary with light levels. We predict that analogous structures of air chambered liverworts like M. …","https://www.jstor.org/stable/pdf/40732264.pdf","https://scholar.google.com/scholar?q=related:tZSD1yLu6cYJ:scholar.google.com/&scioq=liverwort+light&hl=en&as_sdt=2007"
4,"R Sun, M Okabe, S Miyazaki, T Ishida…","Biosynthesis of gibberellin-related compounds modulates far-red light responses in the liverwort Marchantia polymorpha",2023,"The Plant …","academic.oup.com","https://academic.oup.com/plcell/article-abstract/35/11/4111/7246358","https://scholar.google.com/scholar?cites=15382470983933325089&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-16 10:06:23","","","","",,,,,4,4.00,1,5,1,"… liverwort Marchantia polymorpha, KA and GA 12 are synthesized by evolutionarily conserved enzymes, which are required for developmental responses to far-red light (… to light quality …","https://www.biorxiv.org/content/biorxiv/early/2023/05/05/2023.05.04.539458.full.pdf","https://scholar.google.com/scholar?q=related:IW8ZLdyDedUJ:scholar.google.com/&scioq=liverwort+light&hl=en&as_sdt=2007"
19,"N Suetsugu, T Higa, M Wada","Ferns, mosses and liverworts as model systems for light‐mediated chloroplast movements",2017,"Plant, cell &environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.12867","https://scholar.google.com/scholar?cites=10073099854995626461&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 10:06:23","","10.1111/pce.12867","","",,,,,19,2.71,6,3,7,"… light conditions, the chloroplasts move towards the light and accumulate on the periclinal cell walls to efficiently perceive light … movement in green algae, liverwort, mosses and ferns that …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/pce.12867","https://scholar.google.com/scholar?q=related:3ZkN1PLWyosJ:scholar.google.com/&scioq=liverwort+light&hl=en&as_sdt=2007"
73,"R Nishihama, K Ishizaki, M Hosaka, Y Matsuda…","Phytochrome-mediated regulation of cell division and growth during regeneration and sporeling development in the liverwort Marchantia polymorpha",2015,"Journal of plant …","Springer","https://link.springer.com/article/10.1007/s10265-015-0724-9","https://scholar.google.com/scholar?cites=6297539588265287079&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 10:06:23","HTML","10.1007/s10265-015-0724-9","","",,,,,73,8.11,15,5,9,"… As an environmental factor, light plays critical roles in regeneration of bryophytes. However, how light regulates regeneration remains unknown. Here we show that using the liverwort …","https://link.springer.com/article/10.1007/s10265-015-0724-9","https://scholar.google.com/scholar?q=related:px2DxeNaZVcJ:scholar.google.com/&scioq=liverwort+light&hl=en&as_sdt=2007"
36,"RM Conde-Álvarez, E Pérez-Rodrı́guez, M Altamirano…","Photosynthetic performance and pigment content in the aquatic liverwort Riella helicophylla under natural solar irradiance and solar irradiance without ultraviolet light",2002,"Aquatic Botany","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304377002000074","https://scholar.google.com/scholar?cites=12633609421996723940&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 10:06:23","","","","",,,,,36,1.64,9,4,22,"The effects of solar radiation and solar radiation deprived of ultraviolet radiation (λ<395nm) on photosynthetic performance and pigment content of the aquatic liverwort Riella …","https://www.academia.edu/download/47456615/Photosynthetic_performance_and_pigment_c20160723-20437-15f42i.pdf","https://scholar.google.com/scholar?q=related:5I4kZdWYU68J:scholar.google.com/&scioq=liverwort+light&hl=en&as_sdt=2007"
42,"K Trebacz, W Simonis…","Effects of Anion Channel Inhibitors on Light-Induced Potential Changes in the Liverwort Conocephalum conicum",1997,"Plant and cell …","academic.oup.com","https://academic.oup.com/pcp/article-abstract/38/5/550/1935417","https://scholar.google.com/scholar?cites=3415489795136907154&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 10:06:23","","","","",,,,,42,1.56,14,3,27,"… The liverwort Conocephalum conicum belongs to the rather few plants which generate action potentials (APs) in response to light stimuli. Sudden darkening of the thallus evokes a …","https://academic.oup.com/pcp/article-pdf/38/5/550/5453403/38-5-550.pdf","https://scholar.google.com/scholar?q=related:kmcbZd9BZi8J:scholar.google.com/&scioq=liverwort+light&hl=en&as_sdt=2007"
30,"S Takio, N Nakao, T Suzuki, K Tanaka…","Light-Dependent Expression of Protochlorophyllide Oxidoreductase Gene in the Liverwort, Marchantia paleacea var. diptera",1998,"Plant and cell …","academic.oup.com","https://academic.oup.com/pcp/article-abstract/39/6/665/1906483","https://scholar.google.com/scholar?cites=6417916139377332335&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-16 10:06:23","","","","",,,,,30,1.15,6,5,26,"… the light in the yellow liverwort line. To address this question, we isolated the por gene from the liverwort. … Herein we report on this isolation and its light-dependent expression in cells of …","https://academic.oup.com/pcp/article-pdf/39/6/665/5381198/39-6-665.pdf","https://scholar.google.com/scholar?q=related:bxDVpbkEEVkJ:scholar.google.com/&scioq=liverwort+light&hl=en&as_sdt=2007"
