Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
30,"RF Griggs, D Ready","Growth of liverworts from Katmai in nitrogen-free media",1934,"American Journal of Botany","JSTOR","https://www.jstor.org/stable/2435952","https://scholar.google.com/scholar?cites=14725181208529222406&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 08:55:50","","","","",,,,,30,0.33,15,2,90,"… on sand and ash moistened with a nitrogen-free modification- of Shive's solution … liverworts did not grow so well in soil or in cultures supplied with nitrate or ammonia as in ""nitrogen…","https://www.jstor.org/stable/pdf/2435952.pdf","https://scholar.google.com/scholar?q=related:Bjuks0paWswJ:scholar.google.com/&scioq=liverwort+nitrogen&hl=en&as_sdt=2007"
66,"CE Wilkinson, MD Hocking, TE Reimchen","Uptake of salmon‐derived nitrogen by mosses and liverworts in coastal British Columbia",2005,"Oikos","Wiley Online Library","https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.0030-1299.2005.13277.x","https://scholar.google.com/scholar?cites=6926535322600457214&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 08:55:50","","10.1111/j.0030-1299.2005.13277.x","","",,,,,66,3.47,22,3,19,"… major source pools of nitrogen in these riparian … nitrogen in moss and liverworts across the gradient of salmon-nutrient access, and use this as a potential proxy for productivity. Nitrogen …","https://nsojournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.0030-1299.2005.13277.x","https://scholar.google.com/scholar?q=related:_sPLcy3_H2AJ:scholar.google.com/&scioq=liverwort+nitrogen&hl=en&as_sdt=2007"
7,"M Harada, S Takio, S Takami","Nitrogen-assimilating enzymes in chlorophyllous cells of the liverwort, Marchantia paleacea var. diptera, grown in the dark",1993,"Journal of plant physiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161711804517","https://scholar.google.com/scholar?cites=13228132227197680877&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 08:55:50","","","","",,,,,7,0.23,2,3,31,"… may exist in nitrogen assimilation between dark-grown and lightgrown liverwort cells. In the present experiment, to learn the regulational mechanism in nitrogen assimilation of bryophyte…","","https://scholar.google.com/scholar?q=related:7bwDzCzEk7cJ:scholar.google.com/&scioq=liverwort+nitrogen&hl=en&as_sdt=2007"
16,"T Miyazak, K Satake","In situ measurements of uptake of inorganic carbon and nitrogen by the aquatic liverworts Jungermannia vulcanicola Steph. and Scapania undulata (L.) Dum. in an …",1985,"Hydrobiologia","Springer","https://link.springer.com/article/10.1007/BF00011394","https://scholar.google.com/scholar?cites=11963795785762606118&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 08:55:50","","10.1007/BF00011394","","",,,,,16,0.41,8,2,39,"… Though attached algae were not removed completely from the shoots of the liverworts in … was negligible compared to that of the liverworts. The liverworts and water were put into IOO-ml …","","https://scholar.google.com/scholar?q=related:JgyyV-HwB6YJ:scholar.google.com/&scioq=liverwort+nitrogen&hl=en&as_sdt=2007"
40,"W Wanek, K Pörtl","Phyllosphere nitrogen relations: reciprocal transfer of nitrogen between epiphyllous liverworts and host plants in the understorey of a lowland tropical wet forest in …",2005,"New phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2005.01319.x","https://scholar.google.com/scholar?cites=10073265945929407441&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-16 08:55:50","","10.1111/j.1469-8137.2005.01319.x","","",,,,,40,2.11,20,2,19,"… The present study intends to quantify the exchange of N in the phyllosphere between epiphyllous liverworts and their host plants. We assumed that the rate and direction of net N …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.2005.01319.x","https://scholar.google.com/scholar?q=related:0Vsp4wFuy4sJ:scholar.google.com/&scioq=liverwort+nitrogen&hl=en&as_sdt=2007"
24,"LG Lockwood","The influence of photoperiod and exogenous nitrogen‐containing compounds on the reproductive cycles of the liverwort Cephalozia media",1975,"American journal of botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/j.1537-2197.1975.tb14130.x","https://scholar.google.com/scholar?cites=18048300840879652368&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 08:55:50","","10.1002/j.1537-2197.1975.tb14130.x","","",,,,,24,0.49,24,1,49,"… nitrogenous compounds, amino acids, and growth substances) on reproductive differentiation in the leafy liverwort … Exogenous inorganic nitrogen did not significantly affect the asexual …","https://www.jstor.org/stable/pdf/2441634.pdf","https://scholar.google.com/scholar?q=related:EP4DpP1xePoJ:scholar.google.com/&scioq=liverwort+nitrogen&hl=en&as_sdt=2007"
57,"KJ Field, MI Bidartondo, WR Rimington…","… plant–fungal mutualisms: contrasting nitrogen, phosphorus and carbon exchanges between Mucoromycotina and Glomeromycotina fungal symbionts of liverworts",2019,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15819","https://scholar.google.com/scholar?cites=9957792048736640373&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 08:55:50","","10.1111/nph.15819","","",,,,,57,11.40,14,4,5,"… Some liverworts, in common with many later divergent plants… We tested this hypothesis by growing liverworts in single and … Only Mucoromycotina fungal partners provided liverworts with …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15819","https://scholar.google.com/scholar?q=related:dR0oFBwvMYoJ:scholar.google.com/&scioq=liverwort+nitrogen&hl=en&as_sdt=2007"
13,"CM WOODFIN","Physiological studies on selected species of the liverwort family Ricciaceae",1976,"The Journal of the Hattori Botanical Laboratory","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/jhbl/41/0/41_179/_article/-char/ja/","https://scholar.google.com/scholar?cites=6186714811232775311&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 08:55:50","","","","",,,,,13,0.27,13,1,48,"… whether Ricciaceous liverworts could assimilate nitrogen from … no nitrogen; four of the media contained inorganic nitrogen … provided nitrate as a source of nitrogen; in all other media, …","https://www.jstage.jst.go.jp/article/jhbl/41/0/41_179/_pdf","https://scholar.google.com/scholar?q=related:j2wtmleg21UJ:scholar.google.com/&scioq=liverwort+nitrogen&hl=en&as_sdt=2007"
3,"RF Griggs","Growth of liverworts from Katmai on"" nitrogen-free"" sand",1937,"American Journal of Botany","JSTOR","https://www.jstor.org/stable/2436616","https://scholar.google.com/scholar?cites=10647434831570911226&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 08:55:50","","","","",,,,,3,0.03,3,1,87,"… free ""media which, while permitting luxuriant growth of the liverwort, held back … liverworts proved that their ability to grow in ""nitrogen-free"" media was not due to some symbiotic nitrogen-…","https://www.jstor.org/stable/pdf/2436616.pdf","https://scholar.google.com/scholar?q=related:-r_nGJFJw5MJ:scholar.google.com/&scioq=liverwort+nitrogen&hl=en&as_sdt=2007"
97,"WDP Stewart, GA Rodgers","The cyanophyte‐hepatic symbiosis II. Nitrogen fixation and the interchange of nitrogen and carbon",1977,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1977.tb04852.x","https://scholar.google.com/scholar?cites=78175879422241532&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-16 08:55:50","","10.1111/j.1469-8137.1977.tb04852.x","","",,,,,97,2.06,49,2,47,"… About 98% of the extracellular nitrogen liberated into the medium by excised Nostoc … The capacity to excrete ammonia is lost after 72 h of growth free from the liverwort. Excised Nostoc …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1469-8137.1977.tb04852.x","https://scholar.google.com/scholar?q=related:_Gr3Uoy8FQEJ:scholar.google.com/&scioq=liverwort+nitrogen&hl=en&as_sdt=2007"
