Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
97,"WDP Stewart, GA Rodgers","The cyanophyte‐hepatic symbiosis II. Nitrogen fixation and the interchange of nitrogen and carbon",1977,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1977.tb04852.x","https://scholar.google.com/scholar?cites=78175879422241532&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-17 08:58:53","","10.1111/j.1469-8137.1977.tb04852.x","","",,,,,97,2.06,49,2,47,"… The capacity to excrete ammonia is lost after 72 h of growth free from the liverwort. Excised Nostoc colonies show a negligible capacity to fix CO2 photosynthetically and …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1469-8137.1977.tb04852.x","https://scholar.google.com/scholar?q=related:_Gr3Uoy8FQEJ:scholar.google.com/&scioq=liverwort*+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
97,"KS Gavazov, NA Soudzilovskaia, RSP van Logtestijn…","Isotopic analysis of cyanobacterial nitrogen fixation associated with subarctic lichen and bryophyte species",2010,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-010-0374-6","https://scholar.google.com/scholar?cites=14642889847461670154&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-17 08:58:53","HTML","10.1007/s11104-010-0374-6","","",,,,,97,6.93,24,4,14,"… liverworts. Hence, to account for the contribution of each species to the process of nitrogen fixation, we opted for a correspondingly large vial size for the main part of the experiment. …","https://link.springer.com/article/10.1007/s11104-010-0374-6","https://scholar.google.com/scholar?q=related:Cm0gI7z-NcsJ:scholar.google.com/&scioq=liverwort*+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
9,"DG Adams","The Liver Wort: Cyanobacterial Symbiosis",2002,"Biology and Environment: Proceedings of the Royal …","muse.jhu.edu","https://muse.jhu.edu/pub/423/article/809949/summary","https://scholar.google.com/scholar?cites=16782856830447888433&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-17 08:58:53","","","","",,,,,9,0.41,9,1,22,"… the plant tissue In the liverwort Blasia the cyanobacte nal symbionts occupy auncles, which … filament Hormogonia are the infective agents in liverwort and hornwort sym bioses, and a …","https://www.jstor.org/stable/pdf/20500137.pdf","https://scholar.google.com/scholar?q=related:MagVL16v6OgJ:scholar.google.com/&scioq=liverwort*+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
64,"JC Meeks","Cyanobacterial-bryophyte associations",2018,"CRC handbook of symbiotic cyanobacteria","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.1201/9781351071185-3/cyanobacterial-bryophyte-associations-john-meeks","https://scholar.google.com/scholar?cites=2278608512730661259&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-17 08:58:53","","10.1201/9781351071185-3","","",,,,,64,10.67,64,1,6,"… division, but also that the liverworts and mosses have evolved in … demonstrated active nitrogen fixation in the liverwort Blasia … Sprent and Raven9uggested that the liverwort and hornwort …","","https://scholar.google.com/scholar?q=related:iwF-p14-nx8J:scholar.google.com/&scioq=liverwort*+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
68,"DG Adams","Cyanobacteria in symbiosis with hornworts and liverworts",2002,"Cyanobacteria in symbiosis","Springer","https://link.springer.com/content/pdf/10.1007/0-306-48005-0_7?pdf=chapter%20toc","https://scholar.google.com/scholar?cites=10772758030185490314&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-17 08:58:53","","10.1007/0-306-48005-0_7","","",,,,,68,3.09,68,1,22,"… Nitrogen fixation and the interchange of nitrogen and carbon, New Phytol 78, 459-471. Stewart, WDP and Rowell, P. (1975) Effects of L-methionine-DL-sulphoximine on the assimilation …","","https://scholar.google.com/scholar?q=related:imdxGFqGgJUJ:scholar.google.com/&scioq=liverwort*+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
0,"M Jean, JP Bellenger","First evidence of nitrogen fixation associated with bryophytes from coastal Wabanaki-Acadian forests",2024,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2024-0003","",6,"2024-07-17 08:58:53","","10.1139/cjb-2024-0003","","",,,,,0,0.00,0,2,1,"… In this study, we used samples from three species of liverworts … temperature and light on biological nitrogen fixation in boreal … model estimates of boreal nitrogen fixation often differ: A …","https://cdnsciencepub.com/doi/pdf/10.1139/cjb-2024-0003","https://scholar.google.com/scholar?q=related:tKLrb4b5u5gJ:scholar.google.com/&scioq=liverwort*+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
58,"JC Meeks","Physiological Adaptations in Nitrogen-fixing Nostoc–Plant Symbiotic Associations",2007,"Prokaryotic symbionts in plants","Springer","https://link.springer.com/chapter/10.1007/7171_2007_101","https://scholar.google.com/scholar?cites=15962482389759809797&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-17 08:58:53","","10.1007/7171_2007_101","","",,,,,58,3.41,58,1,17,"… plants: bryophyte hornworts and liverworts, the pteridophyte fern Azolla… Heterocysts are the cellular sites of nitrogen fixation, protecting … new plant partners for symbiotic nitrogen fixation. …","https://www.researchgate.net/profile/Peter-Lindblad-2/publication/226171240_Microbiology_Monographs/links/0deec52b20564b2292000000/Microbiology-Monographs.pdf#page=190","https://scholar.google.com/scholar?q=related:BdkPHykhht0J:scholar.google.com/&scioq=liverwort*+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
35,"DA Dalton, JM Chatfield","A new nitrogen‐fixing cyanophyte‐hepatic association: Nostoc and Porella",1985,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/j.1537-2197.1985.tb08339.x","https://scholar.google.com/scholar?cites=11559429679820539946&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-17 08:58:53","","10.1002/j.1537-2197.1985.tb08339.x","","",,,,,35,0.90,18,2,39,"… Porella navicularis, a common leafy liverwort in western North … High nitrogen fixation rates have been attributed to some of … Parella is a genus of leafy liverworts with widespread distribu…","https://www.jstor.org/stable/pdf/2443693.pdf","https://scholar.google.com/scholar?q=related:KojPnwxYa6AJ:scholar.google.com/&scioq=liverwort*+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
83,"A Watanabe, Y Yamamoto","Algal nitrogen fixation in the tropics",1971,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/bf02661867","https://scholar.google.com/scholar?cites=8573123777055232607&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-17 08:58:53","","10.1007/bf02661867","","",,,,,83,1.57,42,2,53,"… green algae form associations with other organisms such as fungi, liverworts, ferns and … of the recent data which have been obtained on nitrogen fixation in rice fields, in tropical waters, …","https://scholar.google.com/scholar?output=instlink&q=info:XxLVIqfa-XYJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=3907409018138122952&oi=lle","https://scholar.google.com/scholar?q=related:XxLVIqfa-XYJ:scholar.google.com/&scioq=liverwort*+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
75,"PM Vitousek","Potential nitrogen fixation during primary succession in Hawaii Volcanoes National Park",1994,"Biotropica","JSTOR","https://www.jstor.org/stable/2388844","https://scholar.google.com/scholar?cites=7276613299494034783&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-17 08:58:53","","","","",,,,,75,2.50,75,1,30,"… I determined rates of acetylene reduction and estimated rates of nitrogen fixation in three … occurred were lichens of the genus Stereocaulon, liverworts, decaying leaf litter, and decaying …","https://www.jstor.org/stable/pdf/2388844.pdf","https://scholar.google.com/scholar?q=related:X505JD65-2QJ:scholar.google.com/&scioq=liverwort*+%22nitrogen+fixation%22&hl=en&as_sdt=2007"
