Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
21,"E Weis, D Wamper, KA Santarius","Heat sensitivity and thermal adaptation of photosynthesis in liverwort thalli",1986,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00399049","https://scholar.google.com/scholar?cites=3689627550648405932&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 14:17:35","","10.1007/BF00399049","","",,,,,21,0.55,7,3,38,"… of photosynthetic reactions in liverwort thalli resembles that observed in leaves of higher plants. However, in contrast to a number of Spermatophyta, exposure of liverwort thalli to high …","https://www.jstor.org/stable/pdf/4217918.pdf","https://scholar.google.com/scholar?q=related:rI_kdbUwNDMJ:scholar.google.com/&scioq=liverwort*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
89,"M Carriquí, M Roig‐Oliver, TJ Brodribb…","Anatomical constraints to nonstomatal diffusion conductance and photosynthesis in lycophytes and bryophytes",2019,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15675","https://scholar.google.com/scholar?cites=15130846546578363027&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 14:17:35","","10.1111/nph.15675","","",,,,,89,17.80,22,4,5,"… Phylogenetic classification following Kenrick &Crane (1996) for the 36 liverwort, moss and … photosynthetic tissue and/or cuticle, in addition to diffusion through the photosynthetic tissue …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15675","https://scholar.google.com/scholar?q=related:k9K_d8SQ-9EJ:scholar.google.com/&scioq=liverwort*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
27,"JM Glime","Photosynthesis in aquatic bryophytes",2013,"Photosynthesis in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_12","https://scholar.google.com/scholar?cites=4651871588568250078&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 14:17:35","","10.1007/978-94-007-6988-5_12","","",,,,,27,2.45,27,1,11,"… only photosynthetic tissue (bryophytes and algae) compared to those with non-photosynthetic tissue, … For example, within 2 h the aquatic leafy liverworts Plagiochila asplenioides and …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=223","https://scholar.google.com/scholar?q=related:3rZXKZDEjkAJ:scholar.google.com/&scioq=liverwort*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
24,"KE Groen, CR Stieha, PH Crowley, DN McLetchie","Sex-specific plant responses to two light levels in the liverwort Marchantia inflexa (Marchantiaceae)",2010,"The Bryologist","BioOne","https://bioone.org/journals/The-Bryologist/volume-113/issue-1/0007-2745-113.1.81/Sex-specific-plant-responses-to-two-light-levels-in-the/10.1639/0007-2745-113.1.81.short","https://scholar.google.com/scholar?cites=14333249122495337653&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 14:17:35","","10.1639/0007-2745-113.1.81.short","","",,,,,24,1.71,6,4,14,"… The arrangement of the photosynthetic tissue of some … with pores resembles the photosynthetic tissue of tracheophytes (… We predict that analogous structures of air chambered liverworts …","https://www.jstor.org/stable/pdf/40732264.pdf","https://scholar.google.com/scholar?q=related:tZSD1yLu6cYJ:scholar.google.com/&scioq=liverwort*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
2,"R Ligrone, R Ligrone","Land plants",2019,"Biological Innovations that Built the World: A Four …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-16057-9_11","https://scholar.google.com/scholar?cites=12494316165001305778&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-16 14:17:35","","10.1007/978-3-030-16057-9_11","","",,,,,2,0.40,1,2,5,"… Several mosses and liverworts have vascular systems based on capillarity . Water transport … , respectively), which lack photosynthetic tissue and remain almost entirely confined within …","","https://scholar.google.com/scholar?q=related:st5Stlq6ZK0J:scholar.google.com/&scioq=liverwort*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
30,"JA Raven, D Edwards","Photosynthesis in early land plants: adapting to the terrestrial environment",2013,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_3","https://scholar.google.com/scholar?cites=5801348698805690036&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 14:17:35","","10.1007/978-94-007-6988-5_3","","",,,,,30,2.73,15,2,11,"… Comparison of the marchantiaceous liverworts with ventilated crustose or foliose lichens is … per unit photosynthetic tissue and per unit nitrogen in the photosynthetic tissue. A proviso …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=57","https://scholar.google.com/scholar?q=related:tN58mueHglAJ:scholar.google.com/&scioq=liverwort*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
1,"JN Tonkie","Marion Island bryophytes: evidence for functional types based on traits related to photosynthesis and desiccation tolerance",2016,"","scholar.sun.ac.za","https://scholar.sun.ac.za/handle/10019.1/98851","https://scholar.google.com/scholar?cites=17024497549907043325&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 14:17:35","","","","",,,,,1,0.13,1,1,8,"… Some of these studies included only one moss and one liverwort species and so could not … stars’ are mostly species with ventilated photosynthetic tissue in the form of rows of chlorophyll…","https://scholar.sun.ac.za/bitstream/handle/10019.1/98851/tonkie_marion_2016.pdf?sequence=2","https://scholar.google.com/scholar?q=related:_aO3bVIqQ-wJ:scholar.google.com/&scioq=liverwort*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
54,"S Pressel, JG Duckett, R Ligrone…","Effects of de-and rehydration in desiccation-tolerant liverworts: a cytological and physiological study",2009,"… Journal of Plant …","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/595285","https://scholar.google.com/scholar?cites=13138181671680823076&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 14:17:35","","10.1086/595285","","",,,,,54,3.60,14,4,15,"… photosynthetic tissue in the early stages of rewetting and the high levels of NPQ observed in the two leafy liverworts … okahandjana, with its in‐depth photosynthetic tissue but low NPQ, is …","https://scholar.google.com/scholar?output=instlink&q=info:JE8VD58yVLYJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=16194750976113898043&oi=lle","https://scholar.google.com/scholar?q=related:JE8VD58yVLYJ:scholar.google.com/&scioq=liverwort*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
4,"Z Wang, MY Bader, C Pi, Y He, S Guo, W Bao","Does the removal of non-photosynthetic sections lead to a down-regulation of photosynthesis in mosses? A first experiment",2021,"Cryptogamie, Bryologie","BioOne","https://bioone.org/journals/cryptogamie-bryologie/volume-42/issue-7/cryptogamie-bryologie2021v42a7/Does-the-Removal-of-Non-Photosynthetic-Sections-Lead-to-a/10.5252/cryptogamie-bryologie2021v42a7.short","https://scholar.google.com/scholar?cites=11108223661059691935&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 14:17:35","","10.5252/cryptogamie-bryologie2021v42a7.short","","",,,,,4,1.33,1,6,3,"… However, it is not clear how much time is required for the photosynthetic tissue to build up a … processes and their importance among the bryophytes (liverworts as well as mosses). In any …","","https://scholar.google.com/scholar?q=related:n1UN25BWKJoJ:scholar.google.com/&scioq=liverwort*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
215,"R Ligrone, JG Duckett…","Conducting tissues and phyletic relationships of bryophytes",2000,"… Transactions of the …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2000.0616","https://scholar.google.com/scholar?cites=6932980407217796173&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-16 14:17:35","","10.1098/rstb.2000.0616","","",,,,,215,8.96,72,3,24,"… the liverworts is a major character separating liverworts from mosses, including Takakia. Most likely this is functionally related to the fact that the sporophyte seta in liverworts elongates …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1692789/pdf/10905610.pdf","https://scholar.google.com/scholar?q=related:TbT1pvLkNmAJ:scholar.google.com/&scioq=liverwort*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
