Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
92,"H Dziubińska, K Trȩbacz, T Zawadzki","The effect of excitation on the rate of respiration in the liverwort Conocephalum conicum",1989,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.1989.tb04648.x","https://scholar.google.com/scholar?cites=17704399969496412662&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 12:46:52","","10.1111/j.1399-3054.1989.tb04648.x","","",,,,,92,2.63,31,3,35,"… The measurements of the rate of respiration employed a modified Warburg apparatus for O … rise in the rate of respiration. The course of changes in the rate of respiration depends on the …","","https://scholar.google.com/scholar?q=related:9jFFZ_ipsvUJ:scholar.google.com/&scioq=liverwort+respiration&hl=en&as_sdt=2007"
16,"MC Davey","Effects of physical factors on photosynthesis by the Antarctic liverwort Marchantia berteroana",1997,"Polar Biology","Springer","https://link.springer.com/article/10.1007/s003000050125","https://scholar.google.com/scholar?cites=524833109333629951&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 12:46:52","","10.1007/s003000050125","","",,,,,16,0.59,16,1,27,"… Abstract Effects of irradiance, temperature and water availability on respiration and photosynthesis in a maritime Antarctic liverwort, Marchantia berteroana, were investigated. Carbon …","https://link.springer.com/content/pdf/10.1007/s003000050125.pdf","https://scholar.google.com/scholar?q=related:_9sxqO6USAcJ:scholar.google.com/&scioq=liverwort+respiration&hl=en&as_sdt=2007"
54,"H Hanawa, K Ishizaki, K Nohira, D Takagi…","Land plants drive photorespiration as higher electron‐sink: comparative study of post‐illumination transient O2‐uptake rates from liverworts to angiosperms through …",2017,"Physiologia …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/ppl.12580","https://scholar.google.com/scholar?cites=13978964307148453156&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 12:46:52","","10.1111/ppl.12580","","",,,,,54,7.71,11,5,7,"… Day-respiration rate was assumed to be equal to the dark-respiration rate. Then, the … transient O 2 -uptake rate and the dark-respiration rate reflects the photorespiration-dependent post-…","","https://scholar.google.com/scholar?q=related:JLVyP_lB_8EJ:scholar.google.com/&scioq=liverwort+respiration&hl=en&as_sdt=2007"
5,"G Shimakawa, H Hanawa, S Wada, GT Hanke…","Physiological Roles of Flavodiiron Proteins and Photorespiration in the Liverwort Marchantia polymorpha",2021,"Frontiers in Plant …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2021.668805/full","https://scholar.google.com/scholar?cites=13070935369849325896&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 12:46:52","HTML","10.3389/fpls.2021.668805","","",,,,,5,1.67,1,5,3,"… Here, we investigated the physiological roles of FLV and photorespiration for P700 oxidation in the liverwort Marchantia polymorpha by using the mutants deficient in FLV (flv1) at …","https://www.frontiersin.org/articles/10.3389/fpls.2021.668805/full","https://scholar.google.com/scholar?q=related:SEn1UXdKZbUJ:scholar.google.com/&scioq=liverwort+respiration&hl=en&as_sdt=2007"
56,"TGA Green, WP Snelgar","A comparison of photosynthesis in two thalloid liverworts",1982,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00378404","https://scholar.google.com/scholar?cites=18349261288995813504&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-16 12:46:52","","10.1007/BF00378404","","",,,,,56,1.33,28,2,42,"… One object of this investigation was to compare the CO 2 exchange of liverworts with air-chambered and solid thalli which grow in the same habitat. This has not proved to be completely …","https://www.jstor.org/stable/pdf/4216761.pdf","https://scholar.google.com/scholar?q=related:gPhrfeyrpf4J:scholar.google.com/&scioq=liverwort+respiration&hl=en&as_sdt=2007"
18,"J Martínez-Abaigar, E Núñez-Olivera, N Beaucourt","Short-term physiological responses of the aquatic liverwort Jungermannia exsertifolia subsp. cordifolia to KH2PO4 and anoxia",2002,"The bryologist","BioOne","https://bioone.org/journals/The-Bryologist/volume-105/issue-1/0007-2745(2002)105[0086:STPROT]2.0.CO;2/Short-Term-Physiological-Responses-of-the-Aquatic-Liverwort-Jungermannia-exsertifolia/10.1639/0007-2745(2002)105[0086:STPROT]2.0.CO;2.short","https://scholar.google.com/scholar?cites=6760684955256238005&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 12:46:52","","10.1639/0007-2745(2002)105[0086:STPROT]2.0.CO;2.short","","",,,,,18,0.82,6,3,22,"… K concentration (decreases in the rate of dark respiration and in the chlorophyll a/b ratio) … the mitochondrial respiration was blocked. Then, a clear net loss of P from the liverwort tissues …","https://www.jstor.org/stable/pdf/3244825.pdf","https://scholar.google.com/scholar?q=related:tS9grCXH0l0J:scholar.google.com/&scioq=liverwort+respiration&hl=en&as_sdt=2007"
125,"TJK Dilks, MCF Proctor","Comparative experiments on temperature responses of bryophytes: assimilation, respiration and freezing damage",1975,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/pdf/10.1179/jbr.1975.8.3.317","https://scholar.google.com/scholar?cites=9594549860157909285&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 12:46:52","","10.1179/jbr.1975.8.3.317","","",,,,,125,2.55,63,2,49,"(1) Temperature-net assimilation and temperature-respiration curves based on manometric measurements at high carbon dioxide concentrations are presented for twenty-three mosses …","","https://scholar.google.com/scholar?q=related:JWl8gkOwJoUJ:scholar.google.com/&scioq=liverwort+respiration&hl=en&as_sdt=2007"
56,"BJ Fletcher, SJ Brentnall, WP Quick…","BRYOCARB: a process-based model of thallose liverwort carbon isotope fractionation in response to CO2, O2, light and temperature",2006,"… et Cosmochimica Acta","Elsevier","https://www.sciencedirect.com/science/article/pii/S001670370600202X","https://scholar.google.com/scholar?cites=1410380421120218825&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 12:46:52","HTML","","","",,,,,56,3.11,14,4,18,"… of carbon (Δ 13 C) by bryophytes (liverworts and mosses) is strongly dependent on atmospheric … The BRYOCARB model is evaluated against measurements of the response of liverwort …","https://www.sciencedirect.com/science/article/pii/S001670370600202X","https://scholar.google.com/scholar?q=related:yVYJP4WtkhMJ:scholar.google.com/&scioq=liverwort+respiration&hl=en&as_sdt=2007"
61,"KRS Snell, T Kokubun, H Griffiths…","Quantifying the metabolic cost to an Antarctic liverwort of responding to an abrupt increase in UVB radiation exposure",2009,"Global change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2009.01929.x","https://scholar.google.com/scholar?cites=5171209831980545047&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 12:46:52","","10.1111/j.1365-2486.2009.01929.x","","",,,,,61,4.07,15,4,15,"We quantified the metabolic cost to the Antarctic leafy liverwort Cephaloziella varians of responding to an abrupt increase in ultraviolet B (UVB) radiation exposure in the natural …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2486.2009.01929.x","https://scholar.google.com/scholar?q=related:FzQ1pvHTw0cJ:scholar.google.com/&scioq=liverwort+respiration&hl=en&as_sdt=2007"
19,"J Hata, Q Hua, C Yang, K Shimizu, M Taya","Characterization of energy conversion based on metabolic flux analysis in mixotrophic liverwort cells, Marchantia polymorpha",2000,"Biochemical engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1369703X00000760","https://scholar.google.com/scholar?cites=1762176300007261684&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-16 12:46:52","","","","",,,,,19,0.79,4,5,24,"… Under the examined conditions, energy conversion efficiency through respiration was larger than that through photosynthesis, and efficiency of overall energy conversion to ATP was …","https://scholar.google.com/scholar?output=instlink&q=info:9IWLKQKCdBgJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=14906970471841123343&oi=lle","https://scholar.google.com/scholar?q=related:9IWLKQKCdBgJ:scholar.google.com/&scioq=liverwort+respiration&hl=en&as_sdt=2007"
109,"KJ Field, WR Rimington, MI Bidartondo…","Functional analysis of liverworts in dual symbiosis with Glomeromycota and Mucoromycotina fungi under a simulated Palaeozoic CO2 decline",2016,"The ISME …","academic.oup.com","https://academic.oup.com/ismej/article-abstract/10/6/1514/7538232","https://scholar.google.com/scholar?cites=6183529661359184190&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-16 12:46:52","","","","",,,,,109,13.63,27,4,8,"… in the early-diverging liverworts Allisonia and Neohodgsonia at modern … We found enhanced carbon cost to liverworts with … to atmospheric CO 2 among liverwort–fungal symbioses. In …","https://academic.oup.com/ismej/article/10/6/1514/7538232","https://scholar.google.com/scholar?q=related:PtlnG3dP0FUJ:scholar.google.com/&scioq=liverwort+respiration&hl=en&as_sdt=2007"
96,"G Shimakawa, K Ishizaki, S Tsukamoto…","The Liverwort, Marchantia, Drives Alternative Electron Flow Using a Flavodiiron Protein to Protect PSI",2017,"Plant …","academic.oup.com","https://academic.oup.com/plphys/article-abstract/173/3/1636/6115889","https://scholar.google.com/scholar?cites=7364466410816204974&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-16 12:46:52","","","","",,,,,96,13.71,24,4,7,"… Before illumination with actinic light (AL), we determined dark respiration rates to be 1.5 ± 0.5, 1.7 ± 0.7, and 1.6 ± 0.5 µmol oxygen m −2 s −1 in the thalli of Tak-1, ƊMpFlv1, and …","https://academic.oup.com/plphys/article/173/3/1636/6115889","https://scholar.google.com/scholar?q=related:rvD-mC7XM2YJ:scholar.google.com/&scioq=liverwort+respiration&hl=en&as_sdt=2007"
272,"TJK Dilks, MCF Proctor","Photosynthesis, respiration and water content in bryophytes",1979,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1979.tb07564.x","https://scholar.google.com/scholar?cites=4021669804794968020&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-16 12:46:52","","10.1111/j.1469-8137.1979.tb07564.x","","",,,,,272,6.04,136,2,45,"… respiration by manometry. Cubic (or where noted quadratic) regressions have been fitted, excluding outlying groups of points for respiration … The thalloid liverwort Fellia epiphylla [Fig. l(a…","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.1979.tb07564.x","https://scholar.google.com/scholar?q=related:1Pe3NmHXzzcJ:scholar.google.com/&scioq=liverwort+respiration&hl=en&as_sdt=2007"
