Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
96,"G Shimakawa, K Ishizaki, S Tsukamoto…","The Liverwort, Marchantia, Drives Alternative Electron Flow Using a Flavodiiron Protein to Protect PSI",2017,"Plant …","academic.oup.com","https://academic.oup.com/plphys/article-abstract/173/3/1636/6115889","https://scholar.google.com/scholar?cites=7364466410816204974&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 08:44:43","","","","",,,,,96,13.71,24,4,7,"… These facts imply that the photorespiration rate is limited by the supply of oxygen from the atmosphere, and Rubisco cannot turn over at the maximum rate under these conditions. On …","https://academic.oup.com/plphys/article/173/3/1636/6115889","https://scholar.google.com/scholar?q=related:rvD-mC7XM2YJ:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
5,"G Shimakawa, H Hanawa, S Wada, GT Hanke…","Physiological Roles of Flavodiiron Proteins and Photorespiration in the Liverwort Marchantia polymorpha",2021,"Frontiers in Plant …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2021.668805/full","https://scholar.google.com/scholar?cites=13070935369849325896&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 08:44:43","HTML","10.3389/fpls.2021.668805","","",,,,,5,1.67,1,5,3,"… Since the contributions of FLV and photorespiration to the O 2 -dependent electron sink should be related to the amount of Rubisco in the thalli, we assume that photorespiration …","https://www.frontiersin.org/articles/10.3389/fpls.2021.668805/full","https://scholar.google.com/scholar?q=related:SEn1UXdKZbUJ:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
102,"JN Young, REM Rickaby…","Adaptive signals in algal Rubisco reveal a history of ancient atmospheric carbon dioxide",2012,"… Transactions of the …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2011.0145","https://scholar.google.com/scholar?cites=14393659224793849059&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 08:44:43","","10.1098/rstb.2011.0145","","",,,,,102,8.50,34,3,12,"… During oxygenic photosynthesis, Rubisco … Rubisco to discriminate between non-polar, structurally similar substrates of CO 2 and O 2 is determined by the kinetic properties of Rubisco …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3248704/","https://scholar.google.com/scholar?q=related:45zc182MwMcJ:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
3,"DJ Lafferty, TA Robison, A Gunadi…","Biolistics-mediated transformation of hornworts and its application to study pyrenoid protein localization",2024,"Journal of …","academic.oup.com","https://academic.oup.com/jxb/advance-article-abstract/doi/10.1093/jxb/erae243/7680239","https://scholar.google.com/scholar?cites=4510092523167860294&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 08:44:43","","10.1093/jxb/erae243/7680239","","",,,,,3,3.00,1,4,1,"… that are sister to mosses and liverworts. Hornworts have an array … the localization of Rubisco and Rubisco activase in pyrenoids, … on the Rubisco small subunit (RbcS) as well as Rubisco …","https://www.biorxiv.org/content/10.1101/2023.10.23.563637.full.pdf","https://scholar.google.com/scholar?q=related:RsaQG0ERlz4J:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
54,"H Hanawa, K Ishizaki, K Nohira, D Takagi…","Land plants drive photorespiration as higher electron‐sink: comparative study of post‐illumination transient O2‐uptake rates from liverworts to angiosperms through …",2017,"Physiologia …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/ppl.12580","https://scholar.google.com/scholar?cites=13978964307148453156&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-16 08:44:43","","10.1111/ppl.12580","","",,,,,54,7.71,11,5,7,"… for O 2 in the RuBP oxygenation reaction, Rubisco could catalyze the primary reaction of photorespiration; second, the supply of O 2 to Rubisco in chloroplasts from the outside of leaves …","","https://scholar.google.com/scholar?q=related:JLVyP_lB_8EJ:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
49,"D Hanson, TJ Andrews, MR Badger","Variability of the pyrenoid-based CO2 concentrating mechanism in hornworts (Anthocerotophyta)",2002,"Functional Plant Biology","CSIRO Publishing","https://www.publish.csiro.au/FP/PP01210","https://scholar.google.com/scholar?cites=1835367266025864548&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 08:44:43","","","","",,,,,49,2.23,16,3,22,"… liverwort by measuring several physiological characteristics including gas exchange and Rubisco … pyrenoid-lacking genus Megaceros, and the liverwort M. polymorpha L. that lacks a …","","https://scholar.google.com/scholar?q=related:ZP3Z482IeBkJ:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
13,"H Griffiths, K Maxwell, D Richardson, W Robe","Turning the land green: inferring photosynthetic physiology and diffusive limitations in early bryophytes",2004,"The evolution of plant …","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780123395528500020","https://scholar.google.com/scholar?cites=1588075924372856673&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 08:44:43","","","","",,,,,13,0.65,3,4,20,"… liverworts families diversified in moist microclimates beneath angiosperms some 300 Ma later. Rubisco: a … of Rubisco; in C3 plants, this potentially high value of Rubisco fractionation is …","https://scholar.google.com/scholar?output=instlink&q=info:YR-YpKP6CRYJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=15866377753563215570&oi=lle","https://scholar.google.com/scholar?q=related:YR-YpKP6CRYJ:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
19,"J Hata, Q Hua, C Yang, K Shimizu, M Taya","Characterization of energy conversion based on metabolic flux analysis in mixotrophic liverwort cells, Marchantia polymorpha",2000,"Biochemical engineering …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1369703X00000760","https://scholar.google.com/scholar?cites=1762176300007261684&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 08:44:43","","","","",,,,,19,0.79,4,5,24,"… /oxygenase (RubisCO), which is the first enzyme in a series of reactions for photosynthetic CO 2 fixation, is activated by photo irradiation. Indeed, an increase in RubisCO activity was …","https://scholar.google.com/scholar?output=instlink&q=info:9IWLKQKCdBgJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=14906970471841123343&oi=lle","https://scholar.google.com/scholar?q=related:9IWLKQKCdBgJ:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
131,"JC Villarreal, SS Renner","Hornwort pyrenoids, carbon-concentrating structures, evolved and were lost at least five times during the last 100 million years",2012,"Proceedings of the National …","National Acad Sciences","https://www.pnas.org/doi/abs/10.1073/pnas.1213498109","https://scholar.google.com/scholar?cites=5534258480981587939&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 08:44:43","","10.1073/pnas.1213498109","","",,,,,131,10.92,66,2,12,"… Ribulose-1,5-Biphosphate-carboxylase-oxygenase (RuBisCO) … bodies mostly consisting of RuBisCO. We generated a phylogeny … representing early land plants (liverworts, mosses) and …","https://www.pnas.org/doi/full/10.1073/pnas.1213498109","https://scholar.google.com/scholar?q=related:47cZRsSizUwJ:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
1,"CAM Hooijmaijers","Protective mechanisms in New Zealand liverworts",2006,"","researchspace.auckland.ac.nz","https://researchspace.auckland.ac.nz/handle/2292/2095","https://scholar.google.com/scholar?cites=5703336044295346260&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-16 08:44:43","","","","",,,,,1,0.06,1,1,18,"… liverworts from exposed habitats are better equipped to deal with abiotic stressors such as high light and dehydration than liverworts … to play an important role in liverwort protection from …","https://researchspace.auckland.ac.nz/bitstream/handle/2292/2095/02whole.pdf?sequence=2","https://scholar.google.com/scholar?q=related:VNjnKupRJk8J:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
89,"M Carriquí, M Roig‐Oliver, TJ Brodribb…","Anatomical constraints to nonstomatal diffusion conductance and photosynthesis in lycophytes and bryophytes",2019,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15675","https://scholar.google.com/scholar?cites=15130846546578363027&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-16 08:44:43","","10.1111/nph.15675","","",,,,,89,17.80,22,4,5,"… Moreover, the moss Polytrichum juniperinum and the liverwort … liverwort, moss and lycophyte species included in this study … other than Rubisco, but this is yet to be tested empirically. …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15675","https://scholar.google.com/scholar?q=related:k9K_d8SQ-9EJ:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
56,"BJ Fletcher, SJ Brentnall, WP Quick…","BRYOCARB: a process-based model of thallose liverwort carbon isotope fractionation in response to CO2, O2, light and temperature",2006,"… et Cosmochimica Acta","Elsevier","https://www.sciencedirect.com/science/article/pii/S001670370600202X","https://scholar.google.com/scholar?cites=1410380421120218825&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-16 08:44:43","HTML","","","",,,,,56,3.11,14,4,18,"… Finally, we analyze the utility of fossil liverwort Δ 13 C for … by Rubisco (μmol CO 2 m −2 s −1 ), k c and k o are the Michaelis coefficients for carboxylation and oxygenation of Rubisco …","https://www.sciencedirect.com/science/article/pii/S001670370600202X","https://scholar.google.com/scholar?q=related:yVYJP4WtkhMJ:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
0,"T Andersen","Higher CO2 concentrations alleviate growth co-limitation of light, N and P in the aquatic liverwort, Riccia fluitans L.",2006,"Internationale Vereinigung für theoretische und …","Taylor &Francis","https://www.tandfonline.com/doi/pdf/10.1080/03680770.2006.11902999","",13,"2024-07-16 08:44:43","","10.1080/03680770.2006.11902999","","",,,,,0,0.00,0,1,18,"… C02 availability, which increases the substrate for RuBisCO (main carboxylating enzyme in R. jluitans) and also reduces the oxygenase activity in RuBisCO (BOWES 1993, MCKEE &…","","https://scholar.google.com/scholar?q=related:ssYFlvUwDtsJ:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
63,"KC Vaughn, EO Campbell, J Hasegawa, HA Owen…","The pyrenoid is the site of ribulose 1, 5-bisphosphate carboxylase/oxygenase accumulation in the hornwort (Bryophyta: Anthocerotae) chloroplast",1990,"Protoplasma","Springer","https://link.springer.com/article/10.1007/BF01560650","https://scholar.google.com/scholar?cites=835567033595120924&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-16 08:44:43","","10.1007/BF01560650","","",,,,,63,1.85,13,5,34,"… in the presence of RuBisCo; 2) that at least some of the RuBisCo in the pyrenoid must … if RuBisCo is a component of the pyrenoid of the Anthocerotae and also whether, RuBisCo is con…","","https://scholar.google.com/scholar?q=related:HM12P8qHmAsJ:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
6,"T Suzuki, S Takio, K Tanaka, I Yamamoto…","Differential Light Regulation of the rbcS Gene Expression in Two Cell Lines of the Liverwort Marchantia paleacea var. diptera",1999,"Plant and cell …","academic.oup.com","https://academic.oup.com/pcp/article-abstract/40/1/100/1900988","https://scholar.google.com/scholar?cites=10444220088244951138&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-16 08:44:43","","","","",,,,,6,0.24,1,5,25,"… subunit of RuBisCO; RBCS, a rbcS gene product; rbcL, a chloroplastic gene encoding the large subunit of RuBisCO; SSU, small subunit of RuBisCO; LSU, large subunit of RuBisCO. …","https://academic.oup.com/pcp/article-pdf/40/1/100/5367478/40-1-100.pdf","https://scholar.google.com/scholar?q=related:YtjWm9VS8ZAJ:scholar.google.com/&scioq=liverwort+rubisco&hl=en&as_sdt=2007"
