Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"MC Davey","Effects of physical factors on photosynthesis by the Antarctic liverwort Marchantia berteroana",1997,"Polar Biology","Springer","https://link.springer.com/article/10.1007/s003000050125","https://scholar.google.com/scholar?cites=524833109333629951&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 09:50:18","","10.1007/s003000050125","","",,,,,16,0.59,16,1,27,"… , respiratory responses of the thallose liverwort Marchantia berteroana Lehm. et Lindenb. to … water content. The data obtained are used to predict the annual productivity of the liverwort …","https://link.springer.com/content/pdf/10.1007/s003000050125.pdf","https://scholar.google.com/scholar?q=related:_9sxqO6USAcJ:scholar.google.com/&scioq=liverwort+%22water+content%22&hl=en&as_sdt=2007"
9,"MCM Coelho, R Gabriel, C Ah-Peng","Characterizing and quantifying water content in 14 Species of bryophytes present in Azorean Native Vegetation",2023,"Diversity","mdpi.com","https://www.mdpi.com/1424-2818/15/2/295","https://scholar.google.com/scholar?cites=7984613527547866975&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 09:50:18","HTML","","","",,,,,9,9.00,3,3,1,"… This study characterizes and quantifies the ability of six liverworts and eight mosses to retain water… The absolute water content (AWC) was obtained through measurements of specimens …","https://www.mdpi.com/1424-2818/15/2/295","https://scholar.google.com/scholar?q=related:X-9E8rILz24J:scholar.google.com/&scioq=liverwort+%22water+content%22&hl=en&as_sdt=2007"
123,"MCF Proctor, Z Nagy, Z Csintalan…","Water-content components in bryophytes: analysis of pressure-volume relationships",1998,"Journal of Experimental …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/49/328/1845/516255","https://scholar.google.com/scholar?cites=10924727447205011944&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 09:50:18","","","","",,,,,123,4.73,31,4,26,"… potentials related to the size of the capillary spaces turgor water content estimates in … was estimated by eye from the plot of water content on water bags. The thalloid liverworts grew well …","https://academic.oup.com/jxb/article-pdf/49/328/1845/1384516/49-328-1845.pdf","https://scholar.google.com/scholar?q=related:6GGdRrttnJcJ:scholar.google.com/&scioq=liverwort+%22water+content%22&hl=en&as_sdt=2007"
39,"RA Marks, JF Burton, DN McLetchie","Sex differences and plasticity in dehydration tolerance: insight from a tropical liverwort",2016,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/118/2/347/1741345","https://scholar.google.com/scholar?cites=17196637322377347019&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 09:50:18","","","","",,,,,39,4.88,13,3,8,"… Relative water content The relative water content (RWC) of tissue was measured to determine the percentage of water lost by samples in each treatment level. Vegetative tissue of M. …","https://academic.oup.com/aob/article/118/2/347/1741345","https://scholar.google.com/scholar?q=related:y7-Gc4i6pu4J:scholar.google.com/&scioq=liverwort+%22water+content%22&hl=en&as_sdt=2007"
46,"M Proctor","Water-relations parameters of some bryophytes evaluated by thermocouple psychrometry",1999,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.1999.21.4.263","https://scholar.google.com/scholar?cites=11048492021637038391&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-16 09:50:18","","10.1179/jbr.1999.21.4.263","","",,,,,46,1.84,46,1,25,"… and leafy liverworts at full turgor mostly lie in the range -1.0 to -1.5 MPa; multistratose thalloid liverworts … it is impossible to calculate relative water content (R We) values comparable …","https://www.researchgate.net/profile/Michael-Proctor/publication/234166980_Proctor_JBryol_1999_Thermocouple_psychrometry/links/09e4150fbfa768b1d0000000/Proctor-JBryol-1999-Thermocouple-psychrometry.pdf","https://scholar.google.com/scholar?q=related:N8FpzfQgVJkJ:scholar.google.com/&scioq=liverwort+%22water+content%22&hl=en&as_sdt=2007"
56,"TGA Green, WP Snelgar","A comparison of photosynthesis in two thalloid liverworts",1982,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00378404","https://scholar.google.com/scholar?cites=18349261288995813504&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 09:50:18","","10.1007/BF00378404","","",,,,,56,1.33,28,2,42,"… the effect of thallus water content and desiccation on photo… liverworts. A point of particular interest is the diversity in the arrangement of photosynthetic tissues between thalloid liverworts. …","https://www.jstor.org/stable/pdf/4216761.pdf","https://scholar.google.com/scholar?q=related:gPhrfeyrpf4J:scholar.google.com/&scioq=liverwort+%22water+content%22&hl=en&as_sdt=2007"
56,"M Marschall, MCF Proctor","Desiccation tolerance and recovery of the leafy liverwort Porella platyphylla (L.)Pfeiff.: chlorophyll-fluorescence measurements",1999,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.1999.21.4.257","https://scholar.google.com/scholar?cites=614618507425054274&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 09:50:18","","10.1179/jbr.1999.21.4.257","","",,,,,56,2.24,28,2,25,"… In the course of drying both parameters declined as cell water content fell below full turgor, … Fully saturated and blotted samples gave a water content of 227% dw (sd 9% dw). …","https://www.researchgate.net/profile/M-Marschall/publication/281149678_Desiccation_tolerance_and_recovery_of_the_leafy_liverwort_Porella_platyphylla_L_Pfeiff_Chlorophyll-fluorescence_measurements_Journal_of_Bryology/links/5c7e9605299bf1268d3a9173/Desiccation-tolerance-and-recovery-of-the-leafy-liverwort-Porella-platyphylla-L-Pfeiff-Chlorophyll-fluorescence-measurements-Journal-of-Bryology.pdf","https://scholar.google.com/scholar?q=related:Qn5zr0aQhwgJ:scholar.google.com/&scioq=liverwort+%22water+content%22&hl=en&as_sdt=2007"
13,"RK Gupta","A note on photosynthesis in relatin to water content in liverwarts: Porella platyphylla and Scapania undulata",1977,"Australian Journal of Botany","CSIRO Publishing","https://www.publish.csiro.au/BT/BT9770363","https://scholar.google.com/scholar?cites=8730149533218715752&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 09:50:18","","","","",,,,,13,0.28,13,1,47,"… on the variation of photosynthesis with water content after rewetting desiccated shoots (Stilfelt … of photosynthesis and relative water content with water stress in two liverworts, Porella …","","https://scholar.google.com/scholar?q=related:aDiLA7-4J3kJ:scholar.google.com/&scioq=liverwort+%22water+content%22&hl=en&as_sdt=2007"
2,"RP Beckett","The effect of water stress on the liverwort Dumortiera hirsuta measured using thermocouple psychrometry",1993,"South African Journal of Botany","core.ac.uk","https://core.ac.uk/download/pdf/81124347.pdf","https://scholar.google.com/scholar?cites=9958550289193798771&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 09:50:18","PDF","","","",,,,,2,0.06,2,1,31,"… The relative water content of the disks was ca. 92%. Preliminary experiments revealed that this was close to the optimal water content for photosynthesis for these plants. Other …","https://core.ac.uk/download/pdf/81124347.pdf","https://scholar.google.com/scholar?q=related:c4xCsbngM4oJ:scholar.google.com/&scioq=liverwort+%22water+content%22&hl=en&as_sdt=2007"
132,"BJM Robroek, J Limpens, A Breeuwer, MGC Schouten","Effects of water level and temperature on performance of four Sphagnum mosses",2007,"Plant Ecology","Springer","https://link.springer.com/article/10.1007/s11258-006-9193-5","https://scholar.google.com/scholar?cites=9418525009113562440&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-16 09:50:18","","10.1007/s11258-006-9193-5","","",,,,,132,7.76,33,4,17,"… species, we expected that capitulum water content and evaporation of hummock spe… water content were analysed using GLM multivariate analysis of covariance. We included liverwort …","https://link.springer.com/content/pdf/10.1007/s11258-006-9193-5.pdf","https://scholar.google.com/scholar?q=related:SL1YJJhStYIJ:scholar.google.com/&scioq=liverwort+%22water+content%22&hl=en&as_sdt=2007"
