Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
240,"H. Strain","Analytical Procedures for the Isolation, Identification, Estimation, and Investigation of the Chlorophylls",1971,"Methods in Enzymology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0076687971231189","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956990141&origin=inward",1,"2024-07-16 12:39:19","Article","10.1016/S0076-6879(71)23118-9","0076-6879","https://api.elsevier.com/content/abstract/scopus_id/77956990141",23,,452,476,240,4.53,240,1,53,"","",""
195,"B. Wang","Presence of three mycorrhizal genes in the common ancestor of land plants suggests a key role of mycorrhizas in the colonization of land by plants",2010,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954731886&origin=inward",2,"2024-07-16 12:39:19","Article","10.1111/j.1469-8137.2009.03137.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/77954731886",186,2,514,525,195,13.93,195,1,14,"","",""
87,"H. Oh-oka","The protein responsible for center a/b in spinach photosystem I: Isolation with iron-sulfur cluster(s) and complete sequence analysis",1988,"Journal of Biochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024022734&origin=inward",3,"2024-07-16 12:39:19","Article","10.1093/oxfordjournals.jbchem.a122394","0021-924X","https://api.elsevier.com/content/abstract/scopus_id/0024022734",103,6,962,968,87,2.42,87,1,36,"","",""
72,"V. Carginale","Accumulation, localisation, and toxic effects of cadmium in the liverwort Lunularia cruciata",2004,"Protoplasma","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1542289009&origin=inward",4,"2024-07-16 12:39:19","Article","10.1007/s00709-003-0028-0","0033-183X","https://api.elsevier.com/content/abstract/scopus_id/1542289009",223,1,53,61,72,3.60,72,1,20,"","",""
54,"S. Pursiheimo","Thylakoid protein phosphorylation in evolutionally divergent species with oxygenic photosynthesis",1998,"FEBS Letters","","https://api.elsevier.com/content/article/eid/1-s2.0-S001457939800088X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032548785&origin=inward",5,"2024-07-16 12:39:19","Article","10.1016/S0014-5793(98)00088-X","0014-5793","https://api.elsevier.com/content/abstract/scopus_id/0032548785",423,2,178,182,54,2.08,54,1,26,"","",""
50,"S. Studlar","Host specificity of epiphytic bryophytes near Mountain Lake, Virginia.",1982,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020426451&origin=inward",6,"2024-07-16 12:39:19","Article","10.2307/3243139","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/0020426451",85,1,37,50,50,1.19,50,1,42,"","",""
35,"M. Mallen-Cooper","Laboratory-based techniques for assessing the functional traits of biocrusts",2016,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962275003&origin=inward",7,"2024-07-16 12:39:19","Article","10.1007/s11104-016-2870-9","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/84962275003",406,1,131,143,35,4.38,35,1,8,"","",""
32,"S. Otero","Effects of cadmium and enhanced UV radiation on the physiology and the concentration of UV-absorbing compounds of the aquatic liverwort Jungermannia exsertifolia subsp. Cordifolia",2006,"Photochemical and Photobiological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33746921620&origin=inward",8,"2024-07-16 12:39:19","Article","10.1039/b601105e","1474-905X","https://api.elsevier.com/content/abstract/scopus_id/33746921620",5,8,760,769,32,1.78,32,1,18,"","",""
32,"J.M. Herrero-Martínez","Determination of L-ascorbic acid and total ascorbic acid in vascular and nonvascular plants by capillary zone electrophoresis",1998,"Analytical Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0003269798928615","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0344699396&origin=inward",9,"2024-07-16 12:39:19","Article","10.1006/abio.1998.2861","0003-2697","https://api.elsevier.com/content/abstract/scopus_id/0344699396",265,2,275,281,32,1.23,32,1,26,"","",""
31,"K. Newsham","The biology and ecology of the liverwort Cephaloziella varians in Antarctica",2010,"Antarctic Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954243766&origin=inward",10,"2024-07-16 12:39:19","Article","10.1017/S0954102009990630","0954-1020","https://api.elsevier.com/content/abstract/scopus_id/77954243766",22,2,131,143,31,2.21,31,1,14,"","",""
