Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
244,"B. Büdel","Southern african biological soil crusts are ubiquitous and highly diverse in drylands, being restricted by rainfall frequency",2009,"Microbial Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=59549097087&origin=inward",1,"2024-07-16 12:40:32","Article","10.1007/s00248-008-9449-9","0095-3628","https://api.elsevier.com/content/abstract/scopus_id/59549097087",57,2,229,247,244,16.27,244,1,15,"","",""
240,"H. Strain","Analytical Procedures for the Isolation, Identification, Estimation, and Investigation of the Chlorophylls",1971,"Methods in Enzymology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0076687971231189","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956990141&origin=inward",2,"2024-07-16 12:40:32","Article","10.1016/S0076-6879(71)23118-9","0076-6879","https://api.elsevier.com/content/abstract/scopus_id/77956990141",23,,452,476,240,4.53,240,1,53,"","",""
211,"M. Marschall","Are bryophytes shade plants? Photosynthetic light responses and proportions of chlorophyll a, chlorophyll b and total carotenoids",2004,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=8344285636&origin=inward",3,"2024-07-16 12:40:32","Article","10.1093/aob/mch178","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/8344285636",94,4,593,603,211,10.55,211,1,20,"","",""
158,"M. Ikeuchi","A new photosystem II reaction center component (4.8 kDa protein) encoded by chloroplast genome",1988,"FEBS Letters","","https://api.elsevier.com/content/article/eid/1-s2.0-0014579388810391","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024279561&origin=inward",4,"2024-07-16 12:40:32","Article","10.1016/0014-5793(88)81039-1","0014-5793","https://api.elsevier.com/content/abstract/scopus_id/0024279561",241,1,99,104,158,4.39,158,1,36,"","",""
129,"A. Wood","Invited essay: New frontiers in bryology and lichenology: The nature and distribution of vegetative desiccation-tolerance in hornworts, liverworts and mosses",2007,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34248591481&origin=inward",5,"2024-07-16 12:40:32","Review","10.1639/0007-2745(2007)110[163:IENFIB]2.0.CO;2","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/34248591481",110,2,163,177,129,7.59,129,1,17,"","",""
127,"K. Shakya","Impact of heavy metals (copper, zinc, and lead) on the chlorophyll content of some mosses",2008,"Archives of Environmental Contamination and Toxicology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=40549086563&origin=inward",6,"2024-07-16 12:40:32","Article","10.1007/s00244-007-9060-y","0090-4341","https://api.elsevier.com/content/abstract/scopus_id/40549086563",54,3,412,421,127,7.94,127,1,16,"","",""
124,"Y. Fujii","Phototropin perceives temperature based on the lifetime of its photoactivated state",2017,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85027857759&origin=inward",7,"2024-07-16 12:40:32","Article","10.1073/pnas.1704462114","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/85027857759",114,34,9206,9211,124,17.71,124,1,7,"","",""
118,"C. Morden","psbA genes indicate common ancestry of prochlorophytes and chloroplasts",1989,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024978846&origin=inward",8,"2024-07-16 12:40:32","Article","10.1038/337382a0","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0024978846",337,6205,382,385,118,3.37,118,1,35,"","",""
96,"Y. Fujita","The nifH-like (frxC) gene is involved in the biosynthesis of chlorophyll in the filamentous cyanobacterium plectonema boryanum",1992,"Plant and Cell Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0001916527&origin=inward",9,"2024-07-16 12:40:32","Article","","0032-0781","https://api.elsevier.com/content/abstract/scopus_id/0001916527",33,1,81,92,96,3.00,96,1,32,"","",""
93,"K.K. Newsham","Response of two Antarctic bryophytes to stratospheric ozone depletion",2002,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036784976&origin=inward",10,"2024-07-16 12:40:32","Article","10.1046/j.1365-2486.2002.00509.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/0036784976",8,10,972,983,93,4.23,93,1,22,"","",""
