Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
122,"W. Hartung","The evolution of abscisic acid (ABA) and ABA function in lower plants, fungi and lichen",2010,"Functional Plant Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956298295&origin=inward",1,"2024-07-16 10:35:48","Review","10.1071/FP10058","1445-4408","https://api.elsevier.com/content/abstract/scopus_id/77956298295",37,9,806,812,122,8.71,122,1,14,"","",""
84,"E. Muszyńska","Dual role of metallic trace elements in stress biology—from negative to beneficial impact on plants",2019,"International Journal of Molecular Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068664780&origin=inward",2,"2024-07-16 10:35:48","Review","10.3390/ijms20133117","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85068664780",20,13,,,84,16.80,84,1,5,"","",""
74,"S. Rice","Functional significance of variation in bryophyte canopy structure",2001,"American Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000630961&origin=inward",3,"2024-07-16 10:35:48","Article","10.2307/3558400","0002-9122","https://api.elsevier.com/content/abstract/scopus_id/0000630961",88,9,1568,1576,74,3.22,74,1,23,"","",""
61,"H. Felle","A study of the primary effect of the uncoupler carbonyl cyanide m-chlorophenylhydrazone on membrane potential and conductance in Riccia fluitans",1977,"BBA - Biomembranes","","https://api.elsevier.com/content/article/eid/1-s2.0-0005273677903807","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0017369419&origin=inward",4,"2024-07-16 10:35:48","Article","10.1016/0005-2736(77)90380-7","0005-2736","https://api.elsevier.com/content/abstract/scopus_id/0017369419",464,1,179,187,61,1.30,61,1,47,"","",""
47,"M. Meyer","To concentrate or ventilate? Carbon acquisition, isotope discrimination and physiological ecology of early land plant life forms",2008,"Philosophical Transactions of the Royal Society B: Biological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=47249105012&origin=inward",5,"2024-07-16 10:35:48","Conference Paper","10.1098/rstb.2008.0039","0962-8436","https://api.elsevier.com/content/abstract/scopus_id/47249105012",363,1504,2767,2778,47,2.94,47,1,16,"","",""
46,"E. Krol","Low-temperature induced transmembrane potential changes in the liverwort Conocephalum conicum",2003,"Plant and Cell Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0038685761&origin=inward",6,"2024-07-16 10:35:48","Article","10.1093/pcp/pcg070","0032-0781","https://api.elsevier.com/content/abstract/scopus_id/0038685761",44,5,527,533,46,2.19,46,1,21,"","",""
46,"H. Felle","A study of the current-voltage relationships of electrogenetic active and passive membrane elements in riccia fluitans",1981,"BBA - Biomembranes","","https://api.elsevier.com/content/article/eid/1-s2.0-0005273681902820","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0019874179&origin=inward",7,"2024-07-16 10:35:48","Article","10.1016/0005-2736(81)90282-0","0005-2736","https://api.elsevier.com/content/abstract/scopus_id/0019874179",646,1,151,160,46,1.07,46,1,43,"","",""
42,"H. Felle","Stereospecificity and electrogenicity of amino acid transport in Riccia fluitans",1981,"Planta","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000975597&origin=inward",8,"2024-07-16 10:35:48","Article","10.1007/BF00380821","0032-0935","https://api.elsevier.com/content/abstract/scopus_id/0000975597",152,6,505,512,42,0.98,42,1,43,"","",""
40,"H. Felle","Effect of light upon membrane potential, conductance, and ion fluxes in Riccia fluitans",1976,"The Journal of Membrane Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0017116323&origin=inward",9,"2024-07-16 10:35:48","Article","10.1007/BF01869134","0022-2631","https://api.elsevier.com/content/abstract/scopus_id/0017116323",27,1,153,170,40,0.83,40,1,48,"","",""
34,"H. Felle","Amine transport at the plasmalemma of Riccia fluitans",1980,"Biochimica et Biophysica Acta - Biomembranes","","https://api.elsevier.com/content/article/eid/1-s2.0-0005273680903004","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0019327173&origin=inward",10,"2024-07-16 10:35:48","Article","10.1016/0005-2736(80)90300-4","0005-2736","https://api.elsevier.com/content/abstract/scopus_id/0019327173",602,1,181,195,34,0.77,34,1,44,"","",""
32,"H. Felle","Hexose transport and membrane depolarization in Riccia fluitans",1980,"Planta","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0001117553&origin=inward",11,"2024-07-16 10:35:48","Article","10.1007/BF00380190","0032-0935","https://api.elsevier.com/content/abstract/scopus_id/0001117553",147,5,471,476,32,0.73,32,1,44,"","",""
23,"H. Felle","Phlorizin inhibits hexose transport across the plasmalemma of Riccia fluitans",1983,"Planta","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0006231380&origin=inward",12,"2024-07-16 10:35:48","Article","10.1007/BF00405192","0032-0935","https://api.elsevier.com/content/abstract/scopus_id/0006231380",157,3,267,270,23,0.56,23,1,41,"","",""
20,"J.A. Raven","New perspectives in the biophysics and physiology of bryophytes",2018,"Bryology for the Twenty-first Century","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85130099324&origin=inward",13,"2024-07-16 10:35:48","Book Chapter","","","https://api.elsevier.com/content/abstract/scopus_id/85130099324",,,261,275,20,3.33,20,1,6,"","",""
12,"H. Felle","The regulation of proton/amino acid symport in Riccia fluitans L. by cytosolic ph and proton pump activity",1990,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0001577794&origin=inward",14,"2024-07-16 10:35:48","Article","10.1093/jxb/41.5.587","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/0001577794",41,5,587,592,12,0.35,12,1,34,"","",""
11,"R.V. Thummel","Evolution of phytolith deposition in modern bryophytes, and implications for the fossil record and influence on silica cycle in early land plant evolution",2019,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057269780&origin=inward",15,"2024-07-16 10:35:48","Article","10.1111/nph.15559","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/85057269780",221,4,2273,2285,11,2.20,11,1,5,"","",""
