Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
121,"A. Acebey","Species richness and habitat diversification of bryophytes in submontane rain forest and fallows of Bolivia",2003,"Journal of Tropical Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037263367&origin=inward",1,"2024-07-16 14:16:56","Article","10.1017/S026646740300302X","0266-4674","https://api.elsevier.com/content/abstract/scopus_id/0037263367",19,1,9,18,121,5.76,121,1,21,"","",""
102,"N. Fenton","Bryophyte (moss and liverwort) conservation under remnant canopy in managed forests",2005,"Biological Conservation","","https://api.elsevier.com/content/article/eid/1-s2.0-S0006320704003982","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=9644260627&origin=inward",2,"2024-07-16 14:16:56","Article","10.1016/j.biocon.2004.09.003","0006-3207","https://api.elsevier.com/content/abstract/scopus_id/9644260627",122,3,417,430,102,5.37,102,1,19,"","",""
72,"S. Mota De Oliveira","Niche assembly of epiphytic bryophyte communities in the Guianas: A regional approach",2009,"Journal of Biogeography","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70350135013&origin=inward",3,"2024-07-16 14:16:56","Article","10.1111/j.1365-2699.2009.02144.x","0305-0270","https://api.elsevier.com/content/abstract/scopus_id/70350135013",36,11,2076,2084,72,4.80,72,1,15,"","",""
71,"M. Proctor","Stable carbon isotope discrimination measurements in Sphagnum and other bryophytes: Physiological and ecological implications",1992,"Journal of Bryology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027011156&origin=inward",4,"2024-07-16 14:16:56","Article","10.1179/jbr.1992.17.2.193","0373-6687","https://api.elsevier.com/content/abstract/scopus_id/0027011156",17,2,193,202,71,2.22,71,1,32,"","",""
62,"W. Ellyson","Epiphyte Communities on Sitka Spruce in an Old-Growth Redwood Forest",2003,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0142092365&origin=inward",5,"2024-07-16 14:16:56","Review","10.1639/0007-2745(2003)106[0197:ECOSSI]2.0.CO;2","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/0142092365",106,2,197,211,62,2.95,62,1,21,"","",""
60,"S. Pellerin","Long-term effects of deer browsing and trampling on the vegetation of peatlands",2006,"Biological Conservation","","https://api.elsevier.com/content/article/eid/1-s2.0-S0006320705004027","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=29844434464&origin=inward",6,"2024-07-16 14:16:56","Article","10.1016/j.biocon.2005.09.039","0006-3207","https://api.elsevier.com/content/abstract/scopus_id/29844434464",128,3,316,326,60,3.33,60,1,18,"","",""
52,"D.L. Kelly","The epiphyte communities of a montane rain forest in the Andes of Venezuela: Patterns in the distribution of the flora",2004,"Journal of Tropical Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=7944222853&origin=inward",7,"2024-07-16 14:16:56","Article","10.1017/S0266467404001671","0266-4674","https://api.elsevier.com/content/abstract/scopus_id/7944222853",20,6,643,666,52,2.60,52,1,20,"","",""
48,"J.M. González-Mancebo","Host specificity of epiphytic bryophyte communities of a laurel forest on Tenerife (Canary Islands, Spain)",2003,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0043287899&origin=inward",8,"2024-07-16 14:16:56","Article","10.1639/04","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/0043287899",106,3,383,394,48,2.29,48,1,21,"","",""
46,"S.M. de Oliveira","Bryophyte communities in the Amazon forest are regulated by height on the host tree and site elevation",2015,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84922802042&origin=inward",9,"2024-07-16 14:16:56","Article","10.1111/1365-2745.12359","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/84922802042",103,2,441,450,46,5.11,46,1,9,"","",""
35,"M. Mallen-Cooper","Laboratory-based techniques for assessing the functional traits of biocrusts",2016,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962275003&origin=inward",10,"2024-07-16 14:16:56","Article","10.1007/s11104-016-2870-9","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/84962275003",406,1,131,143,35,4.38,35,1,8,"","",""
35,"R. Botting","Macrolichen and bryophyte responses to coarse woody debris characteristics in sub-boreal spruce forest",2009,"Forest Ecology and Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0378112709006136","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=71649105825&origin=inward",11,"2024-07-16 14:16:56","Article","10.1016/j.foreco.2009.08.036","0378-1127","https://api.elsevier.com/content/abstract/scopus_id/71649105825",258,,,,35,2.33,35,1,15,"","",""
29,"M. Arróniz-Crespo","Impacts of long-term enhanced UV-B radiation on bryophytes in two sub-Arctic heathland sites of contrasting water availability",2011,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80051977671&origin=inward",12,"2024-07-16 14:16:56","Article","10.1093/aob/mcr178","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/80051977671",108,3,557,565,29,2.23,29,1,13,"","",""
28,"S. de Oliveira","Floristic overview of the epiphytic bryophytes of terra firme forests across the amazon basin",2013,"Acta Botanica Brasilica","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84880845793&origin=inward",13,"2024-07-16 14:16:56","Article","10.1590/S0102-33062013000200010","0102-3306","https://api.elsevier.com/content/abstract/scopus_id/84880845793",27,2,347,363,28,2.55,28,1,11,"","",""
