Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
775,"J.L. Bowman","Insights into Land Plant Evolution Garnered from the Marchantia polymorpha Genome",2017,"Cell","","https://api.elsevier.com/content/article/eid/1-s2.0-S0092867417311248","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85030527411&origin=inward",1,"2024-07-16 10:38:54","Article","10.1016/j.cell.2017.09.030","0092-8674","https://api.elsevier.com/content/abstract/scopus_id/85030527411",171,2,287,304,775,110.71,775,1,7,"","",""
559,"L.O. Hanuš","Phytocannabinoids: A unified critical inventory",2016,"Natural Product Reports","","https://api.elsevier.com/content/article/eid/1-s2.0-S0265056822006559","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84998673685&origin=inward",2,"2024-07-16 10:38:54","Review","10.1039/c6np00074f","0265-0568","https://api.elsevier.com/content/abstract/scopus_id/84998673685",33,12,1357,1392,559,69.88,559,1,8,"","",""
285,"W. Dodds","THE ECOLOGY OF NOSTOC",1995,"Journal of Phycology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028992718&origin=inward",3,"2024-07-16 10:38:54","Article","10.1111/j.0022-3646.1995.00002.x","0022-3646","https://api.elsevier.com/content/abstract/scopus_id/0028992718",31,1,2,18,285,9.83,285,1,29,"","",""
240,"H. Strain","Analytical Procedures for the Isolation, Identification, Estimation, and Investigation of the Chlorophylls",1971,"Methods in Enzymology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0076687971231189","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956990141&origin=inward",4,"2024-07-16 10:38:54","Article","10.1016/S0076-6879(71)23118-9","0076-6879","https://api.elsevier.com/content/abstract/scopus_id/77956990141",23,,452,476,240,4.53,240,1,53,"","",""
229,"P.J. Mulholland","Nitrogen cycling in a forest stream determined by a <sup>15</sup>N tracer addition",2000,"Ecological Monographs","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033820906&origin=inward",5,"2024-07-16 10:38:54","Article","10.1890/0012-9615(2000)070[0471:nciafs]2.0.co;2","0012-9615","https://api.elsevier.com/content/abstract/scopus_id/0033820906",70,3,471,493,229,9.54,229,1,24,"","",""
226,"J.W. Humphrey","Lichens and bryophyte communities of planted and semi-natural forests in Britain: The influence of site type, stand structure and deadwood",2002,"Biological Conservation","","https://api.elsevier.com/content/article/eid/1-s2.0-S0006320702000575","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036284657&origin=inward",6,"2024-07-16 10:38:54","Article","10.1016/S0006-3207(02)00057-5","0006-3207","https://api.elsevier.com/content/abstract/scopus_id/0036284657",107,2,165,180,226,10.27,226,1,22,"","",""
211,"M. Marschall","Are bryophytes shade plants? Photosynthetic light responses and proportions of chlorophyll a, chlorophyll b and total carotenoids",2004,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=8344285636&origin=inward",7,"2024-07-16 10:38:54","Article","10.1093/aob/mch178","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/8344285636",94,4,593,603,211,10.55,211,1,20,"","",""
147,"K.R. Markham","An increase in the luteolin: Apigenin ratio in Marchantia polymorpha on UV-B enhancement",1998,"Phytochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0031942297008753","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032126537&origin=inward",8,"2024-07-16 10:38:54","Article","10.1016/S0031-9422(97)00875-3","0031-9422","https://api.elsevier.com/content/abstract/scopus_id/0032126537",48,5,791,794,147,5.65,147,1,26,"","",""
129,"F.W. Li","Phytochrome diversity in green plants and the origin of canonical plant phytochromes",2015,"Nature Communications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84938151122&origin=inward",9,"2024-07-16 10:38:54","Article","10.1038/ncomms8852","2041-1723","https://api.elsevier.com/content/abstract/scopus_id/84938151122",6,,,,129,14.33,129,1,9,"","",""
124,"Y. Fujii","Phototropin perceives temperature based on the lifetime of its photoactivated state",2017,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85027857759&origin=inward",10,"2024-07-16 10:38:54","Article","10.1073/pnas.1704462114","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/85027857759",114,34,9206,9211,124,17.71,124,1,7,"","",""
117,"K. Terasawa","The mitochondrial genome of the moss physcomitrella patens sheds new light on mitochondrial evolution in land plants",2007,"Molecular Biology and Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33847669179&origin=inward",11,"2024-07-16 10:38:54","Article","10.1093/molbev/msl198","0737-4038","https://api.elsevier.com/content/abstract/scopus_id/33847669179",24,3,699,709,117,6.88,117,1,17,"","",""
97,"R.S. CLYMO","REGENERATION OF SPHAGNUM",1986,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0022833097&origin=inward",12,"2024-07-16 10:38:54","Article","10.1111/j.1469-8137.1986.tb00834.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0022833097",102,4,589,614,97,2.55,97,1,38,"","",""
96,"K. Ohyama","Structure and organization of Marchantia polymorpha chloroplast genome. I. Cloning and gene identification",1988,"Journal of Molecular Biology","","https://api.elsevier.com/content/article/eid/1-s2.0-0022283688900010","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=17644438923&origin=inward",13,"2024-07-16 10:38:54","Article","10.1016/0022-2836(88)90001-0","0022-2836","https://api.elsevier.com/content/abstract/scopus_id/17644438923",203,2,281,298,96,2.67,96,1,36,"","",""
