Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
490,"D.J. Eldridge","Microbiotic soil crusts: A review of their roles in soil and ecological processes in the rangelands of australia",1994,"Australian Journal of Soil Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028159467&origin=inward",1,"2024-07-16 10:34:46","Article","10.1071/SR9940389","0004-9573","https://api.elsevier.com/content/abstract/scopus_id/0028159467",32,3,389,415,490,16.33,490,1,30,"","",""
349,"J.H.C. Cornelissen","Comparative cryptogam ecology: A review of bryophyte and lichen traits that drive biogeochemistry",2007,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34548458597&origin=inward",2,"2024-07-16 10:34:46","Review","10.1093/aob/mcm030","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/34548458597",99,5,987,1001,349,20.53,349,1,17,"","",""
286,"A.N. Rai","Cyanobacterium - Plant symbioses",2000,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033776939&origin=inward",3,"2024-07-16 10:34:46","Review","10.1046/j.1469-8137.2000.00720.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0033776939",147,3,449,481,286,11.92,286,1,24,"","",""
285,"W. Dodds","THE ECOLOGY OF NOSTOC",1995,"Journal of Phycology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028992718&origin=inward",4,"2024-07-16 10:34:46","Article","10.1111/j.0022-3646.1995.00002.x","0022-3646","https://api.elsevier.com/content/abstract/scopus_id/0028992718",31,1,2,18,285,9.83,285,1,29,"","",""
277,"P. Lesica","Differences in lichen and bryophyte communities between old-growth and managed second-growth forests in the Swan Valley, Montana",1991,"Canadian Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026293380&origin=inward",5,"2024-07-16 10:34:46","Article","10.1139/b91-222","0008-4026","https://api.elsevier.com/content/abstract/scopus_id/0026293380",69,8,1745,1755,277,8.39,277,1,33,"","",""
244,"B. Büdel","Southern african biological soil crusts are ubiquitous and highly diverse in drylands, being restricted by rainfall frequency",2009,"Microbial Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=59549097087&origin=inward",6,"2024-07-16 10:34:46","Article","10.1007/s00248-008-9449-9","0095-3628","https://api.elsevier.com/content/abstract/scopus_id/59549097087",57,2,229,247,244,16.27,244,1,15,"","",""
229,"P.J. Mulholland","Nitrogen cycling in a forest stream determined by a <sup>15</sup>N tracer addition",2000,"Ecological Monographs","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033820906&origin=inward",7,"2024-07-16 10:34:46","Article","10.1890/0012-9615(2000)070[0471:nciafs]2.0.co;2","0012-9615","https://api.elsevier.com/content/abstract/scopus_id/0033820906",70,3,471,493,229,9.54,229,1,24,"","",""
210,"F. Maestre","Ecology and functional roles of biological soil crusts in semi-arid ecosystems of Spain",2011,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196310003459","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80053125303&origin=inward",8,"2024-07-16 10:34:46","Article","10.1016/j.jaridenv.2010.12.008","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/80053125303",75,12,1282,1291,210,16.15,210,1,13,"","",""
175,"S. Lang","An experimental comparison of chemical traits and litter decomposition rates in a diverse range of subarctic bryophyte, lichen and vascular plant species",2009,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=68849113226&origin=inward",9,"2024-07-16 10:34:46","Article","10.1111/j.1365-2745.2009.01538.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/68849113226",97,5,886,900,175,11.67,175,1,15,"","",""
169,"C. Humphreys","Mutualistic mycorrhiza-like symbiosis in the most ancient group of land plants",2010,"Nature Communications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650131065&origin=inward",10,"2024-07-16 10:34:46","Article","10.1038/ncomms1105","2041-1723","https://api.elsevier.com/content/abstract/scopus_id/78650131065",1,8,,,169,12.07,169,1,14,"","",""
152,"D.G. Adams","Cyanobacteria-bryophyte symbioses",2008,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=43049155050&origin=inward",11,"2024-07-16 10:34:46","Conference Paper","10.1093/jxb/ern005","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/43049155050",59,5,1047,1058,152,9.50,152,1,16,"","",""
136,"K. Field","First evidence of mutualism between ancient plant lineages (Haplomitriopsida liverworts) and Mucoromycotina fungi and its response to simulated Palaeozoic changes in atmospheric CO<inf>2</inf>",2015,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84919683107&origin=inward",12,"2024-07-16 10:34:46","Article","10.1111/nph.13024","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84919683107",205,2,743,756,136,15.11,136,1,9,"","",""
136,"P.W. Hunt","Expression and evolution of functionally distinct haemoglobin genes in plants",2001,"Plant Molecular Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035167333&origin=inward",13,"2024-07-16 10:34:46","Article","10.1023/A:1012440926982","0167-4412","https://api.elsevier.com/content/abstract/scopus_id/0035167333",47,5,677,692,136,5.91,136,1,23,"","",""
96,"Y. Fujita","The nifH-like (frxC) gene is involved in the biosynthesis of chlorophyll in the filamentous cyanobacterium plectonema boryanum",1992,"Plant and Cell Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0001916527&origin=inward",14,"2024-07-16 10:34:46","Article","","0032-0781","https://api.elsevier.com/content/abstract/scopus_id/0001916527",33,1,81,92,96,3.00,96,1,32,"","",""
85,"Y. Asakawa","Liverworts-potential source of medicinal compounds",2008,"Current Pharmaceutical Design","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=57349180338&origin=inward",15,"2024-07-16 10:34:46","Review","10.2174/138161208786404272","1381-6128","https://api.elsevier.com/content/abstract/scopus_id/57349180338",14,29,3067,3088,85,5.31,85,1,16,"","",""
71,"W. Liu","Nutrient fluxes in bulk precipitation, throughfall and stemflow in montane subtropical moist forest on Ailao Mountains in Yunnan, south-west China",2002,"Journal of Tropical Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036335046&origin=inward",16,"2024-07-16 10:34:46","Article","10.1017/S0266467402002353","0266-4674","https://api.elsevier.com/content/abstract/scopus_id/0036335046",18,4,527,548,71,3.23,71,1,22,"","",""
