Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
349,"J.H.C. Cornelissen","Comparative cryptogam ecology: A review of bryophyte and lichen traits that drive biogeochemistry",2007,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34548458597&origin=inward",1,"2024-07-16 14:16:16","Review","10.1093/aob/mcm030","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/34548458597",99,5,987,1001,349,20.53,349,1,17,"","",""
286,"A.N. Rai","Cyanobacterium - Plant symbioses",2000,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033776939&origin=inward",2,"2024-07-16 14:16:16","Review","10.1046/j.1469-8137.2000.00720.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0033776939",147,3,449,481,286,11.92,286,1,24,"","",""
285,"W. Dodds","THE ECOLOGY OF NOSTOC",1995,"Journal of Phycology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028992718&origin=inward",3,"2024-07-16 14:16:16","Article","10.1111/j.0022-3646.1995.00002.x","0022-3646","https://api.elsevier.com/content/abstract/scopus_id/0028992718",31,1,2,18,285,9.83,285,1,29,"","",""
152,"D.G. Adams","Cyanobacteria-bryophyte symbioses",2008,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=43049155050&origin=inward",4,"2024-07-16 14:16:16","Conference Paper","10.1093/jxb/ern005","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/43049155050",59,5,1047,1058,152,9.50,152,1,16,"","",""
96,"Y. Fujita","The nifH-like (frxC) gene is involved in the biosynthesis of chlorophyll in the filamentous cyanobacterium plectonema boryanum",1992,"Plant and Cell Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0001916527&origin=inward",5,"2024-07-16 14:16:16","Article","","0032-0781","https://api.elsevier.com/content/abstract/scopus_id/0001916527",33,1,81,92,96,3.00,96,1,32,"","",""
68,"J.J. Knack","Microbiomes of streptophyte algae and bryophytes suggest that a functional suite of microbiota fostered plant colonization of land",2015,"International Journal of Plant Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929307930&origin=inward",6,"2024-07-16 14:16:16","Article","10.1086/681161","1058-5893","https://api.elsevier.com/content/abstract/scopus_id/84929307930",176,5,405,420,68,7.56,68,1,9,"","",""
62,"L. Björn","Stratospheric ozone, ultraviolet radiation, and cryptogams",2007,"Biological Conservation","","https://api.elsevier.com/content/article/eid/1-s2.0-S0006320706004290","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845981046&origin=inward",7,"2024-07-16 14:16:16","Review","10.1016/j.biocon.2006.10.006","0006-3207","https://api.elsevier.com/content/abstract/scopus_id/33845981046",135,3,326,333,62,3.65,62,1,17,"","",""
61,"K.S. Gavazov","Isotopic analysis of cyanobacterial nitrogen fixation associated with subarctic lichen and bryophyte species",2010,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954689867&origin=inward",8,"2024-07-16 14:16:16","Article","10.1007/s11104-010-0374-6","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/77954689867",333,1,507,517,61,4.36,61,1,14,"","",""
60,"W.D.P. Stewart","Cyanobacteria-eukaryotic plant symbioses",1983,"Annales de l'Institut Pasteur Microbiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0769260983801069","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020791808&origin=inward",9,"2024-07-16 14:16:16","Article","10.1016/S0769-2609(83)80106-9","0769-2609","https://api.elsevier.com/content/abstract/scopus_id/0020791808",134,1,205,228,60,1.46,60,1,41,"","",""
49,"W.D.P. STEWART","THE CYANOPHYTE‐HEPATIC SYMBIOSIS II. NITROGEN FIXATION AND THE INTERCHANGE OF NITROGEN AND CARBON",1977,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84981607008&origin=inward",10,"2024-07-16 14:16:16","Article","10.1111/j.1469-8137.1977.tb04852.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84981607008",78,2,459,471,49,1.04,49,1,47,"","",""
