Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
367,"M.C.F. Proctor","Desiccation-tolerance in bryophytes: A review",2007,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35448946453&origin=inward",1,"2024-07-16 10:33:08","Review","10.1639/0007-2745(2007)110[595:DIBAR]2.0.CO;2","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/35448946453",110,4,595,621,367,21.59,367,1,17,"","",""
286,"A.N. Rai","Cyanobacterium - Plant symbioses",2000,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033776939&origin=inward",2,"2024-07-16 10:33:08","Review","10.1046/j.1469-8137.2000.00720.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0033776939",147,3,449,481,286,11.92,286,1,24,"","",""
236,"J.A. Raven","Selection pressures on stomatal evolution",2002,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036185886&origin=inward",3,"2024-07-16 10:33:08","Review","10.1046/j.0028-646X.2001.00334.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0036185886",153,3,371,386,236,10.73,236,1,22,"","",""
212,"H. Shimda","Fine structural features of the chloroplast genome: Comparison of the sequenced chloroplast genomes",1991,"Nucleic Acids Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025978390&origin=inward",4,"2024-07-16 10:33:08","Article","10.1093/nar/19.5.983","0305-1048","https://api.elsevier.com/content/abstract/scopus_id/0025978390",19,5,983,995,212,6.42,212,1,33,"","",""
211,"M. Marschall","Are bryophytes shade plants? Photosynthetic light responses and proportions of chlorophyll a, chlorophyll b and total carotenoids",2004,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=8344285636&origin=inward",5,"2024-07-16 10:33:08","Article","10.1093/aob/mch178","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/8344285636",94,4,593,603,211,10.55,211,1,20,"","",""
169,"C. Humphreys","Mutualistic mycorrhiza-like symbiosis in the most ancient group of land plants",2010,"Nature Communications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650131065&origin=inward",6,"2024-07-16 10:33:08","Article","10.1038/ncomms1105","2041-1723","https://api.elsevier.com/content/abstract/scopus_id/78650131065",1,8,,,169,12.07,169,1,14,"","",""
158,"M. Ikeuchi","A new photosystem II reaction center component (4.8 kDa protein) encoded by chloroplast genome",1988,"FEBS Letters","","https://api.elsevier.com/content/article/eid/1-s2.0-0014579388810391","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024279561&origin=inward",7,"2024-07-16 10:33:08","Article","10.1016/0014-5793(88)81039-1","0014-5793","https://api.elsevier.com/content/abstract/scopus_id/0024279561",241,1,99,104,158,4.39,158,1,36,"","",""
124,"Y. Fujii","Phototropin perceives temperature based on the lifetime of its photoactivated state",2017,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85027857759&origin=inward",8,"2024-07-16 10:33:08","Article","10.1073/pnas.1704462114","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/85027857759",114,34,9206,9211,124,17.71,124,1,7,"","",""
118,"C. Morden","psbA genes indicate common ancestry of prochlorophytes and chloroplasts",1989,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024978846&origin=inward",9,"2024-07-16 10:33:08","Article","10.1038/337382a0","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0024978846",337,6205,382,385,118,3.37,118,1,35,"","",""
112,"K. Trebacz","Electrical signals in long-distance communication in plants",2006,"Communication in Plants: Neuronal Aspects of Plant Life","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84920098912&origin=inward",10,"2024-07-16 10:33:08","Book Chapter","10.1007/978-3-540-28516-8_19","","https://api.elsevier.com/content/abstract/scopus_id/84920098912",,,277,290,112,6.22,112,1,18,"","",""
98,"M. Logacheva","Sequencing and analysis of plastid genome in mycoheterotrophic orchid Neottia nidus-avis",2011,"Genome Biology and Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858054460&origin=inward",11,"2024-07-16 10:33:08","Article","10.1093/gbe/evr102","1759-6653","https://api.elsevier.com/content/abstract/scopus_id/84858054460",3,1,1296,1303,98,7.54,98,1,13,"","",""
96,"K. Ohyama","Structure and organization of Marchantia polymorpha chloroplast genome. I. Cloning and gene identification",1988,"Journal of Molecular Biology","","https://api.elsevier.com/content/article/eid/1-s2.0-0022283688900010","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=17644438923&origin=inward",12,"2024-07-16 10:33:08","Article","10.1016/0022-2836(88)90001-0","0022-2836","https://api.elsevier.com/content/abstract/scopus_id/17644438923",203,2,281,298,96,2.67,96,1,36,"","",""
96,"Y. Fujita","The nifH-like (frxC) gene is involved in the biosynthesis of chlorophyll in the filamentous cyanobacterium plectonema boryanum",1992,"Plant and Cell Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0001916527&origin=inward",13,"2024-07-16 10:33:08","Article","","0032-0781","https://api.elsevier.com/content/abstract/scopus_id/0001916527",33,1,81,92,96,3.00,96,1,32,"","",""
94,"K. Krause","From chloroplasts to ""cryptic"" plastids: Evolution of plastid genomes in parasitic plants",2008,"Current Genetics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=50849113730&origin=inward",14,"2024-07-16 10:33:08","Review","10.1007/s00294-008-0208-8","0172-8083","https://api.elsevier.com/content/abstract/scopus_id/50849113730",54,3,111,121,94,5.88,94,1,16,"","",""
90,"M. Ikeuchi","N-terminal sequencing of photosystem II low-molecular-mass proteins 5 and 4.1 kDa components of the O<inf>2</inf>-evolving core complex from higher plants",1989,"FEBS Letters","","https://api.elsevier.com/content/article/eid/1-s2.0-001457938980482X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024959369&origin=inward",15,"2024-07-16 10:33:08","Article","10.1016/0014-5793(89)80482-X","0014-5793","https://api.elsevier.com/content/abstract/scopus_id/0024959369",242,2,263,269,90,2.57,90,1,35,"","",""
87,"V.I. Deltoro","Changes in chlorophyll a fluorescence, photosynthetic CO<inf>2</inf> assimilation and xanthophyll cycle interconversions during dehydration in desiccation-tolerant and intolerant liverworts",1998,"Planta","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032424809&origin=inward",16,"2024-07-16 10:33:08","Article","10.1007/s004250050476","0032-0935","https://api.elsevier.com/content/abstract/scopus_id/0032424809",207,2,224,228,87,3.35,87,1,26,"","",""
87,"H. Oh-oka","The protein responsible for center a/b in spinach photosystem I: Isolation with iron-sulfur cluster(s) and complete sequence analysis",1988,"Journal of Biochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024022734&origin=inward",17,"2024-07-16 10:33:08","Article","10.1093/oxfordjournals.jbchem.a122394","0021-924X","https://api.elsevier.com/content/abstract/scopus_id/0024022734",103,6,962,968,87,2.42,87,1,36,"","",""
84,"E. Muszyńska","Dual role of metallic trace elements in stress biology—from negative to beneficial impact on plants",2019,"International Journal of Molecular Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068664780&origin=inward",18,"2024-07-16 10:33:08","Review","10.3390/ijms20133117","1661-6596","https://api.elsevier.com/content/abstract/scopus_id/85068664780",20,13,,,84,16.80,84,1,5,"","",""
