Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
158,"M. Ikeuchi","A new photosystem II reaction center component (4.8 kDa protein) encoded by chloroplast genome",1988,"FEBS Letters","","https://api.elsevier.com/content/article/eid/1-s2.0-0014579388810391","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024279561&origin=inward",1,"2024-07-16 12:40:03","Article","10.1016/0014-5793(88)81039-1","0014-5793","https://api.elsevier.com/content/abstract/scopus_id/0024279561",241,1,99,104,158,4.39,158,1,36,"","",""
118,"C. Morden","psbA genes indicate common ancestry of prochlorophytes and chloroplasts",1989,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024978846&origin=inward",2,"2024-07-16 12:40:03","Article","10.1038/337382a0","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0024978846",337,6205,382,385,118,3.37,118,1,35,"","",""
102,"B. Morton","Selection on the codon bias of chloroplast and cyanelle genes in different plant and algal lineages",1998,"Journal of Molecular Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031979388&origin=inward",3,"2024-07-16 12:40:03","Article","10.1007/PL00006325","0022-2844","https://api.elsevier.com/content/abstract/scopus_id/0031979388",46,4,449,459,102,3.92,102,1,26,"","",""
90,"M. Ikeuchi","N-terminal sequencing of photosystem II low-molecular-mass proteins 5 and 4.1 kDa components of the O<inf>2</inf>-evolving core complex from higher plants",1989,"FEBS Letters","","https://api.elsevier.com/content/article/eid/1-s2.0-001457938980482X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024959369&origin=inward",4,"2024-07-16 12:40:03","Article","10.1016/0014-5793(89)80482-X","0014-5793","https://api.elsevier.com/content/abstract/scopus_id/0024959369",242,2,263,269,90,2.57,90,1,35,"","",""
87,"V.I. Deltoro","Changes in chlorophyll a fluorescence, photosynthetic CO<inf>2</inf> assimilation and xanthophyll cycle interconversions during dehydration in desiccation-tolerant and intolerant liverworts",1998,"Planta","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032424809&origin=inward",5,"2024-07-16 12:40:03","Article","10.1007/s004250050476","0032-0935","https://api.elsevier.com/content/abstract/scopus_id/0032424809",207,2,224,228,87,3.35,87,1,26,"","",""
87,"H. Oh-oka","The protein responsible for center a/b in spinach photosystem I: Isolation with iron-sulfur cluster(s) and complete sequence analysis",1988,"Journal of Biochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024022734&origin=inward",6,"2024-07-16 12:40:03","Article","10.1093/oxfordjournals.jbchem.a122394","0021-924X","https://api.elsevier.com/content/abstract/scopus_id/0024022734",103,6,962,968,87,2.42,87,1,36,"","",""
82,"M. Ueda","Composition and physiological function of the chloroplast NADH dehydrogenase-like complex in Marchantia polymorpha",2012,"Plant Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84868456486&origin=inward",7,"2024-07-16 12:40:03","Article","10.1111/j.1365-313X.2012.05115.x","0960-7412","https://api.elsevier.com/content/abstract/scopus_id/84868456486",72,4,683,693,82,6.83,82,1,12,"","",""
78,"A. Melis","Chloroplast sulfate transport in green algae - Genes, proteins and effects",2005,"Photosynthesis Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=29944431657&origin=inward",8,"2024-07-16 12:40:03","Review","10.1007/s11120-005-7382-z","0166-8595","https://api.elsevier.com/content/abstract/scopus_id/29944431657",86,3,299,307,78,4.11,78,1,19,"","",""
75,"H. Oh-oka","The 8 kDa polypeptide in photosystem I is a probable candidate of an iron-sulfur center protein coded by the chloroplast gene frxA",1987,"FEBS Letters","","https://api.elsevier.com/content/article/eid/1-s2.0-0014579387810165","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0002509024&origin=inward",9,"2024-07-16 12:40:03","Article","10.1016/0014-5793(87)81016-5","0014-5793","https://api.elsevier.com/content/abstract/scopus_id/0002509024",218,1,52,54,75,2.03,75,1,37,"","",""
72,"G. Shimakawa","The liverwort, Marchantia, drives alternative electron flow using a flavodiiron protein to protect PSI",2017,"Plant Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85014630880&origin=inward",10,"2024-07-16 12:40:03","Article","10.1104/pp.16.01038","0032-0889","https://api.elsevier.com/content/abstract/scopus_id/85014630880",173,3,1636,1647,72,10.29,72,1,7,"","",""
