Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
249,"D.J. Read","Symbiotic fungal associations in 'lower' land plants",2000,"Philosophical Transactions of the Royal Society B: Biological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034729664&origin=inward",1,"2024-07-16 12:41:04","Conference Paper","10.1098/rstb.2000.0617","0962-8436","https://api.elsevier.com/content/abstract/scopus_id/0034729664",355,1398,815,831,249,10.38,249,1,24,"","",""
237,"P.M. Delaux","Origin of strigolactones in the green lineage",2012,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84864532268&origin=inward",2,"2024-07-16 12:41:04","Article","10.1111/j.1469-8137.2012.04209.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84864532268",195,4,857,871,237,19.75,237,1,12,"","",""
186,"T.J. Cooke","Evolutionary patterns in auxin action",2002,"Plant Molecular Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035999452&origin=inward",3,"2024-07-16 12:41:04","Article","10.1023/A:1015242627321","0167-4412","https://api.elsevier.com/content/abstract/scopus_id/0035999452",49,3,319,338,186,8.45,186,1,22,"","",""
136,"R. Ligrone","Conducting tissues and phyletic relationships of bryophytes",2000,"Philosophical Transactions of the Royal Society B: Biological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034729671&origin=inward",4,"2024-07-16 12:41:04","Conference Paper","10.1098/rstb.2000.0616","0962-8436","https://api.elsevier.com/content/abstract/scopus_id/0034729671",355,1398,795,813,136,5.67,136,1,24,"","",""
105,"V. Jones","The evolution of root hairs and rhizoids.",2012,"Annals of botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84868206813&origin=inward",5,"2024-07-16 12:41:04","Review","10.1093/aob/mcs136","1095-8290","https://api.elsevier.com/content/abstract/scopus_id/84868206813",110,2,205,212,105,8.75,105,1,12,"","",""
91,"J.C. Villarreal A.","Divergence times and the evolution of morphological complexity in an early land plant lineage (Marchantiopsida) with a slow molecular rate",2016,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84949255601&origin=inward",6,"2024-07-16 12:41:04","Article","10.1111/nph.13716","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84949255601",209,4,1734,1746,91,11.38,91,1,8,"","",""
88,"H. Proust","RSL Class i Genes Controlled the Development of Epidermal Structures in the Common Ancestor of Land Plants",2016,"Current Biology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0960982215014360","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84959554535&origin=inward",7,"2024-07-16 12:41:04","Article","10.1016/j.cub.2015.11.042","0960-9822","https://api.elsevier.com/content/abstract/scopus_id/84959554535",26,1,93,99,88,11.00,88,1,8,"","",""
83,"S. Honkanen","The Mechanism Forming the Cell Surface of Tip-Growing Rooting Cells Is Conserved among Land Plants",2016,"Current Biology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0960982216311472","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85003823210&origin=inward",8,"2024-07-16 12:41:04","Article","10.1016/j.cub.2016.09.062","0960-9822","https://api.elsevier.com/content/abstract/scopus_id/85003823210",26,23,3238,3244,83,10.38,83,1,8,"","",""
78,"G. Jang","RSL genes are sufficient for rhizoid system development in early diverging land plants",2011,"Development","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79956295865&origin=inward",9,"2024-07-16 12:41:04","Article","10.1242/dev.060582","0950-1991","https://api.elsevier.com/content/abstract/scopus_id/79956295865",138,11,2273,2281,78,6.00,78,1,13,"","",""
77,"A.F. Galloway","Xyloglucan is released by plants and promotes soil particle aggregation",2018,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85040725379&origin=inward",10,"2024-07-16 12:41:04","Article","10.1111/nph.14897","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/85040725379",217,3,1128,1136,77,12.83,77,1,6,"","",""
