Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
94,"K. Krause","From chloroplasts to ""cryptic"" plastids: Evolution of plastid genomes in parasitic plants",2008,"Current Genetics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=50849113730&origin=inward",1,"2024-07-16 10:33:53","Review","10.1007/s00294-008-0208-8","0172-8083","https://api.elsevier.com/content/abstract/scopus_id/50849113730",54,3,111,121,94,5.88,94,1,16,"","",""
78,"A. Melis","Chloroplast sulfate transport in green algae - Genes, proteins and effects",2005,"Photosynthesis Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=29944431657&origin=inward",2,"2024-07-16 10:33:53","Review","10.1007/s11120-005-7382-z","0166-8595","https://api.elsevier.com/content/abstract/scopus_id/29944431657",86,3,299,307,78,4.11,78,1,19,"","",""
38,"M. Hasebe","Phylogenetic relationships of ferns deduced from rbcL gene sequence",1993,"Journal of Molecular Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027427586&origin=inward",3,"2024-07-16 10:33:53","Article","10.1007/BF00160428","0022-2844","https://api.elsevier.com/content/abstract/scopus_id/0027427586",37,5,476,482,38,1.23,38,1,31,"","",""
22,"D. Hanson","Variability of the pyrenoid-based CO<inf>2</inf> concentrating mechanism in hornworts (Anthocerotophyta)",2002,"Functional Plant Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036326813&origin=inward",4,"2024-07-16 10:33:53","Conference Paper","10.1071/pp01210","1445-4408","https://api.elsevier.com/content/abstract/scopus_id/0036326813",29,2,407,416,22,1.00,22,1,22,"","",""
20,"J.A. Raven","New perspectives in the biophysics and physiology of bryophytes",2018,"Bryology for the Twenty-first Century","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85130099324&origin=inward",5,"2024-07-16 10:33:53","Book Chapter","","","https://api.elsevier.com/content/abstract/scopus_id/85130099324",,,261,275,20,3.33,20,1,6,"","",""
17,"C. Cornejo","Contrasting pattern of photobiont diversity in the Atlantic and Pacific populations of Erioderma pedicellatum (Pannariaceae)",2016,"Lichenologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84982822238&origin=inward",6,"2024-07-16 10:33:53","Article","10.1017/S0024282916000311","0024-2829","https://api.elsevier.com/content/abstract/scopus_id/84982822238",48,4,275,291,17,2.13,17,1,8,"","",""
17,"D. Wall","Evolutionary patterns of codon usage in the chloroplast gene rbcL",2003,"Journal of Molecular Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0038031646&origin=inward",7,"2024-07-16 10:33:53","Article","10.1007/s00239-002-2436-8","0022-2844","https://api.elsevier.com/content/abstract/scopus_id/0038031646",56,6,673,688,17,0.81,17,1,21,"","",""
11,"J.A. Raven","Life at the boundary: Photosynthesis at the soil-fluid interface. A synthesis focusing on mosses",2016,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962860375&origin=inward",8,"2024-07-16 10:33:53","Article","10.1093/jxb/erw012","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/84962860375",67,6,1613,1623,11,1.38,11,1,8,"","",""
9,"J.V. Sagun","Mehler reaction plays a role in C<inf>3</inf> and C<inf>4</inf> photosynthesis under shade and low CO<inf>2</inf>",2021,"Photosynthesis Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100472485&origin=inward",9,"2024-07-16 10:33:53","Article","10.1007/s11120-021-00819-1","0166-8595","https://api.elsevier.com/content/abstract/scopus_id/85100472485",149,1,171,185,9,3.00,9,1,3,"","",""
9,"P. Yerramsetty","Evolution of RLSB, a nuclear-encoded S1 domain RNA binding protein associated with post-transcriptional regulation of plastid-encoded rbcL mRNA in vascular plants",2016,"BMC Evolutionary Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84976614067&origin=inward",10,"2024-07-16 10:33:53","Article","10.1186/s12862-016-0713-1","1471-2148","https://api.elsevier.com/content/abstract/scopus_id/84976614067",16,1,,,9,1.13,9,1,8,"","",""
4,"P.J. Calie","Extensive sequence divergence in the 3′ inverted repeat of the chloroplast rbcL gene in non-flowering land plants and algae",1994,"Gene","","https://api.elsevier.com/content/article/eid/1-s2.0-0378111994903018","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028111528&origin=inward",11,"2024-07-16 10:33:53","Article","10.1016/0378-1119(94)90301-8","0378-1119","https://api.elsevier.com/content/abstract/scopus_id/0028111528",146,2,251,256,4,0.13,4,1,30,"","",""
3,"H. Fukuzawa","Molecular cloning of promoters functional in escherichia coli from chloroplast dna of a liverwort, marchantía polymorpha",1985,"Agricultural and Biological Chemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84917841724&origin=inward",12,"2024-07-16 10:33:53","Article","10.1080/00021369.1985.10867138","0002-1369","https://api.elsevier.com/content/abstract/scopus_id/84917841724",49,9,2725,2731,3,0.08,3,1,39,"","",""
3,"T. Suzuki","Differential light regulation of the rbcS gene expression in two cell lines of the liverwort Marchantia paleacea var. diptera",1999,"Plant and Cell Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033051424&origin=inward",13,"2024-07-16 10:33:53","Article","10.1093/oxfordjournals.pcp.a029465","0032-0781","https://api.elsevier.com/content/abstract/scopus_id/0033051424",40,1,100,103,3,0.12,3,1,25,"","",""
0,"H. Fukuzawa","Molecular Cloning of Promoters Functional in Escherichia Coli from Chloroplast Dna of a Liverwort, Marchantia Polymorpha",1985,"agricultural and biological chemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84998264004&origin=inward",14,"2024-07-16 10:33:53","Article","10.1271/bbb1961.49.2725","0002-1369","https://api.elsevier.com/content/abstract/scopus_id/84998264004",49,9,2725,2731,0,0.00,0,1,39,"","",""
