Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
490,"D.J. Eldridge","Microbiotic soil crusts: A review of their roles in soil and ecological processes in the rangelands of australia",1994,"Australian Journal of Soil Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028159467&origin=inward",1,"2024-07-16 12:41:31","Article","10.1071/SR9940389","0004-9573","https://api.elsevier.com/content/abstract/scopus_id/0028159467",32,3,389,415,490,16.33,490,1,30,"","",""
431,"R. Longton","The biology of polar bryophytes and lichens",1988,"The biology of polar bryophytes and lichens","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85040878241&origin=inward",2,"2024-07-16 12:41:31","Article","","","https://api.elsevier.com/content/abstract/scopus_id/85040878241",,,,,431,11.97,431,1,36,"","",""
349,"J.H.C. Cornelissen","Comparative cryptogam ecology: A review of bryophyte and lichen traits that drive biogeochemistry",2007,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34548458597&origin=inward",3,"2024-07-16 12:41:31","Review","10.1093/aob/mcm030","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/34548458597",99,5,987,1001,349,20.53,349,1,17,"","",""
285,"W. Dodds","THE ECOLOGY OF NOSTOC",1995,"Journal of Phycology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028992718&origin=inward",4,"2024-07-16 12:41:31","Article","10.1111/j.0022-3646.1995.00002.x","0022-3646","https://api.elsevier.com/content/abstract/scopus_id/0028992718",31,1,2,18,285,9.83,285,1,29,"","",""
244,"B. Büdel","Southern african biological soil crusts are ubiquitous and highly diverse in drylands, being restricted by rainfall frequency",2009,"Microbial Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=59549097087&origin=inward",5,"2024-07-16 12:41:31","Article","10.1007/s00248-008-9449-9","0095-3628","https://api.elsevier.com/content/abstract/scopus_id/59549097087",57,2,229,247,244,16.27,244,1,15,"","",""
229,"P.J. Mulholland","Nitrogen cycling in a forest stream determined by a <sup>15</sup>N tracer addition",2000,"Ecological Monographs","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033820906&origin=inward",6,"2024-07-16 12:41:31","Article","10.1890/0012-9615(2000)070[0471:nciafs]2.0.co;2","0012-9615","https://api.elsevier.com/content/abstract/scopus_id/0033820906",70,3,471,493,229,9.54,229,1,24,"","",""
210,"F. Maestre","Ecology and functional roles of biological soil crusts in semi-arid ecosystems of Spain",2011,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196310003459","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80053125303&origin=inward",7,"2024-07-16 12:41:31","Article","10.1016/j.jaridenv.2010.12.008","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/80053125303",75,12,1282,1291,210,16.15,210,1,13,"","",""
195,"B. Wang","Presence of three mycorrhizal genes in the common ancestor of land plants suggests a key role of mycorrhizas in the colonization of land by plants",2010,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954731886&origin=inward",8,"2024-07-16 12:41:31","Article","10.1111/j.1469-8137.2009.03137.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/77954731886",186,2,514,525,195,13.93,195,1,14,"","",""
184,"X. Li","Microbiotic soil crust and its effect on vegetation and habitat on artificially stabilized desert dunes in Tengger Desert, North China",2002,"Biology and Fertility of Soils","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036938446&origin=inward",9,"2024-07-16 12:41:31","Article","10.1007/s00374-002-0453-9","0178-2762","https://api.elsevier.com/content/abstract/scopus_id/0036938446",35,3,147,154,184,8.36,184,1,22,"","",""
169,"C. Humphreys","Mutualistic mycorrhiza-like symbiosis in the most ancient group of land plants",2010,"Nature Communications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650131065&origin=inward",10,"2024-07-16 12:41:31","Article","10.1038/ncomms1105","2041-1723","https://api.elsevier.com/content/abstract/scopus_id/78650131065",1,8,,,169,12.07,169,1,14,"","",""
