Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"P Whittington, A Koiter, D Watts…","Bulk density, particle density, and porosity of two species of Sphagnum: Variability in measurement techniques and spatial distribution",2021,"Soil Science Society …","Wiley Online Library","https://acsess.onlinelibrary.wiley.com/doi/abs/10.1002/saj2.20327","https://scholar.google.com/scholar?cites=16767925579424652334&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-03 08:52:09","","10.1002/saj2.20327","","",,,,,9,3.00,2,4,3,"… bulk density, particle density, and porosity at 5-cm intervals from the surface to 25-cm depth. Bulk density … , litter, and peat above, we did not separate the litter and living moss (upper few …","https://www.researchgate.net/profile/Alexander-Koiter/publication/354326638_Bulk_density_particle_density_and_porosity_of_two_species_of_Sphagnum_Variability_in_measurement_techniques_and_spatial_distribution/links/621fca3019d1945acecf74f8/Bulk-density-particle-density-and-porosity-of-two-species-of-Sphagnum-Variability-in-measurement-techniques-and-spatial-distribution.pdf","https://scholar.google.com/scholar?q=related:LtzKZXmjs-gJ:scholar.google.com/&scioq=moss*+%22bulk+density%22&hl=en&as_sdt=2007"
20,"A Noble, SM Palmer, DJ Glaves, A Crowle, J Holden","Impacts of peat bulk density, ash deposition and rainwater chemistry on establishment of peatland mosses",2017,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-017-3325-7","https://scholar.google.com/scholar?cites=17635163717198919865&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-03 08:52:09","HTML","10.1007/s11104-017-3325-7","","",,,,,20,2.86,4,5,7,"… The results of this study showed that growth of all three moss species responded differently to the experimental treatments. Both Sphagnum species were affected by bulk density and S. …","https://link.springer.com/article/10.1007/s11104-017-3325-7","https://scholar.google.com/scholar?q=related:ubh_N_evvPQJ:scholar.google.com/&scioq=moss*+%22bulk+density%22&hl=en&as_sdt=2007"
35,"DS Nichols, DH Boelter","Fiber size distribution, bulk density, and ash content of peats in Minnesota, Wisconsin, and Michigan",1984,"Soil Science Society of America …","Wiley Online Library","https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj1984.03615995004800060024x","https://scholar.google.com/scholar?cites=16390434221610011391&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-03 08:52:09","","10.2136/sssaj1984.03615995004800060024x","","",,,,,35,0.88,18,2,40,"… Curvilinear regression equations between bulk density and … At the same bulk density, moss peats con tained larger … of moss peats, but fell to an intermediate level between moss and her …","","https://scholar.google.com/scholar?q=related:_4p4lRWFduMJ:scholar.google.com/&scioq=moss*+%22bulk+density%22&hl=en&as_sdt=2007"
109,"JHC Fenton","The rate of peat accumulation in Antarctic moss banks",1980,"The Journal of Ecology","JSTOR","https://www.jstor.org/stable/2259252","https://scholar.google.com/scholar?cites=2117555255141602844&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-03 08:52:09","","","","",,,,,109,2.48,109,1,44,"… The bulk density figures for the Signy Island moss banks are expressed as mass of organic matter per unit volume. This ash correction was not made on the Argentine Islands cores but, …","https://www.jstor.org/stable/pdf/2259252.pdf","https://scholar.google.com/scholar?q=related:HBb6BkkRYx0J:scholar.google.com/&scioq=moss*+%22bulk+density%22&hl=en&as_sdt=2007"
36,"JM Waddington, MC Lucchese, TP Duval","Sphagnum moss moisture retention following the re‐vegetation of degraded peatlands",2011,"Ecohydrology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.130","https://scholar.google.com/scholar?cites=9297079617129591779&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-03 08:52:09","","10.1002/eco.130","","",,,,,36,2.77,12,3,13,"… This is in line with the concept of maximizing S y to combat water stress when the new moss layer is 5–15 cm thick by reducing bulk density and increasing porosity. That is, increased …","https://www.gret-perg.ulaval.ca/fileadmin/Fichiers/centre_recherche/Waddington_etal_Ecohydrol_2011_02.pdf","https://scholar.google.com/scholar?q=related:47OIW6fcBYEJ:scholar.google.com/&scioq=moss*+%22bulk+density%22&hl=en&as_sdt=2007"
7,"X Hu, Z Gao, XY Li, RZ Wang, YM Wang","Structural characteristics of the moss (bryophyte) layer and its underlying soil structure and water retention characteristics",2023,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-023-06079-3","https://scholar.google.com/scholar?cites=5268768961261935178&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-03 08:52:09","HTML","10.1007/s11104-023-06079-3","","",,,,,7,7.00,1,5,1,"… under the thin moss and thick moss layers were approximately 2.7 and … moss cover. The soil water retention under the thin and thick moss layers were greater than those under no moss …","https://link.springer.com/article/10.1007/s11104-023-06079-3","https://scholar.google.com/scholar?q=related:Shqfg3RtHkkJ:scholar.google.com/&scioq=moss*+%22bulk+density%22&hl=en&as_sdt=2007"
18,"N Hossain","Characterization of Novel Moss Biomass, Bryum dichotomum Hedw. as Solid Fuel Feedstock",2020,"BioEnergy research","Springer","https://link.springer.com/article/10.1007/s12155-019-10086-7","https://scholar.google.com/scholar?cites=5155700120601908160&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-03 08:52:09","HTML","10.1007/s12155-019-10086-7","","",,,,,18,4.50,18,1,4,"… bulk density and reduce transportation cost as well as minimize the hassle of transportation and storage issues [1, 5]. Besides bulk density… with moisture content and bulk density. BCI for …","https://link.springer.com/article/10.1007/s12155-019-10086-7","https://scholar.google.com/scholar?q=related:wFPqkPG5jEcJ:scholar.google.com/&scioq=moss*+%22bulk+density%22&hl=en&as_sdt=2007"
41,"V Golubev, P Whittington","Effects of volume change on the unsaturated hydraulic conductivity of Sphagnum moss",2018,"Journal of Hydrology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022169418301653","https://scholar.google.com/scholar?cites=1884476311688784333&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-03 08:52:09","","","","",,,,,41,6.83,21,2,6,"… The findings show that the K unsat increases by up to an order of magnitude (10×) with compression up to a certain bulk density of the moss, after which higher levels of compression …","https://scholar.google.com/scholar?output=instlink&q=info:zSnZmTgBJxoJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=11899042976582965083&oi=lle","https://scholar.google.com/scholar?q=related:zSnZmTgBJxoJ:scholar.google.com/&scioq=moss*+%22bulk+density%22&hl=en&as_sdt=2007"
4,"JE Altland, Z Magdalena, J Owen","Effect of peat moss and pumice on douglas fir bark based soilless substrate physical and hydraulic properties",2009,"HortScience","ars.usda.gov","https://www.ars.usda.gov/research/publications/publication/?seqNo115=232339","https://scholar.google.com/scholar?cites=18017424798515382141&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-03 08:52:09","","","","",,,,,4,0.27,1,3,15,"… water holding capacity, but increased bulk density. Adding peat moss to bark increased porosity and water holding capacity, but decreased bulk density. This research does not suggest …","","https://scholar.google.com/scholar?q=related:fcfS0mTACvoJ:scholar.google.com/&scioq=moss*+%22bulk+density%22&hl=en&as_sdt=2007"
197,"JA O'Donnell, VE Romanovsky, JW Harden…","The effect of moisture content on the thermal conductivity of moss and organic soil horizons from black spruce ecosystems in interior Alaska",2009,"Soil …","journals.lww.com","https://journals.lww.com/soilsci/fulltext/2009/12000/The_Effect_of_Moisture_Content_on_the_Thermal.2.aspx","https://scholar.google.com/scholar?cites=18315986973597956049&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-03 08:52:09","","","","",,,,,197,13.13,49,4,15,"… Bulk density varied as a function of moss type (ANOVA: df = 1, … In general, bulk density increased with the extent of organic … moss had significantly lower bulk density than feather moss-…","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=202bd6259c9ed46d987f9383a0a8b9b4c5dd82eb","https://scholar.google.com/scholar?q=related:0ff8Nxx1L_4J:scholar.google.com/&scioq=moss*+%22bulk+density%22&hl=en&as_sdt=2007"
