Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
207,"JW Harden, KP O'neill, SE Trumbore…","Moss and soil contributions to the annual net carbon flux of a maturing boreal forest",1997,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/97JD02237","https://scholar.google.com/scholar?cites=3479264290080326883&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-01 11:47:49","","10.1029/97JD02237","","",,,,,207,7.67,52,4,27,"… As a check on the shallow moss model, we compared mean moss carbon storage for each burn transect (Table 1) to model estimates (Figure 6). Using the mean input and …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/97JD02237","https://scholar.google.com/scholar?q=related:44TwGXDUSDAJ:scholar.google.com/&scioq=moss*+carbon&hl=en&as_sdt=2007"
188,"S Frolking, ML Goulden, SC Wofsy…","Modelling temporal variability in the carbon balance of a spruce/moss boreal forest",1996,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.1996.tb00086.x","https://scholar.google.com/scholar?cites=16565231717155192628&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-01 11:47:49","","10.1111/j.1365-2486.1996.tb00086.x","","",,,,,188,6.71,47,4,28,"… (ie soil carbon input; no net increase in live moss biomass). … % of the growing season net carbon uptake. A simulation of the … carbon balance model of spruce / moss boreal ecosystems. …","https://escholarship.org/content/qt4t99q39v/qt4t99q39v.pdf","https://scholar.google.com/scholar?q=related:NL8R-3qG4-UJ:scholar.google.com/&scioq=moss*+carbon&hl=en&as_sdt=2007"
109,"G Zotz, A Schweikert, W Jetz, H Westerman","Water relations and carbon gain are closely related to cushion size in the moss Grimmia pulvinata",2000,"The New Phytologist","cambridge.org","https://www.cambridge.org/core/journals/new-phytologist/article/water-relations-and-carbon-gain-are-closely-related-to-cushion-size-in-the-moss-grimmia-pulvinata/348F102B62EBEF8C73E6A82E01E0060F","https://scholar.google.com/scholar?cites=3326742481791982295&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-01 11:47:49","","10.1046/j.1469-8137.2000.00745.x","","",,,,,109,4.54,27,4,24,"… during the development of the cushion moss, Grimmia pulvinata, … Using these data, we estimated carbon budgets during a … Depending on the time of hydration, net carbon budgets not …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1046/j.1469-8137.2000.00745.x","https://scholar.google.com/scholar?q=related:15ppTqn2Ki4J:scholar.google.com/&scioq=moss*+carbon&hl=en&as_sdt=2007"
80,"LE Street, JA Subke, M Sommerkorn, V Sloan…","The role of mosses in carbon uptake and partitioning in arctic vegetation",2013,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.12285","https://scholar.google.com/scholar?cites=16812369347470466936&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-01 11:47:49","","10.1111/nph.12285","","",,,,,80,7.27,16,5,11,"… Mosses incorporated 20 ± 9% of total ecosystem GPP into … We have demonstrated that mosses strongly influence C uptake … Arctic C models must include mosses to accurately represent …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.12285","https://scholar.google.com/scholar?q=related:eJ-khNiIUekJ:scholar.google.com/&scioq=moss*+carbon&hl=en&as_sdt=2007"
19,"KA Bona, CH Shaw, JW Fyles…","Modelling moss-derived carbon in upland black spruce forests",2016,"Canadian Journal of …","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjfr-2015-0512","https://scholar.google.com/scholar?cites=6098661609962691527&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-01 11:47:49","","10.1139/cjfr-2015-0512","","",,,,,19,2.38,5,4,8,"… Mosses play a key role in the carbon (C) … Moss carbon pool accumulation over time for two sample plots from the model calibration data. C moss total , total moss C for all dead moss …","https://cdnsciencepub.com/doi/pdf/10.1139/cjfr-2015-0512","https://scholar.google.com/scholar?q=related:x1sjE2zMolQJ:scholar.google.com/&scioq=moss*+carbon&hl=en&as_sdt=2007"
13,"RJ Smith, S Jovan, AN Gray, B McCune","Sensitivity of carbon stores in boreal forest moss mats-effects of vegetation, topography and climate",2017,"Plant and soil","Springer","https://link.springer.com/article/10.1007/s11104-017-3411-x","https://scholar.google.com/scholar?cites=11900883772255177615&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-01 11:47:49","HTML","10.1007/s11104-017-3411-x","","",,,,,13,1.86,3,4,7,"Background and aims In northern regions, moss and lichen mats are the major carbon-cycling interface between soils and the atmosphere. We aimed to quantify sensitivity of ground …","https://link.springer.com/article/10.1007/s11104-017-3411-x","https://scholar.google.com/scholar?q=related:jwt7vrxuKKUJ:scholar.google.com/&scioq=moss*+carbon&hl=en&as_sdt=2007"
14,"KH Orwin, NJ Ostle","Moss species effects on peatland carbon cycling after fire",2012,"Functional Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2435.2012.01991.x","https://scholar.google.com/scholar?cites=88532706798396527&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-01 11:47:49","","10.1111/j.1365-2435.2012.01991.x","","",,,,,14,1.17,7,2,12,"… We aimed to test the hypotheses that (i) coexisting moss … ), moss litter decomposition rates and the effect of mosses on the … of mosses on C cycling, we focused on three moss species (S…","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2435.2012.01991.x","https://scholar.google.com/scholar?q=related:b-S4GweIOgEJ:scholar.google.com/&scioq=moss*+carbon&hl=en&as_sdt=2007"
935,"J Ding, H Wang, Z Li, A Kohandehghan, K Cui, Z Xu…","Carbon nanosheet frameworks derived from peat moss as high performance sodium ion battery anodes",2013,"ACS …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/nn404640c","https://scholar.google.com/scholar?cites=15240425609361635995&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-01 11:47:49","","10.1021/nn404640c","","",,,,,935,85.00,134,7,11,"… Rather, we argue that because the peat moss carbons possess a unique highly ordered pseudographitic structure but with a dilated graphene interlayer spacing, it is possible to …","https://pubs.acs.org/doi/pdf/10.1021/nn404640c","https://scholar.google.com/scholar?q=related:mzrEL1jegNMJ:scholar.google.com/&scioq=moss*+carbon&hl=en&as_sdt=2007"
450,"MR Turetsky, B Bond‐Lamberty, E Euskirchen…","The resilience and functional role of moss in boreal and arctic ecosystems",2012,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2012.04254.x","https://scholar.google.com/scholar?cites=7610767080459653959&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-01 11:47:49","","10.1111/j.1469-8137.2012.04254.x","","",,,,,450,37.50,113,4,12,"… mosses were eliminated. But simulations with two other models suggest that loss of moss will reduce soil carbon … It seems clear that mosses need to be incorporated into models as one …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1469-8137.2012.04254.x","https://scholar.google.com/scholar?q=related:R9MIC1bgnmkJ:scholar.google.com/&scioq=moss*+carbon&hl=en&as_sdt=2007"
101,"L Zhou, P Fu, D Wen, Y Yuan, S Zhou","Self-constructed carbon nanoparticles-coated porous biocarbon from plant moss as advanced oxygen reduction catalysts",2016,"Applied Catalysis B: Environmental","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926337315301089","https://scholar.google.com/scholar?cites=17011858045900636305&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-01 11:47:49","","","","",,,,,101,12.63,20,5,8,"… from the moss, which were simultaneously self-packed on the moss-derived carbon matrix … groups of the CNPs and the moss-derived carbon matrix during the hydrothermal treatment. …","","https://scholar.google.com/scholar?q=related:kUBHk8JCFuwJ:scholar.google.com/&scioq=moss*+carbon&hl=en&as_sdt=2007"
