Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"E Rintamäki, EM Aro","… with Special Reference to the Moss Ceratodon purpureus: Properties of Ribulose Bisphosphate Carboxylase/ Oxygenase, Phosphoenolpyruvate Carboxylase and …",1985,"Journal of experimental botany","academic.oup.com","https://academic.oup.com/jxb/article-abstract/36/11/1677/480787","https://scholar.google.com/scholar?cites=3253922252404893538&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-01 11:51:42","","","","",,,,,16,0.41,8,2,39,"… Thus the low extractable enzyme activities obtained with moss shoots may result from … RuBP carboxylase to RuBP oxygenase activity in protonemata differed from that obtained for moss …","https://www.jstor.org/stable/pdf/23691402.pdf","https://scholar.google.com/scholar?q=related:YidVbQxBKC0J:scholar.google.com/&scioq=moss*+carboxylation&hl=en&as_sdt=2007"
32,"MD Lane, J Moss, E Ryder, E Stoll","The activation of acetyl CoA carboxylase by tricarboxylic acids",1971,"Advances in Enzyme Regulation","Elsevier","https://www.sciencedirect.com/science/article/pii/S006525717180047X","https://scholar.google.com/scholar?cites=1763458154081810541&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-01 11:51:42","","","","",,,,,32,0.60,8,4,53,"Acetyl CoA carboxylases from animal tissues are capable of oscillating between catalytically-inactive protomeric and catalytically-active polymeric states, the level of carboxylase activity …","","https://scholar.google.com/scholar?q=related:bfhPEtkPeRgJ:scholar.google.com/&scioq=moss*+carboxylation&hl=en&as_sdt=2007"
24,"J Moss, MD Lane","Acetyl Coenzyme A Carboxylase: IV. BIOTINYL PROSTHETIC GROUP-INDEPENDENT MALONYL COENZYME A DECARBOXYLATION AND CARBOXYL …",1972,"Journal of Biological Chemistry","ASBMB","https://www.jbc.org/article/S0021-9258(19)44923-5/abstract","https://scholar.google.com/scholar?cites=9227030622580616561&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-01 11:51:42","","","","",,,,,24,0.46,12,2,52,"… of Escherichia coli acetyl-CoA carboxylase, and avian liver pyruvate carboxylase catalyze … their respective carboxylated acceptor substrates. Liver acetyl-CoA carboxylase also catalyzes …","https://www.jbc.org/article/S0021-9258(19)44923-5/pdf","https://scholar.google.com/scholar?q=related:ca2R3nb_DIAJ:scholar.google.com/&scioq=moss*+carboxylation&hl=en&as_sdt=2007"
19,"KK Coe, J Belnap, EE Grote…","Physiological ecology of desert biocrust moss following 10 years exposure to elevated CO2: evidence for enhanced photosynthetic thermotolerance",2012,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.2012.01566.x","https://scholar.google.com/scholar?cites=13693198155242934900&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-01 11:51:42","","10.1111/j.1399-3054.2012.01566.x","","",,,,,19,1.58,5,4,12,"… of carboxylation; yet in mosses, the analogous evaporative surface is the entire gametophyte that is exposed to CO 2 in the surrounding air. Finally, boundary layer conductance to CO 2 …","https://www.academia.edu/download/43409585/Physiological_ecology_of_desert_biocrust20160305-9576-1lomccx.pdf","https://scholar.google.com/scholar?q=related:dBJKKiwDCL4J:scholar.google.com/&scioq=moss*+carboxylation&hl=en&as_sdt=2007"
17,"RK Crookston, DN Moss","C-4 and C-3 carboxylation characteristics in the genus Zygophyllum (Zygophyllaceae)",1972,"Annals of the Missouri Botanical Garden","JSTOR","https://www.jstor.org/stable/2395156","https://scholar.google.com/scholar?cites=16408138375270733101&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-01 11:51:42","","","","",,,,,17,0.33,9,2,52,"Higher plants can be placed into two separate groups according to their pathways of photosynthetic CO 2 fixation. One group initially fix CO 2 into the 3-carbon acid 3-phosphoglycerate …","https://www.jstor.org/stable/pdf/2395156.pdf","https://scholar.google.com/scholar?q=related:LZV3E-tqteMJ:scholar.google.com/&scioq=moss*+carboxylation&hl=en&as_sdt=2007"
67,"CE Martin, NL Christensen, BR Strain","Seasonal patterns of growth, tissue acid fluctuations, and 14CO2 uptake in the crassulacean acid metabolism epiphyte Tjllandsia usneoides L. (Spanish moss)",1981,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00347592","https://scholar.google.com/scholar?cites=15282084530689388589&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-01 11:51:42","","10.1007/BF00347592","","",,,,,67,1.56,22,3,43,"… The greatest amount of COe fixation by strands of Spanish moss observed in this study … near optimal for COs uptake by Spanish moss. These conditions included high nighttime humidity…","https://www.jstor.org/stable/pdf/4216391.pdf","https://scholar.google.com/scholar?q=related:LbA7p-neFNQJ:scholar.google.com/&scioq=moss*+carboxylation&hl=en&as_sdt=2007"
29,"MD Lane, J Edwards, E Stoll, J Moss","Tricarboxylic acid activator-induced changes at the active site of acetyl-CoA carboxylase",1971,"Vitamins &Hormones","Elsevier","https://www.sciencedirect.com/science/article/pii/S0083672908609024","https://scholar.google.com/scholar?cites=12295824545217169705&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-01 11:51:42","","","","",,,,,29,0.55,7,4,53,"… Similar kinetic inactivation patterns were obtained under carboxylase assay conditions in the presence or absence of citrate (Moss and Lane, 1870) indicating that the catalytically active …","","https://scholar.google.com/scholar?q=related:KckyHkeLo6oJ:scholar.google.com/&scioq=moss*+carboxylation&hl=en&as_sdt=2007"
86,"J Moss, MD Lane","Acetyl Coenzyme A Carboxylase: III. FURTHER STUDIES ON THE RELATION OF CATALYTIC ACTIVITY TO POLYMERIC STATE",1972,"Journal of Biological Chemistry","ASBMB","https://www.jbc.org/article/S0021-9258(19)44922-3/fulltext","https://scholar.google.com/scholar?cites=6332808771716414666&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-01 11:51:42","","","","",,,,,86,1.65,43,2,52,"… structure characteristic of the protomeric form of the carboxylase (13). This slowly sediment… of the carboxylase. Electron microscopic examination revealed that carboxylase obtained …","https://www.jbc.org/article/S0021-9258(19)44922-3/pdf","https://scholar.google.com/scholar?q=related:ynyidAao4lcJ:scholar.google.com/&scioq=moss*+carboxylation&hl=en&as_sdt=2007"
35,"MA Arif, S Alseekh, J Harb, A Fernie, W Frank","Abscisic acid, cold and salt stimulate conserved metabolic regulation in the moss Physcomitrella patens",2018,"Plant Biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/plb.12871","https://scholar.google.com/scholar?cites=4730787744774063241&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-01 11:51:42","","10.1111/plb.12871","","",,,,,35,5.83,7,5,6,"… To place our results into an evolutionary context we compared the ABA ‐ and stress‐induced metabolic changes in moss to available metabolic profiles of the seed plant Arabidopsis …","https://fada.birzeit.edu/bitstream/20.500.11889/5878/1/PlantBiology.pdf","https://scholar.google.com/scholar?q=related:iYQHm2Mip0EJ:scholar.google.com/&scioq=moss*+carboxylation&hl=en&as_sdt=2007"
18,"RS DHINDSA","Non-Autotrophic CO2 Fixation and Drought Tolerance in Mosses",1985,"Journal of experimental Botany","academic.oup.com","https://academic.oup.com/jxb/article-abstract/36/6/980/603966","https://scholar.google.com/scholar?cites=17211658866836592684&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-01 11:51:42","","","","",,,,,18,0.46,18,1,39,"… The reasons for these differences between the two mosses are nor clear. In vitro phosphoenolpyruvate carboxylase activity in both mosses changes little on dehydration (data not …","https://www.jstor.org/stable/pdf/23691350.pdf","https://scholar.google.com/scholar?q=related:LFj_UIwY3O4J:scholar.google.com/&scioq=moss*+carboxylation&hl=en&as_sdt=2007"
