Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
60,"M Jonsson, P Kardol, MJ Gundale, S Bansal…","Direct and indirect drivers of moss community structure, function, and associated microfauna across a successional gradient",2015,"Ecosystems","Springer","https://link.springer.com/article/10.1007/s10021-014-9819-8","https://scholar.google.com/scholar?cites=11229946766454358362&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-03 08:42:11","HTML","10.1007/s10021-014-9819-8","","",,,,,60,6.67,12,5,9,"… of moss community composition and functional traits were primarily influenced by vascular plant community composition … on moss community composition, moss functional traits, moss-…","https://link.springer.com/article/10.1007/s10021-014-9819-8","https://scholar.google.com/scholar?q=related:WgEP1RXJ2JsJ:scholar.google.com/&scioq=moss*+%22community+composition%22&hl=en&as_sdt=2007"
23,"A Borkenhagen, DJ Cooper","Tolerance of fen mosses to submergence, and the influence on moss community composition and ecosystem resilience",2018,"Journal of vegetation science","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jvs.12610","https://scholar.google.com/scholar?cites=3328103544455415456&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-03 08:42:11","","10.1111/jvs.12610","","",,,,,23,3.83,12,2,6,"… that moss species varied in their responses to submergence duration, resulting in shifts in community composition … This provides insight into how moss communities provide stability to …","https://scholar.google.com/scholar?output=instlink&q=info:oMb7ZorMLy4J:scholar.google.com/&hl=en&as_sdt=2007&scillfp=7848566280778184078&oi=lle","https://scholar.google.com/scholar?q=related:oMb7ZorMLy4J:scholar.google.com/&scioq=moss*+%22community+composition%22&hl=en&as_sdt=2007"
80,"MA Brusven, WR Meehan, RC Biggam","The role of aquatic moss on community composition and drift of fish-food organisms",1990,"Hydrobiologia","Springer","https://link.springer.com/article/10.1007/BF00008891","https://scholar.google.com/scholar?cites=17911179506979922489&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-03 08:42:11","","10.1007/BF00008891","","",,,,,80,2.35,27,3,34,"… greater biomass than did the moss-free channel for … moss-covered than in the moss-free channel, we did not demonstrate universally increased drift of the immature stages from the moss…","","https://scholar.google.com/scholar?q=related:OWLLNd1KkfgJ:scholar.google.com/&scioq=moss*+%22community+composition%22&hl=en&as_sdt=2007"
103,"AA Carrell, M Kolton, JB Glass…","Experimental warming alters the community composition, diversity, and N2 fixation activity of peat moss (Sphagnum fallax) microbiomes",2019,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14715","https://scholar.google.com/scholar?cites=6151080836861869820&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-03 08:42:11","","10.1111/gcb.14715","","",,,,,103,20.60,26,4,5,"… Microbiome community composition differed between years, with some diazotroph … alters the community composition, diversity, and N 2 fixation activity of peat moss microbiomes, which …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/gcb.14715","https://scholar.google.com/scholar?q=related:_D7daW4HXVUJ:scholar.google.com/&scioq=moss*+%22community+composition%22&hl=en&as_sdt=2007"
6,"IJ Klarenberg, C Keuschnig, A Salazar…","Moss and underlying soil bacterial community structures are linked to moss functional traits",2023,"…","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.4447","https://scholar.google.com/scholar?cites=4192425419657538511&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-03 08:42:11","","10.1002/ecs2.4447","","",,,,,6,6.00,2,4,1,"… To test the effect of time since deglaciation and moss traits on the bacterial community composition of the mosses and the underlying soil, we used permutational multivariate analysis of …","https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.4447","https://scholar.google.com/scholar?q=related:z2sB7rR8LjoJ:scholar.google.com/&scioq=moss*+%22community+composition%22&hl=en&as_sdt=2007"
218,"D Eminson, B Moss","The composition and ecology of periphyton communities in freshwaters: 1 the influence of host type and external environment on community composition",1980,"British Phycological Journal","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/00071618000650431","https://scholar.google.com/scholar?cites=6163619422898633561&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-03 08:42:11","","10.1080/00071618000650431","","",,,,,218,4.95,109,2,44,"… Evidence is given here, from a variety of studies, that the influence of host type in determining periphyton community composition is greatest in infertile lakes, but, that in progressively …","https://www.tandfonline.com/doi/pdf/10.1080/00071618000650431","https://scholar.google.com/scholar?q=related:WTuSeDWTiVUJ:scholar.google.com/&scioq=moss*+%22community+composition%22&hl=en&as_sdt=2007"
354,"JF Weltzin, SD Bridgham, J Pastor…","Potential effects of warming and drying on peatland plant community composition",2003,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2486.2003.00571.x","https://scholar.google.com/scholar?cites=6269519298756392545&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-03 08:42:11","","10.1046/j.1365-2486.2003.00571.x","","",,,,,354,16.86,89,4,21,"… It was difficult to estimate cover of moss species in the fen mesocosms during the summer, … , so we estimated fen moss covers in September after graminoids senesced. Moss cover data …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-2486.2003.00571.x","https://scholar.google.com/scholar?q=related:YbbUupXOAVcJ:scholar.google.com/&scioq=moss*+%22community+composition%22&hl=en&as_sdt=2007"
0,"R Korn, C Berg, LF Bersier, SM Gray…","Habitat conditions and not moss composition mediate microbial community structure in Swiss peatlands",2024,"Environmental …","Wiley Online Library","https://enviromicro-journals.onlinelibrary.wiley.com/doi/abs/10.1111/1462-2920.16631","",8,"2024-07-03 08:42:11","","10.1111/1462-2920.16631","","",,,,,0,0.00,0,5,1,"… layer of Sphagnum moss that was … , moss species composition and geographic distance between sites to determine their potential influence on the microbial community composition. We …","https://enviromicro-journals.onlinelibrary.wiley.com/doi/pdf/10.1111/1462-2920.16631","https://scholar.google.com/scholar?q=related:vGIpozBVXGAJ:scholar.google.com/&scioq=moss*+%22community+composition%22&hl=en&as_sdt=2007"
4,"周雯娟, 卜崇峰, 韦应欣","Microbial Community Composition and Diversity Characteristics of Lithophytic Moss Biocrusts of Qinling Mountains",2022,"Acta Bot. Boreal.-Occident. Sin.","xbzwxb.cnjournals.com","http://xbzwxb.cnjournals.com/xbzwxben/article/abstract/20220918","https://scholar.google.com/scholar?cites=5948480951815025191&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-03 08:42:11","","","","",,,,,4,2.00,1,3,2,": 苔藓结皮是地表重要的活性覆盖物, 具有改善土壤性状, 固土持水, 固碳固氮等多种生态功能, 微生物群落是苔藓结皮发挥生态功能的主要成分. 为了探究湿润区石生苔藓结皮的微生物群落组成…","http://xbzwxb.cnjournals.com/xbzwxben/article/pdf/20220918","https://scholar.google.com/scholar?q=related:J7Icxug_jVIJ:scholar.google.com/&scioq=moss*+%22community+composition%22&hl=en&as_sdt=2007"
120,"R Gabriel, JW Bates","Bryophyte community composition and habitat specificity in the natural forests of Terceira, Azores",2005,"Plant ecology","Springer","https://link.springer.com/article/10.1007/s11258-005-2243-6","https://scholar.google.com/scholar?cites=13299741441207084477&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-03 08:42:11","","10.1007/s11258-005-2243-6","","",,,,,120,6.32,60,2,19,"… ana , two species were mosses Hypnum uncinulatum and Thuidium tamariscinum and one was a fern Hymenophyllum tunbrigense . Twenty two cryptogamic species were present in …","https://link.springer.com/content/pdf/10.1007/s11258-005-2243-6.pdf","https://scholar.google.com/scholar?q=related:vaWwL2AskrgJ:scholar.google.com/&scioq=moss*+%22community+composition%22&hl=en&as_sdt=2007"
