Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"SP Hoss, DL Moss","Heat conduction apparatus providing for selective configuration for heat conduction",2010,"US Patent 7,719,839","Google Patents","https://patents.google.com/patent/US7719839B2/en","https://scholar.google.com/scholar?cites=15936425877755936965&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-03 08:37:42","","","","",,,,,12,0.86,6,2,14,"… more particularly to a heat conduction apparatus for use with an information handling system, the heat conduction apparatus allowing for the selective use of multiple fluids for cooling. …","https://patentimages.storage.googleapis.com/02/38/26/26daaae0808eb7/US7719839.pdf","https://scholar.google.com/scholar?q=related:xUD8qOaOKd0J:scholar.google.com/&scioq=moss*+%22heat+conduction%22&hl=en&as_sdt=2007"
49,"H Park, S Launiainen, PY Konstantinov…","Modeling the effect of moss cover on soil temperature and carbon fluxes at a tundra site in northeastern Siberia",2018,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2018jg004491","https://scholar.google.com/scholar?cites=4958760740448732755&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-03 08:37:42","","10.1029/2018jg004491","","",,,,,49,8.17,12,4,6,"… these separate moss parts to create a two-layer moss profile and … moss layer was calculated using the 1-D heat conduction … G s is the heat conduction from the bottom snow layer when …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018JG004491","https://scholar.google.com/scholar?q=related:U4aZ7J4O0UQJ:scholar.google.com/&scioq=moss*+%22heat+conduction%22&hl=en&as_sdt=2007"
197,"JA O'Donnell, VE Romanovsky, JW Harden…","The effect of moisture content on the thermal conductivity of moss and organic soil horizons from black spruce ecosystems in interior Alaska",2009,"Soil …","journals.lww.com","https://journals.lww.com/soilsci/fulltext/2009/12000/The_Effect_of_Moisture_Content_on_the_Thermal.2.aspx","https://scholar.google.com/scholar?cites=18315986973597956049&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-03 08:37:42","","","","",,,,,197,13.13,49,4,15,"… Our findings suggest that a shift toward Sphagnum-dominated from feather moss-dominated ecosystems could enhance heat conduction through organic horizons via wetter soil …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=202bd6259c9ed46d987f9383a0a8b9b4c5dd82eb","https://scholar.google.com/scholar?q=related:0ff8Nxx1L_4J:scholar.google.com/&scioq=moss*+%22heat+conduction%22&hl=en&as_sdt=2007"
9,"S Li, F Sun, S Chamizo, B Xiao","Towards moss-dominated biocrust effects on soil temperature across seasons in drylands: Insight from continuous measurements of soil thermal properties and solar …",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S001670612200218X","https://scholar.google.com/scholar?cites=2865133962421217111&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-03 08:37:42","","","","",,,,,9,4.50,2,4,2,"… In this study, we continuously measured thermal properties of moss-dominated biocrusts and bare … In conclusion, moss-dominated biocrusts have great regulating effects on surface soil …","","https://scholar.google.com/scholar?q=related:VycGoCgAwycJ:scholar.google.com/&scioq=moss*+%22heat+conduction%22&hl=en&as_sdt=2007"
4,"V Stepanenko, I Repina, A Artamonov","Derivation of heat conductivity from temperature and heat flux measurements in soil",2021,"Land","mdpi.com","https://www.mdpi.com/2073-445X/10/6/552","https://scholar.google.com/scholar?cites=206381742762416376&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-03 08:37:42","HTML","","","",,,,,4,1.33,1,3,3,"… for this water-saturated moss layer given the measured water … , we sampled the top of the moss layer to obtain the values of … law”) for the heat conduction problem provides a convenient …","https://www.mdpi.com/2073-445X/10/6/552","https://scholar.google.com/scholar?q=related:-Nh6ARo33QIJ:scholar.google.com/&scioq=moss*+%22heat+conduction%22&hl=en&as_sdt=2007"
142,"M Hayashi, N Goeller, WL Quinton…","A simple heat‐conduction method for simulating the frost‐table depth in hydrological models",2007,"… An International Journal","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.6792","https://scholar.google.com/scholar?cites=310658206221472230&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-03 08:37:42","","10.1002/hyp.6792","","",,,,,142,8.35,36,4,17,"… Core 1 was sampled from moss-covered ground, and Core 2 from lichen-covered ground. The moss profile had much higher total moisture content than the lichen profile in the top 0Ð25 …","http://www.scottycreek.com/media/documents/publications/24_Hayashi_etal_2007.pdf","https://scholar.google.com/scholar?q=related:5hFkHP6tTwQJ:scholar.google.com/&scioq=moss*+%22heat+conduction%22&hl=en&as_sdt=2007"
1,"K Yasui, A Tanaka, K Ito, M Fujisaki, H Kinoshita","Experimental and numerical analyses of temperature-reducing-effect by heat of water evaporation on a moss-greening ceramic utilizing waste silica",2018,"Materials","mdpi.com","https://www.mdpi.com/1996-1944/11/9/1548","https://scholar.google.com/scholar?cites=10975473426329452852&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-03 08:37:42","HTML","","","",,,,,1,0.17,0,5,6,"… In the bottom of the sample, heat conduction occurs between the sample and floor. In addition, heat necessary for the water evaporation must be absorbed from the sample, through …","https://www.mdpi.com/1996-1944/11/9/1548","https://scholar.google.com/scholar?q=related:NEEbQu62UJgJ:scholar.google.com/&scioq=moss*+%22heat+conduction%22&hl=en&as_sdt=2007"
11,"S Li, MA Bowker, S Chamizo, B Xiao","Effects of moss biocrusts on near-surface soil moisture are underestimated in drylands: Insights from a heat-pulse soil moisture sensor",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706122000702","https://scholar.google.com/scholar?cites=16648537959913028337&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-03 08:37:42","","","","",,,,,11,5.50,3,4,2,"… in investigating the surface θ differences between moss-dominated biocrusts and bare soil … In conclusion, the θ differences between moss-dominated biocrusts and bare soil are mostly …","https://www.sciencedirect.com/science/article/am/pii/S0016706122000702","https://scholar.google.com/scholar?q=related:8fo4GhF9C-cJ:scholar.google.com/&scioq=moss*+%22heat+conduction%22&hl=en&as_sdt=2007"
20,"R Kittinaradorn, D Ruffolo…","Solar moss patterns: heating of coronal loops by turbulence and magnetic connection to the footpoints",2009,"The Astrophysical …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/0004-637X/702/2/L138/meta","https://scholar.google.com/scholar?cites=9497767341615656429&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-03 08:37:42","","10.1088/0004-637X/702/2/L138","","",,,,,20,1.33,7,3,15,"… on turbulent, patchy heat conduction from the corona into the … is followed by heat conduction along turbulent magnetic field … network of bright regions in the observed moss morphology. …","https://iopscience.iop.org/article/10.1088/0004-637X/702/2/L138/pdf","https://scholar.google.com/scholar?q=related:7a1ObBPZzoMJ:scholar.google.com/&scioq=moss*+%22heat+conduction%22&hl=en&as_sdt=2007"
18,"K Moss","Heat and mass transfer in building services design",2002,"","api.taylorfrancis.com","https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203477380&type=googlepdf","https://scholar.google.com/scholar?cites=17860615324624932334&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-03 08:37:42","BOOK","","","",,,,,18,0.82,18,1,22,"… 29 2.4 Heat conduction in ground floors 33 2.5 Heat conduction in suspended ground floors … Heat conduction Qed takes place at points of physical contact. It constitutes a small …","","https://scholar.google.com/scholar?q=related:7s0qFgKn3fcJ:scholar.google.com/&scioq=moss*+%22heat+conduction%22&hl=en&as_sdt=2007"
