Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"M Roig‐Oliver, C Douthe, J Bota…","Cell wall thickness and composition are related to photosynthesis in Antarctic mosses",2021,"Physiologia …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/ppl.13533","https://scholar.google.com/scholar?cites=7710673535756241682&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-02 09:13:31","","10.1111/ppl.13533","","",,,,,12,4.00,3,4,3,"… From these pictures, the estimation of leaf thickness (T leaf ) was addressed in all replicates. Additionally, mesophyll thickness (T mes ) and the fraction of mesophyll intercellular air …","","https://scholar.google.com/scholar?q=related:EovBVbrQAWsJ:scholar.google.com/&scioq=moss*+%22leaf+thickness%22&hl=en&as_sdt=2007"
12,"J Krupa","Photosynthesis rate in moss leaves of various anatomical structure",1978,"Acta Societatis Botanicorum Poloniae","pbsociety.org.pl","https://pbsociety.org.pl/journals/index.php/asbp/article/view/4892","https://scholar.google.com/scholar?cites=6132916317819089639&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-02 09:13:31","","","","",,,,,12,0.26,12,1,46,"… On the basis of measurements of the rate of gas exchange in the leaves of mosses the … These points differentiate mosses into photo-and sciophilous ones. Moss species such as: Mnium …","https://pbsociety.org.pl/journals/index.php/asbp/article/download/asbp.1978.035/4137","https://scholar.google.com/scholar?q=related:57LNwOV-HFUJ:scholar.google.com/&scioq=moss*+%22leaf+thickness%22&hl=en&as_sdt=2007"
24,"Ü Niinemets, M Tobias","Canopy leaf area index at its higher end: dissection of structural controls from leaf to canopy scales in bryophytes",2019,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15767","https://scholar.google.com/scholar?cites=14543769182368242104&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-02 09:13:31","","10.1111/nph.15767","","",,,,,24,4.80,12,2,5,"… We note that the leaf thickness varies across species as … LAI in mosses is associated with lower leaf thickness, implying … Eqn 1) more strongly in mosses than in most vascular plants (…","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15767","https://scholar.google.com/scholar?q=related:uBlV4gPZ1ckJ:scholar.google.com/&scioq=moss*+%22leaf+thickness%22&hl=en&as_sdt=2007"
0,"T Wuyun, L Zhang, T Tosens, B Liu, K Mark…","Extremely thin but very robust: Surprising cryptogam trait combinations at the end of the leaf economics spectrum",2024,"Plant Diversity","Elsevier","https://www.sciencedirect.com/science/article/pii/S2468265924000623","",4,"2024-07-02 09:13:31","HTML","","","",,,,,0,0.00,0,6,1,"… LMA and its components, leaf thickness (LT) and density (LD)… We found that mosses and spikemosses had the lowest LMA … on average of LMA and leaf thickness from different leaves. …","https://www.sciencedirect.com/science/article/pii/S2468265924000623","https://scholar.google.com/scholar?q=related:9tHDRje73KkJ:scholar.google.com/&scioq=moss*+%22leaf+thickness%22&hl=en&as_sdt=2007"
2,"K Coe, B Carter, M Slate…","Moss functional trait ecology: Trends, gaps, and biases in the current literature",2024,"American journal of …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.16288","https://scholar.google.com/scholar?cites=10866283802779178679&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-02 09:13:31","","10.1002/ajb2.16288","","",,,,,2,2.00,1,4,1,"… the literature on moss functional traits. We focused our analyses on mosses as the most … last 45 years, from 1979 (the first published moss functional trait record) to 2023 (for details on …","https://scholar.google.com/scholar?output=instlink&q=info:t9Y77YvLzJYJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=4869507712215973245&oi=lle","https://scholar.google.com/scholar?q=related:t9Y77YvLzJYJ:scholar.google.com/&scioq=moss*+%22leaf+thickness%22&hl=en&as_sdt=2007"
245,"PS NOBEL","Internal Leaf Area and Cellular CO2 Resistance: Photosynthetic Implications of Variations with Growth Conditions and Plant Species",1977,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.1977.tb01510.x","https://scholar.google.com/scholar?cites=6351723572211055306&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-02 09:13:31","","10.1111/j.1399-3054.1977.tb01510.x","","",,,,,245,5.21,245,1,47,"… potential during development on the leaf thickness for Plectranthus parviflorus Henckel … where light saturation was reached varied with leaf thickness and ^™V/<. Eor the moss, /t™V/l …","","https://scholar.google.com/scholar?q=related:ynodoe_aJVgJ:scholar.google.com/&scioq=moss*+%22leaf+thickness%22&hl=en&as_sdt=2007"
36,"ML Slate, TN Rosenstiel, SM Eppley","Sex-specific morphological and physiological differences in the moss Ceratodon purpureus (Dicranales)",2017,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/120/5/845/3947929","https://scholar.google.com/scholar?cites=4292901723867819430&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-02 09:13:31","","","","",,,,,36,5.14,12,3,7,"… In addition to impacts on water relations and reproduction, differences in leaf thickness between the sexes could also influence how the sexes interact with the biotic community. In …","https://academic.oup.com/aob/article/120/5/845/3947929","https://scholar.google.com/scholar?q=related:pq3Ngl9zkzsJ:scholar.google.com/&scioq=moss*+%22leaf+thickness%22&hl=en&as_sdt=2007"
10,"W Konings, K Boyd, R Andersen","Comparison of plant traits of sedges, shrubs and Sphagnum mosses between sites undergoing forest-to-bog restoration and near-natural open blanket bog: a pilot …",2019,"Mires and Peat","pure.uhi.ac.uk","https://pure.uhi.ac.uk/en/publications/comparison-of-plant-traits-of-sedges-shrubs-and-sphagnum-mosses-b","https://scholar.google.com/scholar?cites=11844396517630807842&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-02 09:13:31","","","","",,,,,10,2.00,3,3,5,"… Pérez-Harguindeguy et al. 2013); and because there is a strong correlation between SLA and leaf thickness and density, small differences in leaf thickness can cause significant …","https://pure.uhi.ac.uk/files/3572118/map_23_07.pdf","https://scholar.google.com/scholar?q=related:Ig9C5OC_X6QJ:scholar.google.com/&scioq=moss*+%22leaf+thickness%22&hl=en&as_sdt=2007"
6,"EI Barker","An examination of leaf morphogenesis in the moss, Physcomitrella patens",2011,"","ourspace.uregina.ca","https://ourspace.uregina.ca/bitstream/handle/10294/3530/Barker_Elizabeth_184020055_PhD_BIOL_SPRING2012.pdf","https://scholar.google.com/scholar?cites=4943101722583705304&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-02 09:13:31","PDF","","","",,,,,6,0.46,6,1,13,"… The leaves of the moss are similar in form to vascular plant leaves although leaves evolved … trajectory of moss leaves. Photomicroscopy and measurement of moss leaves were …","https://ourspace.uregina.ca/bitstream/handle/10294/3530/Barker_Elizabeth_184020055_PhD_BIOL_SPRING2012.pdf","https://scholar.google.com/scholar?q=related:2CY5t9NsmUQJ:scholar.google.com/&scioq=moss*+%22leaf+thickness%22&hl=en&as_sdt=2007"
454,"MR Slaton, E Raymond Hunt Jr…","Estimating near‐infrared leaf reflectance from leaf structural characteristics",2001,"American journal of …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.2307/2657019","https://scholar.google.com/scholar?cites=4189181580026160506&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-02 09:13:31","","10.2307/2657019","","",,,,,454,19.74,151,3,23,"… leaf thickness and leaf NIRR. Therefore, our data indicate A mes /A may be a better predictor of NIRR than leaf thickness. … For other species with greater variation in leaf thickness and A …","https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.2307/2657019","https://scholar.google.com/scholar?q=related:eqURqXP2IjoJ:scholar.google.com/&scioq=moss*+%22leaf+thickness%22&hl=en&as_sdt=2007"
