Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
32,"K Rousk, A Michelsen","The sensitivity of moss-associated nitrogen fixation towards repeated nitrogen input",2016,"PLoS One","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0146655","https://scholar.google.com/scholar?cites=2429411352504063915&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-01 11:48:46","HTML","","","",,,,,32,4.00,16,2,8,"… In boreal forest and subarctic tundra, the feather moss Hylocomium … However, N 2 fixation in mosses is inhibited by N input. … Nitrogen fixation in the moss was inhibited by the highest N …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0146655","https://scholar.google.com/scholar?q=related:q1dO58AAtyEJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
111,"O Zackrisson, TH DeLuca, F Gentili, A Sellstedt…","Nitrogen fixation in mixed Hylocomium splendens moss communities",2009,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-009-1299-8","https://scholar.google.com/scholar?cites=15237474308775622726&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-01 11:48:46","HTML","10.1007/s00442-009-1299-8","","",,,,,111,7.40,22,5,15,"… The pleurocarpus feather moss, Hylocomium splendens, is one of two co-dominant moss species in boreal forest ecosystems and one of the most common mosses on earth, yet little is …","https://link.springer.com/article/10.1007/s00442-009-1299-8","https://scholar.google.com/scholar?q=related:Rji2-CZidtMJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
19,"Z Kosonen, A Thimonier, E Schnyder, L Thöni","Nitrogen concentration in moss compared with N load in precipitation and with total N deposition in Switzerland",2018,"Environmental Pollution","Elsevier","https://www.sciencedirect.com/science/article/pii/S0269749117345189","https://scholar.google.com/scholar?cites=15575639328329659511&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-01 11:48:46","","","","",,,,,19,3.17,5,4,6,"… mosses as biomonitors for measuring N deposition by comparing the N concentration in moss … the comparison to the dry deposition of gases (nitrogen dioxide, nitric acid, ammonia) and …","https://scholar.google.com/scholar?output=instlink&q=info:d3SxInLJJ9gJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=14686605098204926112&oi=lle","https://scholar.google.com/scholar?q=related:d3SxInLJJ9gJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
54,"HF Armitage, AJ Britton, R van der Wal…","Nitrogen deposition enhances moss growth, but leads to an overall decline in habitat condition of mountain moss‐sedge heath",2012,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2011.02493.x","https://scholar.google.com/scholar?cites=2623491672784914580&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-01 11:48:46","","10.1111/j.1365-2486.2011.02493.x","","",,,,,54,4.50,14,4,12,"… In contrast to previous experimental studies, we found moss … Despite increased growth rates, we found that moss mat … in the moss mat, which ultimately leads to loss of moss cover and …","","https://scholar.google.com/scholar?q=related:lEiKy8aDaCQJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
74,"JH Markham","Variation in moss-associated nitrogen fixation in boreal forest stands",2009,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-009-1391-0","https://scholar.google.com/scholar?cites=5217775368437370059&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-01 11:48:46","HTML","10.1007/s00442-009-1391-0","","",,,,,74,4.93,74,1,15,"… The purpose of this study was to examine nitrogen fixation in understory mosses, and to determine how the rate of fixation varies over a season and how climate, canopy structure and …","https://link.springer.com/article/10.1007/s00442-009-1391-0","https://scholar.google.com/scholar?q=related:ywx-eQ1DaUgJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
6,"C Du, Q Guo, J Zhang","A review on moss nitrogen and isotope signatures evidence for atmospheric nitrogen deposition",2022,"Science of The Total Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969721058435","https://scholar.google.com/scholar?cites=7747852776236176105&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-01 11:48:46","","","","",,,,,6,3.00,2,3,2,"… Any article that met the following criteria was incorporated into the present analysis: moss N content was calculated at species level, the moss grows in terrestrial ecosystems, moss N …","","https://scholar.google.com/scholar?q=related:6dKU0wznhWsJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
36,"E Du, X Liu, J Fang","Effects of nitrogen additions on biomass, stoichiometry and nutrient pools of moss Rhytidium rugosum in a boreal forest in Northeast China",2014,"Environmental pollution","Elsevier","https://www.sciencedirect.com/science/article/pii/S0269749114000529","https://scholar.google.com/scholar?cites=17949908397321287771&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-01 11:48:46","","","","",,,,,36,3.60,12,3,10,"… nitrogen (N) deposition has been enhanced with anthropogenic N emissions, and its impacts on mosses … influence the biomass and stoichiometry of moss Rhytidium rugosum, using a 3-…","https://scholar.google.com/scholar?output=instlink&q=info:W_girZXiGvkJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=9768885343574329537&oi=lle","https://scholar.google.com/scholar?q=related:W_girZXiGvkJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
98,"K Rousk, J Degboe, A Michelsen, R Bradley…","Molybdenum and phosphorus limitation of moss‐associated nitrogen fixation in boreal ecosystems",2017,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.14331","https://scholar.google.com/scholar?cites=12201682075703708185&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-01 11:48:46","","10.1111/nph.14331","","",,,,,98,14.00,20,5,7,"… nitrogen fixation (BNF) performed by moss-associated cyanobacteria is one of the main sources of new nitrogen (N… BNF in dominant mosses was measured with the acetylene reduction …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/nph.14331","https://scholar.google.com/scholar?q=related:GQqSWDMVVakJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
82,"HG Zechmeister, A Richter, S Smidt…","Total Nitrogen Content and δ15N Signatures in Moss Tissue: Indicative Value for Nitrogen Deposition Patterns and Source Allocation on a Nationwide Scale",2008,"Environmental …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/es801865d","https://scholar.google.com/scholar?cites=7816551018394096423&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-01 11:48:46","","10.1021/es801865d","","",,,,,82,5.13,21,4,16,"… mosses reflects N deposition better than N concentration of most of the other plant species. This is because mosses obtain nitrogen … soil nitrogen. To date, the analysis of the N content of …","https://pubs.acs.org/doi/full/10.1021/es801865d","https://scholar.google.com/scholar?q=related:JxMZxLz3eWwJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
21,"VI Egorov","The nitrogen regime and biological fixation of nitrogen in moss communities (the Khibiny Mountains)",2007,"Eurasian soil science","Springer","https://link.springer.com/article/10.1134/S1064229307040138","https://scholar.google.com/scholar?cites=11768466417127835386&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-01 11:48:46","","10.1134/S1064229307040138","","",,,,,21,1.24,21,1,17,"… -fixing microorganisms in moss communities are of great … study the nitrogen regime in the substrate under different moss species … in the process of nitrogen fixation in moss communities. …","https://link.springer.com/content/pdf/10.1134/S1064229307040138.pdf","https://scholar.google.com/scholar?q=related:-sYEuNr9UaMJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
17,"BY Liu, CY Lei, WQ Liu","Nitrogen addition exacerbates the negative effects of low temperature stress on carbon and nitrogen metabolism in moss",2017,"Frontiers in plant science","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2017.01328/full","https://scholar.google.com/scholar?cites=5969875842616787001&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-01 11:48:46","HTML","10.3389/fpls.2017.01328","","",,,,,17,2.43,6,3,7,"… by LTS in the mosses was reversible, permitting PSII function overcompensation. As expected, nitrogen addition decreased the compensation ability of PSII function in the mosses. …","https://www.frontiersin.org/articles/10.3389/fpls.2017.01328/full","https://scholar.google.com/scholar?q=related:OQBc-HJC2VIJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
155,"K Rousk, DL Jones, TH DeLuca","Moss-cyanobacteria associations as biogenic sources of nitrogen in boreal forest ecosystems",2013,"Frontiers in microbiology","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fmicb.2013.00150/full","https://scholar.google.com/scholar?cites=2352522107657358129&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-01 11:48:46","HTML","10.3389/fmicb.2013.00150","","",,,,,155,14.09,52,3,11,"… living in association with mosses, contributing up to 50% … moss-cyanobacteria associations to gain a deeper understanding of their role for ecosystem-N-cycling. Nitrogen fixation in moss…","https://www.frontiersin.org/articles/10.3389/fmicb.2013.00150/full","https://scholar.google.com/scholar?q=related:MYsriWTWpSAJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
31,"S Bakken","Effects of nitrogen supply and irradiance on growth and nitrogen status in the moss Dicranum majus from differently polluted areas",1995,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.1995.18.4.707","https://scholar.google.com/scholar?cites=1384882140463282121&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-01 11:48:46","","10.1179/jbr.1995.18.4.707","","",,,,,31,1.07,31,1,29,"… not differ between nitrogen and light treatments, moss growth was presumably … nitrogen increased with increasing nitrogen supply in moss plants from both sites. Accumulated nitrogen …","","https://scholar.google.com/scholar?q=related:ybcYJvgWOBMJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
126,"E Ayres, R Van der Wal, M Sommerkorn…","Direct uptake of soil nitrogen by mosses",2006,"Biology …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rsbl.2006.0455","https://scholar.google.com/scholar?cites=8296483672012081627&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-01 11:48:46","","10.1098/rsbl.2006.0455","","",,,,,126,7.00,32,4,18,"… , that mosses derive N from the soil. Given the broad physiological and taxonomic differences between these moss species, we suggest soil N uptake may be common among mosses, …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1618885/","https://scholar.google.com/scholar?q=related:28kba_EHI3MJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
18,"Y Oishi","Moss as an indicator of transboundary atmospheric nitrogen pollution in an alpine ecosystem",2019,"Atmospheric Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S1352231019302201","https://scholar.google.com/scholar?cites=15516881694399522559&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-01 11:48:46","","","","",,,,,18,3.60,18,1,5,"… Increased atmospheric nitrogen (N) pollution affects N deposition in alpine ecosystems. Moss often … Here, we used a single moss species (Hylocomium splendens) as a bioindicator of …","","https://scholar.google.com/scholar?q=related:_-ZxaLAJV9cJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
157,"H Harmens, DA Norris, DM Cooper, G Mills…","Nitrogen concentrations in mosses indicate the spatial distribution of atmospheric nitrogen deposition in Europe",2011,"Environmental …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0269749111002491","https://scholar.google.com/scholar?cites=903881935231288659&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-01 11:48:46","","","","",,,,,157,12.08,31,5,13,"… of the total nitrogen concentration in mosses across Europe in … total nitrogen deposition to i) identify the main nitrogen … nitrogen concentration in mosses and EMEP modelled total …","https://www.osti.gov/etdeweb/biblio/21586116","https://scholar.google.com/scholar?q=related:U4VaxNQ7iwwJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
67,"K Basilier","Moss-associated nitrogen fixation in some mire and coniferous forest environments around Uppsala, Sweden",1979,"Lindbergia","JSTOR","https://www.jstor.org/stable/20149332","https://scholar.google.com/scholar?cites=14766821538012849047&as_sdt=2005&sciodt=2007&hl=en",17,"2024-07-01 11:48:46","","","","",,,,,67,1.49,67,1,45,"… Moss-associated nitrogen (C2H2) fixation in some confierous forest sites investigated close to Uppsala, Sweden, was low, apparently heterotrophic and could only be shown on …","https://www.jstor.org/stable/pdf/20149332.pdf","https://scholar.google.com/scholar?q=related:l-PXavNJ7swJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
19,"M Renaudin, C Blasi, RL Bradley…","New insights into the drivers of moss‐associated nitrogen fixation and cyanobacterial biomass in the eastern Canadian boreal forest",2022,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13881","https://scholar.google.com/scholar?cites=14619930721650390352&as_sdt=2005&sciodt=2007&hl=en",18,"2024-07-01 11:48:46","","10.1111/1365-2745.13881","","",,,,,19,9.50,5,4,2,"… drivers of moss-associated … moss–cyanobacteria associations, which would greatly help in better predicting the impacts of global change on this symbiosis and on nitrogen …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2745.13881","https://scholar.google.com/scholar?q=related:ULXKGIht5MoJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
48,"A Solga, JP Frahm","Nitrogen accumulation by six pleurocarpous moss species and their suitability for monitoring nitrogen deposition",2006,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/174328206X104552","https://scholar.google.com/scholar?cites=8988059343518207459&as_sdt=2005&sciodt=2007&hl=en",19,"2024-07-01 11:48:46","","10.1179/174328206X104552","","",,,,,48,2.67,24,2,18,"… This study reports on a fertilization experiment with the six pleurocarpous moss species … The mosses were fertilized over a period of 12 months with nitrogen in the form of three …","","https://scholar.google.com/scholar?q=related:442IJloAvHwJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
56,"K Rousk, J Rousk, DL Jones, O Zackrisson…","Feather moss nitrogen acquisition across natural fertility gradients in boreal forests",2013,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071713000679","https://scholar.google.com/scholar?cites=185995425488530266&as_sdt=2005&sciodt=2007&hl=en",20,"2024-07-01 11:48:46","","","","",,,,,56,5.09,11,5,11,"… availability in the soil, suggesting that the moss can cover its nutrient demand by absorption of … , that the moss can represent a (temporary) N-sink in the boreal forest, and that the moss' …","","https://scholar.google.com/scholar?q=related:WmsXotrJlAIJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
124,"E Van Der Heijden, SK Verbeek…","Elevated atmospheric CO2 and increased nitrogen deposition: effects on C and N metabolism and growth of the peat moss Sphagnum recurvum P. Beauv. var …",2000,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2486.2000.00303.x","https://scholar.google.com/scholar?cites=18000578453696605357&as_sdt=2005&sciodt=2007&hl=en",21,"2024-07-01 11:48:46","","10.1046/j.1365-2486.2000.00303.x","","",,,,,124,5.17,41,3,24,"… nitrogen content in capitula but not in stems at all nitrogen deposition rates. Reduction in total nitrogen … increased leaching of nitrogen through the moss carpet, increasing the supply of …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-2486.2000.00303.x","https://scholar.google.com/scholar?q=related:rewihLvmzvkJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
180,"R Van der Wal, ISK Pearce, RW Brooker","Mosses and the struggle for light in a nitrogen-polluted world",2005,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-004-1706-0","https://scholar.google.com/scholar?cites=15930595037229214040&as_sdt=2005&sciodt=2007&hl=en",22,"2024-07-01 11:48:46","HTML","10.1007/s00442-004-1706-0","","",,,,,180,9.47,60,3,19,"… of nitrogen (N) deposition was determined on three mosses … moss growth as an indirect N deposition effect relative to the direct toxic effects of N. The amount of light reaching the moss …","https://link.springer.com/article/10.1007/s00442-004-1706-0","https://scholar.google.com/scholar?q=related:WOmlTsjXFN0J:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
90,"RD Bowden","Inputs, outputs, and accumulation of nitrogen in an early successional moss (Polytrichum) ecosystem",1991,"Ecological Monographs","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1943008","https://scholar.google.com/scholar?cites=13824115159776270596&as_sdt=2005&sciodt=2007&hl=en",23,"2024-07-01 11:48:46","","10.2307/1943008","","",,,,,90,2.73,90,1,33,"… total ecosystem nitrogen accumulation in a moss (Poly… moss ecosystem is in contrast to many other primary successional systems where N2 fixation is the dominant source ofN. Nitrogen …","https://www.jstor.org/stable/pdf/1943008.pdf","https://scholar.google.com/scholar?q=related:BJmOmH4f2b8J:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
626,"TH DeLuca, O Zackrisson, MC Nilsson, A Sellstedt","Quantifying nitrogen-fixation in feather moss carpets of boreal forests",2002,"Nature","nature.com","https://www.nature.com/articles/nature01051","https://scholar.google.com/scholar?cites=2457240286702238148&as_sdt=2005&sciodt=2007&hl=en",24,"2024-07-01 11:48:46","","","","",,,,,626,28.45,157,4,22,"… schreberi, we collected moss samples from 27 field sites in northern Sweden, Norway and … Nitrogen-fixation rates associated with the moss were estimated by measuring acetylene …","https://go.gale.com/ps/i.do?id=GALE%7CA187551734&sid=googleScholar&v=2.1&it=r&linkaccess=fulltext&issn=00280836&p=HRCA&sw=w","https://scholar.google.com/scholar?q=related:xHmqkAXfGSIJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
135,"AR Aldous","Nitrogen translocation in Sphagnum mosses: effects of atmospheric nitrogen deposition",2002,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1046/j.1469-8137.2002.00518.x","https://scholar.google.com/scholar?cites=14678696869455849804&as_sdt=2005&sciodt=2007&hl=en",25,"2024-07-01 11:48:46","","10.1046/j.1469-8137.2002.00518.x","","",,,,,135,6.14,135,1,22,"… Nitrogen translocation was an important process for the N budget of the Sphagnum mosses, … deposition for the N budget of the mosses. Contrary to expectations, N translocation was …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1046/j.1469-8137.2002.00518.x","https://scholar.google.com/scholar?q=related:TOmNHQg1tcsJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
126,"K Basilier, U Granhall, TA Stenström","Nitrogen fixation in wet minerotrophic moss communities of a subarctic mire",1978,"Oikos","JSTOR","https://www.jstor.org/stable/3543568","https://scholar.google.com/scholar?cites=199825997643007184&as_sdt=2005&sciodt=2007&hl=en",26,"2024-07-01 11:48:46","","","","",,,,,126,2.74,42,3,46,"… of the little known moss-algal associations … moss plants, as well as temporal variations, were studied. Effects of environmental factors and the significance of nitrogen fixation for moss …","https://www.jstor.org/stable/pdf/3543568.pdf","https://scholar.google.com/scholar?q=related:0ERmpq_sxQIJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
25,"YP Dong, XY Liu, XC Sun, W Song, XD Zheng…","Inter-species and intra-annual variations of moss nitrogen utilization: implications for nitrogen deposition assessment",2017,"Environmental …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0269749117308254","https://scholar.google.com/scholar?cites=2479246987986991925&as_sdt=2005&sciodt=2007&hl=en",27,"2024-07-01 11:48:46","","","","",,,,,25,3.57,4,6,7,"… Moss nitrogen (N) concentrations and natural 15 N abundance (δ 15 N … moss species and one-off sampling were often used among extant studies, it remains unclear whether moss N …","https://drive.google.com/file/d/1FiJBQeAi5yI5fH0JEn1fKvXvNTxt71pG/view","https://scholar.google.com/scholar?q=related:Nftr_f8NaCIJ:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
134,"TH DeLuca, O Zackrisson, F Gentili, A Sellstedt…","Ecosystem controls on nitrogen fixation in boreal feather moss communities",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-006-0626-6","https://scholar.google.com/scholar?cites=12490844509372985048&as_sdt=2005&sciodt=2007&hl=en",28,"2024-07-01 11:48:46","HTML","10.1007/s00442-006-0626-6","","",,,,,134,7.88,27,5,17,"… feather moss … mosses with successional stage. We conducted a reciprocal transplant experiment to assess factors in both early and late succession that control N fixation in feather moss …","https://link.springer.com/article/10.1007/s00442-006-0626-6","https://scholar.google.com/scholar?q=related:2K7Q5eZkWK0J:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
135,"A Berg, Å Danielsson, BH Svensson","Transfer of fixed-N from N2-fixing cyanobacteria associated with the moss Sphagnum riparium results in enhanced growth of the moss",2013,"Plant and soil","Springer","https://link.springer.com/article/10.1007/s11104-012-1278-4","https://scholar.google.com/scholar?cites=9123226282578342481&as_sdt=2005&sciodt=2007&hl=en",29,"2024-07-01 11:48:46","HTML","10.1007/s11104-012-1278-4","","",,,,,135,12.27,45,3,11,"… nitrogenous compounds were incorporated into the moss biomass, nor to what the extent the fixed nitrogen was used by the moss. … (1980) attempted to determine the effect of nitrogen …","https://link.springer.com/article/10.1007/s11104-012-1278-4","https://scholar.google.com/scholar?q=related:UfKWkvc1nH4J:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
19,"K Rousk","Biotic and abiotic controls of nitrogen fixation in cyanobacteria–moss associations",2022,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.18264","https://scholar.google.com/scholar?cites=11362785524060290715&as_sdt=2005&sciodt=2007&hl=en",30,"2024-07-01 11:48:46","","10.1111/nph.18264","","",,,,,19,9.50,19,1,2,"… Sphagnum mosses with other mosses. Nitrogen fixation associated with Sphagnum can be several orders of magnitude higher than activity associated with other widespread mosses …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.18264","https://scholar.google.com/scholar?q=related:m36QRDu5sJ0J:scholar.google.com/&scioq=moss*+nitrogen&hl=en&as_sdt=2007"
