Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
23,"X Liu, Z Wang, X Li, K Rousk, W Bao","High nitrogen resorption efficiency of forest mosses",2020,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/125/4/557/5678559","https://scholar.google.com/scholar?cites=15762026950403576231&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-03 09:45:15","","","","",,,,,23,5.75,5,5,4,"… Nutrient resorption from senescing tissue is a key mechanism for plants to … from mosses hampers our understanding of the role of mosses as N sources and, thereby, N cycling in moss-…","https://academic.oup.com/aob/article/125/4/557/5678559","https://scholar.google.com/scholar?q=related:p1HwJgD4vdoJ:scholar.google.com/&scioq=moss*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
109,"M Wang, MT Murphy, TR Moore","Nutrient resorption of two evergreen shrubs in response to long-term fertilization in a bog",2014,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-013-2784-7","https://scholar.google.com/scholar?cites=17512483188318971994&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-03 09:45:15","HTML","10.1007/s00442-013-2784-7","","",,,,,109,10.90,36,3,10,"… In ombrotrophic peatlands, we anticipate that nutrient resorption is … However, recent reviews of nutrient resorption mainly … Sphagnum mosses survive only in some of the plots with low …","https://link.springer.com/article/10.1007/s00442-013-2784-7","https://scholar.google.com/scholar?q=related:WqjAtqzWCPMJ:scholar.google.com/&scioq=moss*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
14,"SI Lang, R Aerts, RSP van Logtestijn…","Mapping nutrient resorption efficiencies of subarctic cryptogams and seed plants onto the Tree of Life",2014,"Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.1079","https://scholar.google.com/scholar?cites=9335988438187378175&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-03 09:45:15","","10.1002/ece3.1079","","",,,,,14,1.40,4,4,10,"… in mosses often consists of several years’ growth (calculation see below). Mosses were … , including all sampled liverworts and a few mosses. Younger versus older “green” tissue of …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.1079","https://scholar.google.com/scholar?q=related:_wVQNQUYkIEJ:scholar.google.com/&scioq=moss*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
7,"LM van Heerwaarden","From leaf to litter: nutrient resorption in a changing environment",2004,"","research.vu.nl","https://research.vu.nl/files/42171859/complete%20dissertation.pdf","https://scholar.google.com/scholar?cites=6548523384008642867&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-03 09:45:15","PDF","","","",,,,,7,0.35,7,1,20,"3 nutrient resorption proficiency thus show low nutrient litter … lead to incomplete leaf nutrient resorption are for instance frost… the variation in nutrient resorption proficiency among different …","https://research.vu.nl/files/42171859/complete%20dissertation.pdf","https://scholar.google.com/scholar?q=related:M5Ese1IH4VoJ:scholar.google.com/&scioq=moss*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
5,"X Liu, Z Wang, X Li, W Bao","Nitrogen and phosphorus translocation of forest floor mosses as affected by a pulse of these nutrients",2020,"Journal of Plant Ecology","academic.oup.com","https://academic.oup.com/jpe/article-abstract/13/5/633/5891166","https://scholar.google.com/scholar?cites=9825018319553794377&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-03 09:45:15","","","","",,,,,5,1.25,1,4,4,"… However, it is difficult to evaluate mosses’ role in nutrient cycling without knowledge of how mosses … Nutrient resorption from senescing leaves of perennials: are there general patterns? …","https://academic.oup.com/jpe/article/13/5/633/5891166","https://scholar.google.com/scholar?q=related:SZG1QBt6WYgJ:scholar.google.com/&scioq=moss*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
177,"S Güsewell","Nutrient resorption of wetland graminoids is related to the type of nutrient limitation",2005,"Functional Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.0269-8463.2005.00967.x","https://scholar.google.com/scholar?cites=5736870632689527632&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-03 09:45:15","","10.1111/j.0269-8463.2005.00967.x","","",,,,,177,9.32,177,1,19,"… However, only leaf blades were sampled here for practical reasons (part of the sheaths were in the soil or waterlogged moss layer, and senesced later than blades). Leaf sheaths have …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.0269-8463.2005.00967.x","https://scholar.google.com/scholar?q=related:UGvU93F1nU8J:scholar.google.com/&scioq=moss*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
18,"T Riis, KS Christoffersen…","Effects of warming on annual production and nutrient‐use efficiency of aquatic mosses in a high Arctic lake",2014,"Freshwater …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/fwb.12368","https://scholar.google.com/scholar?cites=1356226895880605254&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-03 09:45:15","","10.1111/fwb.12368","","",,,,,18,1.80,6,3,10,"… We measured nutrient resorption efficiency and resorption proficiency using the principles described by Killingbeck (1996) and Aerts (1996) where resorption proficiency is the terminal …","https://www.academia.edu/download/43171238/Effects_of_warming_on_annual_production_20160228-29391-sdhreu.pdf","https://scholar.google.com/scholar?q=related:Rk7LGy1J0hIJ:scholar.google.com/&scioq=moss*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
8,"K Thiemer, DM Christiansen, NS Petersen…","Reconstruction of annual growth in relation to summer temperatures and translocation of nutrients in the aquatic moss Drepanocladus trifarius from West …",2018,"Polar Biology","Springer","https://link.springer.com/article/10.1007/s00300-018-2371-9","https://scholar.google.com/scholar?cites=10871814554625405665&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-03 09:45:15","HTML","10.1007/s00300-018-2371-9","","",,,,,8,1.33,2,4,6,"… trifarius has the ability to translocate resources across segments, nutrient resorption efficiency of both N (NRE) and P (PRE) was calculated as the difference between N or P content in …","https://link.springer.com/article/10.1007/s00300-018-2371-9","https://scholar.google.com/scholar?q=related:4XJecLxx4JYJ:scholar.google.com/&scioq=moss*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
96,"R Aerts, JHC Cornelissen, RSP Van Logtestijn…","Climate change has only a minor impact on nutrient resorption parameters in a high-latitude peatland",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-006-0575-0","https://scholar.google.com/scholar?cites=3290787403383441090&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-03 09:45:15","HTML","10.1007/s00442-006-0575-0","","",,,,,96,5.65,24,4,17,"… Nutrient resorption from senescing plant tissues is an … the effects of climate change on nutrient resorption. We studied the … The moss component of the bog is dominated by Sphagnum …","https://link.springer.com/article/10.1007/s00442-006-0575-0","https://scholar.google.com/scholar?q=related:wgYAQrU5qy0J:scholar.google.com/&scioq=moss*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
96,"C Liu, Y Liu, K Guo, S Wang, Y Yang","Concentrations and resorption patterns of 13 nutrients in different plant functional types in the karst region of south-western China",2014,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/113/5/873/160164","https://scholar.google.com/scholar?cites=3289528890501781085&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-03 09:45:15","","","","",,,,,96,9.60,19,5,10,"… influence nutrient resorption across plant functional types? It was expected that nutrient resorption … be lower and nutrient resorption would be more effective in grasslands than in forests. …","https://academic.oup.com/aob/article/113/5/873/160164","https://scholar.google.com/scholar?q=related:XVa-5BjBpi0J:scholar.google.com/&scioq=moss*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
