Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
46,"RTT Forman","A system for studying moss phenology",1965,"Bryologist","JSTOR","https://www.jstor.org/stable/3240599","https://scholar.google.com/scholar?cites=17405469661235797782&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-02 09:16:09","","","","",,,,,46,0.78,46,1,59,"… phenology of the majority of our species will be known The purpose of this paper is (1) to present a system for recognition and recording of the phenological stages of moss … of any moss. …","https://www.jstor.org/stable/pdf/3240599.pdf","https://scholar.google.com/scholar?q=related:Fl_MUnCmjPEJ:scholar.google.com/&scioq=moss*+%22phenology%22&hl=en&as_sdt=2007"
118,"LR Stark","Phenology and its repercussions on the reproductive ecology of mosses",2002,"The bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-105/issue-2/0007-2745_2002_105_0204_PAIROT_2.0.CO_2/Phenology-and-its-Repercussions-on-the-Reproductive-Ecology-of-Mosses/10.1639/0007-2745(2002)105[0204:PAIROT]2.0.CO;2.short","https://scholar.google.com/scholar?cites=558126712138255682&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-02 09:16:09","","10.1639/0007-2745(2002)105[0204:PAIROT]2.0.CO;2.short","","",,,,,118,5.36,118,1,22,"… mosses proposed by Stanley Greene and placed into context by Royce Longton. Phenology in … The field of phenology has a bright future inasmuch as the research continues to focus on …","https://www.jstor.org/stable/pdf/3244744.pdf","https://scholar.google.com/scholar?q=related:Qk2ooEndvgcJ:scholar.google.com/&scioq=moss*+%22phenology%22&hl=en&as_sdt=2007"
17,"E Ayukawa, S Imura, S Kudoh, H Kanda","Reproductive phenology of subalpine moss, Polytrichum ohioense Ren. et Card.",2002,"Polar bioscience","nipr.repo.nii.ac.jp","https://nipr.repo.nii.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=6186&item_no=1&page_id=13&block_id=104","https://scholar.google.com/scholar?cites=17321980658305868969&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-02 09:16:09","","","","",,,,,17,0.77,4,4,22,"… 6 months for mosses growing on the … mosses in the subalpine zone has been done. This study aims to clarify the reproductive phenology of gametangia and sporophytes of a moss …","https://nipr.repo.nii.ac.jp/?action=repository_uri&item_id=6186&file_id=18&file_no=1","https://scholar.google.com/scholar?q=related:qSSCCKIJZPAJ:scholar.google.com/&scioq=moss*+%22phenology%22&hl=en&as_sdt=2007"
33,"SM de Oliveira, KC Pôrto","Reproductive phenology of the moss Sematophyllum subpinnatum in a tropical lowland forest of north-eastern Brazil",2001,"Journal of bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.2001.23.1.17","https://scholar.google.com/scholar?cites=6452903432182247670&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-02 09:16:09","","10.1179/jbr.2001.23.1.17","","",,,,,33,1.43,17,2,23,"… Our present work represents the first study of the reproductive phenology of mosses in Brazil. … However, none of these has recorded the complete sporophytic phenology. The species …","","https://scholar.google.com/scholar?q=related:9jAfjXtRjVkJ:scholar.google.com/&scioq=moss*+%22phenology%22&hl=en&as_sdt=2007"
46,"LR Stark","Phenology of patch hydration, patch temperature and sexual reproductive output over a four-year period in the desert moss Crossidium crassinerve",2005,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/174328205X69977","https://scholar.google.com/scholar?cites=17228205121271618315&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-02 09:16:09","","10.1179/174328205X69977","","",,,,,46,2.42,46,1,19,"… over several years in association with patch hydration phenology should be instructive. … (2) the phenology of patch hydration and desiccation in the desert moss Crossidium crassinerve (…","","https://scholar.google.com/scholar?q=related:C9v1YkfhFu8J:scholar.google.com/&scioq=moss*+%22phenology%22&hl=en&as_sdt=2007"
63,"BD Mishler, MJ Oliver","Gametophytic phenology of Tortula ruralis, a desiccation-tolerant moss, in the Organ Mountains of southern New Mexico",1991,"Bryologist","JSTOR","https://www.jstor.org/stable/3243689","https://scholar.google.com/scholar?cites=15652592022614692392&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-02 09:16:09","","","","",,,,,63,1.91,32,2,33,"At a single locality in the Organ Mountains of southern New Mexico, eight populations (ie, contiguous clumps of uniform height and appearance) of the dioicous moss Tortula ruralis …","https://www.jstor.org/stable/pdf/3243689.pdf","https://scholar.google.com/scholar?q=related:KNIPeoMtOdkJ:scholar.google.com/&scioq=moss*+%22phenology%22&hl=en&as_sdt=2007"
3,"F Maruo, S Imura","The effect of snow cover on the phenology of the moss Racomitrium lanuginosum",2018,"The Bryologist","BioOne","https://bioone.org/journals/The-Bryologist/volume-121/issue-2/0007-2745-121.2.148/The-effect-of-snow-cover-on-the-phenology-of-the/10.1639/0007-2745-121.2.148.short","https://scholar.google.com/scholar?cites=5966334671375434033&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-02 09:16:09","","10.1639/0007-2745-121.2.148.short","","",,,,,3,0.50,2,2,6,"… on the gametangial and sporophytic phenology of mosses. … is a moss in the family Grimmiaceae. This dioicous species … We carried out the study of phenology on R. lanuginosum on …","https://www.jstor.org/stable/pdf/26774965.pdf","https://scholar.google.com/scholar?q=related:MQFuysWtzFIJ:scholar.google.com/&scioq=moss*+%22phenology%22&hl=en&as_sdt=2007"
47,"CJ Miles, EA Odu, RE Longton","Phenological studies on British mosses",1989,"Journal of bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.1989.15.3.607","https://scholar.google.com/scholar?cites=15989718844293415306&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-02 09:16:09","","10.1179/jbr.1989.15.3.607","","",,,,,47,1.34,16,3,35,"… Knowledge of reproductive phenology also contributes to an understanding of life-history … Seasonal patterns of development are described for five common British mosses in the …","","https://scholar.google.com/scholar?q=related:ioF6XJLk5t0J:scholar.google.com/&scioq=moss*+%22phenology%22&hl=en&as_sdt=2007"
38,"JM Glime","Physio-ecological factors relating to reproduction and phenology in Fontinalis dalecarlica",1984,"Bryologist","JSTOR","https://www.jstor.org/stable/3242877","https://scholar.google.com/scholar?cites=2680169693178084449&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-02 09:16:09","","","","",,,,,38,0.95,38,1,40,"… for mosses, we must expect an aquatic moss such as Fontinalis to coordinate with the conditions that permit sperm to succeed in fertilizing the egg in Fontinalis. In terrestrial mosses, this …","https://www.jstor.org/stable/pdf/3242877.pdf","https://scholar.google.com/scholar?q=related:YbylwyLgMSUJ:scholar.google.com/&scioq=moss*+%22phenology%22&hl=en&as_sdt=2007"
99,"P Mäkiranta, R Laiho, L Mehtätalo…","Responses of phenology and biomass production of boreal fens to climate warming under different water‐table level regimes",2018,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.13934","https://scholar.google.com/scholar?cites=10853525119615064811&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-02 09:16:09","","10.1111/gcb.13934","","",,,,,99,16.50,25,4,6,"… moss layer in the same plots where LAI was monitored (A; Figure 1). After 1 year, the coverage of the mosses in the sample area was estimated, the moss … mass of the trimmed moss was …","https://erepo.uef.fi/bitstream/handle/123456789/6239/15232734481224890837.pdf?sequence=2&isAllowed=y","https://scholar.google.com/scholar?q=related:61pvg5d3n5YJ:scholar.google.com/&scioq=moss*+%22phenology%22&hl=en&as_sdt=2007"
30,"DR Zehr","Phenology of selected bryophytes in southern Illinois",1979,"Bryologist","JSTOR","https://www.jstor.org/stable/3241964","https://scholar.google.com/scholar?cites=18181411119536993334&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-02 09:16:09","","","","",,,,,30,0.67,30,1,45,"… of three different sporophyte maturation stages in mosses. Forman (1965), utilizing … moss phenology which is more simplified than Greene's. Other recent phenological studies of mosses …","https://www.jstor.org/stable/pdf/3241964.pdf","https://scholar.google.com/scholar?q=related:NvRWfxVZUfwJ:scholar.google.com/&scioq=moss*+%22phenology%22&hl=en&as_sdt=2007"
10,"AS Maciel-Silva, MP De Oliveira","How tropical moss sporophytes respond to seasonality: examples from a semi-deciduous ecosystem in Brazil",2016,"Cryptogamie, Bryologie","BioOne","https://bioone.org/journals/Cryptogamie-Bryologie/volume-37/issue-3/v37.iss3.2016.227/How-Tropical-Moss-Sporophytes-Respond-to-Seasonality--Examples-from/10.7872/cryb/v37.iss3.2016.227.short","https://scholar.google.com/scholar?cites=13736717123739125840&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-02 09:16:09","","10.7872/cryb/v37.iss3.2016.227.short","","",,,,,10,1.25,5,2,8,"… The phenology of the moss Octoblepharum albidum Hedw. (Calymperaceae) was … seasonality on bryophyte phenology. Our goal was to study the sporophyte phenology of a moss in a …","https://sciencepress.mnhn.fr/sites/default/files/articles/pdf/cryptogamie-bryologie2016v37f3a1.pdf","https://scholar.google.com/scholar?q=related:UAh_nHGfor4J:scholar.google.com/&scioq=moss*+%22phenology%22&hl=en&as_sdt=2007"
