Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"IS Mettrop, T Neijmeijer, C Cusell, LPM Lamers…","Calcium and iron as key drivers of brown moss composition through differential effects on phosphorus availability",2018,"Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03736687.2018.1493340","https://scholar.google.com/scholar?cites=6529087364550362061&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-03 09:52:35","","10.1080/03736687.2018.1493340","","",,,,,9,1.50,2,5,6,"Brown moss-dominated rich fens are characterized by minerotrophic conditions, in which calcium (Ca) and iron (Fe) concentrations show large variations. We examined the relative …","","https://scholar.google.com/scholar?q=related:zQOEj136m1oJ:scholar.google.com/&scioq=moss*+phosphorus&hl=en&as_sdt=2007"
162,"FS Chapin, WC Oechel, K Van Cleve, W Lawrence","The role of mosses in the phosphorus cycling of an Alaskan black spruce forest",1987,"Oecologia","Springer","https://link.springer.com/article/10.1007/bf00379375","https://scholar.google.com/scholar?cites=6633284578198816279&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-03 09:52:35","","10.1007/bf00379375","","",,,,,162,4.38,41,4,37,"… of the moss phosphorus accumulation, … phosphorus concentrations in new growth were higher in Hylocomium and Pleurozium than in Polytrichum or Sphagnum. Thus, although mosses …","https://www.jstor.org/stable/pdf/4218470.pdf","https://scholar.google.com/scholar?q=related:Fwae4S0pDlwJ:scholar.google.com/&scioq=moss*+phosphorus&hl=en&as_sdt=2007"
98,"K Rousk, J Degboe, A Michelsen, R Bradley…","Molybdenum and phosphorus limitation of moss‐associated nitrogen fixation in boreal ecosystems",2017,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.14331","https://scholar.google.com/scholar?cites=12201682075703708185&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-03 09:52:35","","10.1111/nph.14331","","",,,,,98,14.00,20,5,7,"… black spruce–feather moss forest in eastern Canada and in a subarctic tundra moss ecosystem in northern Sweden. As a result of the large ground cover of feather mosses in our field …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/nph.14331","https://scholar.google.com/scholar?q=related:GQqSWDMVVakJ:scholar.google.com/&scioq=moss*+phosphorus&hl=en&as_sdt=2007"
26,"KF Crowley, BL Bedford","Mosses influence phosphorus cycling in rich fens by driving redox conditions in shallow soils",2011,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-011-1970-8","https://scholar.google.com/scholar?cites=2196119628827288345&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-03 09:52:35","HTML","10.1007/s00442-011-1970-8","","",,,,,26,2.00,13,2,13,"… phosphorus (P). In rich fens where P often limits plant growth, we hypothesized that feedbacks between mosses … In a moss removal experiment in three fens, forb tissue P and microbial …","https://link.springer.com/article/10.1007/s00442-011-1970-8","https://scholar.google.com/scholar?q=related:GWODuCoveh4J:scholar.google.com/&scioq=moss*+phosphorus&hl=en&as_sdt=2007"
41,"G Wang, X Yu, K Bao, W Xing, C Gao, Q Lin, X Lu","Effect of fire on phosphorus forms in Sphagnum moss and peat soils of ombrotrophic bogs",2015,"Chemosphere","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045653514002239","https://scholar.google.com/scholar?cites=15518946813429887310&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-03 09:52:35","","","","",,,,,41,4.56,6,7,9,"… The effect of burning Sphagnum moss and peat on phosphorus forms was studied with … moss and peat soils resulted in losses of organic phosphorus (P o ), while inorganic phosphorus (…","https://scholar.google.com/scholar?output=instlink&q=info:TjGrZudfXtcJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=2954457789684753140&oi=lle","https://scholar.google.com/scholar?q=related:TjGrZudfXtcJ:scholar.google.com/&scioq=moss*+phosphorus&hl=en&as_sdt=2007"
18,"Y Ino, T Nakatsubo","Distribution of carbon, nitrogen and phosphorus in a moss community‐soil system developed on a cold desert in Antarctica",1986,"Ecological research","Wiley Online Library","https://esj-journals.onlinelibrary.wiley.com/doi/abs/10.1007/BF02361205","https://scholar.google.com/scholar?cites=2247663840444267442&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-03 09:52:35","","10.1007/BF02361205","","",,,,,18,0.47,9,2,38,"… phosphorus movement in the ecosystem. In the present study, carbon, nitrogen and phosphorus in the moss … and phosphorus in the moss community-soil system were discussed. …","","https://scholar.google.com/scholar?q=related:srsrsFpOMR8J:scholar.google.com/&scioq=moss*+phosphorus&hl=en&as_sdt=2007"
22,"HF Armitage, AJ Britton, R van der Wal…","Grazing exclusion and phosphorus addition as potential local management options for the restoration of alpine moss-sedge heath",2012,"Biological Conservation","Elsevier","https://www.sciencedirect.com/science/article/pii/S0006320712002078","https://scholar.google.com/scholar?cites=6188866981810852451&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-03 09:52:35","HTML","","","",,,,,22,1.83,6,4,12,"… of this important moss-dominated summit community. Grazing exclosure and phosphorus (P… After two years, growth and depth of Racomitrium lanuginosum, the dominant moss species, …","https://www.sciencedirect.com/science/article/pii/S0006320712002078","https://scholar.google.com/scholar?q=related:Y9L63LpF41UJ:scholar.google.com/&scioq=moss*+phosphorus&hl=en&as_sdt=2007"
78,"Y Li, DH Vitt","The dynamics of moss establishment: temporal responses to nutrient gradients",1994,"Bryologist","JSTOR","https://www.jstor.org/stable/3243900","https://scholar.google.com/scholar?cites=874509230350725909&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-03 09:52:35","","","","",,,,,78,2.60,39,2,30,"… phosphorus gradients differ appreciably when compared experimentally among five species of peatland mosses. … Nitrogen inputs had greater effects than did phosphorus and strongly …","https://www.jstor.org/stable/pdf/3243900.pdf","https://scholar.google.com/scholar?q=related:FfPa-4LhIgwJ:scholar.google.com/&scioq=moss*+phosphorus&hl=en&as_sdt=2007"
16,"A Badacsonyi, JW Bates, Z Tuba","Effects of desiccation on phosphorus and potassium acquisition by a desiccation-tolerant moss and lichen",2000,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/86/3/621/2588344","https://scholar.google.com/scholar?cites=18305302122312835130&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-03 09:52:35","","","","",,,,,16,0.67,5,3,24,"… The hypothesis that desiccation-tolerant mosses and lichens … Shoot apices of the moss Syntrichia ruralis and marginal … were applied, but in the moss this was against a baseline of …","https://academic.oup.com/aob/article-pdf/86/3/621/7984308/860621.pdf","https://scholar.google.com/scholar?q=related:OiCpakt_Cf4J:scholar.google.com/&scioq=moss*+phosphorus&hl=en&as_sdt=2007"
16,"T Živković, K Disney, TR Moore","Variations in nitrogen, phosphorus, and δ15N in Sphagnum mosses along a climatic and atmospheric deposition gradient in eastern Canada",2017,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2016-0314","https://scholar.google.com/scholar?cites=9700167838738710419&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-03 09:52:35","","10.1139/cjb-2016-0314","","",,,,,16,2.29,5,3,7,"We examined concentrations of nitrogen (N) and phosphorus (P) and δ 15 N value in Sphagnum sections Acutifolia and Cuspidata inhabiting hummocks and hollows from eight bogs …","https://cdnsciencepub.com/doi/pdf/10.1139/cjb-2016-0314","https://scholar.google.com/scholar?q=related:k3-wcUHrnYYJ:scholar.google.com/&scioq=moss*+phosphorus&hl=en&as_sdt=2007"
