Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
161,"M Waite, L Sack","How does moss photosynthesis relate to leaf and canopy structure? Trait relationships for 10 Hawaiian species of contrasting light habitats",2010,"New phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2009.03061.x","https://scholar.google.com/scholar?cites=11102916886406503885&as_sdt=2005&sciodt=2007&hl=en",1,"2024-06-25 11:19:54","","10.1111/j.1469-8137.2009.03061.x","","",,,,,161,11.50,81,2,14,"… mosses to have low light-saturated photosynthetic rates relative to tracheophytes, per area, per mass and per nitrogen invested (A area , A mass and A N , respectively), low dark …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1469-8137.2009.03061.x","https://scholar.google.com/scholar?q=related:zR3yGBV8FZoJ:scholar.google.com/&scioq=moss*+photosynthesis&hl=en&as_sdt=2007"
12,"J Krupa","Photosynthesis rate in moss leaves of various anatomical structure",1978,"Acta Societatis Botanicorum Poloniae","pbsociety.org.pl","https://pbsociety.org.pl/journals/index.php/asbp/article/view/4892","https://scholar.google.com/scholar?cites=6132916317819089639&as_sdt=2005&sciodt=2007&hl=en",2,"2024-06-25 11:19:54","","","","",,,,,12,0.26,12,1,46,"… mosses, the value of the compensation point is higher and iies between 1000 and 2000 lux (M i ya ta and H osoka wa, 1061). Mosses growing in shady places reach photosynthesis …","https://pbsociety.org.pl/journals/index.php/asbp/article/download/asbp.1978.035/4137","https://scholar.google.com/scholar?q=related:57LNwOV-HFUJ:scholar.google.com/&scioq=moss*+photosynthesis&hl=en&as_sdt=2007"
114,"KE Van Gaalen, LB Flanagan, DR Peddle","Photosynthesis, chlorophyll fluorescence and spectral reflectance in Sphagnum moss at varying water contents",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-007-0718-y","https://scholar.google.com/scholar?cites=4382278018962818220&as_sdt=2005&sciodt=2007&hl=en",3,"2024-06-25 11:19:54","HTML","10.1007/s00442-007-0718-y","","",,,,,114,6.71,38,3,17,"… In the study reported here we measured moss photosynthetic … of moss water content, while simultaneously measuring moss … to hours) changes in moss photosynthetic light-use efficiency …","https://link.springer.com/article/10.1007/s00442-007-0718-y","https://scholar.google.com/scholar?q=related:rARI06P60DwJ:scholar.google.com/&scioq=moss*+photosynthesis&hl=en&as_sdt=2007"
203,"O Skre, WC Oechel","Moss functioning in different taiga ecosystems in interior Alaska: I. Seasonal, phenotypic, and drought effects on photosynthesis and response patterns",1981,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00346987","https://scholar.google.com/scholar?cites=64472387361437476&as_sdt=2005&sciodt=2007&hl=en",4,"2024-06-25 11:19:54","","10.1007/BF00346987","","",,,,,203,4.72,102,2,43,"… in mosses in taiga ecosystems and the role that mosses play in … on moss photosynthesis and respiration in major moss … to which patterns of photosynthetic response are altered by …","https://www.jstor.org/stable/pdf/4216267.pdf","https://scholar.google.com/scholar?q=related:JPd_cksN5QAJ:scholar.google.com/&scioq=moss*+photosynthesis&hl=en&as_sdt=2007"
163,"PC Harley, JD Tenhunen, KJ Murray, J Beyers","Irradiance and temperature effects on photosynthesis of tussock tundra Sphagnum mosses from the foothills of the Philip Smith Mountains, Alaska",1989,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00388485","https://scholar.google.com/scholar?cites=9547034307325767373&as_sdt=2005&sciodt=2007&hl=en",5,"2024-06-25 11:19:54","","10.1007/BF00388485","","",,,,,163,4.66,41,4,35,"… Daily course in a water track of incident photosynthetic photon flux density on canopy, PPFD, air temperature at 1 cm above moss level, TA, vapor pressure difference between moss …","https://www.jstor.org/stable/pdf/4218951.pdf","https://scholar.google.com/scholar?q=related:za6ewh7hfYQJ:scholar.google.com/&scioq=moss*+photosynthesis&hl=en&as_sdt=2007"
149,"KJ Murray, JD Tenhunen, RS Nowak","Photoinhibition as a control on photosynthesis and production of Sphagnum mosses",1993,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00317733","https://scholar.google.com/scholar?cites=11056666432088996593&as_sdt=2005&sciodt=2007&hl=en",6,"2024-06-25 11:19:54","","10.1007/BF00317733","","",,,,,149,4.81,50,3,31,"… as a control on moss growth changes observed under field conditions. We sought to determine the relationship between moss photosynthetic capacity and chlorophyll fluorescence after …","https://www.jstor.org/stable/pdf/4220522.pdf","https://scholar.google.com/scholar?q=related:8XqmDIorcZkJ:scholar.google.com/&scioq=moss*+photosynthesis&hl=en&as_sdt=2007"
27,"JR Rastorfer, N Higinbotham","Rates of photosynthesis and respiration of the moss Bryum sandbergii as influenced by light intensity and temperature",1968,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/j.1537-2197.1968.tb07488.x","https://scholar.google.com/scholar?cites=4119474756634009727&as_sdt=2005&sciodt=2007&hl=en",7,"2024-06-25 11:19:54","","10.1002/j.1537-2197.1968.tb07488.x","","",,,,,27,0.48,14,2,56,"… (v/v) , the rates of photosynthesis and dark respiration of the moss Bryum sandbergii were … (apparent) photosynthesis was between 24 to 30 C; however, the photosynthesis/respiration …","https://www.jstor.org/stable/pdf/2440744.pdf","https://scholar.google.com/scholar?q=related:f-BbGndQKzkJ:scholar.google.com/&scioq=moss*+photosynthesis&hl=en&as_sdt=2007"
136,"DN Moss, RB Musgrave","Photosynthesis and crop production",1971,"Advances in agronomy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0065211308601558","https://scholar.google.com/scholar?cites=12266020607085639624&as_sdt=2005&sciodt=2007&hl=en",8,"2024-06-25 11:19:54","","","","",,,,,136,2.57,68,2,53,"… photosynthesis in a crop variety should lead to higher yields. The relationship of photosynthetic … Indeed, a direct cause and effect relationship between photosynthesis and yield has yet …","","https://scholar.google.com/scholar?q=related:yPf1BMGoOaoJ:scholar.google.com/&scioq=moss*+photosynthesis&hl=en&as_sdt=2007"
79,"S Pannewitz, TGA Green, K Maysek, M Schlensog…","Photosynthetic responses of three common mosses from continental Antarctica",2005,"Antarctic …","cambridge.org","https://www.cambridge.org/core/journals/antarctic-science/article/photosynthetic-responses-of-three-common-mosses-from-continental-antarctica/5A741C97FB1293F1B52E5D9570F7C0C7","https://scholar.google.com/scholar?cites=1313737652526220410&as_sdt=2005&sciodt=2007&hl=en",9,"2024-06-25 11:19:54","","","","",,,,,79,4.16,16,5,19,"… of common moss species. In this paper we provide a comprehensive matrix for photosynthesis and major environmental parameters for three dominant Antarctic moss species (Bryum …","https://researchcommons.waikato.ac.nz/bitstream/handle/10289/954/Green%20photosynthetic.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:eoThOm9VOxIJ:scholar.google.com/&scioq=moss*+photosynthesis&hl=en&as_sdt=2007"
77,"T Riis, K Sand-Jensen","Growth reconstruction and photosynthesis of aquatic mosses: influence of light, temperature and carbon dioxide at depth",1997,"Journal of Ecology","JSTOR","https://www.jstor.org/stable/2960508","https://scholar.google.com/scholar?cites=8022674769726549327&as_sdt=2005&sciodt=2007&hl=en",10,"2024-06-25 11:19:54","","","","",,,,,77,2.85,39,2,27,"… of the mosses and measurements of photosynthesis … mosses had a relatively fast growth rate (90-250 mm shoot -1 year -1 ) and were short lived (0.7-2.9 years). The shoots of both moss …","https://www.jstor.org/stable/pdf/2960508.pdf","https://scholar.google.com/scholar?q=related:Ty0KdjJEVm8J:scholar.google.com/&scioq=moss*+photosynthesis&hl=en&as_sdt=2007"
