Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
29,"R Hui, XR Li, RL Jia, LC Liu, RM Zhao, X Zhao, YP Wei","Photosynthesis of two moss crusts from the Tengger Desert with contrasting sensitivity to supplementary UV-B radiation",2014,"Photosynthetica","Springer","https://link.springer.com/article/10.1007/s11099-014-0003-3","https://scholar.google.com/scholar?cites=11000609917186171386&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-01 13:39:47","HTML","10.1007/s11099-014-0003-3","","",,,,,29,2.90,4,7,10,"… and chloroplast ultrastructure of two moss crusts and whether response differences were … (ie, the maximal quantum yield of PSII photochemistry, the effective quantum yield of PSII …","https://link.springer.com/article/10.1007/s11099-014-0003-3","https://scholar.google.com/scholar?q=related:-mGFmm8EqpgJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
0,"M Xie, X Wang, Q Zeng, J Shen, B Huang","Growth physiology and chlorophyll fluorescence analysis of two moss species under different LED Light qualities",2024,"Plant Physiology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0981942824004455","",2,"2024-07-01 13:39:47","","","","",,,,,0,0.00,0,5,1,"… the greenness of the moss. RL improved the maximum quantum yield (Fv/Fm), the light energy efficiency of H. plumaeforme and effective quantum yield in both moss species. In contrast…","","https://scholar.google.com/scholar?q=related:F9Z7pqbSu40J:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
39,"YE Chen, N Wu, ZW Zhang, M Yuan…","Perspective of monitoring heavy metals by moss visible chlorophyll fluorescence parameters",2019,"Frontiers in plant …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2019.00035/full","https://scholar.google.com/scholar?cites=4791394436409618079&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-01 13:39:47","HTML","10.3389/fpls.2019.00035","","",,,,,39,7.80,8,5,5,"… anthocyanin accumulation pattern and chlorosis pattern and colors of chlorophyll fluorescence images of the maximum efficiency of PSII photochemistry (Fv/Fm) and the quantum yield …","https://www.frontiersin.org/articles/10.3389/fpls.2019.00035/full","https://scholar.google.com/scholar?q=related:n276oNpzfkIJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
58,"J Belnap, SL Phillips, SD Smith","Dynamics of cover, UV-protective pigments, and quantum yield in biological soil crust communities of an undisturbed Mojave Desert shrubland",2007,"Flora-Morphology, Distribution, Functional …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0367253007000898","https://scholar.google.com/scholar?cites=5374887922115413385&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-01 13:39:47","","","","",,,,,58,3.41,19,3,17,"… and mosses, cyanobacterial biomass, concentrations of UV-protective pigments in both free-living and lichenized cyanobacteria, and quantum yield in … coccophorum, and moss cover, …","https://scholar.google.com/scholar?output=instlink&q=info:iQU6eRZwl0oJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=5353181748095138071&oi=lle","https://scholar.google.com/scholar?q=related:iQU6eRZwl0oJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
58,"AK Jägerbrand, G Kudo","Short-Term Responses in Maximum Quantum Yield of PSII (Fv/Fm) to ex situ Temperature Treatment of Populations of Bryophytes Originating from Different …",2016,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/5/2/22","https://scholar.google.com/scholar?cites=8945982406604997204&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-01 13:39:47","HTML","","","",,,,,58,7.25,29,2,8,"… This study investigated whether short-term ex situ thermal acclimation of different populations showed patterns of site dependency and whether the maximum quantum yield of PSII (Fv/…","https://www.mdpi.com/2223-7747/5/2/22","https://scholar.google.com/scholar?q=related:VMKV2JmDJnwJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
0,"GNM Giudici","Combined chlorophyll fluorescence techniques to study environmental impact on the mountain moss Polytrichum commune",2021,"Czech Polar Reports","journals.muni.cz","https://journals.muni.cz/CPR/article/view/15424","",6,"2024-07-01 13:39:47","","","","",,,,,0,0.00,0,1,3,"… ChlF parameters (maximum quantum yield FV/FM, effective quantum yield - ΦPSII, and non-photochemical quenching parameters) were plotted as time courses. The samples were …","https://journals.muni.cz/CPR/article/download/15424/12292","https://scholar.google.com/scholar?q=related:-ltBe2tYAV4J:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
21,"U Lüttge, ST Meirelles, EA de Mattos","Strong quenching of chlorophyll fluorescence in the desiccated state in three poikilohydric and homoiochlorophyllous moss species indicates photo-oxidative …",2008,"Journal of plant physiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161707000806","https://scholar.google.com/scholar?cites=6160101277463802007&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-01 13:39:47","","","","",,,,,21,1.31,7,3,16,"… Effective quantum yield of photosystem II was recorded as ΔF/F′ m =(F′ m −F′)/F′ m and apparent rates of ETR were obtained as 0.5×0.84[(ΔF/F m ′)]PPFD, where F m ′ is the …","","https://scholar.google.com/scholar?q=related:l_CoZ3kTfVUJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
55,"EP Hamerlynck, Z Tuba, Z Csintalan, Z Nagy…","Diurnal variation in photochemical dynamics and surface reflectance of the desiccation-tolerant moss, Tortula ruralis",2000,"Plant Ecology","Springer","https://link.springer.com/article/10.1023/A:1026594623578","https://scholar.google.com/scholar?cites=16867516227700515403&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-01 13:39:47","","10.1023/A:1026594623578","","",,,,,55,2.29,11,5,24,"… ) and chlorophyll fluorescence parameters of the ectohydric moss, Tortula ruralis (Hedw.) … deviation of moss mat temperature from dew point. Maximum photosynthetic quantum yield (Fv/…","https://link.springer.com/content/pdf/10.1023/A:1026594623578.pdf","https://scholar.google.com/scholar?q=related:S-I5I6R0FeoJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
6,"H Ren, R Huang, Y Li, W Li, L Zheng, Y Lei…","Photosynthetic regulation in response to strontium stress in moss Racomitrium japonicum L",2023,"… Science and Pollution …","Springer","https://link.springer.com/article/10.1007/s11356-022-23684-4","https://scholar.google.com/scholar?cites=8580712718448720479&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-01 13:39:47","HTML","10.1007/s11356-022-23684-4","","",,,,,6,6.00,1,7,1,"… quantum yield of PSII; Y(II), the effective quantum yield of PSII photochemistry; Y(NO), the quantum yield … in PSII, Y(NPQ), the quantum yield of regulatory energy dissipation in PSII. …","https://link.springer.com/article/10.1007/s11356-022-23684-4","https://scholar.google.com/scholar?q=related:X_rPPsHQFHcJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
48,"L Kangas, L Maanavilja, T Hájek, E Juurola…","Photosynthetic traits of Sphagnum and feather moss species in undrained, drained and rewetted boreal spruce swamp forests",2014,"Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.939","https://scholar.google.com/scholar?cites=1513499110495218807&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-01 13:39:47","","10.1002/ece3.939","","",,,,,48,4.80,10,5,10,"… at low light, (iv) actual quantum yield of PSII in high light (Φ PSII ) showing the efficiency of the photosynthetic machinery, and (v) maximum potential quantum yield of PSII (F v /F m ): a …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.939","https://scholar.google.com/scholar?q=related:d-zvEGwHARUJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
1424,"KJ McCree","The action spectrum, absorptance and quantum yield of photosynthesis in crop plants",1971,"Agricultural Meteorology","Elsevier","https://www.sciencedirect.com/science/article/pii/0002157171900227","https://scholar.google.com/scholar?cites=16526364405973597157&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-01 13:39:47","","","","",,,,,1424,26.87,1424,1,53,"… The action spectrum, absorptance and spectral quantum yield of … , For all species and conditions the quantum yield curve had 2 broad … 1043; MOSS, 1964). Consequently, the action …","http://www.esalq.usp.br/lepse/imgs/conteudo_thumb/mini/The-action-spectrum-absorptance-and-quantum-yield-of-photosynthesis-in-crop-plants.pdf","https://scholar.google.com/scholar?q=related:5Tu35t1wWeUJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
83,"TGA Green, B Schroeter, L Kappen, RD Seppelt…","An assessment of the relationship between chlorophyll a fluorescence and CO2 gas exchange from field measurements on a moss and lichen",1998,"Planta","Springer","https://link.springer.com/article/10.1007/s004250050439","https://scholar.google.com/scholar?cites=8610055940822225047&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-01 13:39:47","","10.1007/s004250050439","","",,,,,83,3.19,17,5,26,"… Standard routines programmed within the machine were used to determine effective PSII quantum yield (ΦPSII), potential maximal PSII quantum yield [Fv/Fm = variable fluorescence/…","https://link.springer.com/content/pdf/10.1007/s004250050439.pdf","https://scholar.google.com/scholar?q=related:l1DzmEIQfXcJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
0,"AV Chasov, FV Minibaeva","Photosynthetic Apparatus of Hylocomium Brilliant Moss Resistant to Extreme Low Temperatures",2023,"Russian Journal of Ecology","Springer","https://link.springer.com/article/10.1134/S1067413623060036","",13,"2024-07-01 13:39:47","HTML","10.1134/S1067413623060036","","",,,,,0,0.00,0,2,1,"… In this regard, fast light response curves were analyzed, providing information on the maximum photosynthetic capacity, quantum yield, and efficiency of the use of radiation by moss …","https://link.springer.com/article/10.1134/S1067413623060036","https://scholar.google.com/scholar?q=related:jety-jaJm_EJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
73,"YE Chen, JM Cui, JC Yang, ZW Zhang, M Yuan…","Biomonitoring heavy metal contaminations by moss visible parameters",2015,"Journal of Hazardous …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304389415003581","https://scholar.google.com/scholar?cites=12143592162227680324&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-01 13:39:47","","","","",,,,,73,8.11,12,6,9,"… without any treatment; F v /F m , the maximum efficiency of PSII photochemistry in the dark-adapted state; Φ PSII , the quantum yield of PSII electron transport. (For interpretation of the …","","https://scholar.google.com/scholar?q=related:RHTMZru0hqgJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
76,"T Hájek, ES Tuittila, M Ilomets, R Laiho","Light responses of mire mosses–a key to survival after water‐level drawdown?",2009,"Oikos","Wiley Online Library","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0706.2008.16528.x","https://scholar.google.com/scholar?cites=10955330251575589616&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-01 13:39:47","HTML","10.1111/j.1600-0706.2008.16528.x","","",,,,,76,5.07,19,4,15,"… The photosynthetic capacity was clearly related to the maximum quantum yield of photosynthesis, α, in all Sphagnum mosses. The broad range of mean α and narrow range of PPFD 95…","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0706.2008.16528.x","https://scholar.google.com/scholar?q=related:8PpA6tEmCZgJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
44,"KS Maseyk, TGA Green, D Klinac","Photosynthetic responses of New Zealand Sphagnum species",1999,"New Zealand Journal of Botany","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/0028825X.1999.9512621","https://scholar.google.com/scholar?cites=8958110721800636551&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-01 13:39:47","","10.1080/0028825X.1999.9512621","","",,,,,44,1.76,15,3,25,"… in IPSII (the effective quantum yield of photosystem II) with … show New Zealand Sphagnum moss photosynthetic responses to be … to moss growth and/or quality determinations in the field. …","https://www.tandfonline.com/doi/pdf/10.1080/0028825X.1999.9512621","https://scholar.google.com/scholar?q=related:h4iLRz2aUXwJ:scholar.google.com/&scioq=moss*+%22quantum+yield%22&hl=en&as_sdt=2007"
