Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
30,"EA Odu","The adaptive importance of moss rhizoids for attachment to the substratum",1978,"Journal of bryology","Taylor &Francis","https://www.tandfonline.com/doi/pdf/10.1179/jbr.1978.10.2.163","https://scholar.google.com/scholar?cites=12929091908356361561&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-01 14:34:41","","10.1179/jbr.1978.10.2.163","","",,,,,30,0.65,30,1,46,"… and pleurocarpous mosses rhizoid length differences may then be inherent properties like length of the rhizoid cells. The adaptive significance of the greater cell length in rhizoids of …","","https://scholar.google.com/scholar?q=related:WU314ZZcbbMJ:scholar.google.com/&scioq=moss*+rhizoid&hl=en&as_sdt=2007"
7,"EA Odu","The effect on rhizoid growth of the occurrence of mosses with vascular plants",1978,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/pdf/10.1179/jbr.1978.10.2.183","https://scholar.google.com/scholar?cites=4002709949696151227&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-01 14:34:41","","10.1179/jbr.1978.10.2.183","","",,,,,7,0.15,7,1,46,"… mosses growing with vascular plants have a poor rhizoid … of vascular plants on rhizoid production in such mosses. The second … rhizoid production of pleurocarps with abundant rhizoids. …","","https://scholar.google.com/scholar?q=related:u46P8n17jDcJ:scholar.google.com/&scioq=moss*+rhizoid&hl=en&as_sdt=2007"
62,"S Pressel, R Ligrone, JG Duckett","Cellular differentiation in moss protonemata: a morphological and experimental study",2008,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/102/2/227/184559","https://scholar.google.com/scholar?cites=16454748862107520629&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-01 14:34:41","","","","",,,,,62,3.88,21,3,16,"… Comparison of the principle features of mature moss rhizoids and caulonemata, food-conducting cells in moss gametophores and sporophytes and sieve elements in lower …","https://academic.oup.com/aob/article/102/2/227/184559","https://scholar.google.com/scholar?q=related:dY4uuugCW-QJ:scholar.google.com/&scioq=moss*+rhizoid&hl=en&as_sdt=2007"
152,"K Sakakibara, T Nishiyama, N Sumikawa, R Kofuji…","Involvement of auxin and a homeodomain-leucine zipper I gene in rhizoid development of the moss Physcomitrella patens",2003,"","journals.biologists.com","https://journals.biologists.com/dev/article-abstract/130/20/4835/52220","https://scholar.google.com/scholar?cites=12968806087554444618&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-01 14:34:41","","","","",,,,,152,7.24,30,5,21,"… mechanisms underlying rhizoid development in the moss, … We found that rhizoid development can be split into two … a rhizoid with a juvenile leaf as a `basal rhizoid' and a rhizoid …","https://journals.biologists.com/dev/article/130/20/4835/52220","https://scholar.google.com/scholar?q=related:Si2byWx0-rMJ:scholar.google.com/&scioq=moss*+rhizoid&hl=en&as_sdt=2007"
164,"VAS Jones, L Dolan","The evolution of root hairs and rhizoids",2012,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/110/2/205/2769305","https://scholar.google.com/scholar?cites=7204915525210331282&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-01 14:34:41","","","","",,,,,164,13.67,82,2,12,"… A similar gene regulatory network controls the development of rhizoids in moss gametophytes and … Moss rhizoids develop on the gametophyte and, unlike root hairs and the rhizoids of …","https://academic.oup.com/aob/article/110/2/205/2769305","https://scholar.google.com/scholar?q=related:ktjbNH8A_WMJ:scholar.google.com/&scioq=moss*+rhizoid&hl=en&as_sdt=2007"
2,"R Yamaura, D Tamaoki, H Kamachi, D Yamauchi…","Three-dimensionally visualized rhizoid system of moss, Physcomitrium patens, by refraction-contrast X-ray micro-computed tomography",2022,"…","academic.oup.com","https://academic.oup.com/jmicro/article-abstract/71/6/364/6673073","https://scholar.google.com/scholar?cites=8266258334904226511&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-01 14:34:41","","","","",,,,,2,1.00,0,5,2,"… Comprehensive automatic segmentation of the rhizoids, which appeared in three different form … of rhizoids. We successfully visualized the moss rhizoid system in 3D for the first time. …","","https://scholar.google.com/scholar?q=related:zxKUuSimt3IJ:scholar.google.com/&scioq=moss*+rhizoid&hl=en&as_sdt=2007"
28,"J Martínez-Abaigar, E Núñez-Olivera…","Interactions between parasitic fungi and mosses: pegged and swollen-tipped rhizoids in Funaria and Bryum",2005,"Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/174328205X40572","https://scholar.google.com/scholar?cites=10991665912497907789&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-01 14:34:41","","10.1179/174328205X40572","","",,,,,28,1.47,9,3,19,"… between different mosses suggest that … form rhizoid galls in mosses and not just Pleotracheluswildemanidescribedpreviously.Rhizoid galls appear to be genuinely uncommon in …","","https://scholar.google.com/scholar?q=related:TSg1POk9ipgJ:scholar.google.com/&scioq=moss*+rhizoid&hl=en&as_sdt=2007"
1,"J Zheng, D Zhang, H Li, C Peng, Y Liu, D Li","Rhizoid-associated cyanobacteria are the main contributors to biological nitrogen fixation in restored moss crust",2023,"Rhizosphere","Elsevier","https://www.sciencedirect.com/science/article/pii/S2452219823001556","https://scholar.google.com/scholar?cites=15694994476294913644&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-01 14:34:41","","","","",,,,,1,1.00,0,6,1,"… moss crustwhere moss became dominant, the cyanobacteria mainly grew as epiphytes on the moss rhizoids … Therefore, the colonization and development of moss changed the spatial …","","https://scholar.google.com/scholar?q=related:bL5GD1LSz9kJ:scholar.google.com/&scioq=moss*+rhizoid&hl=en&as_sdt=2007"
122,"WB Schofield","Ecological significance of morphological characters in the moss gametophyte",1981,"Bryologist","JSTOR","https://www.jstor.org/stable/3242819","https://scholar.google.com/scholar?cites=14864092766820435536&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-01 14:34:41","","","","",,,,,122,2.84,122,1,43,"… The gametophores are usually affixed to the substratum by rhizoids that are … the rhizoids to the substratum. This is especially important on relatively smooth substrata since moss rhizoids …","https://www.jstor.org/stable/pdf/3242819.pdf","https://scholar.google.com/scholar?q=related:UAbJOp7dR84J:scholar.google.com/&scioq=moss*+rhizoid&hl=en&as_sdt=2007"
35,"L Saavedra, V Balbi, J Lerche, K Mikami…","PIPKs are essential for rhizoid elongation and caulonemal cell development in the moss Physcomitrella patens",2011,"The plant …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-313X.2011.04623.x","https://scholar.google.com/scholar?cites=12944281026902965286&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-01 14:34:41","","10.1111/j.1365-313X.2011.04623.x","","",,,,,35,2.69,7,5,13,"… The pipk1 knockout lines were impaired in rhizoid and … , leafy gametophores with very short rhizoids, and loss of sporophyte … Taken together, our results indicate that the moss PIPKs are …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1365-313X.2011.04623.x","https://scholar.google.com/scholar?q=related:JjxhIQNTo7MJ:scholar.google.com/&scioq=moss*+rhizoid&hl=en&as_sdt=2007"
