Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19,"R Nakai, T Abe, T Baba, S Imura, H Kagoshima…","Diversity of RuBisCO gene responsible for CO2 fixation in an Antarctic moss pillar",2012,"Polar Biology","Springer","https://link.springer.com/article/10.1007/s00300-012-1204-5","https://scholar.google.com/scholar?cites=7913237352697199266&as_sdt=2005&sciodt=2007&hl=en",1,"2024-06-25 11:19:23","HTML","10.1007/s00300-012-1204-5","","",,,,,19,1.58,3,6,12,"… the genetic diversity in Antarctic moss pillars. Our data thus provide further insights into RuBisCO gene diversity among Antarctic microorganisms and the carbon cycle in Antarctic lakes. …","https://link.springer.com/article/10.1007/s00300-012-1204-5","https://scholar.google.com/scholar?q=related:onreNnJ30W0J:scholar.google.com/&scioq=moss*+rubisco&hl=en&as_sdt=2007"
43,"M Pottier, D Gilis, M Boutry","The hidden face of Rubisco",2018,"Trends in Plant Science","cell.com","https://www.cell.com/trends/plant-science/fulltext/S1360-1385(18)30036-0","https://scholar.google.com/scholar?cites=1717057142623275729&as_sdt=2005&sciodt=2007&hl=en",2,"2024-06-25 11:19:23","","","","",,,,,43,7.17,14,3,6,"… Biochemical characterization of RbcS-T-containing Rubisco … Ribulose-1,5-bisphosphate carboxylase/oxygenase (Rubisco) … The resulting Rubisco was proposed to be adapted to a high …","https://drive.google.com/file/d/1hh2dQ4Zu4OYwatpUpzjnyPyyh0DGgBLc/view","https://scholar.google.com/scholar?q=related:0YobtV821BcJ:scholar.google.com/&scioq=moss*+rubisco&hl=en&as_sdt=2007"
19,"KK Coe, J Belnap, EE Grote…","Physiological ecology of desert biocrust moss following 10 years exposure to elevated CO2: evidence for enhanced photosynthetic thermotolerance",2012,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.2012.01566.x","https://scholar.google.com/scholar?cites=13693198155242934900&as_sdt=2005&sciodt=2007&hl=en",3,"2024-06-25 11:19:23","","10.1111/j.1399-3054.2012.01566.x","","",,,,,19,1.58,5,4,12,"… photosynthetic performance of moss grown in CO 2 ‐enriched air. Moss exposed to elevated … However, when subjected to high temperatures (35–40C), mosses from the elevated CO 2 …","https://www.academia.edu/download/43409585/Physiological_ecology_of_desert_biocrust20160305-9576-1lomccx.pdf","https://scholar.google.com/scholar?q=related:dBJKKiwDCL4J:scholar.google.com/&scioq=moss*+rubisco&hl=en&as_sdt=2007"
123,"E Van Der Heijden, SK Verbeek…","Elevated atmospheric CO2 and increased nitrogen deposition: effects on C and N metabolism and growth of the peat moss Sphagnum recurvum P. Beauv. var …",2000,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2486.2000.00303.x","https://scholar.google.com/scholar?cites=18000578453696605357&as_sdt=2005&sciodt=2007&hl=en",4,"2024-06-25 11:19:23","","10.1046/j.1365-2486.2000.00303.x","","",,,,,123,5.13,41,3,24,"… Twice a week the moss surface was sprayed with a Rudolph's nutrient solution containing different amounts of NH 4 NO 3 and a fixed amount of KH 2 PO 4 , receiving 6, 15 (experiment …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-2486.2000.00303.x","https://scholar.google.com/scholar?q=related:rewihLvmzvkJ:scholar.google.com/&scioq=moss*+rubisco&hl=en&as_sdt=2007"
19,"JA Raven, TD Colmer","Life at the boundary: photosynthesis at the soil–fluid interface. A synthesis focusing on mosses",2016,"Journal of Experimental Botany","academic.oup.com","https://academic.oup.com/jxb/article-abstract/67/6/1613/2885143","https://scholar.google.com/scholar?cites=7034450075421278331&as_sdt=2005&sciodt=2007&hl=en",5,"2024-06-25 11:19:23","","","","",,,,,19,2.38,10,2,8,"… selection of moss Rubisco. Extant mosses are subject to a large range of CO 2 and O 2 concentrations in their immediate environments, especially aquatic mosses, and mosses are …","https://academic.oup.com/jxb/article/67/6/1613/2885143","https://scholar.google.com/scholar?q=related:e4C0zxJjn2EJ:scholar.google.com/&scioq=moss*+rubisco&hl=en&as_sdt=2007"
85,"M Carriquí, M Roig‐Oliver, TJ Brodribb…","Anatomical constraints to nonstomatal diffusion conductance and photosynthesis in lycophytes and bryophytes",2019,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15675","https://scholar.google.com/scholar?cites=15130846546578363027&as_sdt=2005&sciodt=2007&hl=en",6,"2024-06-25 11:19:23","","10.1111/nph.15675","","",,,,,85,17.00,21,4,5,"… mosses and other plant groups using the likelihood ratio and then compared with a χ 2 distribution; if the mosses … compounds other than Rubisco, but this is yet to be tested empirically. …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15675","https://scholar.google.com/scholar?q=related:k9K_d8SQ-9EJ:scholar.google.com/&scioq=moss*+rubisco&hl=en&as_sdt=2007"
19,"U Lüttge, ST Meirelles, EA de Mattos","Strong quenching of chlorophyll fluorescence in the desiccated state in three poikilohydric and homoiochlorophyllous moss species indicates photo-oxidative …",2008,"Journal of plant physiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161707000806","https://scholar.google.com/scholar?cites=6160101277463802007&as_sdt=2005&sciodt=2007&hl=en",7,"2024-06-25 11:19:23","","","","",,,,,19,1.19,6,3,16,"… This can be explained by processes other than CO 2 -fixation by RubisCO limiting CO 2 uptake. In the absence of stomata in mosses, it may be due to operation of carbon concentrating …","","https://scholar.google.com/scholar?q=related:l_CoZ3kTfVUJ:scholar.google.com/&scioq=moss*+rubisco&hl=en&as_sdt=2007"
114,"KE Van Gaalen, LB Flanagan, DR Peddle","Photosynthesis, chlorophyll fluorescence and spectral reflectance in Sphagnum moss at varying water contents",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-007-0718-y","https://scholar.google.com/scholar?cites=4382278018962818220&as_sdt=2005&sciodt=2007&hl=en",8,"2024-06-25 11:19:23","HTML","10.1007/s00442-007-0718-y","","",,,,,114,6.71,38,3,17,"… Rubisco activity), and photosynthetic activity is also strongly influenced by water availability, even more so than in vascular plants, because of the lack of stomata on moss … of moss can …","https://link.springer.com/article/10.1007/s00442-007-0718-y","https://scholar.google.com/scholar?q=related:rARI06P60DwJ:scholar.google.com/&scioq=moss*+rubisco&hl=en&as_sdt=2007"
461,"MAJ Parry, PJ Andralojc, RAC Mitchell…","Manipulation of Rubisco: the amount, activity, function and regulation",2003,"Journal of …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/54/386/1321/568648","https://scholar.google.com/scholar?cites=386983795906266069&as_sdt=2005&sciodt=2007&hl=en",9,"2024-06-25 11:19:23","","","","",,,,,461,21.95,115,4,21,"… amounts of Rubisco activase or Rubisco activase polypeptides with mutations or from different species have also increased the understanding of the details of Rubisco activation. This …","https://academic.oup.com/jxb/article/54/386/1321/568648","https://scholar.google.com/scholar?q=related:1UPTSLbXXgUJ:scholar.google.com/&scioq=moss*+rubisco&hl=en&as_sdt=2007"
186,"MV Kapralov, DA Filatov","Widespread positive selection in the photosynthetic Rubisco enzyme",2007,"BMC evolutionary biology","Springer","https://link.springer.com/article/10.1186/1471-2148-7-73","https://scholar.google.com/scholar?cites=14463336006976012782&as_sdt=2005&sciodt=2007&hl=en",10,"2024-06-25 11:19:23","HTML","10.1186/1471-2148-7-73","","",,,,,186,10.94,93,2,17,"… (mosses, ferns and allies, gymnosperms, angiosperms). Using the computational analyses of the tertiary structure of Rubisco … -small subunit and Rubisco-Rubisco activase interactions. …","https://link.springer.com/article/10.1186/1471-2148-7-73","https://scholar.google.com/scholar?q=related:7gHs4ncXuMgJ:scholar.google.com/&scioq=moss*+rubisco&hl=en&as_sdt=2007"
