Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
53,"I Solheim, O Engelsen, B Hosgood…","Measurement and modeling of the spectral and directional reflection properties of lichen and moss canopies",2000,"Remote sensing of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0034425799000930","https://scholar.google.com/scholar?cites=1604417050571207700&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-01 14:06:30","","","","",,,,,53,2.21,13,4,24,"… The moss and the two lichen species studied in this paper are common in arctic, boreal, and … The lichens also exhibit a depression in the forward scattering direction. The moss BRF …","","https://scholar.google.com/scholar?q=related:FHTgks4IRBYJ:scholar.google.com/&scioq=moss*+scattering&hl=en&as_sdt=2007"
227,"SC Moss","Imaging the Fermi surface through diffuse scattering from concentrated disordered alloys",1969,"Physical Review Letters","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.22.1108","https://scholar.google.com/scholar?cites=14281614214910600208&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-01 14:06:30","","10.1103/PhysRevLett.22.1108","","",,,,,227,4.13,227,1,55,"We show qualitatively how the Fermi surface of a disordered alloy will be reflected in the local-order diffuse scattering of x rays, etc., through anomalies similar to those predicted by …","https://link.aps.org/pdf/10.1103/PhysRevLett.22.1108","https://scholar.google.com/scholar?q=related:EGTqEnZ8MsYJ:scholar.google.com/&scioq=moss*+scattering&hl=en&as_sdt=2007"
97,"CD Moss, FL Teixeira, YE Yang…","Finite-difference time-domain simulation of scattering from objects in continuous random media",2002,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/981359/","https://scholar.google.com/scholar?cites=14357926491432574556&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-01 14:06:30","","","","",,,,,97,4.41,24,4,22,"… scattering effects are important. In this work, Monte Carlo analysis is used in conjunction with FDTD to study the scattering … to help in interpreting the scattered field data from targets in …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=3e1b1226dccb0a83ecd32d40c0dce417f6e861b0","https://scholar.google.com/scholar?q=related:XF4CiRKaQccJ:scholar.google.com/&scioq=moss*+scattering&hl=en&as_sdt=2007"
157,"JI Peltoniemi, S Kaasalainen, J Näränen…","BRDF measurement of understory vegetation in pine forests: dwarf shrubs, lichen, and moss",2005,"Remote Sensing of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0034425704003311","https://scholar.google.com/scholar?cites=213595731151480059&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-01 14:06:30","","","","",,,,,157,8.26,39,4,19,"… lanuginosum moss but no forward scattering, which appeared in our measurements. … (sideways scattering) was observed for both heather and crowberry than for lichen or moss. Small …","https://www.academia.edu/download/40066839/BRDF_measurement_of_understory_vegetatio20151116-3898-lmlfx.pdf","https://scholar.google.com/scholar?q=related:--TSkC_Y9gIJ:scholar.google.com/&scioq=moss*+scattering&hl=en&as_sdt=2007"
130,"SJ Moss, W Haeberli","The polarization of protons scattered by Carbon",1965,"Nuclear Physics","Elsevier","https://www.sciencedirect.com/science/article/pii/002955826590444X","https://scholar.google.com/scholar?cites=2175420672765652955&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-01 14:06:30","","","","",,,,,130,2.20,65,2,59,"… section in p-~2C elastic scattering have been measured in 10 intervals for laboratory scattering angles ~vt = 20 to … In the case of p-12C scattering a phase shift analysis of the scatter- …","","https://scholar.google.com/scholar?q=related:2-88dZOlMB4J:scholar.google.com/&scioq=moss*+scattering&hl=en&as_sdt=2007"
12,"DS Moss, GW Harris, A Wostrack…","Diffuse X-ray scattering from molecular crystals",2003,"Crystallography …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/08893110310001643551","https://scholar.google.com/scholar?cites=16261229592724958240&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-01 14:06:30","","10.1080/08893110310001643551","","",,,,,12,0.57,3,4,21,"… The planning of diffuse scattering experiments must take into account contributions to the background scattering which do not arise from the structure of interest. Compton … The …","","https://scholar.google.com/scholar?q=related:IOxwrSh-q-EJ:scholar.google.com/&scioq=moss*+scattering&hl=en&as_sdt=2007"
26,"Ü Niinemets, M Tobias","Scaling light harvesting from moss “leaves” to canopies",2013,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_9","https://scholar.google.com/scholar?cites=17855212720943001565&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-01 14:06:30","","10.1007/978-94-007-6988-5_9","","",,,,,26,2.36,13,2,11,"… in light during moss growth, while non-branching, in particular, acrocarpous mosses, are … The degree of aggregation also depends importantly on moss water content with greater …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=176","https://scholar.google.com/scholar?q=related:3e_XZF51yvcJ:scholar.google.com/&scioq=moss*+scattering&hl=en&as_sdt=2007"
12,"WF Moss, MJ Christensen","Scattering and heat transfer by a strip",1980,"The Journal of Integral Equations","JSTOR","https://www.jstor.org/stable/26164043","https://scholar.google.com/scholar?cites=10736113729311936247&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-01 14:06:30","","","","",,,,,12,0.27,6,2,44,"Integral equation formulations of these problems lead to equations of the first kind on a finite interval with difference kernels ${\mathrm{H}}_{0}^{\left(1\right)}(\mathrm{k}|\mathrm{x}-\…","https://www.jstor.org/stable/pdf/26164043.pdf","https://scholar.google.com/scholar?q=related:9w7V741W_pQJ:scholar.google.com/&scioq=moss*+scattering&hl=en&as_sdt=2007"
108,"JM Moss, DR Brown, DH Youngblood, CM Rozsa…","Inelastic alpha scattering studies of the low-energy octupole resonance",1978,"Physical Review C","APS","https://journals.aps.org/prc/abstract/10.1103/PhysRevC.18.741","https://scholar.google.com/scholar?cites=11330908871364038997&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-01 14:06:30","","10.1103/PhysRevC.18.741","","",,,,,108,2.35,22,5,46,"Beams of 96 and 115 MeV α particles have been used to study the distribution of isoscalar octupole strength in 18 nuclei from Ca 40 to Pb 208. A prominent broad peak (Γ∼ 2.5 MeV) is …","https://link.aps.org/pdf/10.1103/PhysRevC.18.741","https://scholar.google.com/scholar?q=related:VdH5s5V5P50J:scholar.google.com/&scioq=moss*+scattering&hl=en&as_sdt=2007"
1,"HJ Swatland","Microphotometry of underwater shadowing by a moss from a Niagara Escarpment waterfall",2011,"Microscopy and Microanalysis","academic.oup.com","https://academic.oup.com/mam/article-abstract/17/1/125/6919962","https://scholar.google.com/scholar?cites=9327943240186400044&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-01 14:06:30","","","","",,,,,1,0.08,1,1,13,"… would be expected (from the inverse relationship between scattering intensity and wavelength). Thus, in shadowing by moss leaves, scattering may be as important as selective …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7C45D77E8B764FC8A10544DC9844AF23/S1431927610094043a.pdf/microphotometry_of_underwater_shadowing_by_a_moss_from_a_niagara_escarpment_waterfall.pdf","https://scholar.google.com/scholar?q=related:LA1RlPSCc4EJ:scholar.google.com/&scioq=moss*+scattering&hl=en&as_sdt=2007"
