Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
24,"Ü Niinemets, M Tobias","Canopy leaf area index at its higher end: dissection of structural controls from leaf to canopy scales in bryophytes",2019,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15767","https://scholar.google.com/scholar?cites=14543769182368242104&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-02 09:14:29","","10.1111/nph.15767","","",,,,,24,4.80,12,2,5,"… As estimation of moss shoot projected area is less time consuming than estimation of the area of individual leaves, studies in mosses have often estimated the shoot area index (SAI), …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15767","https://scholar.google.com/scholar?q=related:uBlV4gPZ1ckJ:scholar.google.com/&scioq=moss*+%22shoot+area+index%22&hl=en&as_sdt=2007"
26,"Ü Niinemets, M Tobias","Scaling light harvesting from moss “leaves” to canopies",2013,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_9","https://scholar.google.com/scholar?cites=17855212720943001565&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-02 09:14:29","","10.1007/978-94-007-6988-5_9","","",,,,,26,2.36,13,2,11,"… moss foliage elements and shoots to form dense moss cushions significantly increases the moss … cumulative shoot area index (S c ) relationships was also larger in C. molluscum than in …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=176","https://scholar.google.com/scholar?q=related:3e_XZF51yvcJ:scholar.google.com/&scioq=moss*+%22shoot+area+index%22&hl=en&as_sdt=2007"
35,"EC Van der Hoeven, CIJ Huynen…","Vertical profiles of biomass, light intercepting area and light intensity in chalk grassland mosses",1993,"The Journal of the Hattori …","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/jhbl/74/0/74_261/_article/-char/ja/","https://scholar.google.com/scholar?cites=7779787560312842679&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-02 09:14:29","","","","",,,,,35,1.13,12,3,31,"… By relating the light profile through the canopy to the cumulative light intercepting area (= the moss shoot area index), light extinction coefficients (K) were calculated. At both sampling …","https://www.jstage.jst.go.jp/article/jhbl/74/0/74_261/_pdf","https://scholar.google.com/scholar?q=related:tylzKJFb92sJ:scholar.google.com/&scioq=moss*+%22shoot+area+index%22&hl=en&as_sdt=2007"
26,"SK Rice, N Neal, J Mango, K Black","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-114/issue-2/0007-2745-114.2.367/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the/10.1639/0007-2745-114.2.367.short","https://scholar.google.com/scholar?cites=10331985589368611300&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-02 09:14:29","","10.1639/0007-2745-114.2.367.short","","",,,,,26,2.00,7,4,13,"… the leaf area index, or in our case the shoot area index (SAI), above that point as described … as has been observed in the other ectohydric mosses (Bates &Bakken 1998; Eckstein 2000). …","https://www.jstor.org/stable/pdf/41289793.pdf","https://scholar.google.com/scholar?q=related:5GHF_iaWYo8J:scholar.google.com/&scioq=moss*+%22shoot+area+index%22&hl=en&as_sdt=2007"
88,"B Bond-Lamberty, ST Gower","Estimation of stand-level leaf area for boreal bryophytes",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?cites=5314145550210239110&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-02 09:14:29","HTML","10.1007/s00442-006-0619-5","","",,,,,88,5.18,44,2,17,"… The spatial coverage and moss biomass numbers reported in this study are consistent with … They did not report these data, but imply that a total shoot area index of 2.4 was typical (…","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?q=related:hgoB7Tijv0kJ:scholar.google.com/&scioq=moss*+%22shoot+area+index%22&hl=en&as_sdt=2007"
10,"R Grau‐Andrés, P Kardol, MJ Gundale","Trait coordination in boreal mosses reveals a bryophyte economics spectrum",2022,"Journal of Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13965","https://scholar.google.com/scholar?cites=14614103669808761633&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-02 09:14:29","","10.1111/1365-2745.13965","","",,,,,10,5.00,3,3,2,"… Specific shoot area SSA Area to dry mass ratio of the photosynthetic sections of the moss shoots, in cm 2 g −1 Shoot area index SAI Area of the photosynthetic shoot sections per ground …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.13965","https://scholar.google.com/scholar?q=related:IQuv3du5z8oJ:scholar.google.com/&scioq=moss*+%22shoot+area+index%22&hl=en&as_sdt=2007"
2,"E Jabłońska, W Kotowski, NA Soudzilovskaia","Desiccation avoidance and hummock formation traits of rich fen bryophytes",2023,"Wetlands","Springer","https://link.springer.com/article/10.1007/s13157-023-01669-4","https://scholar.google.com/scholar?cites=10676949426722999587&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-02 09:14:29","HTML","10.1007/s13157-023-01669-4","","",,,,,2,2.00,1,3,1,"… large total leaf area in the colony, indicating the size of the water storage space outside the moss tissues. … With use of SLA values, we calculated also shoot area index (SAI) (Table 1). …","https://link.springer.com/article/10.1007/s13157-023-01669-4","https://scholar.google.com/scholar?q=related:I42iSO8kLJQJ:scholar.google.com/&scioq=moss*+%22shoot+area+index%22&hl=en&as_sdt=2007"
0,"R Garisoain, C Delire, B Decharme…","A Study of Dominant Vegetation Phenology in a Sphagnum Mountain Peatland Using In Situ and Sentinel‐2 Observations",2023,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2023JG007403","",8,"2024-07-02 09:14:29","","10.1029/2023JG007403","","",,,,,0,0.00,0,4,1,"… Sphagnum mosses … mosses LAI phenology in a mountainous peatland site (altitude of 1,343 m) from June to December 2021 using two methods: 2D scans of monthly Sphagnum moss …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2023JG007403","https://scholar.google.com/scholar?q=related:MbSE6NfRfhwJ:scholar.google.com/&scioq=moss*+%22shoot+area+index%22&hl=en&as_sdt=2007"
157,"TG Williams, LB Flanagan","Measuring and modelling environmental influences on photosynthetic gas exchange in Sphagnum and Pleurozium",1998,"Plant, Cell &Environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?cites=9685983540770307951&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-02 09:14:29","","10.1046/j.1365-3040.1998.00292.x","","",,,,,157,6.04,79,2,26,"… The incident light intensity will also be affected due to light attenuation within the moss canopy in a manner dependent on the shoot area index (SAI) of the sample. This was modelled …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?q=related:b__kN7aGa4YJ:scholar.google.com/&scioq=moss*+%22shoot+area+index%22&hl=en&as_sdt=2007"
13,"SK Rice, DT Hanson, Z Portman","Structural and functional analyses of bryophyte canopies",2013,"… in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_10","https://scholar.google.com/scholar?cites=10577720432462383968&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-02 09:14:29","","10.1007/978-94-007-6988-5_10","","",,,,,13,1.18,4,3,11,"… : I x = I o exp (−K · SAI x ), where I x and I o are the light intensities at some depth in the canopy, x, and at the surface, K is the light extinction coefficient and SAI x is the shoot area index …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=197","https://scholar.google.com/scholar?q=related:YMtPrrCcy5IJ:scholar.google.com/&scioq=moss*+%22shoot+area+index%22&hl=en&as_sdt=2007"
