Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
207,"JW Harden, KP O'neill, SE Trumbore…","Moss and soil contributions to the annual net carbon flux of a maturing boreal forest",1997,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/97JD02237","https://scholar.google.com/scholar?cites=3479264290080326883&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-01 14:43:21","","10.1029/97JD02237","","",,,,,207,7.67,52,4,27,"… rates of vertical accumulation of moss combined with carbon storage inventories on a … in soils and moss after a stand-killing fire. We used soil drainage--moss associations and soil …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/97JD02237","https://scholar.google.com/scholar?q=related:44TwGXDUSDAJ:scholar.google.com/&scioq=moss*+soil&hl=en&as_sdt=2007"
24,"DS Stevenson","Influence of peat moss on soil water retention for plants",1974,"Canadian Journal of Soil Science","cdnsciencepub.com","https://cdnsciencepub.com/doi/pdf/10.4141/cjss74-013","https://scholar.google.com/scholar?cites=17349224167398375003&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-01 14:43:21","PDF","10.4141/cjss74-013","","",,,,,24,0.48,24,1,50,"… One of the old accepted facts regarding organic matter in soils is that it increases the ability of soils to retain water. References to this appear in early literature (Russell 1932; Wakeman …","https://cdnsciencepub.com/doi/pdf/10.4141/cjss74-013","https://scholar.google.com/scholar?q=related:W_5mynXTxPAJ:scholar.google.com/&scioq=moss*+soil&hl=en&as_sdt=2007"
95,"B Xiao, K Hu, T Ren, B Li","Moss-dominated biological soil crusts significantly influence soil moisture and temperature regimes in semiarid ecosystems",2016,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706115300859","https://scholar.google.com/scholar?cites=8075669599443412310&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-01 14:43:21","","","","",,,,,95,11.88,24,4,8,"… moss-dominated BSCs could significantly influence soil moisture and temperature regimes in different seasons in semiarid ecosystems, and their effects on soil … soil with or without moss-…","http://skl.iswc.cas.cn/zhxw/xslw/201605/P020160511403497430155.pdf","https://scholar.google.com/scholar?q=related:VuU-xraKEnAJ:scholar.google.com/&scioq=moss*+soil&hl=en&as_sdt=2007"
31,"DW Carter, JM Arocena","Soil formation under two moss species in sandy materials of central British Columbia (Canada)",2000,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706100000598","https://scholar.google.com/scholar?cites=8983421549367245435&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-01 14:43:21","","","","",,,,,31,1.29,16,2,24,"… species of moss on soil formation especially in boreal forests rationalizes this study. The objective of this study is to elucidate the influence of two moss covers on the formation of soils in …","","https://scholar.google.com/scholar?q=related:e7qfjU2Gq3wJ:scholar.google.com/&scioq=moss*+soil&hl=en&as_sdt=2007"
123,"R Van der Wal, SMJ van Lieshout, MJJE Loonen","Herbivore impact on moss depth, soil temperature and arctic plant growth",2001,"Polar Biology","Springer","https://link.springer.com/article/10.1007/s003000000170","https://scholar.google.com/scholar?cites=4613624690884131533&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-01 14:43:21","","10.1007/s003000000170","","",,,,,123,5.35,41,3,23,"… -layer thickness across sites, with highest soil temperatures where moss layers were shallow. We found that moss growth did not respond to experimental manipulation of soil …","https://link.springer.com/content/pdf/10.1007/s003000000170.pdf","https://scholar.google.com/scholar?q=related:zboeWzbjBkAJ:scholar.google.com/&scioq=moss*+soil&hl=en&as_sdt=2007"
197,"JA O'Donnell, VE Romanovsky, JW Harden…","The effect of moisture content on the thermal conductivity of moss and organic soil horizons from black spruce ecosystems in interior Alaska",2009,"Soil …","journals.lww.com","https://journals.lww.com/soilsci/fulltext/2009/12000/The_Effect_of_Moisture_Content_on_the_Thermal.2.aspx","https://scholar.google.com/scholar?cites=18315986973597956049&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-01 14:43:21","","","","",,,,,197,13.13,49,4,15,"… between thermal conductivity and soil moisture for different moss and organic horizon types … moss-dominated and Sphagnum-dominated stands and divided horizons into live moss and …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=202bd6259c9ed46d987f9383a0a8b9b4c5dd82eb","https://scholar.google.com/scholar?q=related:0ff8Nxx1L_4J:scholar.google.com/&scioq=moss*+soil&hl=en&as_sdt=2007"
247,"R Bargagli, DH Brown, L Nelli","Metal biomonitoring with mosses: procedures for correcting for soil contamination",1995,"Environmental Pollution","Elsevier","https://www.sciencedirect.com/science/article/pii/026974919400055I","https://scholar.google.com/scholar?cites=871432833693815160&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-01 14:43:21","","","","",,,,,247,8.52,82,3,29,"… mosses growing in remote areas of Italy and in northern Victoria Land (continental Antarctica). It is"" very likely that soil particles entrapped in the mosses … in different parts of mosses. A …","https://www.academia.edu/download/50552227/0269-7491_2894_2900055-i20161126-19154-2g8ib9.pdf","https://scholar.google.com/scholar?q=related:eJHukYvzFwwJ:scholar.google.com/&scioq=moss*+soil&hl=en&as_sdt=2007"
332,"SC Reed, KK Coe, JP Sparks, DC Housman…","Changes to dryland rainfall result in rapid moss mortality and altered soil fertility",2012,"Nature Climate …","nature.com","https://www.nature.com/articles/nclimate1596","https://scholar.google.com/scholar?cites=7432706411033525043&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-01 14:43:21","","","","",,,,,332,27.67,66,5,12,"… , primary productivity and soil respiration). We found soils in plots with moss mortality had … NH 4 + /NO 3 − ratios than plots with mosses (Fig. 1b). Potential nitrification rates suggested …","https://www.researchgate.net/profile/Tamara-Zelikova/publication/233763056_Chages_to_dryland_rainfall_result_in_rapid_moss_mortality_and_altered_soil_fertility/links/0912f50b54aaa4190a000000/Chages-to-dryland-rainfall-result-in-rapid-moss-mortality-and-altered-soil-fertility.pdf","https://scholar.google.com/scholar?q=related:M_trxRlHJmcJ:scholar.google.com/&scioq=moss*+soil&hl=en&as_sdt=2007"
24,"DJ Eldridge, E Guirado, PB Reich, R Ochoa-Hueso…","The global contribution of soil mosses to ecosystem services",2023,"Nature …","nature.com","https://www.nature.com/articles/s41561-023-01170-x","https://scholar.google.com/scholar?cites=12715747473344236356&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-01 14:43:21","","","","",,,,,24,24.00,5,5,1,"… indices of 24 soil attributes under mosses compared with bare soils, particularly for those … positive influences of mosses on soil fertility (Supplementary Fig. 9). Mosses also have a …","https://par.nsf.gov/servlets/purl/10508058","https://scholar.google.com/scholar?q=related:RAtBwvRod7AJ:scholar.google.com/&scioq=moss*+soil&hl=en&as_sdt=2007"
88,"B Koz, U Çevik, S Akbulut","Heavy metal analysis around Murgul (Artvin) copper mining area of Turkey using moss and soil",2012,"Ecological Indicators","Elsevier","https://www.sciencedirect.com/science/article/pii/S1470160X12000489","https://scholar.google.com/scholar?cites=13440734949684607459&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-01 14:43:21","","","","",,,,,88,7.33,29,3,12,"… As a result of this research on heavy metal analysis of soil and moss samples in the neighborhood of the Murgul Copper mining, the heavy metal concentrations in the soil samples are …","https://www.researchgate.net/profile/Songul-Akbulut-Oezen/publication/257592705_Heavy_metal_analysis_around_Murgul_Artvin_copper_mining_area_of_Turkey_using_moss_and_soil/links/5ac476400f7e9becc9d4a356/Heavy-metal-analysis-around-Murgul-Artvin-copper-mining-area-of-Turkey-using-moss-and-soil.pdf","https://scholar.google.com/scholar?q=related:4_kghDkVh7oJ:scholar.google.com/&scioq=moss*+soil&hl=en&as_sdt=2007"
