Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
123,"JR Busby, DWA Whitfield","Water potential, water content, and net assimilation of some boreal forest mosses",1978,"Canadian Journal of Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/b78-184","https://scholar.google.com/scholar?cites=15506462369052962641&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-01 13:07:36","","10.1139/b78-184","","",,,,,123,2.67,62,2,46,"… We assume that the moss water content inside the flask did not change significantly during the measurement period. A sample of room air was injected through a serum stopper, the …","","https://scholar.google.com/scholar?q=related:US9dLl4FMtcJ:scholar.google.com/&scioq=moss*+%22water+content%22&hl=en&as_sdt=2007"
38,"PA Moore, MC Lukenbach, N Kettridge, RM Petrone…","Peatland water repellency: Importance of soil water content, moss species, and burn severity",2017,"Journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022169417306406","https://scholar.google.com/scholar?cites=13321618725525485057&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-01 13:07:36","","","","",,,,,38,5.43,8,5,7,"… Examining the influence of water content on peat water repellency, especially in the post-… water content with burn status and species on the degree of water repellency in peatland moss/…","https://www.researchgate.net/profile/Paul-Moore-11/publication/319961430_Peatland_Water_Repellency_Importance_of_Soil_Water_Content_Moss_Species_and_Burn_Severity/links/5acf758d0f7e9b18965b72de/Peatland-Water-Repellency-Importance-of-Soil-Water-Content-Moss-Species-and-Burn-Severity.pdf","https://scholar.google.com/scholar?q=related:AXYjYKbl37gJ:scholar.google.com/&scioq=moss*+%22water+content%22&hl=en&as_sdt=2007"
143,"T Hájek, RP Beckett","Effect of Water Content Components on Desiccation and Recovery in Sphagnum Mosses",2008,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/101/1/165/92978","https://scholar.google.com/scholar?cites=8993729288993725209&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-01 13:07:36","","","","",,,,,143,8.94,72,2,16,"… moss samples was measured, together with deionized water and two standard solutions. Moss … (more in the beginning at high external water content) and allowed to equilibrate again. …","https://academic.oup.com/aob/article/101/1/165/92978","https://scholar.google.com/scholar?q=related:GVt_NCMl0HwJ:scholar.google.com/&scioq=moss*+%22water+content%22&hl=en&as_sdt=2007"
76,"K Yoshikawa, PP Overduin…","Moisture content measurements of moss (Sphagnum spp.) using commercial sensors",2004,"Permafrost and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ppp.505","https://scholar.google.com/scholar?cites=18332856223352860639&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-01 13:07:36","","10.1002/ppp.505","","",,,,,76,3.80,25,3,20,"… water content of the moss layer. In this paper, we evaluate new soil moisture probes in Sphagnum moss … morphologically from other mosses, and since this has an effect on moss water …","","https://scholar.google.com/scholar?q=related:369Bf5pja_4J:scholar.google.com/&scioq=moss*+%22water+content%22&hl=en&as_sdt=2007"
135,"MW Schonbeck, JD Bewley","Responses of the moss Tortula ruralis to desiccation treatments. I. Effects of minimum water content and rates of dehydration and rehydration",1981,"Canadian Journal of Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/b81-320","https://scholar.google.com/scholar?cites=6857263758891797945&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-01 13:07:36","","10.1139/b81-320","","",,,,,135,3.14,68,2,43,"… to equilibrium water content during desiccation. Chlorophyll a:b ratio showed only a slight decline with decreasing water content (data not presented). Apparently the moss clump used …","","https://scholar.google.com/scholar?q=related:uc3nrw7lKV8J:scholar.google.com/&scioq=moss*+%22water+content%22&hl=en&as_sdt=2007"
108,"J SILVOLA, H AALTONEN","Water content and photosynthesis in the peat mosses Sphagnum fuscum and S. angustifolium",1984,"Annales Botanici Fennici","JSTOR","https://www.jstor.org/stable/23726137","https://scholar.google.com/scholar?cites=18086679114748019322&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-01 13:07:36","","","","",,,,,108,2.70,54,2,40,"… The decrease observed in the C02 exchange of The relationship between the water content and both mosses and lichens as the moisture rises C02 exchange of peat mosses has …","https://www.jstor.org/stable/pdf/23726137.pdf","https://scholar.google.com/scholar?q=related:ekII2dPKAPsJ:scholar.google.com/&scioq=moss*+%22water+content%22&hl=en&as_sdt=2007"
116,"KE Van Gaalen, LB Flanagan, DR Peddle","Photosynthesis, chlorophyll fluorescence and spectral reflectance in Sphagnum moss at varying water contents",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-007-0718-y","https://scholar.google.com/scholar?cites=4382278018962818220&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-01 13:07:36","HTML","10.1007/s00442-007-0718-y","","",,,,,116,6.82,39,3,17,"… to maintain strict control on moss water content in either of these studies, and, as noted above, variation in moss water content has a major influence on moss photosynthetic activity with …","https://link.springer.com/article/10.1007/s00442-007-0718-y","https://scholar.google.com/scholar?q=related:rARI06P60DwJ:scholar.google.com/&scioq=moss*+%22water+content%22&hl=en&as_sdt=2007"
94,"O Skre, WC Oechel, PM Miller","Moss leaf water content and solar radiation at the moss surface in a mature black spruce forest in central Alaska",1983,"Canadian Journal of Forest …","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/x83-116","https://scholar.google.com/scholar?cites=15461121182765374626&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-01 13:07:36","","10.1139/x83-116","","",,,,,94,2.29,31,3,41,"… mosses have on the taiga ecosystem. Among the variables influencing moss growth, temperature, light, and leaf water content … leaf water content in mosses are difficult because mosses …","","https://scholar.google.com/scholar?q=related:olz_l8zvkNYJ:scholar.google.com/&scioq=moss*+%22water+content%22&hl=en&as_sdt=2007"
86,"KJ Murray, PC Harley, J Beyers, H Walz, JD Tenhunen","Water content effects on photosynthetic response of Sphagnum mosses from the foothills of the Philip Smith Mountains, Alaska",1989,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00388484","https://scholar.google.com/scholar?cites=12076101681907315769&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-01 13:07:36","","10.1007/BF00388484","","",,,,,86,2.46,17,5,35,"… Mosses occurring on well-drained sites may experience … In this paper we examine the water content dependency of net … water content, and illustrate apparent effects of water content …","https://www.jstor.org/stable/pdf/4218950.pdf","https://scholar.google.com/scholar?q=related:OTSVbX_ulqcJ:scholar.google.com/&scioq=moss*+%22water+content%22&hl=en&as_sdt=2007"
73,"B Xiao, Y Zhao, Q Wang, C Li","Development of artificial moss-dominated biological soil crusts and their effects on runoff and soil water content in a semi-arid environment",2015,"Journal of Arid Environments","Elsevier","https://www.sciencedirect.com/science/article/pii/S0140196315000531","https://scholar.google.com/scholar?cites=279544576804059825&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-01 13:07:36","","","","",,,,,73,8.11,18,4,9,"… We hypothesized that moss-dominated … soil water content. Based on these hypotheses, we constructed runoff plots in a semi-arid environment on the Loess Plateau of China, and moss-…","http://skl.iswc.cas.cn/zhxw/xslw/201603/P020160318408617140127.pdf","https://scholar.google.com/scholar?q=related:sfpKv08k4QMJ:scholar.google.com/&scioq=moss*+%22water+content%22&hl=en&as_sdt=2007"
