Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
123,"JR Busby, DWA Whitfield","Water potential, water content, and net assimilation of some boreal forest mosses",1978,"Canadian Journal of Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/b78-184","https://scholar.google.com/scholar?cites=15506462369052962641&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-02 10:41:43","","10.1139/b78-184","","",,,,,123,2.67,62,2,46,"… water potential nal' water, concepts which have been fieof the moss approached zero, the water potential quently in studies of bryophyte ecology (eg, gradient between the moss and …","","https://scholar.google.com/scholar?q=related:US9dLl4FMtcJ:scholar.google.com/&scioq=moss*+%22water+potential%22&hl=en&as_sdt=2007"
1,"T Möller, P Porada, I Petersen","The effect of water potential on the water balance of lichens and mosses–distribution patterns of internal and external water",2022,"","academia.edu","https://www.academia.edu/download/103602952/latest.pdf","https://scholar.google.com/scholar?cites=961916463529530398&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-02 10:41:43","PDF","","","",,,,,1,0.50,0,3,2,"… , however, the 82 overall water potential ψ may show negative … of water potential ψ affect the relative 84 fractions of internal and external water in different species of lichens and mosses…","https://www.academia.edu/download/103602952/latest.pdf","https://scholar.google.com/scholar?q=related:HhRHWO1pWQ0J:scholar.google.com/&scioq=moss*+%22water+potential%22&hl=en&as_sdt=2007"
45,"F Sun, B Xiao, S Li, GJ Kidron","Towards moss biocrust effects on surface soil water holding capacity: Soil water retention curve analysis and modeling",2021,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706121002007","https://scholar.google.com/scholar?cites=17641991311384635217&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-02 10:41:43","","","","",,,,,45,15.00,11,4,3,"… On the Loess Plateau of China, the naturally developed moss … soil water potential = 0 hPa) to dry (soil water potential = −15,000 hPa) were measured with a sandbox (low water potential …","https://www.academia.edu/download/95680022/downfile.pdf","https://scholar.google.com/scholar?q=related:UeebXaDx1PQJ:scholar.google.com/&scioq=moss*+%22water+potential%22&hl=en&as_sdt=2007"
36,"KA Santarius","Apoplasmic water fractions and osmotic potentials at full turgidity of some Bryidae",1994,"Planta","Springer","https://link.springer.com/article/10.1007/BF00191603","https://scholar.google.com/scholar?cites=8344896703964327090&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-02 10:41:43","","10.1007/BF00191603","","",,,,,36,1.20,36,1,30,"… For determination of the water potential of living mosses by dewpoint hygrometry complete vapor-pressure equilibrium between the exposed tissue and the air space in the …","https://www.jstor.org/stable/pdf/23382958.pdf","https://scholar.google.com/scholar?q=related:siwfz1YHz3MJ:scholar.google.com/&scioq=moss*+%22water+potential%22&hl=en&as_sdt=2007"
135,"MW Schonbeck, JD Bewley","Responses of the moss Tortula ruralis to desiccation treatments. I. Effects of minimum water content and rates of dehydration and rehydration",1981,"Canadian Journal of Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/b81-320","https://scholar.google.com/scholar?cites=6857263758891797945&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-02 10:41:43","","10.1139/b81-320","","",,,,,135,3.14,68,2,43,"… water potential, then rapidly, or vice versa. After 12-24 h of exposure to the final water potential, … The moss was rehydrated rapidly except where otherwise indicated. Two Whatman No. 1 …","","https://scholar.google.com/scholar?q=related:uc3nrw7lKV8J:scholar.google.com/&scioq=moss*+%22water+potential%22&hl=en&as_sdt=2007"
5,"D Rütten, KA Santarius","Osmotic potentials of water-saturated mosses",1993,"Journal of plant physiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161711815841","https://scholar.google.com/scholar?cites=4250126337353193617&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-02 10:41:43","","","","",,,,,5,0.16,3,2,31,"… method supplies osmotic potentials of nonturgid cells, ie 1/17 values obtained with this technique are a priori somewhat lower than osmotic potentials of full turgid cells (water potential …","","https://scholar.google.com/scholar?q=related:kRh4vGJ7-zoJ:scholar.google.com/&scioq=moss*+%22water+potential%22&hl=en&as_sdt=2007"
143,"T Hájek, RP Beckett","Effect of Water Content Components on Desiccation and Recovery in Sphagnum Mosses",2008,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/101/1/165/92978","https://scholar.google.com/scholar?cites=8993729288993725209&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-02 10:41:43","","","","",,,,,143,8.94,72,2,16,"… Moss samples were then … water potential fell to about −10 MPa. After that, the cups were placed in a desiccator over 2 m NaCl solutions for 25 h to equilibrate mosses to a water potential …","https://academic.oup.com/aob/article/101/1/165/92978","https://scholar.google.com/scholar?q=related:GVt_NCMl0HwJ:scholar.google.com/&scioq=moss*+%22water+potential%22&hl=en&as_sdt=2007"
120,"MD Serpe, JM Orm, T Barkes, R Rosentreter","Germination and seed water status of four grasses on moss-dominated biological soil crusts from arid lands",2006,"Plant ecology","Springer","https://link.springer.com/article/10.1007/s11258-005-9092-1","https://scholar.google.com/scholar?cites=13480545367369588260&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-02 10:41:43","","10.1007/s11258-005-9092-1","","",,,,,120,6.67,30,4,18,"… mosses on seed water status, we analyzed the time course of changes in seed weight and water potential … of the increase in water content and water potential occurred within the first 4 …","https://link.springer.com/content/pdf/10.1007/s11258-005-9092-1.pdf","https://scholar.google.com/scholar?q=related:JB6asJaEFLsJ:scholar.google.com/&scioq=moss*+%22water+potential%22&hl=en&as_sdt=2007"
21,"T Nakatsubo, Y Takamine, Y Ino","Response patterns of net photosynthesis to moisture of mosses in xeric habitats",1989,"The botanical magazine= Shokubutsu …","Springer","https://link.springer.com/article/10.1007/BF02488113","https://scholar.google.com/scholar?cites=11926613598074783876&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-02 10:41:43","","10.1007/BF02488113","","",,,,,21,0.60,7,3,35,"… little difference to water potential, … water potential. A similar difference was observed between Rhacomitrium lanuginosum and Pleurozium schreberi in the present study ; water potential …","","https://scholar.google.com/scholar?q=related:hEiXpuDXg6UJ:scholar.google.com/&scioq=moss*+%22water+potential%22&hl=en&as_sdt=2007"
46,"M Proctor","Water-relations parameters of some bryophytes evaluated by thermocouple psychrometry",1999,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.1999.21.4.263","https://scholar.google.com/scholar?cites=11048492021637038391&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-02 10:41:43","","10.1179/jbr.1999.21.4.263","","",,,,,46,1.84,46,1,25,"… Osmotic potentials of mosses and leafy liverworts at full … graph of water content against water potential; careful blotting of … Mosses and leafy liverworts of well-drained habitats generally …","https://www.researchgate.net/profile/Michael-Proctor/publication/234166980_Proctor_JBryol_1999_Thermocouple_psychrometry/links/09e4150fbfa768b1d0000000/Proctor-JBryol-1999-Thermocouple-psychrometry.pdf","https://scholar.google.com/scholar?q=related:N8FpzfQgVJkJ:scholar.google.com/&scioq=moss*+%22water+potential%22&hl=en&as_sdt=2007"
