Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
453,"F.S. Chapin","Arctic and boreal ecosystems of western North America as components of the climate system",2000,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034425431&origin=inward",1,"2024-07-01 15:18:07","Article","10.1046/j.1365-2486.2000.06022.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/0034425431",6,,211,223,453,18.88,453,1,24,"","",""
275,"J. Belnap","Surface disturbances: Their role in accelerating desertification",1995,"Environmental Monitoring and Assessment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029415965&origin=inward",2,"2024-07-01 15:18:07","Article","10.1007/BF00546879","0167-6369","https://api.elsevier.com/content/abstract/scopus_id/0029415965",37,1,39,57,275,9.48,275,1,29,"","",""
181,"E.S. Euskirchen","Changes in vegetation in northern Alaska under scenarios of climate change, 2003-2100: implications for climate feedbacks",2009,"Ecological Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=66149179031&origin=inward",3,"2024-07-01 15:18:07","Article","10.1890/08-0806.1","1051-0761","https://api.elsevier.com/content/abstract/scopus_id/66149179031",19,4,1022,1043,181,12.07,181,1,15,"","",""
174,"J. Beringer","Surface energy exchanges along a tundra-forest transition and feedbacks to climate",2005,"Agricultural and Forest Meteorology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0168192305001000","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=23944439865&origin=inward",4,"2024-07-01 15:18:07","Article","10.1016/j.agrformet.2005.05.006","0168-1923","https://api.elsevier.com/content/abstract/scopus_id/23944439865",131,3,143,161,174,9.16,174,1,19,"","",""
133,"E. Kellner","Surface energy fluxes and control of evapotranspiration from a Swedish Sphagnum mire",2001,"Agricultural and Forest Meteorology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0168192301002830","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035960984&origin=inward",5,"2024-07-01 15:18:07","Article","10.1016/S0168-1923(01)00283-0","0168-1923","https://api.elsevier.com/content/abstract/scopus_id/0035960984",110,2,101,123,133,5.78,133,1,23,"","",""
122,"R.E. Arvidson","Nature and origin of the hematite-bearing plains of Terra Meridiani based on analyses of orbital and Mars Exploration rover data sets",2006,"Journal of Geophysical Research: Planets","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34447523099&origin=inward",6,"2024-07-01 15:18:07","Article","10.1029/2006JE002728","0148-0227","https://api.elsevier.com/content/abstract/scopus_id/34447523099",111,12,,,122,6.78,122,1,18,"","",""
114,"N. Auerbach","Effects of roadside disturbance on substrate and vegetation properties in arctic tundra",1997,"Ecological Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030616821&origin=inward",7,"2024-07-01 15:18:07","Article","10.1890/1051-0761(1997)007[0218:EORDOS]2.0.CO;2","1051-0761","https://api.elsevier.com/content/abstract/scopus_id/0030616821",7,1,218,235,114,4.22,114,1,27,"","",""
101,"D.A. Walker","Road dust and its environmental impact on Alaskan taiga and tundra",1987,"Arctic &amp; Alpine Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0023583376&origin=inward",8,"2024-07-01 15:18:07","Article","10.2307/1551414","","https://api.elsevier.com/content/abstract/scopus_id/0023583376",19,4,479,489,101,2.73,101,1,37,"","",""
99,"A.D. Rogers","Mineralogical composition of sands in Meridiani Planum determined from Mars Exploration Rover data and comparison to orbital measurements",2008,"Journal of Geophysical Research: Planets","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=49849084882&origin=inward",9,"2024-07-01 15:18:07","Article","10.1029/2007JE002995","0148-0227","https://api.elsevier.com/content/abstract/scopus_id/49849084882",113,6,,,99,6.19,99,1,16,"","",""
93,"G. Kidron","The effect of biocrusts on evaporation from sand dunes in the Negev Desert",2012,"Geoderma","","https://api.elsevier.com/content/article/eid/1-s2.0-S0016706112000997","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858305748&origin=inward",10,"2024-07-01 15:18:07","Article","10.1016/j.geoderma.2012.02.021","0016-7061","https://api.elsevier.com/content/abstract/scopus_id/84858305748",179,,104,112,93,7.75,93,1,12,"","",""
