Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
292,"T.J. Daou","Coupling agent effect on magnetic properties of functionalized magnetite-based nanoparticles",2008,"Chemistry of Materials","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=53549123295&origin=inward",1,"2024-07-01 12:00:00","Article","10.1021/cm801405n","0897-4756","https://api.elsevier.com/content/abstract/scopus_id/53549123295",20,18,5869,5875,292,18.25,292,1,16,"","",""
187,"T.A. Wezendonk","Elucidating the Nature of Fe Species during Pyrolysis of the Fe-BTC MOF into Highly Active and Stable Fischer-Tropsch Catalysts",2016,"ACS Catalysis","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84973450436&origin=inward",2,"2024-07-01 12:00:00","Article","10.1021/acscatal.6b00426","2155-5435","https://api.elsevier.com/content/abstract/scopus_id/84973450436",6,5,3236,3247,187,23.38,187,1,8,"","",""
184,"S. Chen","Combined inoculation with multiple arbuscular mycorrhizal fungi improves growth, nutrient uptake and photosynthesis in cucumber seedlings",2017,"Frontiers in Microbiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85038358721&origin=inward",3,"2024-07-01 12:00:00","Article","10.3389/fmicb.2017.02516","1664-302X","https://api.elsevier.com/content/abstract/scopus_id/85038358721",8,,,,184,26.29,184,1,7,"","",""
105,"T. Williams","Measuring and modelling environmental influences on photosynthetic gas exchange in Sphagnum and Pleurozium",1998,"Plant, Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031825984&origin=inward",4,"2024-07-01 12:00:00","Article","10.1046/j.1365-3040.1998.00292.x","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/0031825984",21,6,555,564,105,4.04,105,1,26,"","",""
89,"T.S. Basu Baul","Synthesis, characterization, cytotoxic activity and crystal structures of tri- and di-organotin(IV) complexes constructed from the β-{[(E)-1-(2- hydroxyaryl)alkylidene]amino}propionate and β-{[(2Z)-(3-hydroxy-1-methyl-2- butenylidene)]amino}propionate skeletons",2006,"Journal of Organometallic Chemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0022328X05009125","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=31644436314&origin=inward",5,"2024-07-01 12:00:00","Article","10.1016/j.jorganchem.2005.10.057","0022-328X","https://api.elsevier.com/content/abstract/scopus_id/31644436314",691,5,952,965,89,4.94,89,1,18,"","",""
78,"R. Fan","Spectroscopic and DFT Characterization of a Highly Reactive Nonheme Fe<sup>V</sup>-Oxo Intermediate",2018,"Journal of the American Chemical Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85044196401&origin=inward",6,"2024-07-01 12:00:00","Article","10.1021/jacs.7b11400","0002-7863","https://api.elsevier.com/content/abstract/scopus_id/85044196401",140,11,3916,3928,78,13.00,78,1,6,"","",""
76,"I. Ehlers","Detecting long-term metabolic shifts using isotopomers: CO<inf>2</inf>-driven suppression of photorespiration in C<inf>3</inf> plants over the 20th century",2015,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84952684826&origin=inward",7,"2024-07-01 12:00:00","Article","10.1073/pnas.1504493112","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/84952684826",112,51,15585,15590,76,8.44,76,1,9,"","",""
69,"M. Zhao","Iron complexes of dendrimer-appended carboxylates for activating dioxygen and oxidizing hydrocarbons",2008,"Journal of the American Chemical Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=41549119444&origin=inward",8,"2024-07-01 12:00:00","Article","10.1021/ja076817a","0002-7863","https://api.elsevier.com/content/abstract/scopus_id/41549119444",130,13,4352,4363,69,4.31,69,1,16,"","",""
69,"S. Yoon","Water affects the stereochemistry and dioxygen reactivity of carboxylate-rich diiron(II) models for the diiron centers in dioxygen-dependent non-heme enzymes",2005,"Journal of the American Chemical Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=20644431579&origin=inward",9,"2024-07-01 12:00:00","Article","10.1021/ja0512531","0002-7863","https://api.elsevier.com/content/abstract/scopus_id/20644431579",127,23,8386,8397,69,3.63,69,1,19,"","",""
66,"S. Gawali-Salunke","Magnetic and mössbauer investigation of the photomagnetic prussian blue analogue Na<inf>0.32</inf>Co[Fe(CN)<inf>6</inf>]<inf>0.74</inf>·3. 4H<inf>2</inf>O: Cooperative relaxation of the thermally quenched state",2005,"Journal of Physical Chemistry B","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=20844452869&origin=inward",10,"2024-07-01 12:00:00","Article","10.1021/jp044739x","1520-6106","https://api.elsevier.com/content/abstract/scopus_id/20844452869",109,16,8251,8256,66,3.47,66,1,19,"","",""
