Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
498,"M. Sheng","Influence of arbuscular mycorrhizae on photosynthesis and water status of maize plants under salt stress",2008,"Mycorrhiza","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=50649094005&origin=inward",1,"2024-07-01 14:16:58","Article","10.1007/s00572-008-0180-7","0940-6360","https://api.elsevier.com/content/abstract/scopus_id/50649094005",18,6,287,296,498,31.13,498,1,16,"","",""
373,"A.A.H. Abdel Latef","Effect of arbuscular mycorrhizal fungi on growth, mineral nutrition, antioxidant enzymes activity and fruit yield of tomato grown under salinity stress",2011,"Scientia Horticulturae","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304423810004437","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78650182470&origin=inward",2,"2024-07-01 14:16:58","Article","10.1016/j.scienta.2010.09.020","0304-4238","https://api.elsevier.com/content/abstract/scopus_id/78650182470",127,3,228,233,373,28.69,373,1,13,"","",""
349,"G. Feng","Improved tolerance of maize plants to salt stress by arbuscular mycorrhiza is related to higher accumulation of soluble sugars in roots",2002,"Mycorrhiza","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036927642&origin=inward",3,"2024-07-01 14:16:58","Article","10.1007/s00572-002-0170-0","0940-6360","https://api.elsevier.com/content/abstract/scopus_id/0036927642",12,4,185,190,349,15.86,349,1,22,"","",""
270,"O. Lange","Taxonomic composition and photosynthetic characteristics of the ""biological soil crusts' covering sand dunes in the western Negev Desert",1992,"Functional Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027041259&origin=inward",4,"2024-07-01 14:16:58","Article","10.2307/2390048","0269-8463","https://api.elsevier.com/content/abstract/scopus_id/0027041259",6,5,519,527,270,8.44,270,1,32,"","",""
269,"D. Housman","Carbon and nitrogen fixation differ between successional stages of biological soil crusts in the Colorado Plateau and Chihuahuan Desert",2006,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196305003009","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33646568828&origin=inward",5,"2024-07-01 14:16:58","Article","10.1016/j.jaridenv.2005.11.014","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/33646568828",66,4,620,634,269,14.94,269,1,18,"","",""
244,"B. Büdel","Southern african biological soil crusts are ubiquitous and highly diverse in drylands, being restricted by rainfall frequency",2009,"Microbial Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=59549097087&origin=inward",6,"2024-07-01 14:16:58","Article","10.1007/s00248-008-9449-9","0095-3628","https://api.elsevier.com/content/abstract/scopus_id/59549097087",57,2,229,247,244,16.27,244,1,15,"","",""
243,"J. Belnap","Response of desert biological soil crusts to alterations in precipitation frequency",2004,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=6044237089&origin=inward",7,"2024-07-01 14:16:58","Article","10.1007/s00442-003-1438-6","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/6044237089",141,2,306,316,243,12.15,243,1,20,"","",""
242,"A.O. Richardson","Horizontal gene transfer in plants",2007,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845904639&origin=inward",8,"2024-07-01 14:16:58","Conference Paper","10.1093/jxb/erl148","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/33845904639",58,1,1,9,242,14.24,242,1,17,"","",""
236,"N.Y. Kiang","Spectral signatures of photosynthesis. I. Review of Earth organisms",2007,"Astrobiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34249736872&origin=inward",9,"2024-07-01 14:16:58","Review","10.1089/ast.2006.0105","1531-1074","https://api.elsevier.com/content/abstract/scopus_id/34249736872",7,1,222,251,236,13.88,236,1,17,"","",""
211,"M. Marschall","Are bryophytes shade plants? Photosynthetic light responses and proportions of chlorophyll a, chlorophyll b and total carotenoids",2004,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=8344285636&origin=inward",10,"2024-07-01 14:16:58","Article","10.1093/aob/mch178","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/8344285636",94,4,593,603,211,10.55,211,1,20,"","",""
204,"S. Palit","Effects of cobalt on plants",1994,"The Botanical Review","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028042955&origin=inward",11,"2024-07-01 14:16:58","Article","10.1007/BF02856575","0006-8101","https://api.elsevier.com/content/abstract/scopus_id/0028042955",60,2,149,181,204,6.80,204,1,30,"","",""
194,"A. Derks","Diverse mechanisms for photoprotection in photosynthesis. Dynamic regulation of photosystem II excitation in response to rapid environmental change",2015,"Biochimica et Biophysica Acta - Bioenergetics","","https://api.elsevier.com/content/article/eid/1-s2.0-S000527281500033X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923346569&origin=inward",12,"2024-07-01 14:16:58","Review","10.1016/j.bbabio.2015.02.008","0005-2728","https://api.elsevier.com/content/abstract/scopus_id/84923346569",1847,4,468,485,194,21.56,194,1,9,"","",""
184,"S. Chen","Combined inoculation with multiple arbuscular mycorrhizal fungi improves growth, nutrient uptake and photosynthesis in cucumber seedlings",2017,"Frontiers in Microbiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85038358721&origin=inward",13,"2024-07-01 14:16:58","Article","10.3389/fmicb.2017.02516","1664-302X","https://api.elsevier.com/content/abstract/scopus_id/85038358721",8,,,,184,26.29,184,1,7,"","",""
184,"G. Kidron","The role of dew as a moisture source for sand microbiotic crusts in the Negev Desert, Israel",2002,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196302910141","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036896101&origin=inward",14,"2024-07-01 14:16:58","Article","10.1006/jare.2002.1014","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/0036896101",52,4,517,533,184,8.36,184,1,22,"","",""
183,"S. Choudhury","Toxic effects, oxidative stress and ultrastructural changes in moss Taxithelium nepalense (Schwaegr.) Broth. under chromium and lead phytotoxicity",2005,"Water, Air, and Soil Pollution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=27144496026&origin=inward",15,"2024-07-01 14:16:58","Article","10.1007/s11270-005-8682-9","0049-6979","https://api.elsevier.com/content/abstract/scopus_id/27144496026",167,1,73,90,183,9.63,183,1,19,"","",""
176,"W. Wang","Feasibility of cyanobacterial inoculation for biological soil crusts formation in desert area",2009,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071708002289","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=67349168433&origin=inward",16,"2024-07-01 14:16:58","Article","10.1016/j.soilbio.2008.07.001","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/67349168433",41,5,926,929,176,11.73,176,1,15,"","",""
167,"Y. Yamada","Strigolactone signaling regulates rice leaf senescence in response to a phosphate deficiency",2014,"Planta","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84904960554&origin=inward",17,"2024-07-01 14:16:58","Article","10.1007/s00425-014-2096-0","0032-0935","https://api.elsevier.com/content/abstract/scopus_id/84904960554",240,2,399,408,167,16.70,167,1,10,"","",""
165,"J. Lin","Effects of arbuscular mycorrhizal fungi on the growth, photosynthesis and photosynthetic pigments of Leymus chinensis seedlings under salt-alkali stress and nitrogen deposition",2017,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969716322677","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84994027671&origin=inward",18,"2024-07-01 14:16:58","Article","10.1016/j.scitotenv.2016.10.091","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/84994027671",576,,234,241,165,23.57,165,1,7,"","",""
156,"Z. Tuba","Photosynthetic responses of a moss, Tortula ruralis, ssp. ruralis, and the lichens Cladonia convoluta and C. furcata to water deficit and short periods of desiccation, and their ecophysiological significance: A baseline study at present-day CO<inf>2</inf> concentration",1996,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0001467469&origin=inward",19,"2024-07-01 14:16:58","Article","10.1111/j.1469-8137.1996.tb01902.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0001467469",133,2,353,361,156,5.57,156,1,28,"","",""
149,"P. Punamiya","Symbiotic role of Glomus mosseae in phytoextraction of lead in vetiver grass [Chrysopogon zizanioides (L.)]",2010,"Journal of Hazardous Materials","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304389409020457","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77949659356&origin=inward",20,"2024-07-01 14:16:58","Article","10.1016/j.jhazmat.2009.12.056","0304-3894","https://api.elsevier.com/content/abstract/scopus_id/77949659356",177,1,465,474,149,10.64,149,1,14,"","",""
135,"A.A.H.A. Latef","Arbuscular mycorrhizal influence on growth, photosynthetic pigments, osmotic adjustment and oxidative stress in tomato plants subjected to low temperature stress",2011,"Acta Physiologiae Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79958767728&origin=inward",21,"2024-07-01 14:16:58","Article","10.1007/s11738-010-0650-3","0137-5881","https://api.elsevier.com/content/abstract/scopus_id/79958767728",33,4,1217,1225,135,10.38,135,1,13,"","",""
134,"M. Proctor","Rapid recovery of photosystems on rewetting desiccation-tolerant mosses: Chlorophyll fluorescence and inhibitor experiments",2000,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033738651&origin=inward",22,"2024-07-01 14:16:58","Article","10.1093/jexbot/51.351.1695","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/0033738651",51,351,1695,1704,134,5.58,134,1,24,"","",""
133,"M.C.F. Proctor","Desiccation tolerance in the moss Polytrichum formosum: Physiological and fine-structural changes during desiccation and recovery",2007,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34047209561&origin=inward",23,"2024-07-01 14:16:58","Article","10.1093/aob/mcl246","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/34047209561",99,1,75,93,133,7.82,133,1,17,"","",""
129,"S. Shahabivand","The effects of root endophyte and arbuscular mycorrhizal fungi on growth and cadmium accumulation in wheat under cadmium toxicity",2012,"Plant Physiology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0981942812001970","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84867063501&origin=inward",24,"2024-07-01 14:16:58","Article","10.1016/j.plaphy.2012.07.018","0981-9428","https://api.elsevier.com/content/abstract/scopus_id/84867063501",60,,53,58,129,10.75,129,1,12,"","",""
129,"A. Wood","Invited essay: New frontiers in bryology and lichenology: The nature and distribution of vegetative desiccation-tolerance in hornworts, liverworts and mosses",2007,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34248591481&origin=inward",25,"2024-07-01 14:16:58","Review","10.1639/0007-2745(2007)110[163:IENFIB]2.0.CO;2","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/34248591481",110,2,163,177,129,7.59,129,1,17,"","",""
127,"K. Shakya","Impact of heavy metals (copper, zinc, and lead) on the chlorophyll content of some mosses",2008,"Archives of Environmental Contamination and Toxicology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=40549086563&origin=inward",26,"2024-07-01 14:16:58","Article","10.1007/s00244-007-9060-y","0090-4341","https://api.elsevier.com/content/abstract/scopus_id/40549086563",54,3,412,421,127,7.94,127,1,16,"","",""
127,"Z. Tuba","Ecophysiological responses of homoiochlorophyllous and poikilochlorophyllous desiccation tolerant plants: A comparison and an ecological perspective",1998,"Plant Growth Regulation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031912438&origin=inward",27,"2024-07-01 14:16:58","Conference Paper","10.1023/A:1005951908229","0167-6903","https://api.elsevier.com/content/abstract/scopus_id/0031912438",24,3,211,217,127,4.88,127,1,26,"","",""
127,"V. JONES","The construction of a diatom‐based chlorophyll a transfer function and its application at three lakes on Signy Island (maritime Antarctic) subject to differing degrees of nutrient enrichment",1995,"Freshwater Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028995460&origin=inward",28,"2024-07-01 14:16:58","Article","10.1111/j.1365-2427.1995.tb00901.x","0046-5070","https://api.elsevier.com/content/abstract/scopus_id/0028995460",34,3,433,445,127,4.38,127,1,29,"","",""
123,"K. Boldt","Photochemical processes, carbon assimilation and RNA accumulation of sucrose transporter genes in tomato arbuscular mycorrhiza",2011,"Journal of Plant Physiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0176161711001234","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79956342855&origin=inward",29,"2024-07-01 14:16:58","Article","10.1016/j.jplph.2011.01.026","0176-1617","https://api.elsevier.com/content/abstract/scopus_id/79956342855",168,11,1256,1263,123,9.46,123,1,13,"","",""
122,"X.R. Li","Carbon fixation by biological soil crusts following revegetation of sand dunes in arid desert regions of China: A four-year field study",2012,"Catena","","https://api.elsevier.com/content/article/eid/1-s2.0-S0341816212001154","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84862698415&origin=inward",30,"2024-07-01 14:16:58","Article","10.1016/j.catena.2012.05.009","0341-8162","https://api.elsevier.com/content/abstract/scopus_id/84862698415",97,,119,126,122,10.17,122,1,12,"","",""
122,"Y. Yasumura","A conserved transcription factor mediates nuclear control of organelle biogenesis in anciently diverged land plants",2005,"Plant Cell","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33644796518&origin=inward",31,"2024-07-01 14:16:58","Article","10.1105/tpc.105.033191","1040-4651","https://api.elsevier.com/content/abstract/scopus_id/33644796518",17,7,1894,1907,122,6.42,122,1,19,"","",""
119,"C. Kuske","Response and resilience of soil biocrust bacterial communities to chronic physical disturbance in arid shrublands",2012,"ISME Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858866068&origin=inward",32,"2024-07-01 14:16:58","Article","10.1038/ismej.2011.153","1751-7362","https://api.elsevier.com/content/abstract/scopus_id/84858866068",6,4,886,897,119,9.92,119,1,12,"","",""
119,"G. Kidron","Properties and spatial distribution of microbiotic crusts in the Negev Desert, Israel",2010,"Catena","","https://api.elsevier.com/content/article/eid/1-s2.0-S0341816210000718","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954382960&origin=inward",33,"2024-07-01 14:16:58","Article","10.1016/j.catena.2010.05.006","0341-8162","https://api.elsevier.com/content/abstract/scopus_id/77954382960",82,2,92,101,119,8.50,119,1,14,"","",""
118,"R. Beymer","Potential contribution of carbon by microphytic crusts in pinyon-juniper woodlands",1991,"Arid Soil Research and Rehabilitation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026311775&origin=inward",34,"2024-07-01 14:16:58","Article","10.1080/15324989109381279","0890-3069","https://api.elsevier.com/content/abstract/scopus_id/0026311775",5,3,187,198,118,3.58,118,1,33,"","",""
116,"F. Zhang","Arbuscular mycorrhizas modulate root polyamine metabolism to enhance drought tolerance of trifoliate orange",2020,"Environmental and Experimental Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-S0098847219315230","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074655152&origin=inward",35,"2024-07-01 14:16:58","Article","10.1016/j.envexpbot.2019.103926","0098-8472","https://api.elsevier.com/content/abstract/scopus_id/85074655152",171,,,,116,29.00,116,1,4,"","",""
116,"J. Belnap","Visually assessing the level of development and soil surface stability of cyanobacterially dominated biological soil crusts",2008,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196308000311","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=43849085668&origin=inward",36,"2024-07-01 14:16:58","Article","10.1016/j.jaridenv.2008.02.019","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/43849085668",72,7,1257,1264,116,7.25,116,1,16,"","",""
113,"M. Chandrasekaran","Impact of arbuscular mycorrhizal fungi on photosynthesis, water status, and gas exchange of plants under salt stress–a meta-analysis",2019,"Frontiers in Plant Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067353112&origin=inward",37,"2024-07-01 14:16:58","Article","10.3389/fpls.2019.00457","1664-462X","https://api.elsevier.com/content/abstract/scopus_id/85067353112",10,,,,113,22.60,113,1,5,"","",""
113,"B. Dhir","Physiological and antioxidant responses of Salvinia natans exposed to chromium-rich wastewater",2009,"Ecotoxicology and Environmental Safety","","https://api.elsevier.com/content/article/eid/1-s2.0-S0147651309000554","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=68549085237&origin=inward",38,"2024-07-01 14:16:58","Article","10.1016/j.ecoenv.2009.03.015","0147-6513","https://api.elsevier.com/content/abstract/scopus_id/68549085237",72,6,1790,1797,113,7.53,113,1,15,"","",""
109,"C. Escolar","Warming reduces the growth and diversity of biological soil crusts in a semi-arid environment: Implications for ecosystem structure and functioning",2012,"Philosophical Transactions of the Royal Society B: Biological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84867177719&origin=inward",39,"2024-07-01 14:16:58","Article","10.1098/rstb.2011.0344","0962-8436","https://api.elsevier.com/content/abstract/scopus_id/84867177719",367,1606,3087,3099,109,9.08,109,1,12,"","",""
108,"A. Pinnola","Zeaxanthin binds to light-harvesting complex stress-related protein to enhance nonphotochemical quenching in Physcomitrella patens",2013,"Plant Cell","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84886510104&origin=inward",40,"2024-07-01 14:16:58","Article","10.1105/tpc.113.114538","1040-4651","https://api.elsevier.com/content/abstract/scopus_id/84886510104",25,9,3519,3534,108,9.82,108,1,11,"","",""
108,"Z. Csintalan","Chlorophyll fluorescence during drying and rehydration in the mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) Hook. and Tayl. and Grimmia pulvinata (Hedw.) Sm.",1999,"Annals of Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-S0305736499909198","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032773765&origin=inward",41,"2024-07-01 14:16:58","Article","10.1006/anbo.1999.0919","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/0032773765",84,2,235,244,108,4.32,108,1,25,"","",""
107,"N. Garg","Silicon nutrition and mycorrhizal inoculations improve growth, nutrient status, K<sup>+</sup>/Na<sup>+</sup> ratio and yield of Cicer arietinum L. genotypes under salinity stress",2016,"Plant Growth Regulation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84961182222&origin=inward",42,"2024-07-01 14:16:58","Article","10.1007/s10725-015-0099-x","0167-6903","https://api.elsevier.com/content/abstract/scopus_id/84961182222",78,3,371,387,107,13.38,107,1,8,"","",""
107,"G.M. Abdel-Fattah","Arbuscular mycorrhizal fungal application to improve growth and tolerance of wheat (Triticum aestivum L.) plants grown in saline soil",2012,"Acta Physiologiae Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84855244444&origin=inward",43,"2024-07-01 14:16:58","Article","10.1007/s11738-011-0825-6","0137-5881","https://api.elsevier.com/content/abstract/scopus_id/84855244444",34,1,267,277,107,8.92,107,1,12,"","",""
107,"G. Kidron","Microclimate control upon sand microbiotic crusts, western Negev Desert, Israel",2000,"Geomorphology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0169555X0000043X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034482488&origin=inward",44,"2024-07-01 14:16:58","Article","10.1016/S0169-555X(00)00043-X","0169-555X","https://api.elsevier.com/content/abstract/scopus_id/0034482488",36,1,1,18,107,4.46,107,1,24,"","",""
104,"F. Chaux","Flavodiiron proteins promote fast and transient O<inf>2</inf> photoreduction in chlamydomonas",2017,"Plant Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85021809611&origin=inward",45,"2024-07-01 14:16:58","Article","10.1104/pp.17.00421","0032-0889","https://api.elsevier.com/content/abstract/scopus_id/85021809611",174,3,1825,1836,104,14.86,104,1,7,"","",""
104,"J.M. Navarro","Alleviation of salt stress in citrus seedlings inoculated with arbuscular mycorrhizal fungi depends on the rootstock salt tolerance",2014,"Journal of Plant Physiology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0176161713002460","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84890317000&origin=inward",46,"2024-07-01 14:16:58","Article","10.1016/j.jplph.2013.06.006","0176-1617","https://api.elsevier.com/content/abstract/scopus_id/84890317000",171,1,76,85,104,10.40,104,1,10,"","",""
104,"M. Tretiach","Lichen and moss bags as monitoring devices in urban areas. Part I: Influence of exposure on sample vitality",2007,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-S0269749106002260","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33847131634&origin=inward",47,"2024-07-01 14:16:58","Article","10.1016/j.envpol.2006.03.046","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/33847131634",146,2,380,391,104,6.12,104,1,17,"","",""
103,"Y. Yang","Arbuscular Mycorrhizal Fungi Alter Fractal Dimension Characteristics of Robinia pseudoacacia L. Seedlings Through Regulating Plant Growth, Leaf Water Status, Photosynthesis, and Nutrient Concentration Under Drought Stress",2014,"Journal of Plant Growth Regulation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891513515&origin=inward",48,"2024-07-01 14:16:58","Article","10.1007/s00344-013-9410-0","0721-7595","https://api.elsevier.com/content/abstract/scopus_id/84891513515",33,3,612,625,103,10.30,103,1,10,"","",""
102,"A. Alboresi","In silico and biochemical analysis of Physcomitrella patens photosynthetic antenna: Identification of subunits which evolved upon land adaptation",2008,"PLoS ONE","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=44349151471&origin=inward",49,"2024-07-01 14:16:58","Article","10.1371/journal.pone.0002033","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/44349151471",3,4,,,102,6.38,102,1,16,"","",""
100,"T. Hájek","Effect of water content components on desiccation and recovery in Sphagnum mosses",2008,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=37249021331&origin=inward",50,"2024-07-01 14:16:58","Article","10.1093/aob/mcm287","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/37249021331",101,1,165,173,100,6.25,100,1,16,"","",""
99,"M. Gong","Effects of two Glomus species on the growth and physiological performance of Sophora davidii seedlings under water stress",2013,"New Forests","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876421501&origin=inward",51,"2024-07-01 14:16:58","Article","10.1007/s11056-012-9349-1","0169-4286","https://api.elsevier.com/content/abstract/scopus_id/84876421501",44,3,399,408,99,9.00,99,1,11,"","",""
99,"Y. Mino","Mugineic Acid-Iron(III) Complex and Its Structurally Analogous Coball(III) Complex: Characterization and Implication for Absorption and Transport of Iron in Gramineous Plants",1983,"Journal of the American Chemical Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020782237&origin=inward",52,"2024-07-01 14:16:58","Article","10.1021/ja00352a024","0002-7863","https://api.elsevier.com/content/abstract/scopus_id/0020782237",105,14,4671,4676,99,2.41,99,1,41,"","",""
97,"L. Bernardo","Metabolomic responses triggered by arbuscular mycorrhiza enhance tolerance to water stress in wheat cultivars",2019,"Plant Physiology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0981942819300567","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061832877&origin=inward",53,"2024-07-01 14:16:58","Article","10.1016/j.plaphy.2019.02.007","0981-9428","https://api.elsevier.com/content/abstract/scopus_id/85061832877",137,,203,212,97,19.40,97,1,5,"","",""
97,"L. Chiquoine","Rapidly restoring biological soil crusts and ecosystem functions in a severely disturbed desert ecosystem",2016,"Ecological Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84973480492&origin=inward",54,"2024-07-01 14:16:58","Article","10.1002/15-0973","1939-5582","https://api.elsevier.com/content/abstract/scopus_id/84973480492",26,4,1260,1272,97,12.13,97,1,8,"","",""
96,"P.T. Manoharan","Influence of AM fungi on the growth and physiological status of Erythrina variegata Linn. grown under different water stress conditions",2010,"European Journal of Soil Biology","","https://api.elsevier.com/content/article/eid/1-s2.0-S116455631000004X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77949570191&origin=inward",55,"2024-07-01 14:16:58","Article","10.1016/j.ejsobi.2010.01.001","1164-5563","https://api.elsevier.com/content/abstract/scopus_id/77949570191",46,2,151,156,96,6.86,96,1,14,"","",""
94,"W. Seel","The combined effects of desiccation and irradiance on mosses from xeric and hydric habitats",1992,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000325010&origin=inward",56,"2024-07-01 14:16:58","Article","10.1093/jxb/43.8.1023","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/0000325010",43,8,1023,1030,94,2.94,94,1,32,"","",""
93,"K.K. Newsham","Response of two Antarctic bryophytes to stratospheric ozone depletion",2002,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036784976&origin=inward",57,"2024-07-01 14:16:58","Article","10.1046/j.1365-2486.2002.00509.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/0036784976",8,10,972,983,93,4.23,93,1,22,"","",""
93,"C. Wiegand","Effects of microcin SF608 and microcystin-LR two cyanotobacterial compounds produced by Microcystis sp., on aquatic organisms",2002,"Environmental Toxicology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036048496&origin=inward",58,"2024-07-01 14:16:58","Article","10.1002/tox.10065","1520-4081","https://api.elsevier.com/content/abstract/scopus_id/0036048496",17,4,400,406,93,4.23,93,1,22,"","",""
93,"P. Harley","Irradiance and temperature effects on photosynthesis of tussock tundra Sphagnum mosses from the foothills of the Philip Smith Mountains, Alaska",1989,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024897697&origin=inward",59,"2024-07-01 14:16:58","Article","10.1007/BF00388485","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0024897697",79,2,251,259,93,2.66,93,1,35,"","",""
91,"M. Arróniz-Crespo","Bryophyte physiological responses to, and recovery from, long-term nitrogen deposition and phosphorus fertilisation in acidic grassland",2008,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=55649116911&origin=inward",60,"2024-07-01 14:16:58","Article","10.1111/j.1469-8137.2008.02617.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/55649116911",180,4,864,874,91,5.69,91,1,16,"","",""
