Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1604,"H. Beinert","Iron-sulfur clusters: Nature's modular, multipurpose structures",1997,"Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030868605&origin=inward",1,"2024-07-01 15:08:09","Article","10.1126/science.277.5326.653","0036-8075","https://api.elsevier.com/content/abstract/scopus_id/0030868605",277,5326,653,659,1604,59.41,1604,1,27,"","",""
747,"M. Frey","Hydrogenases: Hydrogen-activating enzymes",2002,"ChemBioChem","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036523377&origin=inward",2,"2024-07-01 15:08:09","Short Survey","10.1002/1439-7633(20020301)3:2/3<153::AID-CBIC153>3.0.CO;2-B","1439-4227","https://api.elsevier.com/content/abstract/scopus_id/0036523377",3,2,153,160,747,33.95,747,1,22,"","",""
685,"M. Blaxter","Defining operational taxonomic units using DNA barcode data",2005,"Philosophical Transactions of the Royal Society B: Biological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33645781099&origin=inward",3,"2024-07-01 15:08:09","Article","10.1098/rstb.2005.1725","0962-8436","https://api.elsevier.com/content/abstract/scopus_id/33645781099",360,1462,1935,1943,685,36.05,685,1,19,"","",""
601,"J.C. Price","The first direct characterization of a high-valent iron intermediate in the reaction of an α-ketoglutarate-dependent dioxygenase: A high-spin Fe(IV) complex in taurine/α-ketoglutarate dioxygenase (TauD) from Escherichia coli",2003,"Biochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0038747011&origin=inward",4,"2024-07-01 15:08:09","Article","10.1021/bi030011f","0006-2960","https://api.elsevier.com/content/abstract/scopus_id/0038747011",42,24,7497,7508,601,28.62,601,1,21,"","",""
590,"I. Cesar","Influence of Feature Size, Film Thickness, and Silicon Doping on the Performance of Nanostructured Hematite Photoanodes for Solar Water Splitting",2009,"Journal of Physical Chemistry C","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=61649119228&origin=inward",5,"2024-07-01 15:08:09","Article","10.1021/jp809060p","1932-7447","https://api.elsevier.com/content/abstract/scopus_id/61649119228",113,2,772,782,590,39.33,590,1,15,"","",""
464,"A.G.B. Williams","Spectroscopic evidence for Fe(II)-Fe(III) electron transfer at the iron oxide-water interface",2004,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=4544255728&origin=inward",6,"2024-07-01 15:08:09","Article","10.1021/es049373g","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/4544255728",38,18,4782,4790,464,23.20,464,1,20,"","",""
441,"E.D. Bloch","Selective binding of O<inf>2</inf> over N<inf>2</inf> in a redox-active metal-organic framework with open iron(II) coordination sites",2011,"Journal of the American Chemical Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80052806806&origin=inward",7,"2024-07-01 15:08:09","Article","10.1021/ja205976v","0002-7863","https://api.elsevier.com/content/abstract/scopus_id/80052806806",133,37,14814,14822,441,33.92,441,1,13,"","",""
440,"S.C. Bart","Electronic structure of bis(imino)pyridine iron dichloride, monochloride, and neutral ligand complexes: A combined structural, spectroscopic, and computational study",2006,"Journal of the American Chemical Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33750361497&origin=inward",8,"2024-07-01 15:08:09","Article","10.1021/ja064557b","0002-7863","https://api.elsevier.com/content/abstract/scopus_id/33750361497",128,42,13901,13912,440,24.44,440,1,18,"","",""
402,"F.X. Redl","Magnetic, electronic, and structural characterization of nonstoichiometric iron oxides at the nanoscale",2004,"Journal of the American Chemical Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=7944227493&origin=inward",9,"2024-07-01 15:08:09","Article","10.1021/ja046808r","0002-7863","https://api.elsevier.com/content/abstract/scopus_id/7944227493",126,44,14583,14599,402,20.10,402,1,20,"","",""
399,"K. Chen","Iron phthalocyanine with coordination induced electronic localization to boost oxygen reduction reaction",2020,"Nature Communications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089599650&origin=inward",10,"2024-07-01 15:08:09","Article","10.1038/s41467-020-18062-y","2041-1723","https://api.elsevier.com/content/abstract/scopus_id/85089599650",11,1,,,399,99.75,399,1,4,"","",""
