Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
729,"T.J. Brodribb","Leaf maximum photosynthetic rate and venation are linked by hydraulics",2007,"Plant Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34547858155&origin=inward",1,"2024-07-01 14:21:45","Article","10.1104/pp.107.101352","0032-0889","https://api.elsevier.com/content/abstract/scopus_id/34547858155",144,4,1890,1898,729,42.88,729,1,17,"","",""
134,"P. NOBEL","Internal Leaf Area and Cellular CO<inf>2</inf> Resistance: Photosynthetic Implications of Variations with Growth Conditions and Plant Species",1977,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0003025701&origin=inward",2,"2024-07-01 14:21:45","Article","10.1111/j.1399-3054.1977.tb01510.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/0003025701",40,2,137,144,134,2.85,134,1,47,"","",""
100,"G. Phoenix","Effects of global change on a sub-arctic heath: Effects of enhanced UV-B radiation and increased summer precipitation",2001,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035035347&origin=inward",3,"2024-07-01 14:21:45","Article","10.1046/j.1365-2745.2001.00531.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/0035035347",89,2,256,267,100,4.35,100,1,23,"","",""
36,"J. Rozema","Stratospheric ozone depletion: High arctic tundra plant growth on svalbard is not affected by enhanced UV-B after 7 years of UV-B supplementation in the field",2006,"Plant Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33745215835&origin=inward",4,"2024-07-01 14:21:45","Article","10.1007/s11258-005-9035-x","1385-0237","https://api.elsevier.com/content/abstract/scopus_id/33745215835",182,1,121,135,36,2.00,36,1,18,"","",""
20,"T.D. Lum","Ontogenetic variation in salinity tolerance and ecophysiology of coastal dune plants",2020,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078867246&origin=inward",5,"2024-07-01 14:21:45","Article","10.1093/aob/mcz097","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/85078867246",125,2,301,314,20,5.00,20,1,4,"","",""
6,"A. Wongpiyasatid","Effects of acute gamma irradiation on adventitious plantlet regeneration and mutation from leaf cuttings of African violet (Saintpaulia ionantha)",2007,"Kasetsart Journal - Natural Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=36348934437&origin=inward",6,"2024-07-01 14:21:45","Article","","0075-5192","https://api.elsevier.com/content/abstract/scopus_id/36348934437",41,4,633,640,6,0.35,6,1,17,"","",""
4,"T. Mizuno","Spore-holding Capacity of Bryophyte Colonies Influences Pteridophyte Establishment in a Vertical Environment",2016,"American Fern Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84992694419&origin=inward",7,"2024-07-01 14:21:45","Article","10.1640/0002-8444-106.3.161","0002-8444","https://api.elsevier.com/content/abstract/scopus_id/84992694419",106,3,161,170,4,0.50,4,1,8,"","",""
0,"T. Wuyun","Extremely thin but very robust: Surprising cryptogam trait combinations at the end of the leaf economics spectrum",2024,"Plant Diversity","","https://api.elsevier.com/content/article/eid/1-s2.0-S2468265924000623","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85192329743&origin=inward",8,"2024-07-01 14:21:45","Article","10.1016/j.pld.2024.04.009","2096-2703","https://api.elsevier.com/content/abstract/scopus_id/85192329743",,,,,0,0.00,0,1,1,"","",""
0,"X. Li","Arbuscular mycorrhizal fungi-mediated resistance to salt spray in Cinnamomum camphora seedlings enhanced by leaf functional traits",2024,"Soil Ecology Letters","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85180228836&origin=inward",9,"2024-07-01 14:21:45","Article","10.1007/s42832-023-0211-5","2662-2289","https://api.elsevier.com/content/abstract/scopus_id/85180228836",6,3,,,0,0.00,0,1,1,"","",""
0,"J. Zong","Effect of funneliformis mosseae on growth and leaf anatomical structure and chlorophyll fluorescence parameters of xanthoceras sorbifolium under NaCL stress",2023,"Journal of Plant Resources and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85160305295&origin=inward",10,"2024-07-01 14:21:45","Article","10.3969/j.issn.1674-7895.2023.02.09","1674-7895","https://api.elsevier.com/content/abstract/scopus_id/85160305295",32,2,73,81,0,0.00,0,1,1,"","",""
0,"Y.H. Rhie","Growth and flowering of Phalaenopsis with various bottom ash and coir dust substrate mixes",2019,"Acta Horticulturae","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076620257&origin=inward",11,"2024-07-01 14:21:45","Conference Paper","10.17660/ActaHortic.2019.1262.14","0567-7572","https://api.elsevier.com/content/abstract/scopus_id/85076620257",1262,,93,99,0,0.00,0,1,5,"","",""
