Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1515,"G. Zheng","Interconnected hollow carbon nanospheres for stable lithium metal anodes",2014,"Nature Nanotechnology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84905817375&origin=inward",1,"2024-07-01 13:29:50","Article","10.1038/nnano.2014.152","1748-3387","https://api.elsevier.com/content/abstract/scopus_id/84905817375",9,8,618,623,1515,151.50,1515,1,10,"","",""
1343,"D. Sisti","In vitro mycorrhizal synthesis of micropropagated Tilia platyphyllos Scop. plantlets with Tuber borchii Vittad. mycelium in pure culture",1998,"Acta Horticulturae","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000778479&origin=inward",2,"2024-07-01 13:29:50","Article","10.17660/actahortic.1998.457.47","0567-7572","https://api.elsevier.com/content/abstract/scopus_id/0000778479",457,,379,387,1343,51.65,1343,1,26,"","",""
972,"S. Decurtins","Light-induced excited spin state trapping in a transition-metal complex: The hexa-1-propyltetrazole-iron (II) tetrafluoroborate spin-crossover system",1984,"Chemical Physics Letters","","https://api.elsevier.com/content/article/eid/1-s2.0-0009261484804030","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=4244157162&origin=inward",3,"2024-07-01 13:29:50","Article","10.1016/0009-2614(84)80403-0","0009-2614","https://api.elsevier.com/content/abstract/scopus_id/4244157162",105,1,1,4,972,24.30,972,1,40,"","",""
932,"B.R. Bennett","Carrier-Induced Change in Refractive Index of InP, GaAs, and InGaAsP",1990,"IEEE Journal of Quantum Electronics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025212401&origin=inward",4,"2024-07-01 13:29:50","Article","10.1109/3.44924","0018-9197","https://api.elsevier.com/content/abstract/scopus_id/0025212401",26,1,113,122,932,27.41,932,1,34,"","",""
728,"G. Oyler","The identification of a novel synaptosomal-associated protein, SNAP-25, differentially expressed by neuronal subpopulations",1989,"Journal of Cell Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024828306&origin=inward",5,"2024-07-01 13:29:50","Article","10.1083/jcb.109.6.3039","0021-9525","https://api.elsevier.com/content/abstract/scopus_id/0024828306",109,6,3039,3052,728,20.80,728,1,35,"","",""
705,"J.M. Christie","Phototropin blue-light receptors",2007,"Annual Review of Plant Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34250183058&origin=inward",6,"2024-07-01 13:29:50","Review","10.1146/annurev.arplant.58.032806.103951","1543-5008","https://api.elsevier.com/content/abstract/scopus_id/34250183058",58,,21,45,705,41.47,705,1,17,"","",""
666,"S. Kanel","Arsenic(V) removal from groundwater using nano scale zero-valent iron as a colloidal reactive barrier material",2006,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33645219301&origin=inward",7,"2024-07-01 13:29:50","Article","10.1021/es0520924","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/33645219301",40,6,2045,2050,666,37.00,666,1,18,"","",""
612,"C. Jung","Physical and chemical properties of superparamagnetic iron oxide MR contrast agents: Ferumoxides, ferumoxtran, ferumoxsil",1995,"Magnetic Resonance Imaging","","https://api.elsevier.com/content/article/eid/1-s2.0-0730725X9500024B","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029142532&origin=inward",8,"2024-07-01 13:29:50","Article","10.1016/0730-725X(95)00024-B","0730-725X","https://api.elsevier.com/content/abstract/scopus_id/0029142532",13,5,661,674,612,21.10,612,1,29,"","",""
602,"N. Toni","Neurons born in the adult dentate gyrus form functional synapses with target cells",2008,"Nature Neuroscience","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=48149105674&origin=inward",9,"2024-07-01 13:29:50","Article","10.1038/nn.2156","1097-6256","https://api.elsevier.com/content/abstract/scopus_id/48149105674",11,8,901,907,602,37.63,602,1,16,"","",""
598,"I. Hamberg","Band-gap widening in heavily Sn-doped In2O3",1984,"Physical Review B","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35949015935&origin=inward",10,"2024-07-01 13:29:50","Article","10.1103/PhysRevB.30.3240","0163-1829","https://api.elsevier.com/content/abstract/scopus_id/35949015935",30,6,3240,3249,598,14.95,598,1,40,"","",""
