Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
617,"S.C. Wu","Effects of biofertilizer containing N-fixer, P and K solubilizers and AM fungi on maize growth: A greenhouse trial",2005,"Geoderma","","https://api.elsevier.com/content/article/eid/1-s2.0-S0016706104001922","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=11144320892&origin=inward",1,"2024-07-03 09:27:42","Article","10.1016/j.geoderma.2004.07.003","0016-7061","https://api.elsevier.com/content/abstract/scopus_id/11144320892",125,1,155,166,617,32.47,617,1,19,"","",""
445,"T.H. DeLuca","Quantifying nitrogen-fixation in feather moss carpets of boreal forests",2002,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037206899&origin=inward",2,"2024-07-03 09:27:42","Article","10.1038/nature01051","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0037206899",419,6910,917,920,445,20.23,445,1,22,"","",""
349,"J.H.C. Cornelissen","Comparative cryptogam ecology: A review of bryophyte and lichen traits that drive biogeochemistry",2007,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34548458597&origin=inward",3,"2024-07-03 09:27:42","Review","10.1093/aob/mcm030","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/34548458597",99,5,987,1001,349,20.53,349,1,17,"","",""
299,"R. Evans","Microbiotic crusts and ecosystem processes",1999,"Critical Reviews in Plant Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032919199&origin=inward",4,"2024-07-03 09:27:42","Review","10.1016/S0735-2689(99)00384-6","0735-2689","https://api.elsevier.com/content/abstract/scopus_id/0032919199",18,2,183,225,299,11.96,299,1,25,"","",""
285,"W. Dodds","THE ECOLOGY OF NOSTOC",1995,"Journal of Phycology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028992718&origin=inward",5,"2024-07-03 09:27:42","Article","10.1111/j.0022-3646.1995.00002.x","0022-3646","https://api.elsevier.com/content/abstract/scopus_id/0028992718",31,1,2,18,285,9.83,285,1,29,"","",""
275,"J. Belnap","Surface disturbances: Their role in accelerating desertification",1995,"Environmental Monitoring and Assessment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029415965&origin=inward",6,"2024-07-03 09:27:42","Article","10.1007/BF00546879","0167-6369","https://api.elsevier.com/content/abstract/scopus_id/0029415965",37,1,39,57,275,9.48,275,1,29,"","",""
269,"D. Housman","Carbon and nitrogen fixation differ between successional stages of biological soil crusts in the Colorado Plateau and Chihuahuan Desert",2006,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196305003009","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33646568828&origin=inward",7,"2024-07-03 09:27:42","Article","10.1016/j.jaridenv.2005.11.014","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/33646568828",66,4,620,634,269,14.94,269,1,18,"","",""
236,"T.J. Del Castillo","A Synthetic Single-Site Fe Nitrogenase: High Turnover, Freeze-Quench <sup>57</sup>Fe Mössbauer Data, and a Hydride Resting State",2016,"Journal of the American Chemical Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84966267314&origin=inward",8,"2024-07-03 09:27:42","Article","10.1021/jacs.6b01706","0002-7863","https://api.elsevier.com/content/abstract/scopus_id/84966267314",138,16,5341,5350,236,29.50,236,1,8,"","",""
219,"S.K. Schmidt","The earliest stages of ecosystem succession in high-elevation (5000 metres above sea level), recently deglaciated soils",2008,"Proceedings of the Royal Society B: Biological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=57349130530&origin=inward",9,"2024-07-03 09:27:42","Article","10.1098/rspb.2008.0808","0962-8452","https://api.elsevier.com/content/abstract/scopus_id/57349130530",275,1653,2793,2802,219,13.69,219,1,16,"","",""
216,"C. Krebs","IscA, an alternate scaffold for Fe-S cluster biosynthesis",2001,"Biochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035923420&origin=inward",10,"2024-07-03 09:27:42","Article","10.1021/bi015656z","0006-2960","https://api.elsevier.com/content/abstract/scopus_id/0035923420",40,46,14069,14080,216,9.39,216,1,23,"","",""
204,"R. Evans","Long-term consequences of disturbance on nitrogen dynamics in an arid ecosystem",1999,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032953685&origin=inward",11,"2024-07-03 09:27:42","Article","10.1890/0012-9658(1999)080[0150:LTCODO]2.0.CO;2","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/0032953685",80,1,150,160,204,8.16,204,1,25,"","",""
197,"C.E.R. Pitcairn","The relationship between nitrogen deposition, species composition and foliar nitrogen concentrations in woodland flora in the vicinity of livestock farms",1998,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-S0269749198800134","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032433843&origin=inward",12,"2024-07-03 09:27:42","Conference Paper","10.1016/S0269-7491(98)80013-4","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/0032433843",102,,41,48,197,7.58,197,1,26,"","",""
175,"M.J. Gundale","Bryophytes attenuate anthropogenic nitrogen inputs in boreal forests",2011,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959989580&origin=inward",13,"2024-07-03 09:27:42","Article","10.1111/j.1365-2486.2011.02407.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/79959989580",17,8,2743,2753,175,13.46,175,1,13,"","",""
171,"L. Bragazza","Nitrogen concentration and δ<sup>15</sup>N signature of ombrotrophic Sphagnum mosses at different N deposition levels in Europe",2005,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=19944431750&origin=inward",14,"2024-07-03 09:27:42","Article","10.1111/j.1365-2486.2004.00886.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/19944431750",11,1,106,114,171,9.00,171,1,19,"","",""
163,"M.H. Abd-Alla","Synergistic interaction of Rhizobium leguminosarum bv. viciae and arbuscular mycorrhizal fungi as a plant growth promoting biofertilizers for faba bean (Vicia faba L.) in alkaline soil",2014,"Microbiological Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S0944501313001171","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84889085913&origin=inward",15,"2024-07-03 09:27:42","Article","10.1016/j.micres.2013.07.007","0944-5013","https://api.elsevier.com/content/abstract/scopus_id/84889085913",169,1,49,58,163,16.30,163,1,10,"","",""
161,"O. Zackrisson","Nitrogen fixation increases with successional age in boreal forests",2004,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=11844263398&origin=inward",16,"2024-07-03 09:27:42","Article","10.1890/04-0461","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/11844263398",85,12,3327,3334,161,8.05,161,1,20,"","",""
154,"Z. Lindo","Bryophyte-cyanobacteria associations as regulators of the northern latitude carbon balance in response to global change",2013,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84878623658&origin=inward",17,"2024-07-03 09:27:42","Review","10.1111/gcb.12175","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/84878623658",19,7,2022,2035,154,14.00,154,1,11,"","",""
151,"D.G. Adams","Cyanobacteria-bryophyte symbioses",2008,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=43049155050&origin=inward",18,"2024-07-03 09:27:42","Conference Paper","10.1093/jxb/ern005","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/43049155050",59,5,1047,1058,151,9.44,151,1,16,"","",""
149,"M.P. Hendrich","On the feasibility of N<inf>2</inf> fixation via a single-site Fe <sup>I</sup>/Fe<sup>IV</sup> cycle: Spectroscopic studies of Fe <sup>I</sup>(N<inf>2</inf>)Fe<sup>I</sup>, Fe<sup>IV</sup>≡N, and related species",2006,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33751224183&origin=inward",19,"2024-07-03 09:27:42","Article","10.1073/pnas.0604402103","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/33751224183",103,46,17107,17112,149,8.28,149,1,18,"","",""
147,"G. Bestel-Corre","Proteome analysis and identification of symbiosis-related proteins from Medicago truncatula Gaertn. by two-dimensional electrophoresis and mass spectrometry",2002,"Electrophoresis","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036150104&origin=inward",20,"2024-07-03 09:27:42","Article","10.1002/1522-2683(200201)23:1<122::AID-ELPS122>3.0.CO;2-4","0173-0835","https://api.elsevier.com/content/abstract/scopus_id/0036150104",23,1,122,137,147,6.68,147,1,22,"","",""
146,"T. DeLuca","Ecosystem feedbacks and nitrogen fixation in boreal forests",2008,"Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=45849137473&origin=inward",21,"2024-07-03 09:27:42","Article","10.1126/science.1154836","0036-8075","https://api.elsevier.com/content/abstract/scopus_id/45849137473",320,5880,1181,1181,146,9.13,146,1,16,"","",""
144,"D. Cusack","Biological nitrogen fixation in two tropical forests: Ecosystem-level patterns and effects of nitrogen fertilization",2009,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77949773870&origin=inward",22,"2024-07-03 09:27:42","Article","10.1007/s10021-009-9290-0","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/77949773870",12,8,1299,1315,144,9.60,144,1,15,"","",""
142,"T.M. Buscagan","N<inf>2</inf>-to-NH<inf>3</inf> Conversion by a triphos–Iron Catalyst and Enhanced Turnover under Photolysis",2017,"Angewandte Chemie - International Edition","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019145124&origin=inward",23,"2024-07-03 09:27:42","Article","10.1002/anie.201703244","1433-7851","https://api.elsevier.com/content/abstract/scopus_id/85019145124",56,24,6921,6926,142,20.29,142,1,7,"","",""
142,"T. Larmoia","Methanotrophy induces nitrogen fixation during peatland development",2014,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84892573916&origin=inward",24,"2024-07-03 09:27:42","Article","10.1073/pnas.1314284111","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/84892573916",111,2,734,739,142,14.20,142,1,10,"","",""
136,"A. Bragina","Sphagnum mosses harbour highly specific bacterial diversity during their whole lifecycle",2012,"ISME Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858866394&origin=inward",25,"2024-07-03 09:27:42","Article","10.1038/ismej.2011.151","1751-7362","https://api.elsevier.com/content/abstract/scopus_id/84858866394",6,4,802,813,136,11.33,136,1,12,"","",""
134,"J.M. Ruiz-Lozano","Arbuscular mycorrhizal symbiosis can alleviate drought-induced nodule senescence in soybean plants",2001,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034900579&origin=inward",26,"2024-07-03 09:27:42","Article","10.1046/j.0028-646X.2001.00196.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0034900579",151,2,493,502,134,5.83,134,1,23,"","",""
133,"D.N.L. Menge","Nitrogen fixation in different biogeochemical niches along a 120 000-year chronosequence in New Zealand",2009,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=68149136731&origin=inward",27,"2024-07-03 09:27:42","Article","10.1890/08-0877.1","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/68149136731",90,8,2190,2201,133,8.87,133,1,15,"","",""
132,"R. AZCÓN","Selective interactions between different species of mycorrhizal fungi and Rhizobium meliloti strains, and their effects on growth, N<inf>2</inf>‐fixation (<sup>15</sup>N) and nutrition of Medicago sativa L.",1991,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026268839&origin=inward",28,"2024-07-03 09:27:42","Article","10.1111/j.1469-8137.1991.tb00003.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0026268839",117,3,399,404,132,4.00,132,1,33,"","",""
122,"A.D. Smith","NifS-mediated assembly of [4Fe-4S] clusters in the N- and C-terminal domains of the NifU Scaffold protein",2005,"Biochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=25444446576&origin=inward",29,"2024-07-03 09:27:42","Article","10.1021/bi051257i","0006-2960","https://api.elsevier.com/content/abstract/scopus_id/25444446576",44,39,12955,12969,122,6.42,122,1,19,"","",""
120,"X.R. Li","Micro-geomorphology determines community structure of biological soil crusts at small scales",2010,"Earth Surface Processes and Landforms","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954369197&origin=inward",30,"2024-07-03 09:27:42","Article","10.1002/esp.1963","0197-9337","https://api.elsevier.com/content/abstract/scopus_id/77954369197",35,8,932,940,120,8.57,120,1,14,"","",""
119,"J. Rittle","Fe- N<inf>2</inf>/CO complexes that model a possible role for the interstitial C atom of FeMo-cofactor (FeMoco)",2013,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84885036210&origin=inward",31,"2024-07-03 09:27:42","Article","10.1073/pnas.1310153110","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/84885036210",110,40,15898,15903,119,10.82,119,1,11,"","",""
119,"G. Kidron","Properties and spatial distribution of microbiotic crusts in the Negev Desert, Israel",2010,"Catena","","https://api.elsevier.com/content/article/eid/1-s2.0-S0341816210000718","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954382960&origin=inward",32,"2024-07-03 09:27:42","Article","10.1016/j.catena.2010.05.006","0341-8162","https://api.elsevier.com/content/abstract/scopus_id/77954382960",82,2,92,101,119,8.50,119,1,14,"","",""
111,"Q. Zhuang","Modeling soil thermal and carbon dynamics of a fire chronosequence in interior Alaska",2003,"Journal of Geophysical Research: Atmospheres","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0347269064&origin=inward",33,"2024-07-03 09:27:42","Article","10.1029/2001jd001244","0148-0227","https://api.elsevier.com/content/abstract/scopus_id/0347269064",108,1,,,111,5.29,111,1,21,"","",""
108,"H.C. Angove","Mössbauer and EPR evidence for an all-ferrous Fe<inf>4</inf>S<inf>4</inf> cluster with S = 4 in the Fe protein of nitrogenase",1997,"Journal of the American Chemical Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030883525&origin=inward",34,"2024-07-03 09:27:42","Article","10.1021/ja9712837","0002-7863","https://api.elsevier.com/content/abstract/scopus_id/0030883525",119,37,8730,8731,108,4.00,108,1,27,"","",""
106,"K. Opelt","Investigations of the structure and function of bacterial communities associated with Sphagnum mosses",2007,"Environmental Microbiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35148829378&origin=inward",35,"2024-07-03 09:27:42","Article","10.1111/j.1462-2920.2007.01391.x","1462-2912","https://api.elsevier.com/content/abstract/scopus_id/35148829378",9,11,2795,2809,106,6.24,106,1,17,"","",""
106,"O. Rusina","Nitrogen photofixation on nanostructured iron titanate films",2003,"Chemistry - A European Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037455365&origin=inward",36,"2024-07-03 09:27:42","Article","10.1002/chem.200390059","0947-6539","https://api.elsevier.com/content/abstract/scopus_id/0037455365",9,2,561,565,106,5.05,106,1,21,"","",""
105,"K. Rousk","Moss-cyanobacteria associations as biogenic sources of nitrogen in boreal forest ecosystems",2013,"Frontiers in Microbiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884246228&origin=inward",37,"2024-07-03 09:27:42","Article","10.3389/fmicb.2013.00150","1664-302X","https://api.elsevier.com/content/abstract/scopus_id/84884246228",4,,,,105,9.55,105,1,11,"","",""
105,"E. Zaady","Nitrogen fixation in macro- and microphytic patches in the Negev desert",1998,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071797001958","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031923518&origin=inward",38,"2024-07-03 09:27:42","Article","10.1016/S0038-0717(97)00195-8","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/0031923518",30,4,449,454,105,4.04,105,1,26,"","",""
104,"J.E. Kostka","The Sphagnum microbiome: New insights from an ancient plant lineage",2016,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84969932039&origin=inward",39,"2024-07-03 09:27:42","Article","10.1111/nph.13993","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84969932039",211,1,57,64,104,13.00,104,1,8,"","",""
