Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
312,"R. Smith","Terrestrial plant biology of the sub-Antarctic and Antarctic.",1984,"Antarctic ecology. Vol. 1","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0021568387&origin=inward",1,"2024-07-01 15:00:47","Article","","","https://api.elsevier.com/content/abstract/scopus_id/0021568387",,,61,162,312,7.80,312,1,40,"","",""
131,"J.A. Gamon","Spatial and temporal variation in primary productivity (NDVI) of coastal Alaskan tundra: Decreased vegetation growth following earlier snowmelt",2013,"Remote Sensing of Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S003442571200418X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84870210599&origin=inward",2,"2024-07-01 15:00:47","Article","10.1016/j.rse.2012.10.030","0034-4257","https://api.elsevier.com/content/abstract/scopus_id/84870210599",129,,144,153,131,11.91,131,1,11,"","",""
130,"R. Jasoni","Net ecosystem CO<inf>2</inf> exchange in Mojave Desert shrublands during the eighth year of exposure to elevated CO<inf>2</inf>",2005,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=19344370762&origin=inward",3,"2024-07-01 15:00:47","Article","10.1111/j.1365-2486.2005.00948.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/19344370762",11,5,749,756,130,6.84,130,1,19,"","",""
104,"F. Wu","Effects of long-term fertilization on AM fungal community structure and Glomalin-related soil protein in the Loess Plateau of China",2011,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955010086&origin=inward",4,"2024-07-01 15:00:47","Article","10.1007/s11104-010-0688-4","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/79955010086",342,1,233,247,104,8.00,104,1,13,"","",""
100,"G. Phoenix","Effects of global change on a sub-arctic heath: Effects of enhanced UV-B radiation and increased summer precipitation",2001,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035035347&origin=inward",5,"2024-07-01 15:00:47","Article","10.1046/j.1365-2745.2001.00531.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/0035035347",89,2,256,267,100,4.35,100,1,23,"","",""
95,"W.Q. Yang","Litter dynamics of three subalpine forests in Western Sichuan",2005,"Pedosphere","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=27144487760&origin=inward",6,"2024-07-01 15:00:47","Article","","1002-0160","https://api.elsevier.com/content/abstract/scopus_id/27144487760",15,5,653,659,95,5.00,95,1,19,"","",""
95,"I. Jónsdóttir","Variable sensitivity of plant communities in Iceland to experimental warming",2005,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=17644406523&origin=inward",7,"2024-07-01 15:00:47","Article","10.1111/j.1365-2486.2005.00928.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/17644406523",11,4,553,563,95,5.00,95,1,19,"","",""
89,"I. Leal","Foraging ecology of attine ants in a Neotropical savanna: Seasonal use of fungal substrate in the cerrado vegetation of Brazil",2000,"Insectes Sociaux","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034532860&origin=inward",8,"2024-07-01 15:00:47","Article","10.1007/PL00001734","0020-1812","https://api.elsevier.com/content/abstract/scopus_id/0034532860",47,4,376,382,89,3.71,89,1,24,"","",""
80,"C. Helfter","Drivers of long-term variability in CO<inf>2</inf> net ecosystem exchange in a temperate peatland",2015,"Biogeosciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925070548&origin=inward",9,"2024-07-01 15:00:47","Article","10.5194/bg-12-1799-2015","1726-4170","https://api.elsevier.com/content/abstract/scopus_id/84925070548",12,6,1799,1811,80,8.89,80,1,9,"","",""
78,"P. Mäkiranta","Responses of phenology and biomass production of boreal fens to climate warming under different water-table level regimes",2018,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85033683526&origin=inward",10,"2024-07-01 15:00:47","Article","10.1111/gcb.13934","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/85033683526",24,3,944,956,78,13.00,78,1,6,"","",""
