Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
498,"M. Sheng","Influence of arbuscular mycorrhizae on photosynthesis and water status of maize plants under salt stress",2008,"Mycorrhiza","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=50649094005&origin=inward",1,"2024-07-01 13:31:02","Article","10.1007/s00572-008-0180-7","0940-6360","https://api.elsevier.com/content/abstract/scopus_id/50649094005",18,6,287,296,498,31.13,498,1,16,"","",""
255,"K.S. Kjær","Luminescence and reactivity of a charge-transfer excited iron complex with nanosecond lifetime",2019,"Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058101425&origin=inward",2,"2024-07-01 13:31:02","Article","10.1126/science.aau7160","0036-8075","https://api.elsevier.com/content/abstract/scopus_id/85058101425",363,6424,249,253,255,51.00,255,1,5,"","",""
243,"J. Belnap","Response of desert biological soil crusts to alterations in precipitation frequency",2004,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=6044237089&origin=inward",3,"2024-07-01 13:31:02","Article","10.1007/s00442-003-1438-6","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/6044237089",141,2,306,316,243,12.15,243,1,20,"","",""
97,"T. Zheng","Excitonic Dynamics in Janus MoSSe and WSSe Monolayers",2021,"Nano Letters","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099646843&origin=inward",4,"2024-07-01 13:31:02","Article","10.1021/acs.nanolett.0c03412","1530-6984","https://api.elsevier.com/content/abstract/scopus_id/85099646843",21,2,931,937,97,32.33,97,1,3,"","",""
93,"K.K. Newsham","Response of two Antarctic bryophytes to stratospheric ozone depletion",2002,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036784976&origin=inward",5,"2024-07-01 13:31:02","Article","10.1046/j.1365-2486.2002.00509.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/0036784976",8,10,972,983,93,4.23,93,1,22,"","",""
83,"L.D. Partain","Degradation of a Cu<inf>x</inf>S/CdS solar cell in hot, moist air and recovery in hydrogen and air",1983,"Journal of Applied Physics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020848931&origin=inward",6,"2024-07-01 13:31:02","Article","10.1063/1.331858","0021-8979","https://api.elsevier.com/content/abstract/scopus_id/0020848931",54,11,6708,6720,83,2.02,83,1,41,"","",""
82,"A. Scheuber","Loss of AP-3 fuction affects spontaneous and evoked release at hippocampal mossy fiber synapses",2006,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33750825239&origin=inward",7,"2024-07-01 13:31:02","Article","10.1073/pnas.0603511103","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/33750825239",103,44,16562,16567,82,4.56,82,1,18,"","",""
77,"J. Belnap","Global change and biological soil crusts: Effects of ultraviolet augmentation under altered precipitation regimes and nitrogen additions",2008,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=38949090318&origin=inward",8,"2024-07-01 13:31:02","Article","10.1111/j.1365-2486.2007.01509.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/38949090318",14,3,670,686,77,4.81,77,1,16,"","",""
73,"M. Hattori","A pentatricopeptide repeat protein is required for RNA processing of clpP pre-mRNA in moss chloroplasts",2007,"Journal of Biological Chemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0021925819577523","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34249859919&origin=inward",9,"2024-07-01 13:31:02","Article","10.1074/jbc.M608034200","0021-9258","https://api.elsevier.com/content/abstract/scopus_id/34249859919",282,14,10773,10782,73,4.29,73,1,17,"","",""
70,"P. Busch","On the energy-time uncertainty relation. Part I: Dynamical time and time indeterminacy",1990,"Foundations of Physics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34249953257&origin=inward",10,"2024-07-01 13:31:02","Article","10.1007/BF00732932","0015-9018","https://api.elsevier.com/content/abstract/scopus_id/34249953257",20,1,1,32,70,2.06,70,1,34,"","",""
