Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2223,"I. Hamberg","Evaporated Sn-doped In<inf>2</inf>O<inf>3</inf> films: Basic optical properties and applications to energy-efficient windows",1986,"Journal of Applied Physics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=36549099749&origin=inward",1,"2024-07-01 13:51:52","Article","10.1063/1.337534","0021-8979","https://api.elsevier.com/content/abstract/scopus_id/36549099749",60,11,,,2223,58.50,2223,1,38,"","",""
403,"M. Kumar","On the nature of different iron sites and their catalytic role in Fe-ZSM-5 DeNO<inf>x</inf> catalysts: New insights by a combined EPR and UV/VIS spectroscopic approach",2004,"Journal of Catalysis","","https://api.elsevier.com/content/article/eid/1-s2.0-S0021951704003872","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=5044232584&origin=inward",2,"2024-07-01 13:51:52","Article","10.1016/j.jcat.2004.08.003","0021-9517","https://api.elsevier.com/content/abstract/scopus_id/5044232584",227,2,384,397,403,20.15,403,1,20,"","",""
310,"I.B. Beech","Recent advances in the study of biocorrosion - An overview",1999,"Revista de Microbiologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033299105&origin=inward",3,"2024-07-01 13:51:52","Review","10.1590/s0001-37141999000300001","0001-3714","https://api.elsevier.com/content/abstract/scopus_id/0033299105",30,3,177,190,310,12.40,310,1,25,"","",""
310,"W.T. Doyle","Optical properties of a suspension of metal spheres",1989,"Physical Review B","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000223660&origin=inward",4,"2024-07-01 13:51:52","Article","10.1103/PhysRevB.39.9852","0163-1829","https://api.elsevier.com/content/abstract/scopus_id/0000223660",39,14,9852,9858,310,8.86,310,1,35,"","",""
290,"C. Zhang","Study of an iron-manganese Fischer-Tropsch synthesis catalyst promoted with copper",2006,"Journal of Catalysis","","https://api.elsevier.com/content/article/eid/1-s2.0-S0021951705004276","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=30144434202&origin=inward",5,"2024-07-01 13:51:52","Article","10.1016/j.jcat.2005.11.004","0021-9517","https://api.elsevier.com/content/abstract/scopus_id/30144434202",237,2,405,415,290,16.11,290,1,18,"","",""
284,"G. Burns","Metal Complexes of Thiocarbohydrazide",1968,"Inorganic Chemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=24544472136&origin=inward",6,"2024-07-01 13:51:52","Article","10.1021/ic50060a022","0020-1669","https://api.elsevier.com/content/abstract/scopus_id/24544472136",7,2,277,283,284,5.07,284,1,56,"","",""
256,"A. Dolgonos","Direct optical band gap measurement in polycrystalline semiconductors: A critical look at the Tauc method",2016,"Journal of Solid State Chemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0022459616301815","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84969195104&origin=inward",7,"2024-07-01 13:51:52","Article","10.1016/j.jssc.2016.05.010","0022-4596","https://api.elsevier.com/content/abstract/scopus_id/84969195104",240,,43,48,256,32.00,256,1,8,"","",""
243,"W. Walukiewicz","Structure and electronic properties of InN and In-rich group III-nitride alloys",2006,"Journal of Physics D: Applied Physics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33244462383&origin=inward",8,"2024-07-01 13:51:52","Review","10.1088/0022-3727/39/5/R01","0022-3727","https://api.elsevier.com/content/abstract/scopus_id/33244462383",39,5,,,243,13.50,243,1,18,"","",""
236,"N.Y. Kiang","Spectral signatures of photosynthesis. I. Review of Earth organisms",2007,"Astrobiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34249736872&origin=inward",9,"2024-07-01 13:51:52","Review","10.1089/ast.2006.0105","1531-1074","https://api.elsevier.com/content/abstract/scopus_id/34249736872",7,1,222,251,236,13.88,236,1,17,"","",""
232,"R. Klima","Spectroscopy of synthetic Mg-Fe pyroxenes I: Spin-allowed and spin-forbidden crystal field bands in the visible and near-infrared",2007,"Meteoritics and Planetary Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33847350785&origin=inward",10,"2024-07-01 13:51:52","Article","10.1111/j.1945-5100.2007.tb00230.x","1086-9379","https://api.elsevier.com/content/abstract/scopus_id/33847350785",42,2,235,253,232,13.65,232,1,17,"","",""
