Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2223,"I. Hamberg","Evaporated Sn-doped In<inf>2</inf>O<inf>3</inf> films: Basic optical properties and applications to energy-efficient windows",1986,"Journal of Applied Physics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=36549099749&origin=inward",1,"2024-07-01 14:13:38","Article","10.1063/1.337534","0021-8979","https://api.elsevier.com/content/abstract/scopus_id/36549099749",60,11,,,2223,58.50,2223,1,38,"","",""
1012,"W. Doster","Dynamical transition of myoglobin revealed by inelastic neutron scattering",1989,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024976853&origin=inward",2,"2024-07-01 14:13:38","Article","10.1038/337754a0","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0024976853",337,6209,754,756,1012,28.91,1012,1,35,"","",""
728,"Y. Tanimura","Stochastic Liouville, Langevin, Fokker-Planck, and master equation approaches to quantum dissipative systems",2006,"Journal of the Physical Society of Japan","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33847273841&origin=inward",3,"2024-07-01 14:13:38","Review","10.1143/JPSJ.75.082001","0031-9015","https://api.elsevier.com/content/abstract/scopus_id/33847273841",75,8,,,728,40.44,728,1,18,"","",""
666,"S. Kanel","Arsenic(V) removal from groundwater using nano scale zero-valent iron as a colloidal reactive barrier material",2006,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33645219301&origin=inward",4,"2024-07-01 14:13:38","Article","10.1021/es0520924","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/33645219301",40,6,2045,2050,666,37.00,666,1,18,"","",""
624,"H. Frauenfelder","A unified model of protein dynamics",2009,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=65249122552&origin=inward",5,"2024-07-01 14:13:38","Article","10.1073/pnas.0900336106","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/65249122552",106,13,5129,5134,624,41.60,624,1,15,"","",""
612,"C. Jung","Physical and chemical properties of superparamagnetic iron oxide MR contrast agents: Ferumoxides, ferumoxtran, ferumoxsil",1995,"Magnetic Resonance Imaging","","https://api.elsevier.com/content/article/eid/1-s2.0-0730725X9500024B","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029142532&origin=inward",6,"2024-07-01 14:13:38","Article","10.1016/0730-725X(95)00024-B","0730-725X","https://api.elsevier.com/content/abstract/scopus_id/0029142532",13,5,661,674,612,21.10,612,1,29,"","",""
598,"I. Hamberg","Band-gap widening in heavily Sn-doped In2O3",1984,"Physical Review B","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35949015935&origin=inward",7,"2024-07-01 14:13:38","Article","10.1103/PhysRevB.30.3240","0163-1829","https://api.elsevier.com/content/abstract/scopus_id/35949015935",30,6,3240,3249,598,14.95,598,1,40,"","",""
588,"K. Tiede","Detection and characterization of engineered nanoparticles in food and the environment",2008,"Food Additives and Contaminants - Part A Chemistry, Analysis, Control, Exposure and Risk Assessment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=46349107675&origin=inward",8,"2024-07-01 14:13:38","Review","10.1080/02652030802007553","1944-0049","https://api.elsevier.com/content/abstract/scopus_id/46349107675",25,7,795,821,588,36.75,588,1,16,"","",""
533,"P. Pyykkö","Spectroscopic nuclear quadrupole moments",2001,"Molecular Physics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035841045&origin=inward",9,"2024-07-01 14:13:38","Article","10.1080/00268970110069010","0026-8976","https://api.elsevier.com/content/abstract/scopus_id/0035841045",99,19,1617,1629,533,23.17,533,1,23,"","",""
504,"T. Shen","Monocrystalline iron oxide nanocompounds (MION): Physicochemical properties",1993,"Magnetic Resonance in Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027155643&origin=inward",10,"2024-07-01 14:13:38","Article","10.1002/mrm.1910290504","0740-3194","https://api.elsevier.com/content/abstract/scopus_id/0027155643",29,5,599,604,504,16.26,504,1,31,"","",""
488,"P. Fenimore","Bulk-solvent and hydration-shell fluctuations, similar to α- and β-fluctuations in glasses, control protein motions and functions",2004,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=5144223810&origin=inward",11,"2024-07-01 14:13:38","Article","10.1073/pnas.0405573101","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/5144223810",101,40,14408,14413,488,24.40,488,1,20,"","",""
