Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2741,"Y.S. Ho","The kinetics of sorption of divalent metal ions onto sphagnum moss peat",2000,"Water Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S0043135499002328","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033992049&origin=inward",1,"2024-07-01 14:19:31","Article","10.1016/S0043-1354(99)00232-8","0043-1354","https://api.elsevier.com/content/abstract/scopus_id/0033992049",34,3,735,742,2741,114.21,2741,1,24,"","",""
1110,"I. Ali","Low cost adsorbents for the removal of organic pollutants from wastewater",2012,"Journal of Environmental Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0301479712004367","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84866556339&origin=inward",2,"2024-07-01 14:19:31","Review","10.1016/j.jenvman.2012.08.028","0301-4797","https://api.elsevier.com/content/abstract/scopus_id/84866556339",113,,170,183,1110,92.50,1110,1,12,"","",""
983,"H. Brix","Do macrophytes play a role in constructed treatment wetlands?",1997,"Water Science and Technology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0273122397000474","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030609421&origin=inward",3,"2024-07-01 14:19:31","Conference Paper","10.1016/S0273-1223(97)00047-4","0273-1223","https://api.elsevier.com/content/abstract/scopus_id/0030609421",35,5,11,17,983,36.41,983,1,27,"","",""
978,"U. Schwertmann","Iron oxides",2018,"Minerals in Soil Environments","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85101893103&origin=inward",4,"2024-07-01 14:19:31","Book Chapter","10.2136/sssabookser1.2ed.c8","","https://api.elsevier.com/content/abstract/scopus_id/85101893103",,,379,438,978,163.00,978,1,6,"","",""
833,"S. Trumbore","Age of soil organic matter and soil respiration: Radiocarbon constraints on belowground C dynamics",2000,"Ecological Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033863534&origin=inward",5,"2024-07-01 14:19:31","Article","10.1890/1051-0761(2000)010[0399:AOSOMA]2.0.CO;2","1051-0761","https://api.elsevier.com/content/abstract/scopus_id/0033863534",10,2,399,411,833,34.71,833,1,24,"","",""
828,"J. Ding","Carbon nanosheet frameworks derived from peat moss as high performance sodium ion battery anodes",2013,"ACS Nano","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891368521&origin=inward",6,"2024-07-01 14:19:31","Article","10.1021/nn404640c","1936-0851","https://api.elsevier.com/content/abstract/scopus_id/84891368521",7,12,11004,11015,828,75.27,828,1,11,"","",""
801,"S.V. Krupa","Effects of atmospheric ammonia (NH<inf>3</inf>) on terrestrial vegetation: A review",2003,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-S0269749102004347","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037411341&origin=inward",7,"2024-07-01 14:19:31","Review","10.1016/S0269-7491(02)00434-7","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/0037411341",124,2,179,221,801,38.14,801,1,21,"","",""
798,"S. Hobbie","Temperature and plant species control over litter decomposition in Alaskan tundra",1996,"Ecological Monographs","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030404522&origin=inward",8,"2024-07-01 14:19:31","Article","10.2307/2963492","0012-9615","https://api.elsevier.com/content/abstract/scopus_id/0030404522",66,4,503,522,798,28.50,798,1,28,"","",""
681,"G. Klingelhöfer","Jarosite and hematite at Meridiani Planum from opportunity's Mössbauer spectrometer",2004,"Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=10044290556&origin=inward",9,"2024-07-01 14:19:31","Article","10.1126/science.1104653","0036-8075","https://api.elsevier.com/content/abstract/scopus_id/10044290556",306,5702,1740,1745,681,34.05,681,1,20,"","",""
672,"O. Lindqvist","Mercury in the Swedish environment - Recent research on causes, consequences and corrective methods",1991,"Water, Air, &amp; Soil Pollution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026281513&origin=inward",10,"2024-07-01 14:19:31","Article","10.1007/BF00542429","0049-6979","https://api.elsevier.com/content/abstract/scopus_id/0026281513",55,1,,,672,20.36,672,1,33,"","",""
667,"M.C. Nilsson","Understory vegetation as a forest ecosystem driver: Evidence from the northern Swedish boreal forest",2005,"Frontiers in Ecology and the Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=26044480337&origin=inward",11,"2024-07-01 14:19:31","Review","10.1890/1540-9295(2005)003[0421:UVAAFE]2.0.CO;2","1540-9295","https://api.elsevier.com/content/abstract/scopus_id/26044480337",3,8,421,428,667,35.11,667,1,19,"","",""
652,"M. Goulden","Sensitivity of boreal forest carbon balance to soil thaw",1998,"Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=6844251585&origin=inward",12,"2024-07-01 14:19:31","Article","10.1126/science.279.5348.214","0036-8075","https://api.elsevier.com/content/abstract/scopus_id/6844251585",279,5348,214,217,652,25.08,652,1,26,"","",""
617,"S.C. Wu","Effects of biofertilizer containing N-fixer, P and K solubilizers and AM fungi on maize growth: A greenhouse trial",2005,"Geoderma","","https://api.elsevier.com/content/article/eid/1-s2.0-S0016706104001922","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=11144320892&origin=inward",13,"2024-07-01 14:19:31","Article","10.1016/j.geoderma.2004.07.003","0016-7061","https://api.elsevier.com/content/abstract/scopus_id/11144320892",125,1,155,166,617,32.47,617,1,19,"","",""
588,"K. Tiede","Detection and characterization of engineered nanoparticles in food and the environment",2008,"Food Additives and Contaminants - Part A Chemistry, Analysis, Control, Exposure and Risk Assessment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=46349107675&origin=inward",14,"2024-07-01 14:19:31","Review","10.1080/02652030802007553","1944-0049","https://api.elsevier.com/content/abstract/scopus_id/46349107675",25,7,795,821,588,36.75,588,1,16,"","",""
580,"U. Schwertmann","Effect of pH on the formation of goethite and hematite from ferrihydrite.",1983,"Clays &amp; Clay Minerals","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020970274&origin=inward",15,"2024-07-01 14:19:31","Article","10.1346/CCMN.1983.0310405","","https://api.elsevier.com/content/abstract/scopus_id/0020970274",31,4,277,284,580,14.15,580,1,41,"","",""
504,"S.E. Hobbie","Controls over carbon storage and turnover in high-latitude soils",2000,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034425735&origin=inward",16,"2024-07-01 14:19:31","Article","10.1046/j.1365-2486.2000.06021.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/0034425735",6,,196,210,504,21.00,504,1,24,"","",""
498,"M. Sheng","Influence of arbuscular mycorrhizae on photosynthesis and water status of maize plants under salt stress",2008,"Mycorrhiza","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=50649094005&origin=inward",17,"2024-07-01 14:19:31","Article","10.1007/s00572-008-0180-7","0940-6360","https://api.elsevier.com/content/abstract/scopus_id/50649094005",18,6,287,296,498,31.13,498,1,16,"","",""
491,"B. van Geel","Environmental reconstruction of a Roman period settlement site in Uitgeest (the Netherlands), with special reference to coprophilous fungi",2003,"Journal of Archaeological Science","","https://api.elsevier.com/content/article/eid/1-s2.0-S0305440302002650","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0038170045&origin=inward",18,"2024-07-01 14:19:31","Article","10.1016/S0305-4403(02)00265-0","0305-4403","https://api.elsevier.com/content/abstract/scopus_id/0038170045",30,7,873,883,491,23.38,491,1,21,"","",""
490,"D.J. Eldridge","Microbiotic soil crusts: A review of their roles in soil and ecological processes in the rangelands of australia",1994,"Australian Journal of Soil Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028159467&origin=inward",19,"2024-07-01 14:19:31","Article","10.1071/SR9940389","0004-9573","https://api.elsevier.com/content/abstract/scopus_id/0028159467",32,3,389,415,490,16.33,490,1,30,"","",""
489,"N.H. Abu-Hamdeh","Soil thermal conductivity: Effects of density, moisture, salt concentration, and organic matter",2000,"Soil Science Society of America Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034233667&origin=inward",20,"2024-07-01 14:19:31","Article","10.2136/sssaj2000.6441285x","0361-5995","https://api.elsevier.com/content/abstract/scopus_id/0034233667",64,4,1285,1290,489,20.38,489,1,24,"","",""
