Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
366,"M.C.F. Proctor","Desiccation-tolerance in bryophytes: A review",2007,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35448946453&origin=inward",1,"2024-07-01 15:07:31","Review","10.1639/0007-2745(2007)110[595:DIBAR]2.0.CO;2","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/35448946453",110,4,595,621,366,21.53,366,1,17,"","",""
158,"M. ALLEN","EFFECTS OF TWO SPECIES OF V A MYCORRHIZAL FUNGI ON DROUGHT TOLERANCE OF WINTER WHEAT",1983,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0021053216&origin=inward",2,"2024-07-01 15:07:31","Article","10.1111/j.1469-8137.1983.tb02693.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0021053216",93,1,67,76,158,3.85,158,1,41,"","",""
134,"P. NOBEL","Internal Leaf Area and Cellular CO<inf>2</inf> Resistance: Photosynthetic Implications of Variations with Growth Conditions and Plant Species",1977,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0003025701&origin=inward",3,"2024-07-01 15:07:31","Article","10.1111/j.1399-3054.1977.tb01510.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/0003025701",40,2,137,144,134,2.85,134,1,47,"","",""
122,"G.J. Bethlenfalvay","Effects of drought on host and endophyte development in mycorrhizal soybeans in relation to water use and phosphate uptake",1988,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024180972&origin=inward",4,"2024-07-01 15:07:31","Article","10.1111/j.1399-3054.1988.tb09166.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/0024180972",72,3,565,571,122,3.39,122,1,36,"","",""
120,"G. Chen","An ATP-binding cassette subfamily G full transporter is essential for the retention of leaf water in both wild barley and rice",2011,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79961078109&origin=inward",5,"2024-07-01 15:07:31","Article","10.1073/pnas.1108444108","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/79961078109",108,30,12354,12359,120,9.23,120,1,13,"","",""
116,"F. Zhang","Arbuscular mycorrhizas modulate root polyamine metabolism to enhance drought tolerance of trifoliate orange",2020,"Environmental and Experimental Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-S0098847219315230","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85074655152&origin=inward",6,"2024-07-01 15:07:31","Article","10.1016/j.envexpbot.2019.103926","0098-8472","https://api.elsevier.com/content/abstract/scopus_id/85074655152",171,,,,116,29.00,116,1,4,"","",""
113,"M. Chandrasekaran","Impact of arbuscular mycorrhizal fungi on photosynthesis, water status, and gas exchange of plants under salt stress–a meta-analysis",2019,"Frontiers in Plant Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067353112&origin=inward",7,"2024-07-01 15:07:31","Article","10.3389/fpls.2019.00457","1664-462X","https://api.elsevier.com/content/abstract/scopus_id/85067353112",10,,,,113,22.60,113,1,5,"","",""
112,"M. Oliver","Desiccation tolerance in vegetative plant cells",1996,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030512850&origin=inward",8,"2024-07-01 15:07:31","Conference Paper","10.1034/j.1399-3054.1996.970420.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/0030512850",97,4,779,787,112,4.00,112,1,28,"","",""
103,"Q.S. Wu","Mycorrhizas enhance drought tolerance of citrus by altering root fatty acid compositions and their saturation levels",2019,"Tree Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072860223&origin=inward",9,"2024-07-01 15:07:31","Article","10.1093/treephys/tpz039","0829-318X","https://api.elsevier.com/content/abstract/scopus_id/85072860223",39,7,1149,1158,103,20.60,103,1,5,"","",""
102,"J.M. Ruiz-Lozano","Mycorrhizal colonization and drought stress as factors affecting nitrate reductase activity in lettuce plants",1996,"Agriculture, Ecosystems and Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0167880996010742","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030477489&origin=inward",10,"2024-07-01 15:07:31","Article","10.1016/S0167-8809(96)01074-2","0167-8809","https://api.elsevier.com/content/abstract/scopus_id/0030477489",60,2,175,181,102,3.64,102,1,28,"","",""
