Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"J Wolff, V Budker, J Hagstrom, S Monahan, ...","Intravascular delivery of non-viral nucleic acid",2004,"US Patent App. 10 …","Google Patents","https://patents.google.com/patent/US20040259828A1/en","https://scholar.google.com/scholar?cites=1239076368822726485&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 15:33:31","","","","",,,,,3,0.15,1,5,20,"[0007] In one preferred embodiment, a process is described for delivering a polynucleotide into a parenchymal cell of a mammal, comprising making a polynucleotide such as a nucleic …","https://patentimages.storage.googleapis.com/25/42/1a/b3bff713c0be03/US20040259828A1.pdf","https://scholar.google.com/scholar?q=related:VW9CfWQVMhEJ:scholar.google.com/&scioq=%22non+vascular%22+carboxylation&hl=en&as_sdt=2007"
21,"MM Blanke, DP Hucklesby, BA Notton","Distribution and physiological significance of photosynthetic phosphoenolpyruvate carboxylase in developing apple fruit",1987,"Journal of plant physiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161787800895","https://scholar.google.com/scholar?cites=12476682723802623938&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 15:33:31","","","","",,,,,21,0.57,7,3,37,"… Phosphoenolpyruvate carboxylase was extracted from hypodermal and vascular tissue and seeds during the development of apple fruit cvs. Golden Delicious and Cox's Orange Pippin. …","","https://scholar.google.com/scholar?q=related:wi-CP9UUJq0J:scholar.google.com/&scioq=%22non+vascular%22+carboxylation&hl=en&as_sdt=2007"
0,"DN Criddle","The cardiovascular effects of long chain acyl carnitines and novel ester derivatives",1990,"","search.proquest.com","https://search.proquest.com/openview/feef3912ed71ea80906cf73d302f05be/1?pq-origsite=gscholar&cbl=2026366&diss=y","",3,"2024-07-11 15:33:31","BOOK","","","",,,,,0,0.00,0,1,34,"This study has investigated the cardiovascular effects of long chain acyl carnitines and novel derivatives primarily using the coronary and mesenteric vascular beds, and thoracic aorta …","https://search.proquest.com/openview/feef3912ed71ea80906cf73d302f05be/1?pq-origsite=gscholar&cbl=2026366&diss=y","https://scholar.google.com/scholar?q=related:zQ0Okeq8rE0J:scholar.google.com/&scioq=%22non+vascular%22+carboxylation&hl=en&as_sdt=2007"
79,"T Iwanaga, A Kishimoto","Cellular distributions of monocarboxylate transporters: a review",2015,"Biomedical Research","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/biomedres/36/5/36_279/_article/-char/ja/","https://scholar.google.com/scholar?cites=15803121312745979603&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 15:33:31","","","","",,,,,79,8.78,40,2,9,"… If surrounding non-vascular tissues directly supply the … Acetyl-CoA carboxylase-1 is abundant in lipogenic tissues … a higher activity of acetyl-CoA carboxylase-1 in the mammary glands …","https://www.jstage.jst.go.jp/article/biomedres/36/5/36_279/_pdf","https://scholar.google.com/scholar?q=related:0_6g_Br3T9sJ:scholar.google.com/&scioq=%22non+vascular%22+carboxylation&hl=en&as_sdt=2007"
92,"P Porada, TM Lenton, A Pohl, B Weber, ...","High potential for weathering and climate effects of non-vascular vegetation in the Late Ordovician",2016,"Nature …","nature.com","https://www.nature.com/articles/ncomms12113","https://scholar.google.com/scholar?cites=666635585470162331&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-11 15:33:31","HTML","","","",,,,,92,11.50,18,5,8,"… enhancement of weathering by non-vascular vegetation, however… simulate global weathering by non-vascular vegetation in the Late … by non-vascular vegetation and Ordovician climate. …","https://www.nature.com/articles/ncomms12113","https://scholar.google.com/scholar?q=related:m2WVcohdQAkJ:scholar.google.com/&scioq=%22non+vascular%22+carboxylation&hl=en&as_sdt=2007"
50,"H Yin, HB Guo, DJ Weston, AM Borland, P Ranjan, ...","Diel rewiring and positive selection of ancient plant proteins enabled evolution of CAM photosynthesis in Agave",2018,"BMC genomics","Springer","https://link.springer.com/article/10.1186/s12864-018-4964-7","https://scholar.google.com/scholar?cites=13687699766213685575&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 15:33:31","HTML","10.1186/s12864-018-4964-7","","",,,,,50,8.33,8,6,6,"… for CAM are shared by non-vascular plants, but regulatory … including PHOSPHOENOLPYRUVATE CARBOXYLASE KINASE … relevant to nocturnal carboxylation and …","https://link.springer.com/article/10.1186/s12864-018-4964-7","https://scholar.google.com/scholar?q=related:RzFdtWp69L0J:scholar.google.com/&scioq=%22non+vascular%22+carboxylation&hl=en&as_sdt=2007"
34,"S Salam, O Gallagher, F Gossiel, M Paggiosi, R Eastell, ...","Vascular calcification relationship to vascular biomarkers and bone metabolism in advanced chronic kidney disease",2021,"Bone","Elsevier","https://www.sciencedirect.com/science/article/pii/S8756328220304798","https://scholar.google.com/scholar?cites=16256549546753349069&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-11 15:33:31","","","","",,,,,34,11.33,6,6,3,"… Tibia, fibula, cutaneous calcifications and other non-vascular soft tissue calcifications … carboxylation and serine phosphorylation [66]. The active forms of this inhibitor is the carboxylated …","https://eprints.whiterose.ac.uk/171659/3/Vascular%20Calcification%20Relationship%20to%20Vascular%20Biomarkers%20and%20Bone%20Metabolism%20in%20Advanced%20Chronic%20Kidney%20Disease.pdf","https://scholar.google.com/scholar?q=related:zVXFj67dmuEJ:scholar.google.com/&scioq=%22non+vascular%22+carboxylation&hl=en&as_sdt=2007"
6,"S Paul, LA Bravo Vázquez, M Márquez Nafarrate, ...","The regulatory activities of microRNAs in non-vascular plants: a mini review",2021,"Planta","Springer","https://link.springer.com/article/10.1007/s00425-021-03707-z","https://scholar.google.com/scholar?cites=5650444922950192500&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 15:33:31","","10.1007/s00425-021-03707-z","","",,,,,6,2.00,2,4,3,"… plants as compared to non-vascular plants. However, non-vascular plant miRNAs have been … roles of miRNAs in different groups of non-vascular plants such as algae and bryophytes. …","https://search.proquest.com/openview/6859c5b6bc8eee85a5a3ba262ec802f8/1?pq-origsite=gscholar&cbl=54047","https://scholar.google.com/scholar?q=related:dA1bV7hpak4J:scholar.google.com/&scioq=%22non+vascular%22+carboxylation&hl=en&as_sdt=2007"
120,"Z Dagher, N Ruderman, K Tornheim, Y Ido","The effect of AMP-activated protein kinase and its activator AICAR on the metabolism of human umbilical vein endothelial cells",1999,"Biochemical and biophysical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0006291X99916352","https://scholar.google.com/scholar?cites=13188509599154844943&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 15:33:31","","","","",,,,,120,4.80,30,4,25,"… In several non-vascular tissues in which it has been studied, AMP-activated protein kinase (… In liver and muscle, it phosphorylates and inhibits acetyl CoA carboxylase (ACC), leading to …","https://www.sciencedirect.com/science/article/pii/S0006291X99916352/pdf?md5=8499c67e75bc2dd335184ab75fd85caa&pid=1-s2.0-S0006291X99916352-main.pdf","https://scholar.google.com/scholar?q=related:DzV0zpr_BrcJ:scholar.google.com/&scioq=%22non+vascular%22+carboxylation&hl=en&as_sdt=2007"
20,"P Porada, A Tamm, J Raggio, Y Cheng, ...","Global NO and HONO emissions of biological soil crusts estimated by a process-based non-vascular vegetation model",2019,"…","bg.copernicus.org","https://bg.copernicus.org/articles/16/2003/2019/","https://scholar.google.com/scholar?cites=6829621823370007309&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 15:33:31","HTML","","","",,,,,20,4.00,4,5,5,"… radiation and moisture supply to ground-based non-vascular organisms, and it may also serve as a habitat for non-vascular epiphytes. Climate data and other boundary conditions are …","https://bg.copernicus.org/articles/16/2003/2019/","https://scholar.google.com/scholar?q=related:DZM5DN2wx14J:scholar.google.com/&scioq=%22non+vascular%22+carboxylation&hl=en&as_sdt=2007"
