Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
43,"N Mallick, LC Rai","Physiological responses of non-vascular plants to heavy metals",2002,"Physiology and biochemistry of metal toxicity and …","Springer","https://link.springer.com/content/pdf/10.1007/978-94-017-2660-3_5?pdf=chapter%20toc","https://scholar.google.com/scholar?cites=380663839371780200&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 14:26:17","","10.1007/978-94-017-2660-3_5","","",,,,,43,1.95,22,2,22,"… (s) which affect the metabolism of non-vascular plants. Metal tolerance a phenomenon in which … states of chlorophyll a by photosynthesis, heat emission and chlorophyll fluorescence A) …","","https://scholar.google.com/scholar?q=related:aGCXvL5jSAUJ:scholar.google.com/&scioq=%22non+vascular%22+chlorophyll&hl=en&as_sdt=2007"
43,"NR Hofmann, SM Theg","Physcomitrella patens as a model for the study of chloroplast protein transport: conserved machineries between vascular and non-vascular plants",2003,"Plant Molecular Biology","Springer","https://link.springer.com/article/10.1023/B:PLAN.0000019065.31490.06","https://scholar.google.com/scholar?cites=1398063502654625719&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 14:26:17","","10.1023/B:PLAN.0000019065.31490.06","","",,,,,43,2.05,22,2,21,"… To our knowledge, this is the first sequence information for these proteins from non-vascular plants. In addition to identifying components of the transport machinery from moss, we …","https://link.springer.com/content/pdf/10.1023/B:PLAN.0000019065.31490.06.pdf","https://scholar.google.com/scholar?q=related:t9cqMVnrZhMJ:scholar.google.com/&scioq=%22non+vascular%22+chlorophyll&hl=en&as_sdt=2007"
78,"N Sato, M Furuya","Distribution of diacylglyceryltrimethylhomoserine and phosphatidylcholine in non-vascular green plants",1985,"Plant Science","Elsevier","https://www.sciencedirect.com/science/article/pii/0168945285901347","https://scholar.google.com/scholar?cites=5629597488312214494&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 14:26:17","","","","",,,,,78,2.00,39,2,39,"… characteristics in spite of the presence of chlorophylls a and b [14]. Neither was DGTS detected in Prochloron [15], a prokaryote that contains chlorophylls a and b. Stewart and Mattox […","https://scholar.google.com/scholar?output=instlink&q=info:3uNHtxZZIE4J:scholar.google.com/&hl=en&as_sdt=2007&scillfp=1183396105837251439&oi=lle","https://scholar.google.com/scholar?q=related:3uNHtxZZIE4J:scholar.google.com/&scioq=%22non+vascular%22+chlorophyll&hl=en&as_sdt=2007"
37,"PS Martin, AU Mallik","The status of non-vascular plants in trait-based ecosystem function studies",2017,"Perspectives in Plant Ecology, Evolution and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1433831917300082","https://scholar.google.com/scholar?cites=6854481565949405223&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 14:26:17","","","","",,,,,37,5.29,19,2,7,"… The contributions of non-vascular plants (NVPs) to ecosystem function can be significant in high latitude and high altitude ecosystems and yet their inclusion in trait-based studies is rare…","","https://scholar.google.com/scholar?q=related:J6jg6aoCIF8J:scholar.google.com/&scioq=%22non+vascular%22+chlorophyll&hl=en&as_sdt=2007"
17,"DE Stanton, C Reeb","Morphogeometric approaches to non-vascular plants",2016,"Frontiers in Plant Science","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2016.00916/full","https://scholar.google.com/scholar?cites=9280573085208853054&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 14:26:17","HTML","10.3389/fpls.2016.00916","","",,,,,17,2.13,9,2,8,"… In this review, we aim to provide a brief introduction to applications and applicability of modern morphometrics to non-vascular land plants, an often overlooked but evolutionarily and …","https://www.frontiersin.org/articles/10.3389/fpls.2016.00916/full","https://scholar.google.com/scholar?q=related:Prrs5ww4y4AJ:scholar.google.com/&scioq=%22non+vascular%22+chlorophyll&hl=en&as_sdt=2007"
0,"S Rodriguez","Photosynthesis In Plants: The Role Of Chlorophyll In Photosynthesis",,"raftofscience.com","","https://www.raftofscience.com/photosynthesis-in-plants-the-role-of-chlorophyll-in-photosynthesis","",6,"2024-07-18 14:26:17","CITATION","","","",,,,,0,0.00,0,1,,"… Chlorophyll at different scales Chlorophyll is responsible for the green color of many plants and algae. Seen through a microscope, chlorophyll is … Non-vascular plants and green algae …","","https://scholar.google.com/scholar?q=related:kDgvmV4g-5IJ:scholar.google.com/&scioq=%22non+vascular%22+chlorophyll&hl=en&as_sdt=2007"
6,"S Paul, LA Bravo Vázquez, M Márquez Nafarrate…","The regulatory activities of microRNAs in non-vascular plants: a mini review",2021,"Planta","Springer","https://link.springer.com/article/10.1007/s00425-021-03707-z","https://scholar.google.com/scholar?cites=5650444922950192500&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 14:26:17","HTML","10.1007/s00425-021-03707-z","","",,,,,6,2.00,2,4,3,"… plants as compared to non-vascular plants. However, non-vascular plant miRNAs have been … roles of miRNAs in different groups of non-vascular plants such as algae and bryophytes. …","https://link.springer.com/article/10.1007/s00425-021-03707-z","https://scholar.google.com/scholar?q=related:dA1bV7hpak4J:scholar.google.com/&scioq=%22non+vascular%22+chlorophyll&hl=en&as_sdt=2007"
99,"J Gray, E Wardzala, M Yang, S Reinbothe…","A small family of LLS1-related non-heme oxygenases in plants with an origin amongst oxygenic photosynthesizers",2004,"Plant Molecular …","Springer","https://link.springer.com/article/10.1023/B:PLAN.0000028766.61559.4c","https://scholar.google.com/scholar?cites=17552871335359445533&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-18 14:26:17","","10.1023/B:PLAN.0000028766.61559.4c","","",,,,,99,4.95,20,5,20,"… This gene family includes chlorophyll a oxygenase (Cao), … to play various roles in chlorophyll metabolism. In contrast, … plant Equisetum and the nonvascular moss Polytrichum (Figure 2). …","https://link.springer.com/content/pdf/10.1023/B:PLAN.0000028766.61559.4c.pdf","https://scholar.google.com/scholar?q=related:HXo8_HpTmPMJ:scholar.google.com/&scioq=%22non+vascular%22+chlorophyll&hl=en&as_sdt=2007"
65,"TJ Brodribb, M Carriquí, S Delzon, SAM McAdam…","Advanced vascular function discovered in a widespread moss",2020,"Nature Plants","nature.com","https://www.nature.com/articles/s41477-020-0602-x","https://scholar.google.com/scholar?cites=2781981766080286569&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 14:26:17","","","","",,,,,65,16.25,13,5,4,"… A transition from small, ‘non-vascular’ bryophytes to arborescent vascular plants during the … by exposing shoots to a saturating flash while recording chlorophyll fluorescence emission. …","https://par.nsf.gov/servlets/purl/10191639","https://scholar.google.com/scholar?q=related:aU_UOq2VmyYJ:scholar.google.com/&scioq=%22non+vascular%22+chlorophyll&hl=en&as_sdt=2007"
44,"RB Wylie","Relations between tissue organization and vascularization in leaves of certain tropical and subtropical dicotyledons",1946,"American Journal of Botany","JSTOR","https://www.jstor.org/stable/2437498","https://scholar.google.com/scholar?cites=11774769062524953045&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 14:26:17","","","","",,,,,44,0.56,44,1,78,"… rived from SEE/P, representing the v'olumetric ratio of the two sets of non-vascular tissues in that blade. To facilitate comparisons, after the survey was completed the species were …","https://www.jstor.org/stable/pdf/2437498.pdf","https://scholar.google.com/scholar?q=related:1SEPtBNiaKMJ:scholar.google.com/&scioq=%22non+vascular%22+chlorophyll&hl=en&as_sdt=2007"
6,"EC Smith","In vivo analysis of rapid chlorophyll fluorescence induction effects: aspects relating to the study of bryophytes",2002,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/037366802125000313","https://scholar.google.com/scholar?cites=17444415383786386302&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-18 14:26:17","","10.1179/037366802125000313","","",,,,,6,0.27,6,1,22,"… of different photosynthetic mechanisms operate in non-vascular plants, each with associated … Work with other non-vascular plant groups has demonstrated the value of fluorescence …","","https://scholar.google.com/scholar?q=related:fnPy-F0DF_IJ:scholar.google.com/&scioq=%22non+vascular%22+chlorophyll&hl=en&as_sdt=2007"
11,"S Liu, S Li, XY Fan, GD Yuan, T Hu, XM Shi…","Comparison of two noninvasive methods for measuring the pigment content in foliose macrolichens",2019,"Photosynthesis …","Springer","https://link.springer.com/article/10.1007/s11120-019-00624-x","https://scholar.google.com/scholar?cites=2031238330802997132&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-18 14:26:17","HTML","10.1007/s11120-019-00624-x","","",,,,,11,2.20,2,7,5,"… However, in our study, R 2 values for non-vascular epiphytic lichens were relatively low. The R 2 values between the extracted total chlorophyll content and CCM readings were higher …","https://link.springer.com/article/10.1007/s11120-019-00624-x","https://scholar.google.com/scholar?q=related:jIer-X9oMBwJ:scholar.google.com/&scioq=%22non+vascular%22+chlorophyll&hl=en&as_sdt=2007"
