Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
47,"P Astrand, JA Brock, TC Cunnane","Time course of transmitter action at the sympathetic neuroeffector junction in rodent vascular and non‐vascular smooth muscle.",1988,"The Journal of Physiology","Wiley Online Library","https://physoc.onlinelibrary.wiley.com/doi/abs/10.1113/jphysiol.1988.sp017185","https://scholar.google.com/scholar?cites=12265877201685966029&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 09:55:25","","10.1113/jphysiol.1988.sp017185","","",,,,,47,1.31,16,3,36,"… Assuming that each molecule of ATP opens a single channel and that the driving voltage is approximately -60 mV, a single-channel conductance of 1-66 nS would result and this seems …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1191872/pdf/jphysiol00506-0643.pdf","https://scholar.google.com/scholar?q=related:zewN2VMmOaoJ:scholar.google.com/&scioq=%22non+vascular%22+conductance&hl=en&as_sdt=2007"
56,"MT Tyree, MA Sobrado, LJ Stratton, P Becker","Diversity of hydraulic conductance in leaves of temperate and tropical species: possible causes and consequences",1999,"Journal of Tropical Forest …","JSTOR","https://www.jstor.org/stable/43582514","https://scholar.google.com/scholar?cites=8265480979457088229&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 09:55:25","","","","",,,,,56,2.24,14,4,25,"… The non-vascular conductance will be determined by the tissues that water must pass through from the minor veins to the mesophyll air-spaces. Water will pass from veins to bundle …","https://www.jstor.org/stable/pdf/43582514.pdf","https://scholar.google.com/scholar?q=related:5ZpJjijjtHIJ:scholar.google.com/&scioq=%22non+vascular%22+conductance&hl=en&as_sdt=2007"
55,"K Charra-Vaskou, E Badel, R Burlett, H Cochard…","Hydraulic efficiency and safety of vascular and non-vascular components in Pinus pinaster leaves",2012,"Tree …","academic.oup.com","https://academic.oup.com/treephys/article-abstract/32/9/1161/1652441","https://scholar.google.com/scholar?cites=15980749260187336835&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 09:55:25","","","","",,,,,55,4.58,11,5,12,"… Conductance (k) was measured three times at each step. The … loss of conductance reached at least 90%. Vulnerability curves (VCs) were obtained from percentage loss of conductance (…","https://academic.oup.com/treephys/article/32/9/1161/1652441","https://scholar.google.com/scholar?q=related:g4ANUsgGx90J:scholar.google.com/&scioq=%22non+vascular%22+conductance&hl=en&as_sdt=2007"
86,"P Trifiló, F Raimondo, T Savi…","The contribution of vascular and extra-vascular water pathways to drought-induced decline of leaf hydraulic conductance",2016,"Journal of …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/67/17/5029/2197641","https://scholar.google.com/scholar?cites=14084498694905628451&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 09:55:25","","","","",,,,,86,10.75,22,4,8,"… conductance of the leaf xylem (K x =1/R x ) was measured using the VCM as described above. The hydraulic conductance of the extra-vascular pathway calculated as R ox = R L – R x . …","https://academic.oup.com/jxb/article/67/17/5029/2197641","https://scholar.google.com/scholar?q=related:I4dNrfAwdsMJ:scholar.google.com/&scioq=%22non+vascular%22+conductance&hl=en&as_sdt=2007"
100,"JA Raven","Long‐distance transport in non‐vascular plants",2003,"Plant, Cell &Environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3040.2003.00920.x","https://scholar.google.com/scholar?cites=2580384851763273790&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 09:55:25","","10.1046/j.1365-3040.2003.00920.x","","",,,,,100,4.76,100,1,21,"… There are very few data on which to make estimates of the conductance of the endohydric conducting system of bryophytes. The diameter of the hydroids (Table 3) can be used, with the …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-3040.2003.00920.x","https://scholar.google.com/scholar?q=related:PiAm6VlezyMJ:scholar.google.com/&scioq=%22non+vascular%22+conductance&hl=en&as_sdt=2007"
120,"T Amédée, CD Benham, TB Bolton…","Potassium, chloride and non‐selective cation conductances opened by noradrenaline in rabbit ear artery cells.",1990,"The Journal of …","Wiley Online Library","https://physoc.onlinelibrary.wiley.com/doi/abs/10.1113/jphysiol.1990.sp018039","https://scholar.google.com/scholar?cites=11382500983550376246&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 09:55:25","","10.1113/jphysiol.1990.sp018039","","",,,,,120,3.53,30,4,34,"… has been demonstrated in non-vascular and venous smooth muscle that caffeine, which releases intracellular calcium stores, can activate an increase in chloride conductance (Byrne &…","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1189774/pdf/jphysiol00469-0549.pdf","https://scholar.google.com/scholar?q=related:NvkNZFbE9p0J:scholar.google.com/&scioq=%22non+vascular%22+conductance&hl=en&as_sdt=2007"
10,"C Atala","Water transport and gas exchange in the non-vascular plant Dendroligotrichum dendroides (Brid. ex Hedw.) Broth.(Polytrichaceae, Bryophyta)",2011,"Gayana Botánica","revistas.udec.cl","http://revistas.udec.cl/index.php/gayana_botanica/article/view/4393","https://scholar.google.com/scholar?cites=6356895650656203023&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 09:55:25","","","","",,,,,10,0.77,10,1,13,"… We also obtained evapotranspiration (E) and stomatal conductance (gs) in the same … on their leaves, and stomatal conductance would roughly represent leaf-air conductance. The light …","https://revistas.udec.cl/index.php/gayana_botanica/article/download/4393/4265","https://scholar.google.com/scholar?q=related:D7GW--k6OFgJ:scholar.google.com/&scioq=%22non+vascular%22+conductance&hl=en&as_sdt=2007"
187,"MA Hill, MJ Davis, GA Meininger…","Arteriolar myogenic signalling mechanisms: Implications for local vascular function",2006,"Clinical …","content.iospress.com","https://content.iospress.com/articles/clinical-hemorheology-and-microcirculation/ch820","https://scholar.google.com/scholar?cites=11292982018750182798&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 09:55:25","","","","",,,,,187,10.39,47,4,18,"… depolarisation is provided by studies of non-vascular tissues and single cells freshly isolated … and JJ Singer, Both membrane stretch and fatty acids directly activate large conductance …","","https://scholar.google.com/scholar?q=related:jnV6MlC7uJwJ:scholar.google.com/&scioq=%22non+vascular%22+conductance&hl=en&as_sdt=2007"
31,"Z Zhang, C Cao, W Lee‐Kwon…","Descending vasa recta pericytes express voltage operated Na+ conductance in the rat",2005,"The Journal of …","Wiley Online Library","https://physoc.onlinelibrary.wiley.com/doi/abs/10.1113/jphysiol.2005.091538","https://scholar.google.com/scholar?cites=6822546770723140229&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 09:55:25","","10.1113/jphysiol.2005.091538","","",,,,,31,1.63,8,4,19,"… VONa expression in smooth muscle from vascular and non-vascular tissues has been described by several authors. Kinetics of the pericyte current are similar to most of them. The …","https://physoc.onlinelibrary.wiley.com/doi/pdfdirect/10.1113/jphysiol.2005.091538","https://scholar.google.com/scholar?q=related:hfJw_COOrl4J:scholar.google.com/&scioq=%22non+vascular%22+conductance&hl=en&as_sdt=2007"
15,"J Raingo, A Rebolledo, F Iveli, AOG de Gende, V Milesi","Non-selective cationic channels (NSCC) in smooth muscle cells from human umbilical arteries",2004,"Placenta","Elsevier","https://www.sciencedirect.com/science/article/pii/S0143400404000426","https://scholar.google.com/scholar?cites=377655830888543512&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-15 09:55:25","","","","",,,,,15,0.75,3,5,20,"… Recently, we have described the electrophysiological properties of high conductance … to NSCC described in other vascular and non-vascular cells. These channels are blocked by Gd 3…","https://scholar.google.com/scholar?output=instlink&q=info:GHV3L_qzPQUJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=10318664717784262827&oi=lle","https://scholar.google.com/scholar?q=related:GHV3L_qzPQUJ:scholar.google.com/&scioq=%22non+vascular%22+conductance&hl=en&as_sdt=2007"
