Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
169,"GP John, C Scoffoni, TN Buckley, R Villar…","The anatomical and compositional basis of leaf mass per area",2017,"Ecology …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/ele.12739","https://scholar.google.com/scholar?cites=13906091240575977553&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-25 09:46:22","","10.1111/ele.12739","","",,,,,169,24.14,34,5,7,"… epidermis (le), lower cuticle (lc), first-, second- and third-order veins (1, 2, 3), minor veins (min), total cuticle (tc) and total veins (v) and volume-weighted average across all non-vascular …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/ele.12739","https://scholar.google.com/scholar?q=related:UcizQE5c_MAJ:scholar.google.com/&scioq=%22non+vascular%22+%22leaf+mass%22&hl=en&as_sdt=2007"
34,"G Puglielli, MF Crescente, AR Frattaroli…","Leaf mass per area (LMA) as a possible predictor of adaptive strategies in two species of Sesleria (Poaceae): analysis of morphological, anatomical and physiological …",2015,"Annales Botanici Fennici","BioOne","https://bioone.org/journals/Annales-Botanici-Fennici/volume-52/issue-1%E2%80%932/085.052.0201/Leaf-Mass-Per-Area-LMA-as-a-Possible-Predictor-of/10.5735/085.052.0201.short","https://scholar.google.com/scholar?cites=17849921198839968555&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-25 09:46:22","","10.5735/085.052.0201.short","","",,,,,34,3.78,9,4,9,"… The results of this research confirm to the importance of leaf mass per area (LMA) in the … 2006: Long–time variation in leaf mass and area of Mediterranean evergreen broad–leaf and …","https://www.jstor.org/stable/pdf/43748599.pdf","https://scholar.google.com/scholar?q=related:KzOS5cGot_cJ:scholar.google.com/&scioq=%22non+vascular%22+%22leaf+mass%22&hl=en&as_sdt=2007"
19,"WW Adams, JJ Stewart, SK Polutchko…","Leaf vasculature and the upper limit of photosynthesis",2018,"The leaf: a platform for …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-93594-2_2","https://scholar.google.com/scholar?cites=1567247679479844374&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-25 09:46:22","","10.1007/978-3-319-93594-2_2","","",,,,,19,3.17,5,4,6,"… of cell walls of both vascular and non-vascular cells for support of the mesophyll tissue, … leaves with greater leaf mass per area (Fig. 2.7b), due in part to differences in the number of …","https://drive.google.com/file/d/1DjYpfE0gAsy_FIbHtTGPTRaptfM8E39p/view","https://scholar.google.com/scholar?q=related:Fo5z-nX7vxUJ:scholar.google.com/&scioq=%22non+vascular%22+%22leaf+mass%22&hl=en&as_sdt=2007"
135,"MJ van de Weg, P Meir, J Grace…","Altitudinal variation in leaf mass per unit area, leaf tissue density and foliar nitrogen and phosphorus content along an Amazon-Andes gradient in Peru",2009,"Plant Ecology & …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/17550870903518045","https://scholar.google.com/scholar?cites=3968693870179018317&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-25 09:46:22","","10.1080/17550870903518045","","",,,,,135,9.00,34,4,15,"Full article: Altitudinal variation in leaf mass per unit area, leaf tissue density and foliar nitrogen and phosphorus content along an Amazon-Andes gradient in Peru Skip to Main Content …","","https://scholar.google.com/scholar?q=related:TWZKQgyiEzcJ:scholar.google.com/&scioq=%22non+vascular%22+%22leaf+mass%22&hl=en&as_sdt=2007"
86,"P Trifiló, F Raimondo, T Savi…","The contribution of vascular and extra-vascular water pathways to drought-induced decline of leaf hydraulic conductance",2016,"Journal of …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/67/17/5029/2197641","https://scholar.google.com/scholar?cites=14084498694905628451&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-25 09:46:22","","","","",,,,,86,10.75,22,4,8,"… Species were selected to cover a wide range of values of leaf mass per area (LMA) (see Results). Leaves were sampled from two plants per species. All plants were about 15–20 years …","https://academic.oup.com/jxb/article/67/17/5029/2197641","https://scholar.google.com/scholar?q=related:I4dNrfAwdsMJ:scholar.google.com/&scioq=%22non+vascular%22+%22leaf+mass%22&hl=en&as_sdt=2007"
14,"JM Toivonen, L Suominen…","Environmental drivers of vascular and non‐vascular epiphyte abundance in tropical pre‐montane cloud forests in Northern Peru",2017,"Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jvs.12577","https://scholar.google.com/scholar?cites=1809260765906448824&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-25 09:46:22","","10.1111/jvs.12577","","",,,,,14,2.00,5,3,7,"… The low chlorophyll content of bryophytes per leaf unit area or leaf mass compared to that of vascular plants, and consequently lower photosynthetic rates, hampers the ability of …","https://scholar.google.com/scholar?output=instlink&q=info:uLHnqRTJGxkJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=12652890541850120665&oi=lle","https://scholar.google.com/scholar?q=related:uLHnqRTJGxkJ:scholar.google.com/&scioq=%22non+vascular%22+%22leaf+mass%22&hl=en&as_sdt=2007"
0,"T Wuyun","Leaf structure-function relationships and responses to plant hormones in non-seed plants",2024,"","dspace.emu.ee","https://dspace.emu.ee/bitstreams/c512d440-b206-4e6f-85c6-98be7d7f9948/download","",7,"2024-07-25 09:46:22","PDF","","","",,,,,0,0.00,0,1,1,"… LMA, leaf mass per unit area; LD, leaf density; CWT, cell wall thickness; Amass, net assimilation rate per leaf dry mass; Nmass, nitrogen content per leaf dry mass; Codes indicate …","https://dspace.emu.ee/bitstreams/c512d440-b206-4e6f-85c6-98be7d7f9948/download","https://scholar.google.com/scholar?q=related:u-JG_1i8iKQJ:scholar.google.com/&scioq=%22non+vascular%22+%22leaf+mass%22&hl=en&as_sdt=2007"
24,"R Méndez-Alonzo, FW Ewers, AL Jacobsen, RB Pratt…","Covariation between leaf hydraulics and biomechanics is driven by leaf density in Mediterranean shrubs",2019,"Trees","Springer","https://link.springer.com/article/10.1007/s00468-018-1796-7","https://scholar.google.com/scholar?cites=17203356046645092679&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-25 09:46:22","HTML","10.1007/s00468-018-1796-7","","",,,,,24,4.80,5,5,5,"… The K max , P50 leaf and P80 leaf were independent of the tensile strength (TS), the tensile modulus of elasticity (TMA), and the leaf mass per unit area (LMA) across species. Unlike in …","https://link.springer.com/article/10.1007/s00468-018-1796-7","https://scholar.google.com/scholar?q=related:R2HZWC2Zvu4J:scholar.google.com/&scioq=%22non+vascular%22+%22leaf+mass%22&hl=en&as_sdt=2007"
65,"A Nardini, E Õunapuu-Pikas, T Savi","When smaller is better: leaf hydraulic conductance and drought vulnerability correlate to leaf size and venation density across four Coffea arabica genotypes",2014,"Functional Plant Biology","CSIRO Publishing","https://www.publish.csiro.au/fp/fp13302","https://scholar.google.com/scholar?cites=12059253969153267697&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-25 09:46:22","","","","",,,,,65,6.50,22,3,10,"… We tested three hypotheses: (1) leaf P 50 is lower in small leaves with higher vein densities; (2) lower P 50 translates into lower K leaf , limiting gas exchange rates and higher leaf mass …","","https://scholar.google.com/scholar?q=related:8ZeZn5cTW6cJ:scholar.google.com/&scioq=%22non+vascular%22+%22leaf+mass%22&hl=en&as_sdt=2007"
26,"S Bansal, MC Nilsson, DA Wardle","Response of photosynthetic carbon gain to ecosystem retrogression of vascular plants and mosses in the boreal forest",2012,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-011-2246-z","https://scholar.google.com/scholar?cites=3759244094039830423&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-25 09:46:22","HTML","10.1007/s00442-011-2246-z","","",,,,,26,2.17,9,3,12,"… for vascular plants (ie, trees and shrubs) than for non-vascular plants (ie, mosses). We used a 5,000… Specific leaf areas were calculated by dividing leaf area by leaf mass. Vaccinium gas …","https://link.springer.com/article/10.1007/s00442-011-2246-z","https://scholar.google.com/scholar?q=related:l686EZaEKzQJ:scholar.google.com/&scioq=%22non+vascular%22+%22leaf+mass%22&hl=en&as_sdt=2007"
