Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
182,"DJ Grainger, JC Metcalfe, S Kasina","Compounds and therapies for the prevention of vascular and non-vascular pathologies",2000,"US Patent 6,117,911","Google Patents","https://patents.google.com/patent/US6117911A/en","https://scholar.google.com/scholar?cites=12629312131253268655&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-17 10:25:03","","","","",,,,,182,7.58,61,3,24,"US6117911A - Compounds and therapies for the prevention of vascular and non-vascular pathologies - Google Patents US6117911A - Compounds and therapies for the prevention of …","https://patentimages.storage.googleapis.com/1d/f7/90/5c2c8a717e49a6/US6117911.pdf","https://scholar.google.com/scholar?q=related:r_DhbHhURK8J:scholar.google.com/&scioq=%22non+vascular%22+light&hl=en&as_sdt=2007"
104,"SG Robbins, JR Conaway, BL Ford, KA Roberto…","Detection of vascular endothelial growth factor (VEGF) protein in vascular and non-vascular cells of the normal and oxygen-injured rat retina",1997,"Growth …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.3109/08977199709021522","https://scholar.google.com/scholar?cites=8219060609530196004&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-17 10:25:03","","10.3109/08977199709021522","","",,,,,104,3.85,21,5,27,"… Slides were observed under green or blue light (depending on which fluorescent label was used) and photographed with an Olympus Vanox-S photomicroscope with Kodak …","","https://scholar.google.com/scholar?q=related:JPBz8hP4D3IJ:scholar.google.com/&scioq=%22non+vascular%22+light&hl=en&as_sdt=2007"
58,"M Adamič, MD Pavlović, A Troilius Rubin…","Guidelines of care for vascular lasers and intense pulse light sources from the European Society for Laser Dermatology",2015,"Journal of the …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jdv.13177","https://scholar.google.com/scholar?cites=8799464032848135714&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-17 10:25:03","","10.1111/jdv.13177","","",,,,,58,6.44,15,4,9,"… IPLS are not regarded as first-line treatment as there is a lack of controlled clinical studies and a relatively high risk of damaging non-vascular structures. Indocyanine green injected …","https://www.researchgate.net/profile/Maria-Ekback/publication/275664909_Guidelines_of_care_for_vascular_lasers_and_intense_pulse_light_sources_from_the_European_Society_for_Laser_Dermatology/links/5a15c57aa6fdcc314924ff3e/Guidelines-of-care-for-vascular-lasers-and-intense-pulse-light-sources-from-the-European-Society-for-Laser-Dermatology.pdf","https://scholar.google.com/scholar?q=related:Ika9k-r5HXoJ:scholar.google.com/&scioq=%22non+vascular%22+light&hl=en&as_sdt=2007"
161,"S Ghaffari","Optical system for treatment of vascular lesions",2000,"US Patent App. 08/711,685","Google Patents","https://patents.google.com/patent/USRE36634E/en","https://scholar.google.com/scholar?cites=6204157814768448054&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-17 10:25:03","","","","",,,,,161,6.71,161,1,24,"… incident laser light causing hearing of the epidermis and reducing the amount of light which … damage without excessive damage to the epidermis or non-vascular dermal structure. …","https://patentimages.storage.googleapis.com/73/73/f2/acc1b48168b646/USRE36634.pdf","https://scholar.google.com/scholar?q=related:NrK8V6mYGVYJ:scholar.google.com/&scioq=%22non+vascular%22+light&hl=en&as_sdt=2007"
8,"PC Tumeh, J Lerner, DT Dicker…","Differentiation of vascular and non-vascular skin spectral signatures using in vivo hyperspectral radiometric imaging: Implications for monitoring angiogenesis",2007,"Cancer Biology & …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.4161/cbt.6.3.4019","https://scholar.google.com/scholar?cites=17925462698632468076&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-17 10:25:03","","10.4161/cbt.6.3.4019","","",,,,,8,0.47,2,4,17,"… Establishing use of this system in discriminating vascular and non-vascular areas could allow … tungsten lamp as a light source, which allowed the emission of light in the red range, and …","https://www.tandfonline.com/doi/pdf/10.4161/cbt.6.3.4019","https://scholar.google.com/scholar?q=related:bNaA6lkJxPgJ:scholar.google.com/&scioq=%22non+vascular%22+light&hl=en&as_sdt=2007"
0,"J Macewan","The Physiology and Pathology of the Non-Vascular Tissues Generally; with More Especial Reference to the Non-Vascular Tissues of the Eye",1854,"Monthly Journal of Medical Science","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5880460/","",6,"2024-07-17 10:25:03","","","","",,,,,0,0.00,0,1,170,"… 'lastly, we have in the eye, the cornea, the humors and their wh.61:ent ^psules, and the granular layer in the retina, through lcl1 the rays of light must pass before they can act upon the …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5880460/pdf/monjmedsci89816-0024.pdf","https://scholar.google.com/scholar?q=related:NloPwrxTnsUJ:scholar.google.com/&scioq=%22non+vascular%22+light&hl=en&as_sdt=2007"
86,"S Karsai, S Roos, S Hammes…","Pulsed dye laser: what's new in non‐vascular lesions?",2007,"Journal of the European …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-3083.2007.02297.x","https://scholar.google.com/scholar?cites=11214695633854369193&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-17 10:25:03","","10.1111/j.1468-3083.2007.02297.x","","",,,,,86,5.06,22,4,17,"… The treatment of inflammatory acne by laser and other light-based sources is still … Exposure to lasers and light sources emitting wavelengths in the visible light spectrum (400–…","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1468-3083.2007.02297.x","https://scholar.google.com/scholar?q=related:qY0D0EKaopsJ:scholar.google.com/&scioq=%22non+vascular%22+light&hl=en&as_sdt=2007"
20,"D Min, D Jeong, MG Choi, K Na","Photochemical tissue penetration via photosensitizer for effective drug penetration in a non-vascular tumor",2015,"Biomaterials","Elsevier","https://www.sciencedirect.com/science/article/pii/S0142961215001842","https://scholar.google.com/scholar?cites=12737561705940783029&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-17 10:25:03","","","","",,,,,20,2.22,5,4,9,"… To verify a reasonable dose of light for improving tissue penetration, we used a drug diffusion cell drive console (FDC-6T; Logan, Somerset, USA). Mouse tissue and a membrane were …","https://scholar.google.com/scholar?output=instlink&q=info:tQ84k-LoxLAJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=10070164555197893976&oi=lle","https://scholar.google.com/scholar?q=related:tQ84k-LoxLAJ:scholar.google.com/&scioq=%22non+vascular%22+light&hl=en&as_sdt=2007"
137,"MJC Van Gemert, JP Hulsbergen Henning","A model approach to laser coagulation of dermal vascular lesions",1981,"Archives of dermatological …","Springer","https://link.springer.com/article/10.1007/BF00403787","https://scholar.google.com/scholar?cites=5570117816976878048&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-17 10:25:03","","10.1007/BF00403787","","",,,,,137,3.19,69,2,43,"… method because vascular absorption exceeds non-vascular dermal absorption by a factor of 10… of light by blood and by human skin using experimental data from the literature. The light …","","https://scholar.google.com/scholar?q=related:4Cn7jaQITU0J:scholar.google.com/&scioq=%22non+vascular%22+light&hl=en&as_sdt=2007"
84,"DJ Grainger, JC Metcalfe, S Kasina","Compounds and therapies for the prevention of vascular and non-vascular pathologies",2002,"US Patent 6,410,587","Google Patents","https://patents.google.com/patent/US6410587B1/en","https://scholar.google.com/scholar?cites=5069750110613928494&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-17 10:25:03","","","","",,,,,84,3.82,28,3,22,"US6410587B1 - Compounds and therapies for the prevention of vascular and non-vascular pathologies - Google Patents US6410587B1 - Compounds and therapies for the prevention …","https://patentimages.storage.googleapis.com/f3/de/fb/7a3baf28835a32/US6410587.pdf","https://scholar.google.com/scholar?q=related:Lvoja91eW0YJ:scholar.google.com/&scioq=%22non+vascular%22+light&hl=en&as_sdt=2007"
39,"Z Waheed, MU Akram, A Waheed, MA Khan…","Person identification using vascular and non-vascular retinal features",2016,"Computers &Electrical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790616300611","https://scholar.google.com/scholar?cites=3355337066285295914&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-17 10:25:03","","","","",,,,,39,4.88,8,5,8,"… This paper also signifies the advantages of both methods in the light of system’s … which uses non-vascular properties of retinal images. This method performs non-vascular-based feature …","","https://scholar.google.com/scholar?q=related:Kumi0UiNkC4J:scholar.google.com/&scioq=%22non+vascular%22+light&hl=en&as_sdt=2007"
2,"HB Jones","On the rate of passage of crystalloids into and out of the vascular and non-vascular textures of the body",1865,"Proceedings of the Royal Society of London","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rspl.1865.0075","https://scholar.google.com/scholar?cites=16685883931087893842&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-17 10:25:03","","10.1098/rspl.1865.0075","","",,,,,2,0.01,2,1,159,"… 63 20' 36 18 56 10 67 40 52 50 74 20 Seen in polarized light … out of the Vas cular and Non-vascular Textures of the Body.” … into the vascular and non-vascular textures, and prove their …","https://royalsocietypublishing.org/doi/pdf/10.1098/rspl.1865.0075","https://scholar.google.com/scholar?q=related:UnXkmwcrkOcJ:scholar.google.com/&scioq=%22non+vascular%22+light&hl=en&as_sdt=2007"
0,"G Wang","Vascular imaging apparatus and vascular imaging method",2021,"US Patent 11,207,024","Google Patents","https://patents.google.com/patent/US11207024B2/en","",13,"2024-07-17 10:25:03","","","","",,,,,0,0.00,0,1,3,"… light intensity distribution in the non-vascular region of the infrared image and a light intensity distribution in the non-vascular … , and background light of the non-vascular region may be …","https://patentimages.storage.googleapis.com/d0/c7/0a/61c0c885051834/US11207024.pdf","https://scholar.google.com/scholar?q=related:ktRmK-x3B9wJ:scholar.google.com/&scioq=%22non+vascular%22+light&hl=en&as_sdt=2007"
