Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
100,"JA Raven","Long‐distance transport in non‐vascular plants",2003,"Plant, Cell &Environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3040.2003.00920.x","https://scholar.google.com/scholar?cites=2580384851763273790&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 10:57:13","","10.1046/j.1365-3040.2003.00920.x","","",,,,,100,4.76,100,1,21,"… The other group of non-vascular photosynthetic organisms … in nutrient uptake, photosynthesis, reproduction and growth. … The ‘non-vascular’ organisms will be dealt with in the inverse …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-3040.2003.00920.x","https://scholar.google.com/scholar?q=related:PiAm6VlezyMJ:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
19,"WW Adams, JJ Stewart, SK Polutchko, ...","Leaf vasculature and the upper limit of photosynthesis",2018,"… photosynthesis","Springer","https://link.springer.com/chapter/10.1007/978-3-319-93594-2_2","https://scholar.google.com/scholar?cites=1567247679479844374&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 10:57:13","","10.1007/978-3-319-93594-2_2","","",,,,,19,3.17,5,4,6,"… cell turgor loss point is reached, it is possible that the sclerophytic leaves of woody plants rely primarily on the structural components of cell walls of both vascular and non-vascular cells …","https://drive.google.com/file/d/1DjYpfE0gAsy_FIbHtTGPTRaptfM8E39p/view","https://scholar.google.com/scholar?q=related:Fo5z-nX7vxUJ:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
59,"B Fernández‐Marín, J Gulías, CM Figueroa, ...","How do vascular plants perform photosynthesis in extreme environments? An integrative ecophysiological and biochemical story",2020,"The Plant …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.14694","https://scholar.google.com/scholar?cites=13000090909668237622&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 10:57:13","","10.1111/tpj.14694","","",,,,,59,14.75,15,4,4,"… In general, extreme environments are dominated by non-vascular plants. However, some vascular species can also be found in such places [eg Antarctica, the High Arctic or elevations …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/tpj.14694","https://scholar.google.com/scholar?q=related:NmGPDs6ZabQJ:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
43,"N Mallick, LC Rai","Physiological responses of non-vascular plants to heavy metals",2002,"Physiology and biochemistry of metal toxicity and …","Springer","https://link.springer.com/content/pdf/10.1007/978-94-017-2660-3_5?pdf=chapter%20toc","https://scholar.google.com/scholar?cites=380663839371780200&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 10:57:13","","10.1007/978-94-017-2660-3_5","","",,,,,43,1.95,22,2,22,"… electron transport processes in the photosynthetic apparatus. Parameters based on fluorescence measurements do not directly measure the photosynthetic electron transport, but give a …","","https://scholar.google.com/scholar?q=related:aGCXvL5jSAUJ:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
1,"J Hereford","Not Your Textbook Photosynthesis",2014,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-117/issue-4/0007-2745-117.4.425/Not-Your-Textbook-Photosynthesis/10.1639/0007-2745-117.4.425.full","https://scholar.google.com/scholar?cites=8751509726124658319&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-11 10:57:13","","10.1639/0007-2745-117.4.425.full","","",,,,,1,0.10,1,1,10,"… , and the best methods to study non-vascular plants. … First, it is a great introduction to photosynthesis in bryophytes, … of moisture and desiccation on photosynthesis and growth as a …","https://scholar.google.com/scholar?output=instlink&q=info:j04Jerqbc3kJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=4428385859207274028&oi=lle","https://scholar.google.com/scholar?q=related:j04Jerqbc3kJ:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
19,"JA Raven","The significance of the distance from photosynthesizing cells to vascular tissue in extant and early vascular plants",1994,"Transactions and Proceedings of the Botanical Society …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03746609408684818","https://scholar.google.com/scholar?cites=11738839650550224434&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 10:57:13","","10.1080/03746609408684818","","",,,,,19,0.63,19,1,30,"… (b) The distance which water must travel in non-vascular … (c) The distance which solutes must travel in non-vascular … a completely symplasmic pathway from photosynthetic cells to long-…","","https://scholar.google.com/scholar?q=related:MhZRlne86KIJ:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
18,"AV Perera-Castro, M Nadal, ...","What drives photosynthesis during desiccation? Mosses and other outliers from the photosynthesis–elasticity trade-off",2020,"Journal of Experimental …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/71/20/6460/5873698","https://scholar.google.com/scholar?cites=7489474961583334706&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-11 10:57:13","","","","",,,,,18,4.50,6,3,4,"… and non-vascular plants were plotted together, ε still linearly determined the cessation of net photosynthesis … The latter result challenges our current view of photosynthetic responses to …","https://academic.oup.com/jxb/article/71/20/6460/5873698","https://scholar.google.com/scholar?q=related:MmVb78v172cJ:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
23,"A Solé-Gil, J Hernández-García, ...","Conservation of thermospermine synthase activity in vascular and non-vascular plants",2019,"Frontiers in plant …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2019.00663/full","https://scholar.google.com/scholar?cites=5706682922634729326&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 10:57:13","HTML","10.3389/fpls.2019.00663","","",,,,,23,4.60,8,3,5,"… non-vascular plants. Here, we verify the activity of the thermospermine synthase genes and the presence of thermospermine in vascular and non-vascular … and non-vascular species …","https://www.frontiersin.org/articles/10.3389/fpls.2019.00663/full","https://scholar.google.com/scholar?q=related:blduAeI1Mk8J:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
20,"ACN Dittrich, TP Devarenne","Perspectives in PDK1 evolution: insights from photosynthetic and non-photosynthetic organisms",2012,"Plant signaling &behavior","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.4161/psb.20038","https://scholar.google.com/scholar?cites=7683503493794990945&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 10:57:13","","10.4161/psb.20038","","",,,,,20,1.67,10,2,12,"… often belong to fungi and non-vascular members of the Archaeplastida ( … photosynthetic + 6 non-photosynthetic), Excavata (4 non-photosynthetic), and Amoebozoa (3 non-photosynthetic…","https://www.tandfonline.com/doi/full/10.4161/psb.20038","https://scholar.google.com/scholar?q=related:YYsf-rdJoWoJ:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
10,"C Atala","Water transport and gas exchange in the non-vascular plant Dendroligotrichum dendroides (Brid. ex Hedw.) Broth.(Polytrichaceae, Bryophyta)",2011,"Gayana Botánica","revistas.udec.cl","http://revistas.udec.cl/index.php/gayana_botanica/article/view/4393","https://scholar.google.com/scholar?cites=6356895650656203023&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 10:57:13","","","","",,,,,10,0.77,10,1,13,"… Previous to measuring the maximum photosynthetic rate (Amax) we made light-response curves in 3 plants to obtain the amount of PAR radiation necessary to saturate carbon gain. We …","https://revistas.udec.cl/index.php/gayana_botanica/article/download/4393/4265","https://scholar.google.com/scholar?q=related:D7GW--k6OFgJ:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
48,"J Kováčik, P Babula, J Hedbavny","Comparison of vascular and non-vascular aquatic plant as indicators of cadmium toxicity",2017,"Chemosphere","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045653517305258","https://scholar.google.com/scholar?cites=16052091465321494943&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-11 10:57:13","","","","",,,,,48,6.86,16,3,7,"… Antioxidative and microscopic responses in non-vascular (moss Taxiphyllum barbieri) and vascular (… non-vascular plant under identical exposure conditions along with the fluorescence …","https://apirs.plants.ifas.ufl.edu/site/assets/files/375537/375537.pdf","https://scholar.google.com/scholar?q=related:nzmR3CN8xN4J:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
37,"PS Martin, AU Mallik","The status of non-vascular plants in trait-based ecosystem function studies",2017,"Perspectives in Plant Ecology, Evolution and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1433831917300082","https://scholar.google.com/scholar?cites=6854481565949405223&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-11 10:57:13","","","","",,,,,37,5.29,19,2,7,"The contributions of non-vascular plants (NVPs) to ecosystem function can be significant in high latitude and high altitude ecosystems and yet their inclusion in trait-based studies is rare…","","https://scholar.google.com/scholar?q=related:J6jg6aoCIF8J:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
107,"P Porada, JT Van Stan, A Kleidon","Significant contribution of non-vascular vegetation to global rainfall interception",2018,"Nature Geoscience","nature.com","https://www.nature.com/articles/s41561-018-0176-7","https://scholar.google.com/scholar?cites=9068687782871084337&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-11 10:57:13","","","","",,,,,107,17.83,36,3,6,"… as the difference between gross photosynthesis and respiration. Global patterns of photosynthesis, respiration and productivity of non-vascular vegetation are simulated by LiBry based …","https://scholar.google.com/scholar?output=instlink&q=info:Ma30lH1z2n0J:scholar.google.com/&hl=en&as_sdt=2007&scillfp=7930566205869418627&oi=lle","https://scholar.google.com/scholar?q=related:Ma30lH1z2n0J:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
18,"H Cho, TVT Dang, I Hwang","Emergence of plant vascular system: roles of hormonal and non-hormonal regulatory networks",2017,"Current opinion in plant biology","Elsevier","https://www.sciencedirect.com/science/article/pii/S1369526616302084","https://scholar.google.com/scholar?cites=3986934068964375510&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-11 10:57:13","","","","",,,,,18,2.57,6,3,7,"… networks in the ancestral green algae and non-vascular land plants as well as the … demands of photosynthetic tissues, move water from the soil, and distribute photosynthetic outputs …","","https://scholar.google.com/scholar?q=related:1juGe2lvVDcJ:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
118,"KJ Field, DD Cameron, JR Leake, S Tille, ...","Contrasting arbuscular mycorrhizal responses of vascular and non-vascular plants to a simulated Palaeozoic CO2 decline",2012,"Nature …","nature.com","https://www.nature.com/articles/ncomms1831","https://scholar.google.com/scholar?cites=17457908605204512300&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-11 10:57:13","HTML","","","",,,,,118,9.83,24,5,12,"… of two species of the basal non-vascular plant group (liverworts) … of the AM symbiosis to these non-vascular 'lower' plants by … synergistically enhance the photosynthetic capacity, growth …","https://www.nature.com/articles/ncomms1831","https://scholar.google.com/scholar?q=related:LD5zZmHzRvIJ:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
142,"JA RAVEN","Physiological correlates of the morphology of early vascular plants",1984,"Botanical Journal of the Linnean Society","academic.oup.com","https://academic.oup.com/botlinnean/article-abstract/88/1-2/105/2633553","https://scholar.google.com/scholar?cites=7702508849302608173&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-11 10:57:13","","","","",,,,,142,3.55,142,1,40,"RAVEN, JA, 1984. Physiological correlates of the morphology of early vascular plants. The early evolution of vascular land plants is considered in relation to the physiological problems …","","https://scholar.google.com/scholar?q=related:LRn8If3O5GoJ:scholar.google.com/&scioq=%22non+vascular%22+photosynthesis&hl=en&as_sdt=2007"
