Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19,"JA Raven","The significance of the distance from photosynthesizing cells to vascular tissue in extant and early vascular plants",1994,"Transactions and Proceedings of the Botanical Society …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03746609408684818","https://scholar.google.com/scholar?cites=11738839650550224434&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-25 10:01:05","","10.1080/03746609408684818","","",,,,,19,0.63,19,1,30,"… (b) The distance which water must travel in non-vascular … (c) The distance which solutes must travel in non-vascular … that the amount of photosynthetic tissue was low in proportion to the …","","https://scholar.google.com/scholar?q=related:MhZRlne86KIJ:scholar.google.com/&scioq=%22non+vascular%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
19,"WW Adams, JJ Stewart, SK Polutchko…","Leaf vasculature and the upper limit of photosynthesis",2018,"The leaf: a platform for …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-93594-2_2","https://scholar.google.com/scholar?cites=1567247679479844374&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-25 10:01:05","","10.1007/978-3-319-93594-2_2","","",,,,,19,3.17,5,4,6,"… , thus supporting optimal display of photosynthetic tissue for the absorption of sunlight while … of cell walls of both vascular and non-vascular cells for support of the mesophyll tissue, …","https://drive.google.com/file/d/1DjYpfE0gAsy_FIbHtTGPTRaptfM8E39p/view","https://scholar.google.com/scholar?q=related:Fo5z-nX7vxUJ:scholar.google.com/&scioq=%22non+vascular%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
100,"JA Raven","Long‐distance transport in non‐vascular plants",2003,"Plant, Cell &Environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3040.2003.00920.x","https://scholar.google.com/scholar?cites=2580384851763273790&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-25 10:01:05","","10.1046/j.1365-3040.2003.00920.x","","",,,,,100,4.76,100,1,21,"… The gas spaces generally occur in photosynthetic tissue with stomata in the epidermis (capsule of mosses; most of the sporophyte of hornworts) so that there is a minimal distance for …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-3040.2003.00920.x","https://scholar.google.com/scholar?q=related:PiAm6VlezyMJ:scholar.google.com/&scioq=%22non+vascular%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
86,"J Flexas, M Carriquí","Photosynthesis and photosynthetic efficiencies along the terrestrial plant's phylogeny: lessons for improving crop photosynthesis",2020,"The Plant Journal","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.14651","https://scholar.google.com/scholar?cites=17982026559297603433&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-25 10:01:05","","10.1111/tpj.14651","","",,,,,86,21.50,43,2,4,"… Some particular species even present a structure of their photosynthetic tissue that seems … It is possible that non-vascular plants have not improved g m and thus photosynthesis, …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/tpj.14651","https://scholar.google.com/scholar?q=related:aceSAOL9jPkJ:scholar.google.com/&scioq=%22non+vascular%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
37,"PS Martin, AU Mallik","The status of non-vascular plants in trait-based ecosystem function studies",2017,"Perspectives in Plant Ecology, Evolution and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1433831917300082","https://scholar.google.com/scholar?cites=6854481565949405223&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-25 10:01:05","","","","",,,,,37,5.29,19,2,7,"… structures (leaves and roots), traits measured in NVPs would involve determining the chemical and physical characteristics of aboveground structural and photosynthetic tissue. …","","https://scholar.google.com/scholar?q=related:J6jg6aoCIF8J:scholar.google.com/&scioq=%22non+vascular%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
161,"HB Sifton","Air-space tissue in plants",1945,"The Botanical Review","Springer","https://link.springer.com/article/10.1007/BF02861138","https://scholar.google.com/scholar?cites=5214174345206113783&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-25 10:01:05","","10.1007/BF02861138","","",,,,,161,2.04,161,1,79,"… The students of air-space tissue in non-vascular and in vascular plants have, almost without … a useful function in placing extended areas of photosynthetic tissue in contact with air that is …","https://www.jstor.org/stable/pdf/4353316.pdf","https://scholar.google.com/scholar?q=related:9yX36vB3XEgJ:scholar.google.com/&scioq=%22non+vascular%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
19,"AV Perera-Castro, M Nadal…","What drives photosynthesis during desiccation? Mosses and other outliers from the photosynthesis–elasticity trade-off",2020,"Journal of Experimental …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/71/20/6460/5873698","https://scholar.google.com/scholar?cites=7489474961583334706&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-25 10:01:05","","","","",,,,,19,4.75,6,3,4,"… Despite this finding, when vascular and non-vascular plants were plotted together, ε still linearly determined the cessation of net photosynthesis during desiccation both in species with …","https://academic.oup.com/jxb/article/71/20/6460/5873698","https://scholar.google.com/scholar?q=related:MmVb78v172cJ:scholar.google.com/&scioq=%22non+vascular%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
32,"J Flexas, FJ Cano, M Carriquí, RE Coopman…","CO2 Diffusion Inside Photosynthetic Organs",2018,"The leaf: a platform for …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-93594-2_7","https://scholar.google.com/scholar?cites=62943085163854601&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-25 10:01:05","","10.1007/978-3-319-93594-2_7","","",,,,,32,5.33,6,5,6,"… from the atmosphere surrounding a photosynthetic tissue to the carboxylation sites inside … values were observed for non-vascular lineages, ie, mosses, liverworts, and hornworts. …","https://scholar.google.com/scholar?output=instlink&q=info:CTtCCGee3wAJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=16019252134361112640&oi=lle","https://scholar.google.com/scholar?q=related:CTtCCGee3wAJ:scholar.google.com/&scioq=%22non+vascular%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
30,"JA Raven, D Edwards","Photosynthesis in early land plants: adapting to the terrestrial environment",2013,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_3","https://scholar.google.com/scholar?cites=5801348698805690036&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-25 10:01:05","","10.1007/978-94-007-6988-5_3","","",,,,,30,2.73,15,2,11,"… This provides the potential for more rapid photosynthesis per unit photosynthetic tissue and per unit nitrogen in the photosynthetic tissue. A proviso here is that many extant vascular …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=57","https://scholar.google.com/scholar?q=related:tN58mueHglAJ:scholar.google.com/&scioq=%22non+vascular%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
65,"TJ Brodribb, M Carriquí, S Delzon, SAM McAdam…","Advanced vascular function discovered in a widespread moss",2020,"Nature Plants","nature.com","https://www.nature.com/articles/s41477-020-0602-x","https://scholar.google.com/scholar?cites=2781981766080286569&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-25 10:01:05","","","","",,,,,65,16.25,13,5,4,"… A transition from small, ‘non-vascular’ bryophytes to arborescent vascular plants during the … The capacity to elevate photosynthetic tissue aloft in a dry atmosphere evolved during the …","https://par.nsf.gov/servlets/purl/10191639","https://scholar.google.com/scholar?q=related:aU_UOq2VmyYJ:scholar.google.com/&scioq=%22non+vascular%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
124,"S Enríquez, CM Duarte, K Sand-Jensen, SL Nielsen","Broad-scale comparison of photosynthetic rates across phototrophic organisms",1996,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00334642","https://scholar.google.com/scholar?cites=4158242693272712932&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-25 10:01:05","","10.1007/BF00334642","","",,,,,124,4.43,31,4,28,"… to R with increasing Pmax of the photosynthetic tissue (P <0.0001) … of the photosynthetic tissue and the light compensation point … Non-vascular plants and aquatic plants in general may …","https://www.jstor.org/stable/pdf/4221406.pdf","https://scholar.google.com/scholar?q=related:5DZivrILtTkJ:scholar.google.com/&scioq=%22non+vascular%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
116,"CJ Harrison, JL Morris","The origin and early evolution of vascular plant shoots and leaves",2018,"… of the Royal Society B: Biological …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2016.0496","https://scholar.google.com/scholar?cites=149385570969776101&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-25 10:01:05","","10.1098/rstb.2016.0496","","",,,,,116,19.33,58,2,6,"… Some Cooksonia fossils have axes that are considered too narrow to contain much photosynthetic tissue and, as in bryophytes, their sporophytes were most likely to have been …","https://royalsocietypublishing.org/doi/full/10.1098/rstb.2016.0496","https://scholar.google.com/scholar?q=related:5e84pGK5EgIJ:scholar.google.com/&scioq=%22non+vascular%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
27,"M López‐Pozo, J Flexas, J Gulías…","A field portable method for the semi‐quantitative estimation of dehydration tolerance of photosynthetic tissues across distantly related land plants",2019,"Physiologia …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/ppl.12890","https://scholar.google.com/scholar?cites=3537002329021668457&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-25 10:01:05","","10.1111/ppl.12890","","",,,,,27,5.40,7,4,5,"… categorise species based on their photosynthetic tissue tolerance to dehydration and (2) … be used even under remote field conditions in both non-vascular and tracheophyte species. …","https://www.researchgate.net/profile/Encarnacion-Nunez-Olivera/publication/329417649_A_field_portable_method_for_the_semi-quantitative_estimation_of_dehydration_tolerance_of_photosynthetic_tissues_across_distantly_related_land_plants/links/5d6d492e458515088608d021/A-field-portable-method-for-the-semi-quantitative-estimation-of-dehydration-tolerance-of-photosynthetic-tissues-across-distantly-related-land-plants.pdf","https://scholar.google.com/scholar?q=related:adwQ3-D0FTEJ:scholar.google.com/&scioq=%22non+vascular%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
