Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
43,"N Mallick, LC Rai","Physiological responses of non-vascular plants to heavy metals",2002,"Physiology and biochemistry of metal toxicity and …","Springer","https://link.springer.com/content/pdf/10.1007/978-94-017-2660-3_5?pdf=chapter%20toc","https://scholar.google.com/scholar?cites=380663839371780200&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 14:24:39","","10.1007/978-94-017-2660-3_5","","",,,,,43,1.95,22,2,22,"… All the metals studied were found to be potential inhibitors of photosystem II; photo system I was reported to be less sensitive. From the in vitro experiments, at least two metal- sensitive …","","https://scholar.google.com/scholar?q=related:aGCXvL5jSAUJ:scholar.google.com/&scioq=%22non+vascular%22+photosystem&hl=en&as_sdt=2007"
19,"WW Adams, JJ Stewart, SK Polutchko…","Leaf vasculature and the upper limit of photosynthesis",2018,"The leaf: a platform for …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-93594-2_2","https://scholar.google.com/scholar?cites=1567247679479844374&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 14:24:39","","10.1007/978-3-319-93594-2_2","","",,,,,19,3.17,5,4,6,"… cell turgor loss point is reached, it is possible that the sclerophytic leaves of woody plants rely primarily on the structural components of cell walls of both vascular and non-vascular cells …","https://drive.google.com/file/d/1DjYpfE0gAsy_FIbHtTGPTRaptfM8E39p/view","https://scholar.google.com/scholar?q=related:Fo5z-nX7vxUJ:scholar.google.com/&scioq=%22non+vascular%22+photosystem&hl=en&as_sdt=2007"
59,"B Fernández‐Marín, J Gulías, CM Figueroa…","How do vascular plants perform photosynthesis in extreme environments? An integrative ecophysiological and biochemical story",2020,"The Plant …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.14694","https://scholar.google.com/scholar?cites=13000090909668237622&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 14:24:39","","10.1111/tpj.14694","","",,,,,59,14.75,15,4,4,"… In general, extreme environments are dominated by non-vascular plants. However, some vascular species can also be found in such places [eg Antarctica, the High Arctic or elevations …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/tpj.14694","https://scholar.google.com/scholar?q=related:NmGPDs6ZabQJ:scholar.google.com/&scioq=%22non+vascular%22+photosystem&hl=en&as_sdt=2007"
56,"M Becana, I Yruela, G Sarath, P Catalán…","Plant hemoglobins: a journey from unicellular green algae to vascular plants",2020,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.16444","https://scholar.google.com/scholar?cites=17952306342962002826&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 14:24:39","","10.1111/nph.16444","","",,,,,56,14.00,11,5,4,"… Bryophytes are non-vascular plants that colonized land c. 475 Ma and hence their study provides insight into the early evolution of plant Glbs. The model bryophytes for molecular …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/nph.16444","https://scholar.google.com/scholar?q=related:ivs954BnI_kJ:scholar.google.com/&scioq=%22non+vascular%22+photosystem&hl=en&as_sdt=2007"
37,"L Ferroni, M Angeleri, L Pantaleoni…","Light‐dependent reversible phosphorylation of the minor photosystem II antenna Lhcb6 (CP 24) occurs in lycophytes",2014,"The Plant …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.12437","https://scholar.google.com/scholar?cites=142753169573505606&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 14:24:39","","10.1111/tpj.12437","","",,,,,37,3.70,9,4,10,"Evolution of vascular plants required compromise between photosynthesis and photodamage. We analyzed representative species from two divergent lineages of vascular plants, …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/tpj.12437","https://scholar.google.com/scholar?q=related:Rmr9WkAp-wEJ:scholar.google.com/&scioq=%22non+vascular%22+photosystem&hl=en&as_sdt=2007"
51,"A Crepin, S Caffarri","Functions and evolution of Lhcb isoforms composing LHCII, the major light harvesting complex of photosystem II of green eukaryotic organisms",2018,"Current Protein and Peptide Science","ingentaconnect.com","https://www.ingentaconnect.com/content/ben/cpps/2018/00000019/00000007/art00012","https://scholar.google.com/scholar?cites=2074789774752084854&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-18 14:24:39","","","","",,,,,51,8.50,26,2,6,"… In plants and green algae, the antenna of photosystem II, the photosynthetic complex … , 2 and 3, while in algae and non-vascular plants, these isoforms are less differentiated and called …","https://cea.hal.science/cea-01945879/file/Crepin%20and%20Caffarri%20CPPS18%20HAL.pdf","https://scholar.google.com/scholar?q=related:dvO1s04iyxwJ:scholar.google.com/&scioq=%22non+vascular%22+photosystem&hl=en&as_sdt=2007"
99,"J Gray, E Wardzala, M Yang, S Reinbothe…","A small family of LLS1-related non-heme oxygenases in plants with an origin amongst oxygenic photosynthesizers",2004,"Plant Molecular …","Springer","https://link.springer.com/article/10.1023/B:PLAN.0000028766.61559.4c","https://scholar.google.com/scholar?cites=17552871335359445533&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 14:24:39","","10.1023/B:PLAN.0000028766.61559.4c","","",,,,,99,4.95,20,5,20,"… more primitive vascular plant Equisetum and the nonvascular moss Polytrichum (Figure 2). … ) enlarges the antenna size of photosystem II in Arabidopsis thaliana. Plant J. 26: 365–373. …","https://link.springer.com/content/pdf/10.1023/B:PLAN.0000028766.61559.4c.pdf","https://scholar.google.com/scholar?q=related:HXo8_HpTmPMJ:scholar.google.com/&scioq=%22non+vascular%22+photosystem&hl=en&as_sdt=2007"
0,"K Fox","Carotenoids and their role in the non-photochemical quenching of higher plants",2019,"","qmro.qmul.ac.uk","https://qmro.qmul.ac.uk/xmlui/handle/123456789/58521","",8,"2024-07-18 14:24:39","","","","",,,,,0,0.00,0,1,5,"… transferred and eight photons absorbed, one on each photosystem per electron transferred. … Photosystem II The photosystem II (PSII) RC is the where the primary reaction takes place. It …","https://qmro.qmul.ac.uk/xmlui/bitstream/handle/123456789/58521/Fox_K_PhD_final_040519_ORIG.pdf?sequence=2&isAllowed=y","https://scholar.google.com/scholar?q=related:IDVSaX352_sJ:scholar.google.com/&scioq=%22non+vascular%22+photosystem&hl=en&as_sdt=2007"
204,"C Critchley, AW Russell","Photoinhibition of photosynthesis in vivo: the role of protein turnover in photosystem II",1994,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.1994.tb06670.x","https://scholar.google.com/scholar?cites=2150448630797369135&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 14:24:39","","10.1111/j.1399-3054.1994.tb06670.x","","",,,,,204,6.80,102,2,30,"… It affects cyanobacteria and algae as well as vascular and non-vascular plants and is … Photoinhibition is always characterized by a reduction in quantum efficiency of photosystem …","","https://scholar.google.com/scholar?q=related:L_9m2qLt1x0J:scholar.google.com/&scioq=%22non+vascular%22+photosystem&hl=en&as_sdt=2007"
65,"TJ Brodribb, M Carriquí, S Delzon, SAM McAdam…","Advanced vascular function discovered in a widespread moss",2020,"Nature Plants","nature.com","https://www.nature.com/articles/s41477-020-0602-x","https://scholar.google.com/scholar?cites=2781981766080286569&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 14:24:39","","","","",,,,,65,16.25,13,5,4,"… A transition from small, ‘non-vascular’ bryophytes to arborescent vascular plants during the … parameters were recorded, as well as Photosystem II quantum yield, determined by exposing …","https://par.nsf.gov/servlets/purl/10191639","https://scholar.google.com/scholar?q=related:aU_UOq2VmyYJ:scholar.google.com/&scioq=%22non+vascular%22+photosystem&hl=en&as_sdt=2007"
